Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,age70plus,3956123,1166152,1004871,161281,2789971,954245,60313,353854,300783,53071,46923,26693,20230,471599,35229,8845,14538,473268,343769,27387,104364,102812,41940,36496,366,24009,1552,3851759,13621435
1989:Q3,age55to69,8008572,2365568,1902024,463544,5643004,981961,169961,346306,301484,44822,189728,111161,78566,753817,100230,132425,190823,1700516,1019221,58016,427788,423397,291825,91033,1106,39432,4391,7580784,19197157
1989:Q3,age40to54,7774305,3146193,2473155,673038,4628112,657249,95708,234375,168499,65876,46111,27532,18579,643630,130708,157287,362344,1092225,1127287,81189,1240751,1234927,871386,300372,1620,61549,5824,6533554,24579466
1989:Q3,ageunder40,3824640,2111435,1513120,598316,1713205,363012,36661,82821,74033,8787,11104,3475,7629,221397,94024,30275,117486,216322,479346,60757,1379870,1375661,1006002,356306,1440,11913,4209,2444770,35622043
1989:Q4,age70plus,4077106,1221417,1049264,172153,2855689,970981,65453,355997,300668,55329,55560,32332,23228,477444,36885,9102,14328,485910,355681,28348,102121,100349,39777,37242,356,22974,1771,3974986,13724617
1989:Q4,age55to69,8178798,2412366,1945248,467118,5766432,988550,172320,349053,301276,47777,197991,119463,78528,790016,106826,136831,200970,1729595,1034730,59550,451811,447110,306706,99604,1092,39707,4702,7726987,19250073
1989:Q4,age40to54,7878932,3140679,2467280,673399,4738253,669599,100441,242376,175465,66912,49002,30559,18442,659096,132871,164574,377366,1133019,1127717,82192,1266493,1260526,892749,304301,1537,61939,5967,6612439,24596086
1989:Q4,ageunder40,3882885,2145438,1532526,612913,1737446,370918,39024,82706,73580,9125,11951,4309,7642,225548,95049,30533,122532,218542,478700,61946,1407118,1402910,1021349,368138,1405,12018,4208,2475767,35691463
1990:Q1,age70plus,4087363,1232628,1049262,183365,2854735,977879,73350,350471,297336,53135,71556,45045,26511,430585,37033,9352,12091,496085,365845,30488,100574,98934,40703,34495,442,23293,1640,3986789,13824828
1990:Q1,age55to69,8217367,2430414,1949976,480438,5786953,982388,179923,343212,296022,47190,211929,133337,78592,757888,111525,141063,199305,1750844,1046797,62080,472976,468269,325758,98689,1381,42441,4707,7744391,19289216
1990:Q1,age40to54,7940778,3161033,2477572,683461,4779745,671101,108014,244300,180788,63512,53654,35381,18273,634493,133788,171956,379448,1171321,1127557,84112,1289924,1284117,924946,294554,1873,62744,5807,6650854,24635411
1990:Q1,ageunder40,3885242,2155892,1536174,619718,1729350,369103,42372,83656,73335,10320,14104,6431,7673,210545,95647,30770,123356,219692,476195,63910,1426914,1422772,1043992,364581,1762,12436,4142,2458329,35754314
1990:Q2,age70plus,4185082,1277876,1084110,193767,2907206,985399,72053,359825,304667,55158,76861,47222,29639,438638,37687,10095,10288,507272,378601,30487,100977,99344,42411,33866,361,22706,1633,4084105,13922138
1990:Q2,age55to69,8353164,2472534,1990455,482079,5880629,976499,168326,357623,307479,50144,213356,135254,78102,798054,116788,151269,200552,1773739,1061745,62678,492815,487998,340710,102618,1148,43522,4817,7860348,19315451
1990:Q2,age40to54,8030107,3151381,2467739,683643,4878726,674112,106222,257643,193391,64252,55432,37268,18164,654000,135283,183941,385383,1212374,1129780,84557,1317929,1312167,954186,293133,1483,63365,5762,6712179,24696454
1990:Q2,ageunder40,3913604,2175757,1542859,632898,1737847,367951,42355,82989,72210,10778,14238,6589,7648,215746,96363,31864,125274,221223,475422,64423,1445891,1441794,1058610,369096,1443,12645,4098,2467713,35810795
1990:Q3,age70plus,4139353,1289233,1089406,199827,2850120,995209,79256,368594,313735,54859,84225,51256,32969,327891,37815,9969,6735,516617,392334,31476,97130,95523,41408,33660,158,20296,1608,4042223,14016614
1990:Q3,age55to69,8308902,2498711,2006856,491854,5810191,972932,173718,373631,322367,51264,215883,138281,77602,678250,121354,150669,191777,1790673,1077198,64107,509657,504747,354624,108298,510,41315,4909,7799245,19329642
1990:Q3,age40to54,8077294,3200980,2507804,693176,4876314,680551,113179,270971,208244,62726,57753,39715,18037,577681,136433,188277,380550,1251987,1133150,85781,1343137,1337432,979252,294007,622,63552,5705,6734157,24778227
1990:Q3,ageunder40,3893119,2189956,1558660,631296,1703163,369085,45428,82200,70493,11707,14697,7068,7629,177171,96928,31423,123668,221963,475015,65585,1465430,1461381,1071981,376336,628,12435,4049,2427689,35861104
1990:Q4,age70plus,4269816,1299151,1092004,207147,2970665,1011256,82812,388918,323138,65780,98572,62302,36269,373187,38020,10210,6491,526627,402194,32379,92088,90322,36555,33073,176,20518,1766,4177728,14108324
1990:Q4,age55to69,8478823,2493409,1995242,498168,5985413,976409,171537,400725,338728,61997,222132,145355,76777,771030,125954,154506,202887,1808414,1086401,65419,531722,526566,368266,113868,581,43850,5156,7947101,19332656
1990:Q4,age40to54,8250529,3202245,2502325,699920,5048284,695016,116498,295827,224640,71186,61633,43688,17944,631328,137775,196104,398644,1293916,1134531,87013,1364665,1358854,999497,294185,674,64499,5811,6885864,24879743
1990:Q4,ageunder40,3924516,2190633,1556826,633807,1733883,376348,47159,78293,68159,10133,16399,8822,7577,196666,97501,31619,129174,222945,471102,66677,1486328,1482297,1085493,383265,707,12832,4031,2438188,35905440
1991:Q1,age70plus,4406677,1331275,1112764,218511,3075402,1020094,95958,375497,305308,70189,105288,66168,39120,449176,38248,10179,7383,536510,404684,32385,84127,82417,32390,29717,306,20005,1710,4322550,14197338
1991:Q1,age55to69,8643524,2501895,2000889,501006,6141629,970786,187270,376075,308648,67427,221661,146536,75125,904168,130523,154934,220620,1824885,1084786,65922,543486,538269,380647,111539,1032,45051,5217,8100038,19325357
1991:Q1,age40to54,8403931,3185138,2482081,703056,5218793,701751,129371,294132,220754,73378,64216,46231,17985,707353,139257,201615,424507,1337007,1131905,87680,1375960,1370223,1020323,283457,1144,65300,5736,7027971,25000014
1991:Q1,ageunder40,3967577,2196880,1551669,645211,1770698,376589,52270,80048,70195,9853,16651,9216,7435,226717,98070,31343,136963,223845,461032,67170,1492108,1488133,1096332,377494,1247,13059,3975,2475470,35944001
1991:Q2,age70plus,4432748,1356240,1131282,224958,3076507,1015087,93037,383998,309862,74136,108635,66222,42413,430003,39087,10327,5745,547039,411005,32546,82868,81249,33428,28340,93,19388,1618,4349880,14283725
1991:Q2,age55to69,8675781,2522322,2018899,503423,6153459,948489,172398,389202,316555,72646,218975,145167,73808,910609,135768,157481,223873,1842157,1087979,66529,560044,554798,394803,113615,321,46059,5246,8115737,19308610
