Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,College,11340766,3757422,2960846,796576,7583345,1245054,228219,622867,506615,116252,157560,95798,61761,1399559,187957,150984,410625,1469578,1616700,94241,1422205,1413924,1044738,274652,2564,91970,8281,9918561,21613571
1989:Q3,SomeCollege,4673547,1914230,1490719,423511,2759317,616319,50712,232833,190301,42532,34695,20443,14252,336671,67644,65408,108499,658009,539994,48533,760625,757605,543654,192199,848,20904,3019,3912923,18948257
1989:Q3,HS,4920119,2010906,1528048,482858,2909213,677169,73808,134418,124985,9433,73009,46153,26856,266024,72813,74962,105767,843199,532357,55688,715487,712232,462604,228664,787,20178,3254,4204633,29893093
1989:Q3,NoHS,2629208,1106791,913556,193235,1522417,417925,9904,27238,22899,4339,28602,6468,22134,88190,31779,37476,60299,511544,280573,28887,254457,253035,160158,88692,334,3852,1421,2374751,22565181
1989:Q4,College,11839569,3920088,3092099,827989,7919481,1302621,243883,646710,524044,122666,172878,109126,63752,1451415,196251,159849,440540,1543051,1663426,98857,1491154,1482326,1092142,294891,2535,92759,8828,10348414,22566796
1989:Q4,SomeCollege,4699601,1912146,1488138,424007,2787455,611271,52500,226056,183917,42139,40403,23442,16962,343563,69484,67031,110445,676287,541331,49084,764340,761268,545559,194252,794,20662,3072,3935261,19003672
1989:Q4,HS,4914319,2006109,1531938,474171,2908210,675637,70672,129061,119086,9975,73260,47302,25959,269519,74725,77941,107921,851424,522306,55745,719824,716476,465064,231237,740,19435,3348,4194495,29517842
1989:Q4,NoHS,2564233,1081557,882142,199415,1482675,410520,10183,28305,23942,4363,27962,6794,21168,87607,31171,36219,56289,496305,269765,28350,252225,250824,157816,88905,321,3782,1401,2312008,22173928
1990:Q1,College,12105375,4051686,3182438,869248,8053689,1329772,267773,654703,533421,121282,201252,135629,65623,1371932,200726,168204,450266,1605041,1699463,104558,1560423,1551756,1150298,301499,3203,96756,8667,10544952,23397817
1990:Q1,SomeCollege,4689208,1906794,1479810,426983,2782414,600931,56007,215062,176031,39031,48113,28270,19843,327760,70874,68828,107026,693729,543629,50455,769455,766416,555565,188722,947,21182,3038,3919753,19090250
1990:Q1,HS,4853436,1977015,1502416,474599,2876421,668491,69073,122374,112699,9676,73981,48819,25161,251596,75926,81025,105376,857962,513495,57121,714734,711469,472564,218993,913,18998,3265,4138702,29203955
1990:Q1,NoHS,2482731,1044472,848319,196153,1438259,401277,10806,29500,25330,4170,27897,7474,20423,82223,30468,35085,51532,481210,259806,28455,245775,244449,156971,83105,394,3978,1326,2236956,21811747
1990:Q2,College,12453835,4161331,3268939,892392,8292503,1353199,260769,691087,564108,126979,206439,139592,66847,1424010,205670,180979,463931,1663779,1735369,107270,1622056,1613342,1199104,313323,2636,98278,8715,10831779,24112998
1990:Q2,SomeCollege,4735910,1912331,1483017,429313,2823579,592937,54387,215673,176874,38799,53532,30712,22820,340011,72785,73705,105545,714295,549976,50733,777256,774204,564122,187949,755,21378,3052,3958654,19205981
1990:Q2,HS,4860562,1975104,1507075,468029,2885459,664328,63487,121358,111034,10324,73027,48579,24448,259527,77712,87635,104678,868434,508726,56548,716455,713191,477579,216331,720,18561,3264,4144107,28948475
1990:Q2,NoHS,2431650,1028783,826130,202653,1402866,393498,10313,29961,25731,4230,26890,7451,19439,82890,29953,34849,47342,468100,251477,27594,241844,240565,155111,81109,324,4021,1279,2189805,21477383
1990:Q3,College,12509381,4288085,3366219,921866,8221296,1377904,280944,727526,598973,128553,214254,146382,67871,1175448,208917,184775,459827,1712875,1767954,110873,1669565,1660868,1238045,326714,1151,94958,8697,10839816,24718704
1990:Q3,SomeCollege,4738812,1926274,1494877,431397,2812538,588173,57795,216795,179557,37238,59875,33885,25990,296277,74711,73726,99756,734749,558972,51710,784970,781898,571803,188927,326,20843,3072,3953841,19348854
1990:Q3,HS,4813061,1966103,1498649,467453,2846959,664204,61977,120903,110328,10575,72326,48523,23803,217246,79433,88503,100381,878339,506552,57096,721754,718487,483672,216489,296,18029,3267,4091308,28748446
1990:Q3,NoHS,2357414,998419,802981,195437,1358995,387496,10865,30172,25981,4191,26103,7530,18572,72023,29470,33332,42767,455277,244220,27270,239065,237831,153746,80172,145,3768,1235,2118349,21169583
1990:Q4,College,12943625,4351222,3406285,944936,8592403,1415021,288539,784376,635467,148908,233737,165305,68433,1319030,211786,191770,489039,1758513,1786541,114050,1714253,1705237,1266481,339223,1292,98241,9015,11229372,25221298
1990:Q4,SomeCollege,4831466,1924198,1489562,434636,2907268,589042,59327,225204,183028,42176,68147,38828,29320,331080,76925,76095,103769,757892,567023,52765,793666,790513,578521,190034,353,21605,3152,4037801,19516859
1990:Q4,HS,4849035,1948586,1482283,466303,2900449,670825,59135,123293,109989,13304,71377,48158,23219,244635,81453,92082,104736,891538,503667,57709,729345,725971,491617,216150,329,17875,3374,4119690,28600911
1990:Q4,NoHS,2299557,961433,768266,193167,1338124,384141,11005,30890,26182,4707,25473,7876,17597,77467,29086,32491,39652,443959,236996,26964,237540,236318,153192,78983,163,3979,1222,2062017,20887094
1991:Q1,College,13328695,4396271,3433362,962910,8932424,1429249,326662,765593,607650,157944,237714,169642,68072,1535591,214192,195582,529328,1799082,1783665,115767,1741000,1732113,1291156,339186,2267,99505,8887,11587695,25627147
1991:Q1,SomeCollege,4922362,1927746,1487412,440334,2994616,586211,66237,210183,166993,43189,75397,42669,32728,381025,79390,77078,111231,782805,571628,53431,797101,793917,586232,184979,589,22116,3184,4125262,19707986
1991:Q1,HS,4908202,1950560,1485155,465405,2957642,674023,59758,115627,100827,14800,70625,47920,22704,285408,83732,94064,112086,906760,497920,57638,726070,722685,499776,204606,587,17716,3385,4182132,28502916
1991:Q1,NoHS,2262450,940610,741474,199135,1321840,379738,12212,34348,29435,4914,24079,7920,16160,85390,28784,31346,36828,433600,229194,26321,231510,230328,152528,73436,286,4077,1182,2030940,20628660
1991:Q2,College,13420851,4458556,3482514,976042,8962295,1402934,312172,797998,631993,166005,234070,166244,67825,1513116,217425,200801,544443,1836697,1785249,117390,1781782,1773112,1327393,344651,685,100383,8670,11639069,25942614
1991:Q2,SomeCollege,4989432,1948408,1503956,444452,3041024,575268,64661,211588,167732,43856,82689,46258,36431,387625,82374,79301,112197,810331,580691,54299,810830,807615,600665,184109,179,22663,3215,4178601,19920225
1991:Q2,HS,4930822,1955676,1491607,464069,2975146,669079,55091,115963,99618,16344,70383,48168,22215,287251,86611,97482,114037,925107,496281,57861,732993,729604,510388,201431,170,17616,3389,4197829,28451504
1991:Q2,NoHS,2217092,923870,724734,199136,1293223,372737,11691,35548,30435,5112,22894,7859,15035,84825,28619,30546,33332,424466,222758,25807,228720,227580,152204,71116,91,4169,1141,1988372,20393029
1991:Q3,College,13664194,4528054,3533822,994232,9136139,1392392,310264,821077,663267,157810,240881,174210,66671,1610324,217551,204920,574577,1869271,1776143,118740,1810804,1802373,1344942,348849,564,108018,8431,11853390,26174064
1991:Q3,SomeCollege,5098930,1975035,1525874,449161,3123895,570061,65437,209662,170625,39037,91924,51696,40228,418889,85001,81307,117729,839361,589250,55274,820079,816825,608552,183634,143,24495,3254,4278850,20151565
1991:Q3,HS,4992209,1966271,1499001,467270,3025939,671222,51994,115104,99397,15706,69475,47689,21786,310836,89005,100679,119945,945108,494346,58226,734159,730755,512374,200438,140,17803,3404,4258050,28443719
1991:Q3,NoHS,2176917,904505,711693,192812,1272412,368408,11639,36168,31260,4909,21457,8012,13445,88703,28376,29726,30190,415988,216408,25348,224090,222986,148635,69578,77,4697,1103,1952828,20178947
1991:Q4,College,14089536,4573601,3571370,1002231,9515935,1396156,313248,835368,678113,157255,258908,194931,63976,1901776,218619,209056,610223,1898098,1753969,120516,1856003,1847766,1373435,357127,1087,116117,8237,12233533,26327862
1991:Q4,SomeCollege,5253603,1998903,1544515,454389,3254699,569910,67292,205708,168953,36755,103045,59072,43973,488284,88144,83721,125270,870362,596315,56649,839816,836508,623976,185752,264,26516,3308,4413787,20399996
1991:Q4,HS,5107788,1987583,1520027,467556,3120205,679772,49570,113542,97275,16267,66970,45520,21451,368496,92009,104377,127608,967381,491285,59194,747653,744210,522641,203264,276,18028,3443,4360135,28476605
1991:Q4,NoHS,2149710,887944,694673,193271,1261766,366409,11789,37785,32853,4933,19250,8326,10924,98808,28258,29026,27076,408294,209917,25154,223756,222683,147827,69438,153,5265,1073,1925954,19985160
1992:Q1,College,14017151,4601893,3597043,1004850,9415258,1304928,330439,864168,699932,164237,237567,176359,61208,1841494,219399,211167,613531,1935707,1734786,122072,1872416,1864339,1398321,351349,1274,113395,8077,12144735,26410373
