Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,College,9918561,11340766,2960846,796576,1399559,1469578,561609,1616700,2535899,1422205,1044738,274652,102815
1989:Q3,SomeCollege,3912923,4673547,1490719,423511,336671,658009,173907,539994,1050736,760625,543654,192199,24772
1989:Q3,HS,4204633,4920119,1528048,482858,266024,843199,180729,532357,1086904,715487,462604,228664,24219
1989:Q3,NoHS,2374751,2629208,913556,193235,88190,511544,97775,280573,544335,254457,160158,88692,5607
1989:Q4,College,10348414,11839569,3092099,827989,1451415,1543051,600389,1663426,2661200,1491154,1092142,294891,104121
1989:Q4,SomeCollege,3935261,4699601,1488138,424007,343563,676287,177476,541331,1048798,764340,545559,194252,24529
1989:Q4,HS,4194495,4914319,1531938,474171,269519,851424,185862,522306,1079099,719824,465064,231237,23523
1989:Q4,NoHS,2312008,2564233,882142,199415,87607,496305,92508,269765,536490,252225,157816,88905,5504
1990:Q1,College,10544952,12105375,3182438,869248,1371932,1605041,618470,1699463,2758783,1560423,1150298,301499,108626
1990:Q1,SomeCollege,3919753,4689208,1479810,426983,327760,693729,175854,543629,1041442,769455,555565,188722,25168
1990:Q1,HS,4138702,4853436,1502416,474599,251596,857962,186401,513495,1066967,714734,472564,218993,23177
1990:Q1,NoHS,2236956,2482731,848319,196153,82223,481210,86617,259806,528403,245775,156971,83105,5699
1990:Q2,College,10831779,12453835,3268939,892392,1424010,1663779,644910,1735369,2824435,1622056,1199104,313323,109629
1990:Q2,SomeCollege,3958654,4735910,1483017,429313,340011,714295,179250,549976,1040047,777256,564122,187949,25185
1990:Q2,HS,4144107,4860562,1507075,468029,259527,868434,192313,508726,1056459,716455,477579,216331,22545
1990:Q2,NoHS,2189805,2431650,826130,202653,82890,468100,82191,251477,518208,241844,155111,81109,5624
1990:Q3,College,10839816,12509381,3366219,921866,1175448,1712875,644602,1767954,2920417,1669565,1238045,326714,104806
1990:Q3,SomeCollege,3953841,4738812,1494877,431397,296277,734749,173482,558972,1049058,784970,571803,188927,24240
1990:Q3,HS,4091308,4813061,1498649,467453,217246,878339,188884,506552,1055938,721754,483672,216489,21593
1990:Q3,NoHS,2118349,2357414,802981,195437,72023,455277,76099,244220,511376,239065,153746,80172,5147
1990:Q4,College,11229372,12943625,3406285,944936,1319030,1758513,680809,1786541,3047510,1714253,1266481,339223,108549
1990:Q4,SomeCollege,4037801,4831466,1489562,434636,331080,757892,179864,567023,1071409,793666,578521,190034,25111
1990:Q4,HS,4119690,4849035,1482283,466303,244635,891538,196818,503667,1063791,729345,491617,216150,21578
1990:Q4,NoHS,2062017,2299557,768266,193167,77467,443959,72143,236996,507559,237540,153192,78983,5365
1991:Q1,College,11587695,13328695,3433362,962910,1535591,1799082,724910,1783665,3089176,1741000,1291156,339186,110658
1991:Q1,SomeCollege,4125262,4922362,1487412,440334,381025,782805,188309,571628,1070849,797101,586232,184979,25890
1991:Q1,HS,4182132,4908202,1485155,465405,285408,906760,206150,497920,1061404,726070,499776,204606,21688
1991:Q1,NoHS,2030940,2262450,741474,199135,85390,433600,68174,229194,505482,231510,152528,73436,5546
1991:Q2,College,11639069,13420851,3482514,976042,1513116,1836697,745244,1785249,3081989,1781782,1327393,344651,109738
1991:Q2,SomeCollege,4178601,4989432,1503956,444452,387625,810331,191498,580691,1070879,810830,600665,184109,26056
1991:Q2,HS,4197829,4930822,1491607,464069,287251,925107,211519,496281,1054988,732993,510388,201431,21174
1991:Q2,NoHS,1988372,2217092,724734,199136,84825,424466,63878,222758,497296,228720,152204,71116,5400
1991:Q3,College,11853390,13664194,3533822,994232,1610324,1869271,779497,1776143,3100904,1810804,1344942,348849,117013
1991:Q3,SomeCollege,4278850,5098930,1525874,449161,418889,839361,199036,589250,1077359,820079,608552,183634,27893
1991:Q3,HS,4258050,4992209,1499001,467270,310836,945108,220624,494346,1055025,734159,512374,200438,21347
