Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,17624405,5648664,4588060,1060603,11975741,2433376,309823,847129,720257,126872,277514,162987,114527,1707416,219473,274030,454999,3103469,2209521,138992,1267474,1257789,831963,308956,2354,114516,9684,16356931,48553376
1989:Q3,BabyBoom,5808354,3051242,2260988,790254,2757113,510458,52446,165535,120240,45295,16352,5875,10477,379137,137860,54773,228962,378316,747950,85324,1831539,1825375,1355248,445783,2171,22173,6164,3976815,39289625
1989:Q3,GenX,130882,89443,44121,45323,41439,12634,375,4691,4302,389,0,0,0,3891,2859,28,1229,545,12152,3034,53760,53632,23943,29467,7,215,128,77122,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,17886167,5721882,4654057,1067825,12164285,2443377,315042,856634,723848,132786,293341,175875,117465,1755106,225897,281009,472661,3153646,2226257,141317,1290732,1280703,847796,315370,2299,115238,10028,16595436,48581895
1989:Q4,BabyBoom,5980572,3100297,2292699,807598,2880275,539067,61447,168257,122468,45788,21162,10788,10375,393084,142129,59860,240236,410705,757010,87319,1876100,1869680,1386834,459630,2081,21135,6420,4104471,39314788
1989:Q4,GenX,150982,97721,47561,50160,53261,17605,748,5241,4673,569,0,0,0,3915,3605,172,2298,2716,13561,3400,60711,60510,25951,34285,10,265,200,90271,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,17948456,5735179,4643237,1091942,12213277,2433389,326222,849524,720102,129422,315494,194721,120773,1706162,229879,287890,478583,3202135,2238174,145824,1310593,1300747,874932,306278,2884,116653,9847,16637863,48563739
1990:Q1,BabyBoom,6017686,3137018,2316222,820796,2880668,546599,75880,166272,122258,44014,35749,25472,10277,327349,143984,64927,234904,430867,763361,90776,1911188,1904932,1428963,449449,2555,23965,6256,4106498,39352975
1990:Q1,GenX,164607,107770,53524,54245,56838,20484,1556,5843,5121,722,0,0,0,0,4131,323,712,4940,14858,3990,68605,68412,31504,36593,19,296,193,96002,5588046
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,18171818,5803016,4708102,1094914,12368801,2424238,316401,876004,740961,135043,324130,200745,123385,1759966,234503,295181,487381,3250527,2254358,146113,1333897,1324052,898677,305426,2360,117589,9845,16837921,48501343
1990:Q2,BabyBoom,6132201,3162161,2324695,837466,2970040,555910,71585,175583,131254,44328,35758,25589,10169,346472,146801,80881,234116,456665,774529,91738,1945630,1939383,1460423,452602,2056,24303,6247,4186571,39403449
1990:Q2,GenX,177938,112372,52365,60007,65567,23813,968,6492,5531,961,0,0,0,0,4817,1105,0,7416,16661,4294,78085,77867,36818,40684,19,347,218,99853,5841384
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,18151073,5828899,4718308,1110592,12322173,2419064,325403,902006,766134,135872,334368,208193,126175,1600146,238208,301484,484401,3297576,2271302,148216,1349686,1339875,914672,306541,1026,117636,9811,16801386,48397139
1990:Q3,BabyBoom,6066096,3225412,2383095,842318,2840684,570600,84447,186224,142745,43480,38189,28127,10062,160847,148856,78017,218329,473619,787621,93935,1978417,1972197,1491982,459810,882,19524,6220,4087679,39465470
1990:Q3,GenX,201499,124569,61324,63245,76930,28114,1731,7166,5961,1205,0,0,0,0,5465,836,0,10045,18775,4799,87250,87011,40613,45951,9,438,240,114249,6124564
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,18395223,5792880,4672649,1120232,12602343,2425166,326097,952373,792446,159927,348416,219800,128616,1722309,241903,308043,504191,3344369,2279415,150061,1358167,1348132,921567,306455,1154,118957,10035,17037056,48253561
1990:Q4,BabyBoom,6297877,3252707,2401711,850996,3045170,599199,89980,203280,155806,47474,50319,40367,9952,249903,151147,83347,233005,494549,794353,96087,2021797,2015383,1526083,466071,970,22259,6415,4276080,39538300
1990:Q4,GenX,230583,139851,72037,67814,90732,34664,1929,8110,6414,1695,0,0,0,0,6199,1048,0,12984,20459,5340,94839,94524,42161,51865,13,485,314,135744,6436036
