Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,16356931,17624405,4588060,1060603,1707416,3103469,729029,2209521,4226306,1267474,831963,308956,126555
1989:Q3,BabyBoom,3976815,5808354,2260988,790254,379137,378316,283735,747950,967975,1831539,1355248,445783,30508
1989:Q3,GenX,77122,130882,44121,45323,3891,545,1257,12152,23594,53760,23943,29467,350
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,16595436,17886167,4654057,1067825,1755106,3153646,753670,2226257,4275606,1290732,847796,315370,127566
1989:Q4,BabyBoom,4104471,5980572,2292699,807598,393084,410705,300096,757010,1019380,1876100,1386834,459630,29636
1989:Q4,GenX,90271,150982,47561,50160,3915,2716,2470,13561,30599,60711,25951,34285,475
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,16637863,17948456,4643237,1091942,1706162,3202135,766473,2238174,4300333,1310593,874932,306278,129383
1990:Q1,BabyBoom,4106498,6017686,2316222,820796,327349,430867,299831,763361,1059260,1911188,1428963,449449,32776
1990:Q1,GenX,96002,164607,53524,54245,0,4940,1035,14858,36005,68605,31504,36593,508
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,16837921,18171818,4708102,1094914,1759966,3250527,782562,2254358,4321388,1333897,898677,305426,129794
1990:Q2,BabyBoom,4186571,6132201,2324695,837466,346472,456665,314997,774529,1077377,1945630,1460423,452602,32605
1990:Q2,GenX,99853,177938,52365,60007,0,7416,1105,16661,40385,78085,36818,40684,583
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,16801386,18151073,4718308,1110592,1600146,3297576,785885,2271302,4367264,1349686,914672,306541,128473
1990:Q3,BabyBoom,4087679,6066096,2383095,842318,160847,473619,296346,787621,1122251,1978417,1491982,459810,26625
1990:Q3,GenX,114249,201499,61324,63245,0,10045,836,18775,47274,87250,40613,45951,686
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,17037056,18395223,4672649,1120232,1722309,3344369,812234,2279415,4444016,1358167,921567,306455,130145
1990:Q4,BabyBoom,4276080,6297877,2401711,850996,249903,494549,316352,794353,1190013,2021797,1526083,466071,29643
1990:Q4,GenX,135744,230583,72037,67814,0,12984,1048,20459,56241,94839,42161,51865,813
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,17283099,18637886,4667343,1124422,1897645,3390569,844374,2272527,4441006,1354787,928430,294459,131898
1991:Q1,BabyBoom,4485562,6526644,2403078,868252,389769,515450,341064,788841,1220190,2041082,1557269,452848,30965
1991:Q1,GenX,157368,257179,76981,75110,0,16228,2106,21039,65715,99811,43992,54900,919
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,17350453,18719292,4688790,1126237,1904728,3436434,861745,2272600,4428758,1368839,947865,289723,131251
1991:Q2,BabyBoom,4489186,6563017,2431355,876798,368088,540316,348562,790083,1207815,2073831,1592096,451601,30134
1991:Q2,GenX,164232,275889,82667,80663,0,19851,1834,22296,68577,111657,50689,59982,986
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,17503328,18883963,4690647,1137321,1997230,3481628,886255,2266725,4424158,1380635,961649,285916,133070
1991:Q3,BabyBoom,4656072,6742650,2484857,881121,431522,564266,368220,786382,1226281,2086578,1597054,451480,38044
1991:Q3,GenX,183718,305637,94886,85033,0,23835,4599,23040,74244,121920,55800,65104,1016
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,17769012,19169970,4695568,1136878,2216448,3526295,912670,2253176,4428935,1400957,980012,285327,135618
1991:Q4,BabyBoom,4942919,7071976,2528089,889419,624158,589604,394488,775421,1270797,2129057,1624113,457860,47084
1991:Q4,GenX,221477,358691,106927,91151,16758,28234,9200,22889,83532,137214,63754,72393,1067
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,17774041,19188168,4721581,1130418,2203005,3571531,924721,2244763,4392149,1414127,1004395,273777,135955
1992:Q1,BabyBoom,4956109,7073666,2557743,902445,590315,642851,390119,769169,1221024,2117557,1628861,444487,44209
1992:Q1,GenX,218194,369538,115222,99341,10366,33394,6588,23170,81457,151344,75020,75090,1234
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,17830068,19258420,4744636,1128915,2219726,3634370,941576,2240258,4348939,1428352,1021912,268680,137760
1992:Q2,BabyBoom,5028459,7155882,2582193,916184,584198,694501,401127,766732,1210947,2127423,1634829,442836,49758
1992:Q2,GenX,213078,379746,121225,108122,6920,25663,6864,23847,87106,166668,84502,80816,1350
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,17986919,19424612,4747600,1140427,2291679,3697383,963046,2243322,4341155,1437692,1033808,266005,137879
1992:Q3,BabyBoom,5236804,7402839,2677045,918601,638744,746201,421723,772450,1228075,2166035,1669211,446779,50045
1992:Q3,GenX,229584,413080,139343,112696,12154,16895,10373,25598,96022,183496,92860,89149,1487
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,18174738,19613869,4734942,1143914,2477579,3717200,964824,2229235,4346175,1439131,1032529,266794,139808
1992:Q4,BabyBoom,5609878,7820755,2759819,926775,801774,832862,469236,777458,1252831,2210876,1701087,460407,49382
1992:Q4,GenX,271454,478021,157442,122779,32991,22156,14488,23573,104592,206567,107286,97569,1712
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
