Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,3537324,801517,535556,265961,2735807,318202,98087,385993,294683,91311,71395,64742,6654,751260,42023,11266,95132,106987,838431,17029,143500,141764,90973,27107,1333,22352,1736,3393824,932223,244112,269064914
1989:Q3,pct80to99,10427761,3716856,3026625,690230,6710905,1221379,172564,386438,355764,30674,127689,47699,79990,928040,173998,203340,412059,1567589,1421309,96500,1468739,1460953,1148176,242499,1683,68595,7787,8959021,17682381,52161,244112
1989:Q3,pct60to80,4228234,1859405,1418252,441153,2368829,532333,57979,127316,95303,32013,26763,13883,12881,225582,76969,66318,82492,836623,286006,50447,862512,859067,574901,252493,384,31290,3445,3365722,18594047,32302,52161
1989:Q3,pct40to60,2970204,1250816,999833,250983,1719388,453581,19934,77846,61972,15874,24563,7576,16987,120508,33774,40254,39305,628717,247385,33521,425290,423778,259107,159524,730,4417,1512,2544913,18605233,20512,32291
1989:Q3,pct20to40,1747662,841796,669586,172210,905865,317196,11911,31905,30479,1426,38970,34262,4708,41504,21361,6687,49067,238036,128470,20759,189291,188335,113497,69865,249,4724,956,1558371,18612879,10366,20458
1989:Q3,pct00to20,652457,318959,243316,75643,333499,113777,2168,7857,6599,1258,4486,701,3785,23549,12066,966,7137,104377,48021,9093,63440,62901,24501,32720,154,5526,540,589017,18593339,0,10361
1989:Q4,pct99to100,3622127,818381,548499,269882,2803745,324780,104262,390969,298482,92487,79020,70694,8325,762015,42293,11939,100738,113621,856821,17288,151794,149786,96447,27280,1265,24794,2008,3470333,934251,,
1989:Q4,pct80to99,10616786,3772090,3074930,697159,6844696,1240228,179769,394801,359578,35224,133660,55262,78398,960354,179084,208714,429924,1600462,1419770,97929,1495700,1487651,1169764,249982,1637,66268,8049,9121085,17729569,,
1989:Q4,pct60to80,4315338,1882425,1437186,445238,2432914,537937,57326,128755,96465,32290,28277,15315,12962,232163,78472,70891,90477,862937,294196,51482,878443,874964,586446,257911,371,30236,3479,3436896,18641646,,
1989:Q4,pct40to60,3013491,1263021,1007676,255344,1750470,462255,21139,75954,60047,15907,28389,9596,18793,127041,36641,40803,40254,631970,251652,34373,437330,435769,265871,164130,703,5064,1562,2576161,18654883,,
1989:Q4,pct20to40,1770792,845763,667879,177885,925029,319576,12442,31818,30026,1791,40098,34898,5200,45789,22959,7616,47005,250934,125352,21440,198105,197097,115797,76180,263,4857,1008,1572687,18660052,,
1989:Q4,pct00to20,679187,338220,258146,80074,340967,115271,2299,7835,6392,1444,5059,898,4162,24742,12182,1078,6796,107143,49037,9524,66171,65627,26255,33802,150,5419,544,613016,18641839,,
1990:Q1,pct99to100,3602454,820762,555597,265165,2781692,321239,114207,387973,298710,89263,93570,83492,10078,698041,41355,12611,102781,119591,872523,17802,159942,158161,104320,24919,1532,27390,1781,3442512,936317,,
1990:Q1,pct80to99,10626730,3773074,3058203,714871,6853656,1237891,193304,396954,360584,36370,146061,69315,76746,911931,181654,214024,430790,1625806,1414658,100583,1522432,1514549,1200033,243911,2045,68561,7882,9104298,17776433,,
1990:Q1,pct60to80,4360094,1894759,1441119,453639,2465335,538723,57526,126288,95946,30341,31790,18717,13073,223874,79324,75439,91690,885414,301937,53330,885624,882195,603978,248557,459,29201,3429,3474470,18689287,,
1990:Q1,pct40to60,3042297,1277472,1010087,267385,1764825,466064,22813,71996,57293,14703,32464,11699,20764,127599,39082,41334,38433,633833,255218,35990,447814,446177,277699,161775,871,5832,1637,2594483,18704226,,
1990:Q1,pct20to40,1798970,859936,677117,182819,939034,319831,13385,31302,29347,1955,41259,35473,5786,47834,24527,8543,44000,263626,122078,22651,202141,201098,119625,76242,361,4870,1043,1596829,18707200,,
1990:Q1,pct00to20,700205,353965,270860,83104,346240,116723,2425,7127,5600,1527,6099,1496,4602,24232,12052,1190,6506,109672,49980,10235,72435,71911,29743,36917,191,5060,523,627770,18690306,,
1990:Q2,pct99to100,3668583,832795,564103,268692,2835788,318413,111239,401614,311644,89970,95758,83878,11880,712566,40825,13482,105869,125856,892310,17856,168838,167105,111780,24202,1217,29905,1733,3499745,938421,,
1990:Q2,pct80to99,10770344,3822237,3102012,720225,6948107,1237023,184839,412747,371409,41338,148281,73514,74767,949545,185091,226050,436240,1654203,1413075,101013,1546679,1538811,1224126,245179,1670,67836,7869,9223664,17823011,,
1990:Q2,pct60to80,4430923,1909486,1452779,456707,2521436,539857,54507,131727,101372,30356,31772,18672,13100,231474,80403,83054,94815,909525,310594,53709,895941,892533,616603,247412,372,28145,3409,3534981,18736992,,
1990:Q2,pct40to60,3068361,1277121,1005880,271241,1791240,470244,22895,71693,57121,14572,36967,14358,22609,134792,41683,43441,37288,636241,259775,36221,459807,458105,287405,163469,703,6527,1703,2608554,18753299,,
1990:Q2,pct20to40,1819108,865944,677706,188238,953164,320235,12903,31728,29364,2364,40686,34445,6242,52491,26115,9784,41100,276474,118744,22904,209382,208297,123008,80009,318,4962,1085,1609726,18754351,,
1990:Q2,pct00to20,724638,369965,282682,87283,354672,118189,2572,8570,6838,1733,6423,1466,4957,25570,12005,1357,6185,112308,51051,10442,76964,76452,32994,38440,155,4863,512,647674,18738762,,
1990:Q3,pct99to100,3571940,839011,578443,260568,2732928,318003,120072,415816,327387,88429,99501,85744,13757,556272,39879,14012,105985,131652,913611,18124,176039,174380,117846,23750,516,32268,1659,3395901,940563,,
1990:Q3,pct80to99,10687758,3837149,3103897,733252,6850609,1241188,196329,428510,383944,44567,152232,79549,72683,799024,187673,226318,427456,1677122,1412284,102472,1564278,1556445,1245846,248869,726,61004,7833,9123480,17869342,,
1990:Q3,pct60to80,4465410,1931136,1469471,461665,2534274,542145,54317,137435,108224,29211,32190,19054,13136,204207,81260,85317,92112,930874,319646,54771,907280,903896,627963,248731,161,27041,3384,3558130,18784781,,
1990:Q3,pct40to60,3099230,1298887,1016936,281951,1800343,475621,24444,71050,57257,13793,41841,17276,24565,127289,44146,42781,33779,637618,264678,37096,470229,468458,294833,166247,301,7077,1770,2629001,18802142,,
1990:Q3,pct20to40,1847112,885145,694276,190869,961967,321143,13715,32084,29414,2670,39916,33167,6749,51348,27699,10482,37474,289199,115304,23603,216837,215712,125596,84754,148,5214,1125,1630274,18801529,,
1990:Q3,pct00to20,747219,387551,299703,87848,359668,119676,2704,10500,8613,1887,6877,1529,5348,22853,11873,1428,5924,114776,52175,10883,80691,80192,35181,39952,65,4995,499,666528,18787229,,
1990:Q4,pct99to100,3714032,840045,584138,255907,2873987,324033,123815,439879,344460,95418,109380,93692,15688,625703,38997,14691,112401,137658,929056,18375,182451,180608,122216,22947,557,34888,1843,3531581,942741,,
1990:Q4,pct80to99,10866015,3810437,3067158,743279,7055578,1258789,199150,455969,396885,59084,162039,91656,70383,899143,190404,231613,447844,1702142,1404639,103845,1590010,1581991,1265803,252275,814,63098,8019,9276005,17915464,,
1990:Q4,pct60to80,4550251,1932892,1467270,465622,2617359,547485,52867,148664,115856,32807,34370,21245,13125,223621,82158,89879,101540,953366,327631,55778,917846,914444,638761,249515,179,25990,3403,3632405,18832675,,
1990:Q4,pct40to60,3150920,1311553,1021159,290394,1839367,484140,25364,72998,57351,15647,46737,20257,26480,139878,46645,43300,34929,639364,268094,37917,478342,476517,299759,168575,333,7849,1826,2672578,18850792,,
1990:Q4,pct20to40,1870796,889856,695512,194344,980940,323381,13966,33122,29385,3738,38521,31327,7194,58271,29292,11415,34981,302051,111673,24265,222841,221666,127236,89018,180,5232,1175,1647955,18848761,,
1990:Q4,pct00to20,771668,400655,311160,89496,371013,121201,2844,13131,10729,2402,7688,1990,5697,25595,11753,1540,5501,117321,53133,11307,83312,82814,36036,42062,74,4642,498,688356,18835730,,
1991:Q1,pct99to100,3851303,844935,587642,257293,3006368,322760,140496,423450,327065,96386,111758,94133,17625,737928,38136,15262,120936,143666,933536,18438,187120,185393,126774,20232,932,37456,1726,3664183,944955,,
1991:Q1,pct80to99,11085756,3814659,3063626,751033,7271097,1261117,223666,453769,385592,68177,165522,97793,67729,1046458,193194,233273,477930,1726919,1384942,104305,1601018,1593072,1284268,244635,1429,62740,7947,9484738,17961416,,
