Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,pct99to100,3393824,3537324,535556,265961,751260,106987,106398,838431,932731,143500,90973,27107,25420
1989:Q3,pct80to99,8959021,10427761,3026625,690230,928040,1567589,615399,1421309,2178568,1468739,1148176,242499,78064
1989:Q3,pct60to80,3365722,4228234,1418252,441153,225582,836623,148810,286006,871808,862512,574901,252493,35118
1989:Q3,pct40to60,2544913,2970204,999833,250983,120508,628717,79559,247385,643219,425290,259107,159524,6659
1989:Q3,pct20to40,1558371,1747662,669586,172210,41504,238036,55754,128470,442101,189291,113497,69865,5929
1989:Q3,pct00to20,589017,652457,243316,75643,23549,104377,8103,48021,149449,63440,24501,32720,6219
1989:Q4,pct99to100,3470333,3622127,548499,269882,762015,113621,112677,856821,958611,151794,96447,27280,28067
1989:Q4,pct80to99,9121085,10616786,3074930,697159,960354,1600462,638638,1419770,2225472,1495700,1169764,249982,75954
1989:Q4,pct60to80,3436896,4315338,1437186,445238,232163,862937,161368,294196,882250,878443,586446,257911,34086
1989:Q4,pct40to60,2576161,3013491,1007676,255344,127041,631970,81057,251652,658750,437330,265871,164130,7329
1989:Q4,pct20to40,1572687,1770792,667879,177885,45789,250934,54621,125352,448333,198105,115797,76180,6128
1989:Q4,pct00to20,613016,679187,258146,80074,24742,107143,7874,49037,152171,66171,26255,33802,6114
1990:Q1,pct99to100,3442512,3602454,555597,265165,698041,119591,115392,872523,976145,159942,104320,24919,30703
1990:Q1,pct80to99,9104298,10626730,3058203,714871,911931,1625806,644814,1414658,2256447,1522432,1200033,243911,78488
1990:Q1,pct60to80,3474470,4360094,1441119,453639,223874,885414,167129,301937,886981,885624,603978,248557,33089
1990:Q1,pct40to60,2594483,3042297,1010087,267385,127599,633833,79767,255218,668408,447814,277699,161775,8340
1990:Q1,pct20to40,1596829,1798970,677117,182819,47834,263626,52543,122078,452953,202141,119625,76242,6274
1990:Q1,pct00to20,627770,700205,270860,83104,24232,109672,7696,49980,154660,72435,29743,36917,5775
1990:Q2,pct99to100,3499745,3668583,564103,268692,712566,125856,119351,892310,985705,168838,111780,24202,32856
1990:Q2,pct80to99,9223664,10770344,3102012,720225,949545,1654203,662290,1413075,2268994,1546679,1224126,245179,77374
1990:Q2,pct60to80,3534981,4430923,1452779,456707,231474,909525,177869,310594,891974,895941,616603,247412,31926
1990:Q2,pct40to60,2608554,3068361,1005880,271241,134792,636241,80729,259775,679703,459807,287405,163469,8933
1990:Q2,pct20to40,1609726,1819108,677706,188238,52491,276474,50884,118744,454571,209382,123008,80009,6365
1990:Q2,pct00to20,647674,724638,282682,87283,25570,112308,7542,51051,158201,76964,32994,38440,5530
1990:Q3,pct99to100,3395901,3571940,578443,260568,556272,131652,119997,913611,1011396,176039,117846,23750,34443
1990:Q3,pct80to99,9123480,10687758,3103897,733252,799024,1677122,653774,1412284,2308405,1564278,1245846,248869,69563
1990:Q3,pct60to80,3558130,4465410,1469471,461665,204207,930874,177429,319646,902118,907280,627963,248731,30586
1990:Q3,pct40to60,2629001,3099230,1016936,281951,127289,637618,76560,264678,694198,470229,294833,166247,9149
1990:Q3,pct20to40,1630274,1847112,694276,190869,51348,289199,47956,115304,458160,216837,125596,84754,6487
1990:Q3,pct00to20,666528,747219,299703,87848,22853,114776,7352,52175,162512,80691,35181,39952,5558
1990:Q4,pct99to100,3531581,3714032,584138,255907,625703,137658,127092,929056,1054478,182451,122216,22947,37288
1990:Q4,pct80to99,9276005,10866015,3067158,743279,899143,1702142,679457,1404639,2370197,1590010,1265803,252275,71932
1990:Q4,pct60to80,3632405,4550251,1467270,465622,223621,953366,191419,327631,921322,917846,638761,249515,29570
