Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1989:Q3,TopPt1,1799211,334906,139269,195637,1464305,132385,36461,269120,168937,100183,74255,68303,5951,305384,13649,1442,22237,14873,589828,4672,45004,44537,14383,21054,361,8739,466,1754207,103846,7790576
1989:Q3,RemainingTop1,2982698,646953,483506,163446,2335746,399160,72986,221132,203424,17709,51702,39044,12657,586263,33826,12840,74662,146266,722468,14441,80066,78553,61121,5198,818,11416,1513,2902633,825169,2310313
1989:Q3,Next9,8234074,2437675,2018761,418914,5796399,1124938,147083,377619,334597,43023,128717,47144,81573,816013,105916,158174,290379,1569847,1019220,58493,474621,469883,367444,59289,1271,41879,4738,7759453,8368767,487306
1989:Q3,Next40,8842185,4178610,3425077,753533,4663575,1137291,98723,137122,126171,10950,37775,14003,23771,358989,163541,142200,257873,1622943,597660,109460,1558858,1551539,1153662,354502,1332,42043,7319,7283327,37210426,65850
1989:Q3,Bottom50,1705473,1191206,826557,364649,514267,162694,7390,12362,11671,691,1418,367,1051,23796,43260,14176,40040,128400,40448,40283,994224,992284,614543,344164,750,32828,1940,711248,46511893,
1989:Q4,TopPt1,1853380,351694,153528,198167,1501686,136423,40637,269821,170754,99067,80677,73649,7028,318646,13837,1326,21556,17565,596466,4733,42801,42289,13696,19554,351,8688,512,1810579,102608,
1989:Q4,RemainingTop1,3051376,667994,505060,162934,2383382,397730,76483,227187,206467,20720,56861,43000,13861,598413,34026,13763,77703,156516,730113,14587,86120,84412,64692,6233,786,12701,1708,2965256,828651,
1989:Q4,Next9,8380059,2482419,2066212,416208,5897640,1136718,152306,381298,335682,45616,135401,53641,81760,835072,110840,163628,304460,1588086,1030190,59639,493327,488343,381001,63706,1227,42409,4984,7886732,8384045,
1989:Q4,Next40,9006841,4217193,3444952,772241,4789648,1162643,100371,139223,126250,12973,39997,15913,24084,374663,168705,148176,269747,1675358,599186,111578,1581657,1574191,1170361,360952,1277,41601,7465,7425185,37313963,
1989:Q4,Bottom50,1726065,1200599,824566,376033,525466,166534,7440,12602,11836,767,1567,460,1107,25311,44222,14147,41728,129542,40874,41498,1023638,1021659,630830,358839,750,31241,1979,702426,46632972,
1990:Q1,TopPt1,1833694,349465,162862,186603,1484229,134477,48032,262160,170280,91879,92199,84047,8152,286518,13411,1218,20338,20283,600687,4907,40136,39676,13287,17212,436,8741,460,1793558,101485,
1990:Q1,RemainingTop1,3040870,672044,506944,165100,2368826,389614,82497,229393,207238,22156,60632,45476,15156,564123,33106,14687,77815,165965,736079,14915,91183,89656,67753,6548,972,14383,1527,2949687,832042,
1990:Q1,Next9,8380291,2474856,2045712,429144,5905435,1135798,161610,379005,332974,46031,151523,69417,82106,788574,114094,168985,306731,1598926,1038601,61588,515733,510803,403089,61635,1519,44560,4930,7864557,8400225,
1990:Q1,Next40,9103819,4242191,3445192,796999,4861628,1172763,103855,138382,125049,13333,45083,20622,24462,369621,172502,154134,267655,1722309,599716,115610,1595611,1588181,1197195,347206,1573,42207,7429,7508208,37416262,
1990:Q1,Bottom50,1772076,1241411,852274,389137,530666,167820,7664,12699,11939,759,1806,631,1175,24675,44882,14118,41662,130459,41311,43571,1047724,1045774,654075,359718,959,31022,1950,724352,46753755,
1990:Q2,TopPt1,1876003,363269,174364,188905,1512734,133107,44210,268228,178401,89827,94064,84811,9254,303026,13212,822,19271,22940,608972,4882,37954,37510,12882,15533,358,8737,444,1838049,100473,
1990:Q2,RemainingTop1,3099884,690063,525809,164254,2409820,381793,79840,241344,215841,25503,66721,50317,16405,578546,32550,15906,78691,175813,743706,14910,95627,94148,70321,7226,779,15822,1479,3004257,835347,
1990:Q2,Next9,8495739,2509140,2083887,425253,5986600,1135827,156825,391843,343198,48645,151817,69835,81982,811466,117942,183539,312269,1612793,1050181,62098,538488,533505,423324,63288,1229,45664,4984,7957251,8417272,
1990:Q2,Next40,9238255,4280054,3465784,814269,4958202,1183946,100817,143575,128054,15521,45364,20675,24689,387030,176772,162758,269208,1771604,600965,116162,1614849,1607391,1218809,345203,1259,42120,7458,7623406,37517432,
1990:Q2,Bottom50,1772076,1235023,835318,399705,537053,169288,7262,13089,12253,837,1921,696,1225,26371,45645,14142,42058,131458,41724,44093,1070694,1068749,670582,367462,810,29896,1945,701382,46874314,
1990:Q3,TopPt1,1810912,359163,186764,172399,1451749,133283,50524,273253,188580,84673,97123,86729,10393,216597,12819,944,17795,25622,618836,4952,35491,35068,12331,13962,158,8616,423,1775421,99568,
1990:Q3,RemainingTop1,3046194,696501,529908,166593,2349693,375374,85090,254128,226085,28042,72825,55106,17719,485082,31601,16616,77109,185092,751721,15056,100141,98729,73566,8064,330,16769,1412,2946053,838568,
1990:Q3,Next9,8413712,2509330,2071538,437792,5904382,1138954,164884,405985,355851,50134,154250,72348,81902,681880,121230,181969,307932,1621270,1062743,63284,555000,549978,438808,65990,529,44651,5022,7858711,8435149,
1990:Q3,Next40,9321759,4326159,3494458,831701,4995600,1198791,103661,148569,131732,16837,46292,21351,24941,354503,180575,166737,258914,1816965,602273,118321,1631137,1623660,1236354,346142,534,40631,7477,7690623,37617582,
1990:Q3,Bottom50,1826091,1287727,880058,407669,538364,171374,7423,13462,12591,871,2067,786,1281,22931,46305,14072,40979,132290,42125,45336,1093585,1091648,686207,378144,366,26930,1937,732506,46994720,
1990:Q4,TopPt1,1897840,358827,196895,161931,1539014,137279,52465,290673,199872,90801,104436,92901,11535,266989,12478,850,17166,28269,623391,5018,33193,32741,11583,12296,178,8684,452,1864647,98767,
1990:Q4,RemainingTop1,3138379,698596,530860,167736,2439782,372961,86902,273314,237023,36290,76997,57969,19029,534542,30700,17547,80507,194657,756468,15187,107127,105587,77845,8921,363,18458,1540,3031251,841710,
1990:Q4,Next9,8563459,2496942,2052353,444588,6066517,1150250,167380,426480,369322,57157,165224,83662,81562,754961,124631,187289,324037,1631830,1070015,64420,569408,564190,448530,68324,586,46749,5218,7994051,8453820,
1990:Q4,Next40,9447335,4305755,3457163,848592,5141579,1223432,103923,159222,135526,23696,49798,24684,25113,389341,184459,172711,272588,1863969,601793,120343,1644630,1637040,1249614,345664,585,41177,7590,7802704,37716821,
1990:Q4,Bottom50,1876670,1325318,909125,416193,551352,175107,7335,14074,12923,1151,2281,952,1329,26379,46982,14041,42898,133177,42558,46521,1120444,1118480,702240,389186,424,26631,1964,756227,47115045,
1991:Q1,TopPt1,1982822,368947,207396,161551,1613875,137159,65400,276611,187760,88851,106408,93800,12608,344519,12164,913,16782,30908,618004,5007,30426,30001,10878,10100,313,8709,425,1952396,98065,
1991:Q1,RemainingTop1,3241805,707506,540400,167106,2534299,365688,97410,268693,226800,41892,83748,63544,20204,610259,29810,18315,85548,204239,755411,15179,113021,111581,81859,9141,628,19954,1440,3128785,844775,
