Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1754207,1799211,139269,195637,305384,14873,23679,589828,530541,45004,14383,21054,9567
1989:Q3,RemainingTop1,2902633,2982698,483506,163446,586263,146266,87502,722468,793247,80066,61121,5198,13747
1989:Q3,Next9,7759453,8234074,2018761,418914,816013,1569847,448553,1019220,1942766,474621,367444,59289,47888
1989:Q3,Next40,7283327,8842185,3425077,753533,358989,1622943,400073,597660,1683910,1558858,1153662,354502,50694
1989:Q3,Bottom50,711248,1705473,826557,364649,23796,128400,54216,40448,267407,994224,614543,344164,35517
1989:Q4,TopPt1,1810579,1853380,153528,198167,318646,17565,22882,596466,546127,42801,13696,19554,9551
1989:Q4,RemainingTop1,2965256,3051376,505060,162934,598413,156516,91466,730113,806874,86120,64692,6233,15195
1989:Q4,Next9,7886732,8380059,2066212,416208,835072,1588086,468088,1030190,1976204,493327,381001,63706,48620
1989:Q4,Next40,7425185,9006841,3444952,772241,374663,1675358,417923,599186,1722518,1581657,1170361,360952,50344
1989:Q4,Bottom50,702426,1726065,824566,376033,25311,129542,55875,40874,273864,1023638,630830,358839,33969
1990:Q1,TopPt1,1793558,1833694,162862,186603,286518,20283,21556,600687,555185,40136,13287,17212,9637
1990:Q1,RemainingTop1,2949687,3040870,506944,165100,564123,165965,92502,736079,810157,91183,67753,6548,16882
1990:Q1,Next9,7864557,8380291,2045712,429144,788574,1598926,475716,1038601,2003618,515733,403089,61635,51009
1990:Q1,Next40,7508208,9103819,3445192,796999,369621,1722309,421789,599716,1748193,1595611,1197195,347206,51210
1990:Q1,Bottom50,724352,1772076,852274,389137,24675,130459,55780,41311,278441,1047724,654075,359718,33931
1990:Q2,TopPt1,1838049,1876003,174364,188905,303026,22940,20093,608972,557703,37954,12882,15533,9539
1990:Q2,RemainingTop1,3004257,3099884,525809,164254,578546,175813,94597,743706,817158,95627,70321,7226,18080
1990:Q2,Next9,7957251,8495739,2083887,425253,811466,1612793,495808,1050181,2016352,538488,423324,63288,51876
1990:Q2,Next40,7623406,9238255,3465784,814269,387030,1771604,431966,600965,1766637,1614849,1218809,345203,50837
1990:Q2,Bottom50,701382,1772076,835318,399705,26371,131458,56200,41724,281300,1070694,670582,367462,32650
1990:Q3,TopPt1,1775421,1810912,186764,172399,216597,25622,18739,618836,571955,35491,12331,13962,9198
1990:Q3,RemainingTop1,2946053,3046194,529908,166593,485082,185092,93725,751721,834073,100141,73566,8064,18511
1990:Q3,Next9,7858711,8413712,2071538,437792,681880,1621270,489901,1062743,2048588,555000,438808,65990,50202
1990:Q3,Next40,7690623,9321759,3494458,831701,354503,1816965,425651,602273,1796208,1631137,1236354,346142,48641
1990:Q3,Bottom50,732506,1826091,880058,407669,22931,132290,55051,42125,285967,1093585,686207,378144,29234
1990:Q4,TopPt1,1864647,1897840,196895,161931,266989,28269,18016,623391,602349,33193,11583,12296,9314
1990:Q4,RemainingTop1,3031251,3138379,530860,167736,534542,194657,98054,756468,856061,107127,77845,8921,20361
1990:Q4,Next9,7994051,8563459,2052353,444588,754961,1631830,511326,1070015,2098385,569408,448530,68324,52554
1990:Q4,Next40,7802704,9447335,3457163,848592,389341,1863969,445299,601793,1841177,1644630,1249614,345664,49352
1990:Q4,Bottom50,756227,1876670,909125,416193,26379,133177,56939,42558,292299,1120444,702240,389186,29018
1991:Q1,TopPt1,1952396,1982822,207396,161551,344519,30908,17695,618004,602749,30426,10878,10100,9448
1991:Q1,RemainingTop1,3128785,3241805,540400,167106,610259,204239,103863,755411,860527,113021,81859,9141,22021
1991:Q1,Next9,8141479,8719804,2061916,443626,865487,1642157,534598,1067640,2104380,578324,458700,65373,54251
1991:Q1,Next40,7939015,9579923,3432163,867827,435964,1910893,471588,598291,1863198,1640908,1261936,329214,49758
1991:Q1,Bottom50,764353,1897354,905529,427673,31185,134050,59798,43062,296058,1133001,716319,388379,28303
1991:Q2,TopPt1,1946026,1974198,218854,153423,340064,33526,16684,618484,593163,28171,10521,8429,9221
1991:Q2,RemainingTop1,3140954,3258218,550860,167409,600965,214098,106237,756954,861695,117264,84642,9705,22917
1991:Q2,Next9,8136110,8735208,2068782,446047,855951,1654556,546963,1070018,2092891,599099,478541,65882,54676
1991:Q2,Next40,8014078,9669884,3445325,881942,443931,1959443,481711,595990,1861542,1655806,1283436,323433,48937
1991:Q2,Bottom50,766703,1920689,918991,434876,31906,134978,60545,43533,295860,1153986,733510,393857,26619
1991:Q3,TopPt1,1976132,2002699,230713,135781,378806,36154,16051,615303,589891,26568,10201,6986,9381
1991:Q3,RemainingTop1,3192349,3313257,552928,169459,635124,223915,110784,756019,865028,120908,85724,10238,24946
1991:Q3,Next9,8199766,8820457,2050017,458291,908190,1666229,567263,1068425,2102042,620691,494752,67080,58859
1991:Q3,Next40,8154542,9817029,3474561,898045,471832,2007552,502350,592362,1870327,1662487,1291791,319872,50824
1991:Q3,Bottom50,820330,1978808,962171,441898,34800,135880,62627,44038,297394,1158478,732034,398324,28120
1991:Q4,TopPt1,2089106,2114323,244128,127013,487682,38786,15512,606835,594367,25217,9935,5617,9665
1991:Q4,RemainingTop1,3314507,3440597,562044,169609,738971,233838,116203,751727,868206,126090,87798,11053,27239
1991:Q4,Next9,8387118,9035691,2059081,460408,1059228,1678507,591919,1061328,2125220,648573,515020,69943,63610
1991:Q4,Next40,8302552,9987591,3480664,911687,530310,2056209,527494,586998,1894229,1685039,1310948,320925,53166
1991:Q4,Bottom50,840126,2022435,984668,448730,41173,136794,65231,44599,301240,1182309,744179,408043,30087
1992:Q1,TopPt1,2069276,2092750,256793,124879,473915,41284,14351,602657,578871,23474,9968,3865,9641
1992:Q1,RemainingTop1,3318522,3445499,576725,168417,718704,245544,117001,749253,869854,126976,87490,11132,28354
1992:Q1,Next9,8350879,9021798,2083980,456198,1035017,1706378,595440,1057605,2087180,670919,539756,67711,63452
1992:Q1,Next40,8353138,10039257,3488113,925825,534562,2116404,529542,582447,1862364,1686119,1327105,306834,52180
1992:Q1,Bottom50,856529,2032068,988935,456885,41489,138166,65092,45139,296363,1175540,743958,403811,27771
1992:Q2,TopPt1,2057183,2079250,268178,120062,476114,40871,13288,601958,558779,22067,9851,2368,9848
1992:Q2,RemainingTop1,3299593,3429470,589525,167752,713710,228666,119531,748185,862102,129877,87920,11649,30308
1992:Q2,Next9,8403099,9098628,2098939,456040,1032677,1778501,610061,1056541,2065869,695529,560041,68746,66742
1992:Q2,Next40,8440506,10135864,3500539,942881,545752,2164696,540751,578488,1862758,1695358,1339733,302122,53503
1992:Q2,Bottom50,871225,2050836,990874,466486,42590,141800,65934,45663,297489,1179611,743698,407447,28466
1992:Q3,TopPt1,2082484,2102643,280863,97405,510572,40497,12522,607928,552856,20159,9497,861,9801
1992:Q3,RemainingTop1,3323196,3458097,590139,170243,740406,211553,123777,750251,871728,134900,90842,12458,31600
1992:Q3,Next9,8517994,9234458,2078827,471892,1075393,1850379,630640,1061124,2066202,716464,577738,70985,67741
1992:Q3,Next40,8591243,10303919,3550876,959230,570912,2212622,560358,575932,1873989,1712676,1358749,300742,53185
1992:Q3,Bottom50,938390,2141415,1063284,472954,45294,145429,67844,46134,300477,1203025,759052,416888,27085
1992:Q4,TopPt1,2212820,2233756,280409,102613,600086,37596,13075,600465,599512,20936,10027,887,10022
