Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1989:Q3,TopPt1,7.6,3.8,2,10.3,9.9,4.5,10.1,26.5,20,58.1,25.3,40.4,4.8,14.6,3.8,0.4,3.2,0.4,19.9,2.1,1.4,1.4,0.7,2.7,8,6.4,2.9,8.6,103846,7790576
1989:Q3,RemainingTop1,12.7,7.4,7,8.6,15.8,13.5,20.1,21.7,24.1,10.3,17.6,23.1,10.1,28,9.4,3.9,10.9,4.2,24.3,6.4,2.5,2.5,2.8,0.7,18.1,8.3,9.5,14.2,825169,2310313
1989:Q3,Next9,34.9,27.7,29.3,22.1,39.2,38.1,40.6,37.1,39.6,24.9,43.8,27.9,65.3,39,29.4,48.1,42.4,45.1,34.3,25.7,15.1,15,16.6,7.6,28.1,30.6,29.7,38,8368767,487306
1989:Q3,Next40,37.5,47.5,49.7,39.7,31.6,38.5,27.2,13.5,14.9,6.3,12.9,8.3,19,17.2,45.4,43.2,37.6,46.6,20.1,48.1,49.4,49.5,52.2,45.2,29.4,30.7,45.8,35.7,37210426,65850
1989:Q3,Bottom50,7.2,13.6,12,19.2,3.5,5.5,2,1.2,1.4,0.4,0.5,0.2,0.8,1.1,12,4.3,5.8,3.7,1.4,17.7,31.5,31.6,27.8,43.9,16.5,24,12.1,3.5,46511893,
1989:Q4,TopPt1,7.7,3.9,2.2,10.3,9.9,4.5,10.8,26.2,20.1,55.3,25.7,39.5,5.5,14.8,3.7,0.4,3,0.5,19.9,2,1.3,1.3,0.6,2.4,8,6.4,3.1,8.7,102608,
1989:Q4,RemainingTop1,12.7,7.5,7.2,8.5,15.8,13.3,20.3,22.1,24.3,11.6,18.1,23,10.8,27.8,9.2,4,10.9,4.4,24.4,6.3,2.7,2.6,2.9,0.8,17.9,9.3,10.3,14.3,828651,
1989:Q4,Next9,34.9,27.8,29.5,21.6,39.1,37.9,40.4,37,39.4,25.5,43.1,28.7,64,38.8,29.8,48,42.6,44.5,34.4,25.7,15.3,15.2,16.9,7.9,27.9,31,29.9,37.9,8384045,
1989:Q4,Next40,37.5,47.3,49.3,40.1,31.7,38.8,26.6,13.5,14.8,7.2,12.7,8.5,18.8,17.4,45.4,43.4,37.7,47,20,48.1,49,49,51.8,44.6,29.1,30.4,44.8,35.7,37313963,
1989:Q4,Bottom50,7.2,13.5,11.8,19.5,3.5,5.6,2,1.2,1.4,0.4,0.5,0.2,0.9,1.2,11.9,4.1,5.8,3.6,1.4,17.9,31.7,31.8,27.9,44.3,17.1,22.9,11.9,3.4,46632972,
1990:Q1,TopPt1,7.6,3.9,2.3,9.5,9.8,4.5,11.9,25.7,20.1,52.8,26.2,38.2,6.2,14.1,3.5,0.3,2.8,0.6,19.9,2,1.2,1.2,0.6,2.2,8,6.2,2.8,8.6,101485,
1990:Q1,RemainingTop1,12.6,7.5,7.2,8.4,15.6,13,20.4,22.5,24.5,12.7,17.3,20.7,11.6,27.7,8.8,4.2,10.9,4.6,24.4,6.2,2.8,2.7,2.9,0.8,17.8,10.2,9.4,14.2,832042,
1990:Q1,Next9,34.7,27.6,29.2,21.8,39,37.9,40,37.1,39.3,26.4,43.1,31.5,62.7,38.8,30.2,47.9,42.9,44,34.4,25.6,15.7,15.6,17.3,7.8,27.8,31.6,30.3,37.7,8400225,
1990:Q1,Next40,37.7,47.2,49.1,40.5,32.1,39.1,25.7,13.5,14.8,7.7,12.8,9.4,18.7,18.2,45.6,43.6,37.5,47.3,19.9,48.1,48.5,48.5,51.3,43.8,28.8,30,45.6,36,37416262,
