Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,White,21018659,7637360,5993925,1643435,13381299,2702214,351813,991041,820237,170804,290916,167462,123454,2011230,321870,279040,637492,2980135,2620276,195270,2583678,2569415,1827103,620285,4225,117803,14262,18434981,69591129
1989:Q3,Black,1010634,449356,338490,110866,561278,93538,5343,8195,7420,775,311,201,110,17098,15445,30043,24196,316289,38462,12356,184502,183813,104575,78236,134,868,689,826132,11845844
1989:Q3,Hispanic,625153,330302,263046,67256,294851,84595,806,4545,4470,75,23,22,1,14710,8735,9380,11585,94830,56475,9166,203248,202857,142197,46590,130,13940,391,421904,7359603
1989:Q3,Other,909195,372331,297708,74623,536864,76120,4680,13573,12671,902,2616,1177,1439,47405,14142,10368,11918,91075,254410,10556,181345,180711,137279,39096,44,4293,633,727851,4223525
1989:Q4,White,21378620,7732690,6073636,1659054,13645930,2742929,365385,999536,823393,176143,309921,183990,125931,2067181,328984,289042,661782,3049571,2632986,198612,2636575,2621870,1862226,638308,4086,117250,14705,18742045,69605334
1989:Q4,Black,1039828,458512,341160,117352,581316,91999,5204,8448,7544,903,823,532,291,18421,17280,31167,27047,324870,43213,12844,193958,193150,109962,81833,128,1226,808,845870,11811814
1989:Q4,Hispanic,647469,340360,270907,69453,307108,85198,929,4520,4420,100,164,163,2,15320,9809,9716,12405,97778,61694,9575,210242,209802,147604,48870,129,13199,440,437226,7536400
1989:Q4,Other,951804,388338,308614,79723,563467,79922,5719,17628,15632,1996,3595,1979,1616,51182,15557,11115,13961,94848,258936,11004,186767,186072,140789,40274,47,4962,695,765037,4308690
1990:Q1,White,21430976,7772269,6081715,1690555,13658707,2743407,390628,986531,817122,169409,343671,214876,128795,1950612,331778,299026,659644,3108348,2639893,205170,2685425,2671116,1919663,625407,5068,120977,14309,18745551,69665581
1990:Q1,Black,1058844,462049,342333,119716,596795,90122,5055,8727,7622,1105,2226,1740,486,18672,18745,32294,27051,332277,47837,13790,197649,196838,117074,77821,160,1783,811,861195,11791502
1990:Q1,Hispanic,660993,346412,273374,73038,314581,84126,1067,4437,4317,120,441,438,3,14856,10713,9993,12502,99785,66576,10084,216425,215967,153473,49840,165,12489,458,444568,7669355
1990:Q1,Other,979937,399237,315562,83674,580700,82816,6910,21944,18421,3524,4905,3139,1766,49372,16758,11829,15003,97532,262086,11546,190888,190170,145189,39251,66,5664,718,789049,4377331
1990:Q2,White,21709045,7845162,6141300,1703862,13863883,2747576,375219,1017415,843402,174014,350973,220074,130899,2017727,336158,318869,664617,3172622,2656579,206128,2739685,2725466,1968897,630363,4115,122092,14218,18969361,69769208
1990:Q2,Black,1083266,468185,342194,125991,615082,88335,4926,9148,7886,1261,2266,1592,674,20141,20349,34751,27859,340464,52911,13931,203581,202724,122014,78372,126,2212,856,879686,11784030
1990:Q2,Hispanic,673013,350938,276701,74238,322074,82563,1152,4365,4215,150,574,570,3,15339,11628,10579,12701,101361,71544,10270,219741,219256,156722,50808,136,11590,484,453272,7761191
1990:Q2,Other,1016633,413264,324967,88296,603369,85488,7659,27151,22244,4907,6075,4097,1978,53231,17986,12970,16321,100161,264514,11815,194606,193855,148285,39169,57,6344,751,822026,4430408
1990:Q3,White,21603581,7925130,6200836,1724294,13678451,2762269,396700,1048427,876046,172381,361883,228698,133185,1684675,339138,321666,647528,3229349,2677017,209799,2784746,2770659,2010158,640901,1780,117821,14087,18818835,69913556
1990:Q3,Black,1099111,472952,348241,124710,626160,86694,4776,9652,8191,1461,2518,1646,872,18972,21841,34927,26221,347866,58234,14459,210743,209847,127249,80160,52,2385,896,888369,11788526
1990:Q3,Hispanic,681625,356926,280515,76411,324699,80761,1280,4240,4064,176,751,747,4,13428,12447,10474,12260,102137,76389,10533,222354,221847,159444,51932,60,10411,507,459272,7814628
1990:Q3,Other,1034350,423873,333134,90739,610478,88053,8825,33078,26539,6539,7406,5229,2176,43919,19104,13270,16721,101888,266057,12157,197512,196731,150415,39309,26,6981,781,836839,4468877
1990:Q4,White,22050098,7926570,6184664,1741906,14123528,2803690,402194,1110653,911093,199560,384898,249811,135087,1884454,342474,331867,675627,3290051,2684289,213331,2831112,2816716,2042645,650459,1981,121631,14396,19218986,70095963
1990:Q4,Black,1123423,475148,349294,125854,648276,85342,4635,10026,8510,1516,3650,2581,1069,21433,23371,36105,29681,355865,63200,14967,218887,217891,133394,81499,57,2940,996,904536,11804113
1990:Q4,Hispanic,688147,357340,279623,77716,330808,79214,1383,4089,3856,233,1062,1058,5,14526,13220,10591,12916,102501,80569,10737,225395,224852,162166,53149,67,9470,543,462752,7832389
1990:Q4,Other,1062014,426380,332815,93565,635634,90783,9794,38994,31206,7787,9125,6717,2408,51800,20185,13875,18972,103484,266169,12453,199409,198580,151606,39284,31,7659,828,862605,4493698
1991:Q1,White,22494834,7951194,6190996,1760197,14543641,2816185,447654,1070017,860627,209390,391938,256274,135664,2183740,346014,336831,718768,3351114,2666772,214609,2850823,2836622,2075055,634811,3448,123307,14201,19644011,70313769
1991:Q1,Black,1148712,479077,347192,131884,669635,83745,4440,10051,8379,1672,3784,2540,1244,24573,24930,36591,34952,364027,67391,15153,220223,219196,138916,76783,101,3395,1028,928488,11829918
1991:Q1,Hispanic,688533,354035,275781,78254,334498,76526,1533,3933,3656,277,1263,1259,5,16071,13939,10462,13902,102381,83708,10780,225756,225197,163538,53135,118,8406,559,462777,7817195
