Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,White,18434981,21018659,5993925,1643435,2011230,2980135,916532,2620276,4853126,2583678,1827103,620285,136290
1989:Q3,Black,826132,1010634,338490,110866,17098,316289,54239,38462,135190,184502,104575,78236,1691
1989:Q3,Hispanic,421904,625153,263046,67256,14710,94830,20965,56475,107871,203248,142197,46590,14461
1989:Q3,Other,727851,909195,297708,74623,47405,91075,22286,254410,121688,181345,137279,39096,4970
1989:Q4,White,18742045,21378620,6073636,1659054,2067181,3049571,950824,2632986,4945368,2636575,1862226,638308,136041
1989:Q4,Black,845870,1039828,341160,117352,18421,324870,58214,43213,136598,193958,109962,81833,2163
1989:Q4,Hispanic,437226,647469,270907,69453,15320,97778,22121,61694,110195,210242,147604,48870,13768
1989:Q4,Other,765037,951804,308614,79723,51182,94848,25076,258936,133425,186767,140789,40274,5704
1990:Q1,White,18745551,21430976,6081715,1690555,1950612,3108348,958670,2639893,5001184,2685425,1919663,625407,140355
1990:Q1,Black,861195,1058844,342333,119716,18672,332277,59345,47837,138664,197649,117074,77821,2754
1990:Q1,Hispanic,444568,660993,273374,73038,14856,99785,22495,66576,110869,216425,153473,49840,13112
1990:Q1,Other,789049,979937,315562,83674,49372,97532,26832,262086,144878,190888,145189,39251,6448
1990:Q2,White,18969361,21709045,6141300,1703862,2017727,3172622,983486,2656579,5033469,2739685,1968897,630363,140425
1990:Q2,Black,879686,1083266,342194,125991,20141,340464,62610,52911,138956,203581,122014,78372,3195
1990:Q2,Hispanic,453272,673013,276701,74238,15339,101361,23280,71544,110550,219741,156722,50808,12211
1990:Q2,Other,822026,1016633,324967,88296,53231,100161,29291,264514,156172,194606,148285,39169,7152
1990:Q3,White,18818835,21603581,6200836,1724294,1684675,3229349,969194,2677017,5118216,2784746,2010158,640901,133687
1990:Q3,Black,888369,1099111,348241,124710,18972,347866,61148,58234,139940,210743,127249,80160,3334
1990:Q3,Hispanic,459272,681625,280515,76411,13428,102137,22734,76389,110011,222354,159444,51932,10978
1990:Q3,Other,836839,1034350,333134,90739,43919,101888,29991,266057,168623,197512,150415,39309,7788
1990:Q4,White,19218986,22050098,6184664,1741906,1884454,3290051,1007494,2684289,5257240,2831112,2042645,650459,138008
1990:Q4,Black,904536,1123423,349294,125854,21433,355865,65786,63200,141992,218887,133394,81499,3994
1990:Q4,Hispanic,462752,688147,279623,77716,14526,102501,23507,80569,109705,225395,162166,53149,10080
1990:Q4,Other,862605,1062014,332815,93565,51800,103484,32847,266169,181334,199409,151606,39284,8519
1991:Q1,White,19644011,22494834,6190996,1760197,2183740,3351114,1055599,2666772,5286416,2850823,2075055,634811,140957
1991:Q1,Black,928488,1148712,347192,131884,24573,364027,71543,67391,142101,220223,138916,76783,4524
1991:Q1,Hispanic,462777,688533,275781,78254,16071,102381,24364,83708,107974,225756,163538,53135,9083
1991:Q1,Other,890753,1089631,333434,97448,63030,104725,36039,264536,190419,198877,152182,37477,9218
1991:Q2,White,19688263,22591735,6238981,1771972,2167751,3416051,1075500,2663139,5258341,2903472,2128299,635449,139724
1991:Q2,Black,945881,1171617,351251,133537,25670,372764,74221,72236,141938,225735,144593,76222,4920
1991:Q2,Hispanic,461118,686320,274708,78264,15764,101921,24423,86971,104270,225202,164218,53074,7910
1991:Q2,Other,908609,1108525,337872,99925,63631,105864,37997,262634,200603,199916,153540,36560,9816
1991:Q3,White,19970815,22917098,6297633,1791415,2315046,3480517,1114409,2649899,5268179,2946282,2159184,638308,148790
1991:Q3,Black,971511,1197846,357690,131771,27879,381556,79148,76885,142917,226336,143942,76632,5762
1991:Q3,Hispanic,465902,684068,272334,78967,16275,101027,24851,89647,100967,218166,159032,52032,7102
1991:Q3,Other,934890,1133238,342732,101322,69552,106630,40665,259716,212621,198348,152345,35528,10475
1991:Q4,White,20509189,23529213,6356328,1802562,2723513,3546526,1162131,2622901,5315252,3020024,2210408,650003,159613
1991:Q4,Black,995610,1229063,361632,133225,31773,390633,85216,81197,145388,233453,147878,78899,6676
1991:Q4,Hispanic,465167,680214,268673,78311,18048,99800,25404,91632,98346,215047,157059,51639,6349
1991:Q4,Other,963442,1162147,343952,103349,84030,107175,43607,255757,224276,198705,152534,35040,11131
1992:Q1,White,20486793,23539642,6422709,1811543,2670728,3637080,1165967,2605790,5225825,3052849,2259295,635970,157584
1992:Q1,Black,1024006,1253170,364246,137761,32781,402724,86132,86060,143467,229164,146732,75418,7014
1992:Q1,Hispanic,460693,665704,262422,76927,17332,98956,24729,93626,91712,205012,150598,49286,5128
