date,FA156010001.Q,FA156210005.Q,FA156012005.Q,FA156900005.Q,FA156007015.Q,FA313154015.Q,FA156600075.Q,FA155111005.Q,FA156300005.Q,FA155440005.Q,FA156000105.Q,FA155090005.Q,FA155050005.Q,FA155111003.Q,FA155012005.Q,FA165013005.Q,FA155420003.Q,FA155000005.Q,FA154090005.Q,FA153020005.Q,FA153030005.Q,FA153030505.Q,FA153034005.Q,FA154022005.Q,FA153061105.Q,FA153061705.Q,FA153062005.Q,FA153063005.Q,FA154023005.Q,FA153069005.Q,FA153065005.Q,FA163066223.Q,FA153064105.Q,FA153081115.Q,FA153064205.Q,FA153040005.Q,FA153050005.Q,FA163070005.Q,FA153090005.Q,FA154190005.Q,FA163162003.Q,FA154123005.Q,FA153165105.Q,FA153166000.Q,FA153168005.Q,FA153169005.Q,FA163165505.Q,FA163170005.Q,FA543077073.Q,FA157005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,182534,17210,165324,145772,19552,1320,0,5135,12997,878,38126,40079,23253,15862,6794,597,0,16826,23683,5202,6338,365,0,-3570,-2606,32,-52,-944,2777,1255,1522,0,900,542,185,3800,6705,0,438,6857,0,6625,4394,2977,-116,-728,98,167,65,-1953
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,194481,19790,174691,163670,11021,1116,0,7784,15600,996,34525,38980,31588,20447,10394,747,0,7392,16419,-105,3479,144,0,-2259,-2147,55,641,-808,3371,2012,1359,0,991,34,163,3150,7057,0,394,9027,0,8846,5167,3521,-18,84,92,100,81,-4455
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
