date,FA316010105.Q,FA316210001.Q,FA316240001.Q,FA316231001.Q,FA316231061.Q,FA316601001.Q,FA316150105.Q,FA316403105.Q,FA316402101.Q,FA316900005.Q,FA316901001.Q,FA316404001.Q,FA316403001.Q,FA316130001.Q,FA316402001.Q,FA316006005.Q,FA316300001.Q,FA313154015.Q,FA315440095.Q,FA316000105.Q,FA315090005.Q,FA315019001.Q,FA315420003.Q,FA315000005.Q,FA314090005.Q,FA313011105.Q,FA313020005.Q,FA313030003.Q,FA313030505.Q,FA313011545.Q,FA314022005.Q,FA313061703.Q,FA313063005.Q,FA314023005.Q,FA313069005.Q,FA313065005.Q,FA313066220.Q,FA313064105.Q,FA313081115.Q,FA313070000.Q,FA313078000.Q,FA314190005.Q,FA313111303.Q,FA313125003.Q,FA313131003.Q,FA314122005.Q,FA313161105.Q,FA313161705.Q,FA314123005.Q,FA313165403.Q,FA313169005.Q,FA313169205.Q,FA313140003.Q,FA313170005.Q,FA313190005.Q,FA713011203.Q,FA713014003.Q,FA343073045.Q,FA313172003.Q,FA313190015.Q,FA317005005.Q,FA314000035.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,39452,16351,7691,8642,0,6463,0,305,0,47618,28982,8654,3144,5110,1728,-8166,9952,1320,-642,1108,7388,3079,0,4309,-15289,623,-22723,16,-438,0,0,0,0,1963,2309,-346,0,0,257,-800,5813,-19598,0,223,365,-24665,-24462,-203,1586,0,1586,1586,1165,-2013,3741,464,0,3677,0,-400,-6280,-22104
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,42814,18793,7664,10589,0,5389,77,302,0,40351,22940,8383,2916,5377,735,2463,9512,1116,-676,11535,21176,2796,0,18380,17003,2162,-552,-9,1576,0,0,0,0,3966,4059,-93,0,0,291,-100,9669,-1377,0,0,144,-9316,-9279,-37,2908,0,2908,2908,605,-666,4948,2225,0,3123,0,-400,-9641,-2114
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,42376,18065,7828,11583,0,4415,193,292,0,41404,22630,7186,5219,5554,815,972,8368,641,-619,9318,17388,4411,0,12977,12773,1531,1185,6,270,0,0,0,0,1363,1317,46,0,0,3,0,8415,-204,0,27,-81,-7310,-8157,847,2424,0,2424,2424,213,0,4523,1490,0,3238,0,-205,-8070,1243
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,37860,15376,7870,9405,0,4696,233,280,0,46330,24502,8200,6928,5878,822,-8470,7518,592,-368,-1176,6231,5918,0,313,7176,164,339,65,341,0,0,0,0,857,740,117,0,0,-24,0,5434,6863,0,9,-140,1114,1025,89,2503,0,2503,2503,84,0,3293,183,0,3430,0,-320,-7407,483
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,48803,17432,8734,16958,0,5259,233,187,0,46921,23888,10227,5422,6187,1197,1882,6879,547,-201,8415,17187,5531,0,11656,14913,-1743,-238,8,-227,0,0,0,0,955,388,567,0,0,-40,400,15798,3257,0,38,-267,-1431,-809,-622,1036,0,1036,1036,309,1100,2472,-1721,0,4183,0,10,-8772,-429
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,62915,25375,9190,21421,0,6410,308,211,0,58412,37401,7894,5135,6534,1448,4503,7358,291,-289,11859,21138,12543,0,8595,16359,52,119,88,-23,0,5,5,0,1318,690,628,0,0,-56,900,13956,7764,0,73,-222,33,170,-137,239,0,239,239,173,1600,5868,-11,0,5699,0,180,-9279,197
1952:Q1,64733,29060,9740,18684,0,6696,333,220,0,63545,44172,7652,3752,6728,1241,1188,7852,440,-364,8964,13203,16727,0,-3524,15588,2224,5472,48,148,0,36,36,0,1760,708,1052,0,0,0,1200,4700,19112,0,88,-144,10472,10780,-308,716,0,716,716,60,-800,8720,2384,0,6508,0,-172,-4239,3516
1952:Q2,64809,29968,10132,17576,0,6576,337,220,0,67230,47154,7632,4488,6756,1200,-2421,8086,520,-392,5537,9309,16913,0,-7604,3624,420,-2180,108,-108,0,-40,-40,0,1244,1096,148,0,0,0,1600,2580,11228,0,92,-196,4416,2188,2228,464,0,464,464,80,-400,6772,220,0,6756,0,-204,-3772,-252
1952:Q3,65280,30428,10132,17516,0,6620,356,228,0,70056,48700,8504,4816,6852,1184,-4776,8421,292,-368,3721,22115,17479,0,4636,16904,-28,6560,32,-8,0,-8,-8,0,1716,1448,268,0,0,0,800,7840,12268,0,108,-192,4464,1864,2600,1992,0,1992,1992,32,400,5464,-16,0,5616,0,-136,-18394,3996
1952:Q4,68420,31212,10480,19348,0,6776,368,236,0,70885,50343,8536,3952,6972,1082,-2465,8707,300,-264,6206,16549,17773,0,-1224,9184,-1096,-368,104,64,0,0,0,0,1580,808,772,0,0,0,204,8696,10408,0,124,-96,1740,4736,-2996,1028,0,1028,1028,0,1100,6512,-620,0,7364,0,-232,-10343,-72
