date,FA796000105.Q,FA795090005.Q,FA795013005.Q,FA795013005.Q,FA795000005.Q,FA794090005.Q,FA794010005.Q,FA793020005.Q,FA793030005.Q,FA793030505.Q,FA793034005.Q,FA792050005.Q,FA794022005.Q,FA793069175.Q,FA793061105.Q,FA793061705.Q,FA793062005.Q,FA793063005.Q,FA794023005.Q,FA793068005.Q,FA793069005.Q,FA793065005.Q,FA793066005.Q,FA793092305.Q,FA793064105.Q,FA793081115.Q,FA793064205.Q,FA793040005.Q,FA543050005.Q,FA793070005.Q,FA793090005.Q,FA794194005.Q,FA794190005.Q,FA794110005.Q,FA793120005.Q,FA703130005.Q,FA403197033.Q,FA634090005.Q,FA792150005.Q,FA794122005.Q,FA793169175.Q,FA423161705.Q,FA793163005.Q,FA794123005.Q,FA793168005.Q,FA793169005.Q,FA793192305.Q,FA653164205.Q,FA543140005.Q,FA583150005.Q,FA793170005.Q,FA793178005.Q,FA793190005.Q,FA793181105.Q,FA793164105.Q,FA793181115.Q,FA797005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1523,1903,540,540,1363,3020,312,613,-2,24,0,14,-12425,210,-15301,160,365,2141,10349,3202,-186,4973,2360,-7,303,48,0,0,0,117,3674,1657,1700,-611,-14623,6535,24,0,5,573,216,295,62,-1020,-1155,135,3,185,2635,6705,15,14,1260,-43,29,-72,-380
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1346,1519,621,621,898,19745,1823,485,-16,-251,0,82,-3193,89,-7955,21,972,3680,13013,3530,1003,5869,2611,13,559,35,0,0,0,100,7095,18847,18588,2050,1275,3595,28,0,2,404,157,116,131,-389,-447,58,29,163,2545,7057,15,-109,1923,259,300,-41,-173
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
