date,FA706000105.Q,FA705013005.Q,FA705000005.Q,FA704090005.Q,FA704010005.Q,FA703025005.Q,FA403197033.Q,FA702050005.Q,FA704022005.Q,FA703069175.Q,FA703061105.Q,FA703061705.Q,FA703062005.Q,FA703063005.Q,FA704023005.Q,FA703068005.Q,FA703069005.Q,FA703065005.Q,FA703066005.Q,FA763092305.Q,FA703064105.Q,FA763092100.Q,FA703094905.Q,FA703064205.Q,FA763040005.Q,FA703090005.Q,FA704194005.Q,FA704190005.Q,FA704110005.Q,FA703127005.Q,FA703130005.Q,FA702150005.Q,FA704122005.Q,FA703169175.Q,FA763163005.Q,FA703169005.Q,FA753192305.Q,FA763178000.Q,FA703190005.Q,FA763194705.Q,FA703193005.Q,FA703181105.Q,FA763164105.Q,FA753192103.Q,FA763194603.Q,FA753194503.Q,FA707005005.Q,FA763066303.Q,FA703139105.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,902,155,1049,-6515,496,177,24,4,-14427,106,-15267,160,399,175,9452,3202,73,4401,1776,-1,14,4,22,0,0,-2280,-7564,-7565,-835,-13840,6535,5,73,73,0,96,1,16,384,0,384,1,0,1,0,0,-302,0,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,924,204,661,6934,1850,170,28,81,-4436,69,-5741,21,894,321,9638,3530,34,4328,1746,1,-34,2,26,0,0,-392,6273,6275,290,2192,3595,2,35,35,0,131,5,-110,135,0,135,-2,0,-2,0,0,59,0,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,913,227,593,2729,2653,-238,35,5,-5952,-58,-7406,982,396,134,6981,1818,-2,3885,1280,2,11,1,21,0,0,-790,2136,2143,46,-645,2543,-6,-2,-2,0,77,9,48,73,0,73,-7,0,-7,0,0,93,0,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1064,258,679,5099,-4005,37,134,-16,5697,-23,4370,46,913,391,3210,-1066,13,2956,1307,1,0,3,26,0,0,12,4420,4424,420,824,2981,-6,13,13,0,-82,5,44,225,0,225,-4,0,-4,0,0,127,0,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,986,294,942,11824,1325,159,-43,-6,-3815,117,-5470,-208,1599,147,13786,5769,122,5627,2268,3,24,3,58,0,0,330,10882,10896,1381,5642,2743,9,123,123,0,383,16,117,482,0,482,-14,0,-14,0,0,-251,0,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1250,297,814,12801,2559,523,37,-59,-239,77,-1371,-62,1148,-31,10142,5076,96,4586,384,3,46,5,106,0,0,-322,11987,11993,-290,6843,4951,-6,97,97,0,101,8,162,127,0,127,-6,0,-6,0,0,139,0,ND
1952:Q1,1088,266,56,20204,2116,-1060,336,612,11732,192,9956,-508,1576,516,4704,328,-120,3524,972,0,96,0,96,0,0,1572,20148,20148,648,13820,7528,896,-116,-116,0,-1288,0,424,-1764,0,-1764,0,0,0,0,0,766,0,ND
1952:Q2,1164,270,1752,5896,-2448,-152,248,-588,-752,-224,-2352,-532,1496,860,13188,4492,-152,5864,2984,0,116,8,52,0,0,-3776,4144,4132,-2348,1596,8104,-788,-152,-152,0,256,0,-120,-2416,0,-2416,12,0,12,0,0,-859,0,ND
1952:Q3,1341,240,552,24852,7012,-32,-108,1628,1164,268,-1876,1492,1524,-244,7656,-560,92,5988,2136,0,120,8,32,0,0,7372,24300,24292,6744,10212,6860,1540,96,96,0,248,4,448,-1860,0,-1860,8,0,8,0,0,549,0,ND
1952:Q4,1625,264,716,8244,-6860,1468,160,-1572,1656,-4,900,888,220,-348,16780,7060,188,5760,3772,0,108,8,60,0,0,-3564,7528,7492,-4924,-4868,10276,-1512,180,180,0,596,-4,4,7744,0,7744,36,0,36,0,0,645,0,ND
1953:Q1,1314,424,-136,14056,2044,-828,196,1848,1884,-228,316,-188,1660,324,7868,-1084,-144,5020,4076,0,96,8,108,0,0,832,14192,14184,2436,4692,8380,2308,-144,-144,0,-1012,4,-324,-2156,0,-2156,8,0,8,0,0,1026,0,ND
1953:Q2,1246,429,2024,-6680,-1304,184,144,-1820,-11024,-388,-9260,-1748,-20,392,10384,1172,-88,7020,2280,0,84,8,76,0,0,-3412,-8704,-8716,-4148,-10800,10032,-2316,-92,-92,0,428,4,-344,-1480,0,-1480,12,0,12,0,0,-1208,0,ND
1953:Q3,1335,442,1164,29080,908,-368,-96,756,12352,340,10068,828,696,420,9556,1880,292,6184,1200,4,92,8,32,0,0,5836,27916,27900,5828,14760,7312,756,296,296,0,332,0,440,-1824,0,-1824,16,0,16,0,0,-272,0,ND
1953:Q4,1324,435,228,5360,-352,48,308,-868,7064,268,-1176,7264,664,44,1684,-5576,264,5996,1000,0,112,12,44,0,0,-2692,5132,5108,-5100,-8152,11192,-784,268,268,0,604,-8,932,6156,0,6156,24,0,24,0,0,661,0,ND
1954:Q1,1276,406,872,6152,-2444,460,724,428,4784,584,-792,1580,2528,884,2228,-2176,28,5280,-904,0,128,8,160,0,0,-324,5280,5268,-2288,712,11048,148,28,28,0,-1288,4,-504,-2592,0,-2592,12,0,12,0,0,-2,0,ND
1954:Q2,1356,404,2264,19944,608,212,320,-444,7008,-72,8580,-3304,2316,-512,11020,1708,68,7792,1452,0,156,12,76,0,0,976,17680,17668,412,6212,12072,-196,68,68,0,180,0,-632,-448,0,-448,12,0,12,0,0,-1313,0,ND
1954:Q3,1400,413,720,22508,-1100,12,-184,940,8124,504,11428,-5480,1784,-112,10012,1480,32,8316,184,0,156,12,44,0,0,4492,21788,21780,3652,8824,8908,1212,28,28,0,56,4,764,-1668,0,-1668,8,0,8,0,0,267,0,ND
1954:Q4,1881,412,1680,19428,-644,-856,116,-840,9816,-76,1948,6920,1144,-120,13504,1420,1072,9488,1524,0,128,16,92,0,0,-1904,17748,17736,-2956,2460,10168,-1244,1088,1088,0,712,0,256,7252,0,7252,12,0,12,0,0,-211,0,ND
1955:Q1,1983,498,256,11004,-740,1540,228,2616,-7312,-356,-9036,472,1948,-340,14988,3132,-264,9476,2644,0,104,12,156,0,0,-588,10748,10740,680,4784,8756,2612,-268,-268,0,-660,4,-840,-4328,0,-4328,8,0,8,0,0,1229,0,ND
1955:Q2,1963,531,1760,15460,-140,-516,-16,-2164,-11788,-524,-6372,-3552,-744,-596,26188,10568,-568,11600,4588,0,92,12,104,0,0,3688,13700,13688,532,3200,9348,-2452,-568,-568,0,1260,4,-820,3184,0,3184,12,0,12,0,0,-329,0,ND
1955:Q3,2009,567,800,15536,2504,452,-744,1392,-10152,12,-7528,-2168,268,-736,20516,6464,12,11128,2912,4,76,12,44,0,0,1432,14736,14720,4240,3060,6152,1668,12,12,0,1032,0,196,-1640,0,-1640,16,0,16,0,0,642,0,ND
1955:Q4,2561,594,972,12872,-16,-624,116,-1200,-4584,-212,-6408,2952,-536,-380,22376,10448,-104,8492,3540,0,68,16,68,0,0,-3348,11900,11888,-904,-2332,9564,-1736,-112,-112,0,568,4,-36,6872,0,6872,12,0,12,0,0,995,0,ND
1956:Q1,2286,440,1080,17152,-48,1108,292,2584,-2580,120,-2676,120,400,-544,14236,4188,72,8000,1976,0,60,12,240,0,0,1248,16072,16056,-940,10288,8900,3156,76,76,0,-1116,0,-168,-4140,0,-4140,16,0,16,0,0,766,0,ND
1956:Q2,2327,451,2668,8740,84,-2488,-128,-2292,-13496,-196,-11028,-2108,124,-288,21796,8236,152,9628,3780,0,44,16,108,0,0,5096,6072,6064,-816,-4472,11516,-2940,152,152,0,140,4,-252,2732,0,2732,8,0,8,0,0,-793,0,ND
1956:Q3,2598,468,1340,14468,1752,2684,-320,1872,-304,320,-116,-904,476,-80,12608,2128,444,9032,1004,0,44,16,40,0,0,-3924,13128,13120,5072,556,6360,2772,448,448,0,-124,4,972,-2940,0,-2940,8,0,8,0,0,790,0,ND
1956:Q4,3233,473,412,15556,-64,1012,96,-2156,2036,-48,1720,1528,-312,-852,14932,5404,632,7016,1880,0,52,24,68,0,0,-444,15144,15120,-1416,1220,10936,-2988,640,640,0,344,-12,668,5728,0,5728,24,0,24,0,0,2348,0,ND
1957:Q1,2699,568,964,19308,-1064,-976,-56,2484,11136,-120,8860,1040,748,608,7076,164,208,5388,1316,4,60,12,196,0,0,436,18344,18332,-3148,9880,14812,3568,212,212,0,-1068,0,-316,-5608,0,-5608,12,0,12,0,0,1167,0,ND
1957:Q2,2403,570,1872,11732,1312,20,108,-664,-14776,-200,-15512,-760,968,728,18076,8956,-100,6216,3004,0,56,20,76,0,0,7504,9860,9860,1680,-7892,12900,-1112,-100,-100,0,472,4,-432,4340,0,4340,0,0,0,0,0,-39,0,ND
1957:Q3,2437,586,1604,14036,508,-152,-588,-180,12664,256,11208,-208,780,628,9164,-572,844,7240,1652,0,68,20,44,0,0,-7512,12432,12428,2580,2448,7960,148,848,848,0,160,0,552,-2268,0,-2268,4,0,4,0,0,247,0,ND
1957:Q4,2862,575,1492,9112,184,1404,416,-1368,-1484,432,-7348,2976,1600,856,8764,184,408,6552,1620,0,76,20,72,0,0,1028,7620,7600,-4136,-6492,13520,-2660,412,412,0,584,-16,520,5868,0,5868,20,0,20,0,0,795,0,ND
1958:Q1,2308,592,2224,25592,-512,-1312,1284,2456,20800,1408,12464,3204,2512,1212,324,-5748,896,5936,-760,0,92,12,216,0,0,2232,23368,23368,-5288,10800,23508,2268,904,904,0,-2276,4,244,-6796,0,-6796,0,0,0,0,0,-508,0,ND
1958:Q2,1978,569,1932,40904,944,368,576,-248,15948,188,10584,-1960,5224,1912,14792,4860,-644,9396,1180,0,124,12,68,0,0,8320,38972,38968,-556,14868,20544,4,-648,-648,0,932,0,-784,4608,0,4608,4,0,4,0,0,-524,0,ND
1958:Q3,1986,561,1536,3832,-80,-32,-1036,252,10332,-64,7836,1216,2192,-848,6516,-5568,-296,11492,888,0,116,12,48,0,0,-12296,2296,2292,6860,-15512,10352,1320,-300,-300,0,324,0,300,-1052,0,-1052,4,0,4,0,0,-111,0,ND
1958:Q4,2842,583,176,30024,-272,632,-160,-2628,2524,-664,1608,1228,608,-256,24568,10920,-408,11664,2392,4,52,12,76,0,0,5216,29848,29852,-1456,12592,13044,-3584,-412,-412,0,1152,8,140,8368,0,8368,-4,0,-4,0,0,2083,0,ND
1959:Q1,2340,597,1056,14732,788,-356,-332,3332,-4564,-196,-3288,-1400,916,-596,11816,-1312,-544,10264,3408,0,16,12,276,0,0,3744,13676,13672,1724,4464,9816,4352,-544,-544,0,-844,0,-484,-4812,0,-4812,4,0,4,0,0,687,0,ND
1959:Q2,2442,618,1540,24744,-864,844,160,-320,-12032,-664,-10948,-1160,584,156,31252,13292,-224,13224,4960,0,-64,16,92,0,0,5660,23204,23196,1864,1716,11956,1020,-228,-228,0,1800,4,-968,6032,0,6032,8,0,8,0,0,284,0,ND
1959:Q3,2620,642,1640,9036,192,-828,-824,-1372,-7084,332,-7900,372,368,-256,27244,9008,-132,13160,5208,0,-76,12,44,0,0,-8272,7396,7388,1808,3416,5972,-2212,-136,-136,0,1032,4,-172,-2324,0,-2324,8,0,8,0,0,338,0,ND
1959:Q4,2680,639,1092,10820,-896,-608,76,-1916,-9984,-52,-9140,-12,-276,-504,27912,12656,728,10816,3712,0,-68,16,72,0,0,-3784,9728,9704,-528,-3744,8476,-2756,736,736,0,1356,-4,-212,6380,0,6380,24,0,24,0,0,949,0,ND
1960:Q1,2398,730,1636,8712,172,1368,-220,3924,-10872,60,-11420,1052,-100,-464,13396,-160,884,8696,3976,0,-80,16,380,0,0,628,7076,7064,-704,2056,8716,6928,892,892,0,-2456,0,480,-8848,0,-8848,12,0,12,0,0,32,0,ND
1960:Q2,2497,729,2252,20600,-2040,1116,808,-48,-2880,316,-2156,12,-972,-80,21896,8556,112,9448,3780,0,16,12,72,0,0,1648,18348,18332,-1580,5124,14196,-1724,112,112,0,1000,4,708,492,0,492,16,0,16,0,0,-484,0,ND
1960:Q3,2490,702,1940,25464,4288,-876,4,-832,15804,508,12768,692,1528,308,14544,-632,1128,11068,2980,4,64,12,44,0,0,-7592,23524,23508,6012,3824,17452,-1340,1140,1140,0,-136,4,1460,-4908,0,-4908,16,0,16,0,0,-153,0,ND
