date,FA746330005.Q,FA745013005.Q,FA744090005.Q,FA743020003.Q,FA744022003.Q,FA743061103.Q,FA743061703.Q,FA743062003.Q,FA743063005.Q,FA744023003.Q,FA743068005.Q,FA743065103.Q,FA743065505.Q,FA743093005.Q,FA744190005.Q,FA743127003.Q,FA743130003.Q,FA743193005.Q,FA747005005.Q,FA743139105.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,-16,-21,-52,-65,0,-2,15,13,0,8,5,44,-16,-16,0,0,0,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,-37,-2,-105,-96,0,2,-11,17,0,11,6,53,-37,-37,0,0,0,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,-69,-9,-60,-73,0,2,11,40,0,26,14,-40,-68,-69,0,1,1,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,-17,-8,-32,-44,0,0,12,9,0,15,-6,14,-17,-17,0,0,0,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,1,47,-5,-13,-27,0,20,-6,21,0,22,-1,44,36,47,0,-11,-12,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,24,37,-44,-42,0,5,-7,28,0,25,3,3,23,24,0,-1,-1,ND
1952:Q1,0,0,32,8,4,0,0,4,0,12,0,8,4,8,32,32,0,0,0,ND
1952:Q2,0,0,36,-4,28,28,0,0,0,4,0,0,4,8,36,36,0,0,0,ND
1952:Q3,0,0,36,-8,32,32,0,0,0,4,0,0,4,8,40,36,0,4,4,ND
1952:Q4,0,0,20,-12,20,16,0,4,0,0,0,-4,4,12,20,20,0,0,0,ND
1953:Q1,1,1,8,0,8,0,0,4,4,4,0,0,4,-4,8,8,0,0,0,ND
1953:Q2,1,1,-4,4,0,-8,0,4,4,8,0,4,4,-16,-8,-4,0,-4,-4,ND
1953:Q3,1,1,0,4,-4,-12,0,4,4,4,0,4,0,-4,0,0,0,0,0,ND
1953:Q4,1,1,4,4,-4,-12,0,4,4,0,0,0,0,4,4,4,0,0,0,ND
1954:Q1,1,1,28,0,12,8,0,4,0,0,0,0,0,16,28,28,0,0,0,ND
1954:Q2,1,1,40,-4,28,20,0,8,0,0,0,0,0,16,36,40,0,-4,-4,ND
1954:Q3,1,1,48,-4,28,20,0,8,0,0,0,0,0,24,52,48,0,4,4,ND
1954:Q4,1,1,40,-16,0,8,0,4,-12,8,0,4,4,48,40,40,0,0,0,ND
1955:Q1,1,2,36,4,-4,-8,0,4,0,28,0,16,12,8,36,36,0,0,-1,ND
1955:Q2,1,2,28,4,-20,-24,0,0,4,44,0,28,16,0,32,28,0,4,3,ND
