date,FA666000105.Q,FA665013005.Q,FA664090005.Q,FA663020003.Q,FA662051003.Q,FA664022005.Q,FA663069105.Q,FA663061105.Q,FA663061705.Q,FA663062005.Q,FA663063005.Q,FA663069005.Q,FA663092305.Q,FA663064105.Q,FA663092103.Q,FA663090005.Q,FA663070605.Q,FA663094705.Q,FA663093005.Q,FA664194005.Q,FA664190005.Q,FA662151003.Q,FA663163003.Q,FA664123005.Q,FA663168005.Q,FA663167005.Q,FA663192305.Q,FA663170003.Q,FA663178003.Q,FA663190005.Q,FA663170605.Q,FA663194705.Q,FA663193005.Q,FA663181105.Q,FA663164105.Q,FA663192103.Q,FA662090003.Q,FA663194605.Q,FA663194505.Q,FA667005005.Q,FA664160000.Q,FA664166903.Q,FA664161103.Q,FA664161703.Q,FA664166203.Q,FA664166303.Q,FA664164103.Q,FA664169305.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,31,30,-1600,229,0,-1067,0,-964,0,0,-103,-658,-1,-104,5,-4,0,0,-4,-1598,-1600,0,0,-1610,-1649,39,1,15,3,-9,0,0,-9,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,30,38,-792,-101,0,-743,0,-655,0,-97,9,42,3,10,3,-6,0,0,-6,-794,-791,0,0,-784,-711,-73,6,15,-7,-21,0,0,-21,-3,0,-3,0,0,0,-10,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36,39,485,-71,0,584,0,558,0,24,2,-31,3,3,5,-8,0,0,-8,477,485,0,0,486,492,-6,6,10,-1,-16,0,0,-16,-8,0,-8,0,0,0,-11,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,53,51,535,-68,0,53,0,-117,0,-15,185,364,2,186,6,-8,0,0,-8,521,523,0,0,520,472,48,6,15,3,-21,0,0,-21,-2,0,-2,0,0,0,-12,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,58,62,389,145,0,-139,0,-117,0,118,-140,523,4,-140,6,-10,0,0,-10,355,376,0,0,372,103,269,13,15,4,-28,0,0,-28,-21,0,-21,0,0,0,-38,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51,48,-279,-30,0,-219,0,-273,0,14,40,-71,4,41,8,-12,0,0,-12,-290,-281,0,0,-279,-201,-78,7,10,-2,-17,0,0,-17,-9,0,-9,0,0,0,-8,0,0,0,0,0,0,0,0
1952:Q1,52,43,-1704,-32,0,-1240,0,-488,0,-336,-416,4,0,-436,0,0,0,0,0,-1700,-1708,0,0,-1700,-1120,-580,0,40,16,-64,0,0,-64,8,0,8,0,0,0,13,0,0,0,0,0,0,0,0
1952:Q2,53,44,3296,-44,0,3300,0,3720,0,-400,-20,128,0,-88,12,-12,0,0,-12,3292,3288,0,0,3344,3556,-212,4,0,8,-68,0,0,-68,4,0,4,0,0,0,5,0,0,0,0,0,0,0,0
1952:Q3,53,38,-2612,-60,0,-3460,0,-3764,0,-520,824,44,0,864,16,-16,0,0,-16,-2608,-2616,0,0,-2656,-2584,-72,0,160,4,-124,0,0,-124,8,0,8,0,0,0,19,0,0,0,0,0,0,0,0
1952:Q4,54,42,2316,-88,0,2608,0,2116,0,632,-140,148,4,-352,24,-28,0,0,-28,2328,2316,0,0,2512,2364,148,0,40,12,-248,0,0,-248,12,0,12,0,0,0,24,0,0,0,0,0,0,0,0
1953:Q1,53,56,-1568,-76,0,-2288,0,-2004,0,-312,28,652,0,144,16,-16,0,0,-16,-1564,-1576,0,0,-1664,-1756,92,0,40,-24,72,0,0,72,12,0,12,0,0,0,1,0,0,0,0,0,0,0,0
1953:Q2,66,56,492,-80,0,-372,0,-252,0,-200,80,756,0,188,16,-16,0,0,-16,496,480,0,0,388,780,-392,4,40,-16,64,0,0,64,16,0,16,0,0,0,14,0,0,0,0,0,0,0,0
1953:Q3,69,58,1184,-72,0,1276,0,1124,0,0,152,-260,0,240,16,-16,0,0,-16,1180,1168,0,0,1080,984,96,4,40,4,40,0,0,40,12,0,12,0,0,0,7,0,0,0,0,0,0,0,0
1953:Q4,66,57,1664,-68,0,1872,0,856,0,1320,-304,308,0,-448,16,-16,0,0,-16,1680,1652,0,0,1752,1572,180,-12,0,40,-128,0,0,-128,28,0,28,0,0,0,25,0,0,0,0,0,0,0,0
1954:Q1,79,54,-1932,4,0,-1556,0,-788,0,-520,-248,88,0,-468,20,-20,0,0,-20,-1940,-1956,0,0,-1708,-2020,312,4,40,-32,-260,0,0,-260,16,0,16,0,0,0,17,0,0,0,0,0,0,0,0
1954:Q2,95,54,2948,64,0,2076,0,1704,0,0,372,628,4,180,16,-20,0,0,-20,2920,2908,0,0,3064,2876,188,4,0,36,-196,0,0,-196,12,0,12,0,0,0,13,0,0,0,0,0,0,0,0
1954:Q3,107,56,712,116,0,-448,0,-780,0,0,332,980,0,64,20,-20,0,0,-20,672,660,0,0,900,556,344,4,40,28,-312,0,0,-312,12,0,12,0,0,0,11,0,0,0,0,0,0,0,0
1954:Q4,93,56,1500,144,0,36,0,-32,0,0,68,1528,0,-208,20,-20,0,0,-20,1476,1464,0,0,1764,1360,404,4,0,-28,-276,0,0,-276,12,0,12,0,0,0,13,0,0,0,0,0,0,0,0
1955:Q1,66,61,-1312,88,0,-1940,0,-1376,0,0,-564,1196,0,-656,24,-24,0,0,-24,-1312,-1324,0,0,-1220,-1232,12,4,0,-12,-96,0,0,-96,12,0,12,0,0,0,5,0,0,0,0,0,0,0,0
1955:Q2,72,66,624,8,0,128,0,-376,0,0,504,248,4,240,20,-24,0,0,-24,624,608,0,0,888,1328,-440,4,0,-16,-268,0,0,-268,16,0,16,0,0,0,6,0,0,0,0,0,0,0,0
1955:Q3,73,71,-740,-68,0,-460,0,-40,0,0,-420,400,0,-612,24,-24,0,0,-24,-740,-756,0,0,-584,-872,288,4,0,20,-196,0,0,-196,16,0,16,0,0,0,2,0,0,0,0,0,0,0,0
1955:Q4,75,74,2052,-136,0,1280,0,184,0,0,1096,-100,0,1008,24,-24,0,0,-24,2060,2036,0,0,2100,2444,-344,-4,40,24,-124,0,0,-124,24,0,24,0,0,0,9,0,0,0,0,0,0,0,0
1956:Q1,75,52,-2132,-88,0,-1184,0,-612,0,0,-572,-36,0,-824,28,-28,0,0,-28,-2132,-2148,0,0,-1860,-2152,292,4,40,-36,-296,0,0,-296,16,0,16,0,0,0,23,0,0,0,0,0,0,0,0
1956:Q2,76,53,-164,-24,0,-304,0,44,0,-400,52,12,4,152,24,-28,0,0,-28,-168,-180,0,0,-264,284,-548,0,40,-16,60,0,0,60,12,0,12,0,0,0,19,0,0,0,0,0,0,0,0
1956:Q3,83,55,-1052,44,0,-792,0,-32,0,-400,-360,-20,0,-284,28,-28,0,0,-28,-1064,-1072,0,0,-1160,-1288,128,4,0,16,68,0,0,68,8,0,8,0,0,0,16,0,0,0,0,0,0,0,0
1956:Q4,81,55,912,100,0,592,0,516,0,0,76,180,0,40,28,-28,0,0,-28,924,896,0,0,932,872,60,-16,0,4,-24,0,0,-24,28,0,28,0,0,0,38,0,0,0,0,0,0,0,0
1957:Q1,75,57,-2516,84,0,-1580,0,-520,0,-400,-660,-508,0,-512,32,-32,0,0,-32,-2512,-2528,0,0,-2680,-2412,-268,4,40,4,104,0,0,104,16,0,16,0,0,0,22,0,0,0,0,0,0,0,0
1957:Q2,76,57,1088,36,0,356,0,-104,0,400,60,780,4,-84,28,-32,0,0,-32,1088,1076,0,0,1232,1236,-4,4,0,-12,-148,0,0,-148,12,0,12,0,0,0,19,0,0,0,0,0,0,0,0
1957:Q3,65,59,504,-16,0,640,0,544,0,0,96,-416,0,296,32,-32,0,0,-32,508,496,0,0,288,212,76,4,0,12,192,0,0,192,12,0,12,0,0,0,10,0,0,0,0,0,0,0,0
1957:Q4,67,58,1848,-68,0,2140,0,904,0,400,836,-1204,0,980,36,-36,0,0,-36,1812,1840,0,0,1676,1432,244,-4,40,24,104,0,0,104,-28,0,-28,0,0,0,-27,0,0,0,0,0,0,0,0
1958:Q1,85,54,-272,-40,0,-536,0,-468,0,500,-568,996,4,-692,24,-28,0,0,-28,-284,-284,0,0,-152,-380,228,0,0,-12,-120,0,0,-120,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
1958:Q2,96,52,4956,0,0,2880,0,2140,0,180,560,1728,0,348,32,-32,0,0,-32,4932,4932,0,0,5136,4760,376,0,0,8,-212,0,0,-212,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
1958:Q3,102,52,-6032,48,0,-4660,0,-2672,0,-620,-1368,272,0,-1692,32,-32,0,0,-32,-6060,-6060,0,0,-5764,-6048,284,0,40,24,-360,0,0,-360,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
1958:Q4,109,54,2904,88,0,1868,0,1620,0,0,248,864,4,84,28,-32,0,0,-32,2876,2868,0,0,3024,2864,160,-16,0,12,-152,0,0,-152,8,0,8,0,0,0,27,0,0,0,0,0,0,0,0
1959:Q1,91,61,-2604,76,0,-1668,0,-784,0,240,-1124,136,0,-1148,36,-36,0,0,-36,-2648,-2644,0,0,-2636,-3100,464,0,40,20,-68,0,0,-68,-4,0,-4,0,0,0,-14,0,0,0,0,0,0,0,0
1959:Q2,99,62,172,48,0,-424,0,-532,0,-100,208,388,0,160,36,-36,0,0,-36,136,132,0,0,192,808,-616,4,0,-12,-52,0,0,-52,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0
1959:Q3,108,64,504,12,0,652,0,504,0,-280,428,-616,4,456,32,-36,0,0,-36,464,456,0,0,380,728,-348,0,40,44,-8,0,0,-8,8,0,8,0,0,0,4,0,0,0,0,0,0,0,0
1959:Q4,108,64,2232,-20,0,1400,0,108,0,488,804,104,0,748,36,-36,0,0,-36,2212,2184,0,0,2220,7776,-5556,-8,0,16,-44,0,0,-44,28,0,28,0,0,0,24,0,0,0,0,0,0,0,0
1960:Q1,92,70,-4688,-4,0,-2380,0,-1080,0,-104,-1196,-1252,0,-1052,40,-40,0,0,-40,-4712,-4724,0,0,-4816,-3364,-1452,4,40,-56,104,0,0,104,12,0,12,0,0,0,-2,0,0,0,0,0,0,0,0
1960:Q2,89,73,1340,8,0,1036,0,184,0,724,128,188,4,108,36,-40,0,0,-40,1328,1304,0,0,1340,2044,-704,8,0,-12,-32,0,0,-32,24,0,24,0,0,0,4,0,0,0,0,0,0,0,0
1960:Q3,81,72,3036,36,0,2036,0,1504,0,-28,560,312,0,652,40,-40,0,0,-40,3032,3004,0,0,2888,1460,1428,4,0,24,88,0,0,88,28,0,28,0,0,0,5,0,0,0,0,0,0,0,0
1960:Q4,88,70,2476,56,0,1944,0,1764,0,-200,380,256,4,220,40,-44,0,0,-44,2488,2436,0,0,2568,216,2352,-8,0,36,-160,0,0,-160,52,0,52,0,0,0,30,0,0,0,0,0,0,0,0
