date,FA893111305.Q,FA313111303.Q,FA313011303.Q,FA893011105.Q,FA313011105.Q,FA313011203.Q,FA313011303.Q,FA263011105.Q,FA263011205.Q,FA313111303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,623,623,0,-623,-623,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,2162,2162,0,-2162,-2162,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,1531,1531,0,-1531,-1531,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,164,164,0,-164,-164,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,-1743,-1743,0,1743,1743,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,52,52,0,-52,-52,0
1952:Q1,0,0,0,0,2224,2224,0,-2224,-2224,0
1952:Q2,0,0,0,0,420,420,0,-420,-420,0
1952:Q3,0,0,0,0,-28,-28,0,28,28,0
1952:Q4,0,0,0,0,-1096,-1096,0,1096,1096,0
1953:Q1,0,0,0,0,-2412,-2412,0,2412,2412,0
1953:Q2,0,0,0,0,-512,-512,0,512,512,0
1953:Q3,0,0,0,0,-1204,-1204,0,1204,1204,0
1953:Q4,0,0,0,0,-516,-516,0,516,516,0
1954:Q1,0,0,0,0,-224,-224,0,224,224,0
1954:Q2,0,0,0,0,-32,-32,0,32,32,0
1954:Q3,0,0,0,0,-656,-656,0,656,656,0
1954:Q4,0,0,0,0,-280,-280,0,280,280,0
1955:Q1,0,0,0,0,-120,-120,0,120,120,0
1955:Q2,0,0,0,0,-132,-132,0,132,132,0
1955:Q3,0,0,0,0,60,60,0,-60,-60,0
1955:Q4,0,0,0,0,32,32,0,-32,-32,0
1956:Q1,0,0,0,0,48,48,0,-48,-48,0
1956:Q2,0,0,0,0,412,412,0,-412,-412,0
1956:Q3,0,0,0,0,656,656,0,-656,-656,0
1956:Q4,0,0,0,0,104,104,0,-104,-104,0
1957:Q1,0,0,0,0,1392,1392,0,-1392,-1392,0
1957:Q2,0,0,0,0,1304,1304,0,-1304,-1304,0
1957:Q3,0,0,0,0,108,108,0,-108,-108,0
1957:Q4,0,0,0,0,392,392,0,-392,-392,0
1958:Q1,0,0,0,0,-1480,-1480,0,1480,1480,0
1958:Q2,0,0,0,0,-4300,-4300,0,4300,4300,0
1958:Q3,0,0,0,0,-1932,-1932,0,1932,1932,0
