date,FA894100005.Q,FA314100005.Q,FA714100005.Q,FA704100005.Q,FA764100005.Q,FA754100005.Q,FA744100005.Q,FA474100005.Q,FA403197033.Q,FA264100005.Q,FA894000005.Q,FA154000005.Q,FA144000005.Q,FA104000005.Q,FA114000005.Q,FA314000005.Q,FA214000005.Q,FA794000005.Q,FA714000005.Q,FA704000005.Q,FA764000005.Q,FA754000005.Q,FA743020003.Q,FA474010005.Q,FA513020005.Q,FA543020005.Q,FA574000005.Q,FA343020033.Q,FA224000045.Q,FA633030205.Q,FA404000005.Q,FA614000005.Q,FA643020073.Q,FA663020003.Q,FA733030003.Q,FA503020005.Q,FA264000005.Q,FA904000005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-8210,588,-559,-8140,-8198,11,-16,63,24,-123,-8595,11905,1182,578,604,-23145,1054,947,-184,697,678,21,-21,19,189,-6,20,0,8,0,2,-8,0,229,0,0,-538,385
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,8458,144,843,6077,5927,106,-37,81,28,1366,9147,3518,2065,1915,150,1015,900,2041,-306,2048,2037,22,-2,-9,182,246,30,0,8,0,-3,-63,0,-101,0,0,-392,-689
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
