date,FA894122005.Q,FA893169175.Q,FA313161105.Q,FA893161705.Q,FA383162005.Q,FA893163005.Q,FA894122005.Q,FA384122005.Q,FA163162003.Q,FA104122005.Q,FA314122005.Q,FA213162005.Q,FA794122005.Q,FA764122005.Q,FA753169175.Q,FA403161705.Q,FA413065005.Q,FA674122005.Q,FA614122005.Q,FA644122075.Q,FA663163003.Q,FA734122005.Q,FA504122005.Q,FA264122005.Q,FA894022005.Q,FA384022005.Q,FA154022005.Q,FA104022005.Q,FA114022005.Q,FA314022005.Q,FA214022005.Q,FA794022005.Q,FA714022005.Q,FA764022005.Q,FA754022005.Q,FA744022003.Q,FA474022005.Q,FA514022005.Q,FA544022005.Q,FA574022005.Q,FA344022005.Q,FA224022045.Q,FA634022005.Q,FA654022005.Q,FA554022005.Q,FA564022005.Q,FA404022005.Q,FA674022005.Q,FA613063003.Q,FA644022075.Q,FA664022005.Q,FA734022605.Q,FA504022005.Q,FA264022005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-23120,258,-24462,92,69,923,-23120,-23601,0,995,-24665,69,573,58,15,295,0,0,205,0,0,0,0,-92,-23120,-9963,-3570,-5636,0,0,-757,-12425,-912,-14358,-17,-52,0,594,2743,249,0,258,0,32,6,0,5,0,0,0,-1067,0,94,-732
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-4474,192,-9279,79,1611,2923,-4474,-4857,0,2848,-9316,1611,404,28,7,116,0,0,253,0,0,0,0,-21,-4474,-1938,-2259,-354,0,0,675,-3193,-791,-4345,-1,-105,15,732,1420,251,0,321,0,5,60,0,-31,0,0,0,-743,0,19,657
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-710,171,-8157,1126,1334,4816,-710,-1682,0,4294,-7310,1334,892,-1,-1,275,4,0,615,0,0,0,0,80,-710,632,-687,715,0,0,604,-1443,774,-5950,48,-60,10,906,1268,249,0,419,0,31,20,0,128,0,0,0,584,0,130,101
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
