date,FA893161705.Q,FA313161705.Q,FA403161705.Q,FA413065005.Q,FA893061705.Q,FA153061705.Q,FA103061703.Q,FA313061703.Q,FA213061703.Q,FA713061705.Q,FA763061705.Q,FA753061703.Q,FA743061703.Q,FA473061705.Q,FA513061705.Q,FA543061705.Q,FA573061705.Q,FA343061705.Q,FA223061743.Q,FA633061700.Q,FA653061703.Q,FA403061705.Q,FA673061703.Q,FA643061773.Q,FA663061705.Q,FA733061703.Q,FA263061705.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,92,-203,295,0,92,32,0,0,-100,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,79,-37,116,0,79,55,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1126,847,275,4,1126,-53,0,0,197,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-20,89,-112,3,-20,-66,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-216,-622,381,25,-216,92,0,0,-100,0,-208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,101,-137,227,11,101,-42,0,5,200,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q1,-756,-308,-456,8,-756,16,0,36,-320,0,-508,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
1952:Q2,2624,2228,388,8,2624,2356,0,-40,820,0,-532,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
1952:Q3,2972,2600,360,12,2972,1208,0,-8,260,0,1492,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
1952:Q4,-3088,-2996,-104,12,-3088,-3900,0,0,-96,0,884,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0
1953:Q1,-168,248,-424,8,-168,52,0,208,-248,0,-188,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1953:Q2,1048,988,56,4,1048,3100,0,-136,-172,0,-1748,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1953:Q3,2216,1740,468,8,2216,1468,0,-76,-8,0,828,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1953:Q4,3428,3532,-112,8,3428,-4000,0,-4,92,0,7264,0,0,0,0,0,72,0,4,0,0,0,0,0,0,0,0
1954:Q1,1496,2404,-912,4,1496,-284,0,72,124,0,1580,0,0,0,0,0,-8,0,12,0,0,0,0,0,0,0,0
1954:Q2,-620,-1008,384,4,-620,2628,0,-40,84,0,-3304,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
1954:Q3,-4184,-4716,500,32,-4184,1192,0,-8,128,0,-5480,0,0,0,0,0,-28,0,12,0,0,0,0,0,0,0,0
1954:Q4,3580,3660,-112,32,3580,-3564,0,-20,236,0,6920,0,0,0,0,0,-8,0,16,0,0,0,0,0,0,0,0
1955:Q1,688,732,-76,32,688,-728,600,24,292,0,472,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0
1955:Q2,-444,-1744,1264,36,-444,2748,200,4,128,0,-3552,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0
1955:Q3,-572,-1576,964,40,-572,1452,200,-16,-68,0,-2168,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0
1955:Q4,1336,-320,1612,44,1336,-1640,200,64,-284,0,2952,0,0,0,0,0,24,0,20,0,0,0,0,0,0,0,0
1956:Q1,192,-276,424,44,192,164,100,-20,-244,0,120,0,0,0,0,0,64,0,8,0,0,0,0,0,0,0,0
1956:Q2,1136,272,820,44,1136,3084,100,-4,52,0,-2108,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0
1956:Q3,836,-156,972,20,836,1408,100,-32,228,0,-904,0,0,0,0,0,28,0,8,0,0,0,0,0,0,0,0
1956:Q4,-1280,-860,-444,24,-1280,-3240,100,12,292,0,1528,0,0,0,0,0,16,0,12,0,0,0,0,0,0,0,0
1957:Q1,1456,-164,1588,32,1456,-356,400,44,228,0,1040,0,0,0,0,0,72,0,28,0,0,0,0,0,0,0,0
1957:Q2,2400,-40,2404,36,2400,2652,400,-8,56,0,-760,0,0,0,0,0,28,0,32,0,0,0,0,0,0,0,0
1957:Q3,360,-412,756,16,360,260,400,4,-164,0,-208,0,0,0,0,0,40,0,28,0,0,0,0,0,0,0,0
1957:Q4,2772,1908,852,12,2772,-540,400,-24,-196,0,2976,0,0,0,0,0,124,0,32,0,0,0,0,0,0,0,0
1958:Q1,1664,2136,-480,8,1664,-1268,-400,168,-176,0,3204,0,0,0,0,0,116,0,20,0,0,0,0,0,0,0,0
1958:Q2,-3196,-2792,-412,8,-3196,-116,-800,-116,-100,0,-1960,0,0,0,0,0,-124,0,20,0,0,0,0,0,0,0,0
1958:Q3,1496,612,860,24,1496,232,200,-76,-116,0,1216,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0
1958:Q4,88,-280,340,28,88,-1368,200,-16,-176,0,1228,0,0,0,0,200,0,0,20,0,0,0,0,0,0,0,0
1959:Q1,-956,-1440,464,20,-956,32,400,-4,-140,0,-1400,0,0,0,0,44,84,0,28,0,0,0,0,0,0,0,0
1959:Q2,3568,68,3476,24,3568,3644,800,16,44,0,-1160,0,0,0,0,52,140,0,32,0,0,0,0,0,0,0,0
1959:Q3,3240,-12,3248,4,3240,2288,400,36,20,0,372,0,0,0,0,32,64,0,28,0,0,0,0,0,0,0,0
1959:Q4,384,-1212,1592,4,384,-228,800,-52,-128,0,-12,0,0,0,0,-40,16,0,28,0,0,0,0,0,0,0,0
1960:Q1,-904,-252,-656,4,-904,-2916,0,180,-40,0,1052,0,0,0,456,4,308,0,52,0,0,0,0,0,0,0,0
1960:Q2,3624,1000,2616,8,3624,2216,572,-124,344,0,12,0,0,0,304,108,144,0,48,0,0,0,0,0,0,0,0
1960:Q3,-1272,-1728,464,-8,-1272,-1944,-612,-48,684,0,692,0,0,0,-108,20,-8,0,52,0,0,0,0,0,0,0,0
1960:Q4,460,-64,536,-12,460,-2292,-296,132,1028,0,2048,0,0,0,-92,-16,-100,0,48,0,0,0,0,0,0,0,0
1961:Q1,-1360,568,-1928,0,-1360,-3112,-720,-4,948,0,728,0,0,0,800,-40,-32,0,72,0,0,0,0,0,0,0,0
1961:Q2,1276,-68,1348,-4,1276,504,1188,-92,-684,0,-44,0,0,0,448,-40,-80,0,76,0,0,0,0,0,0,0,0
1961:Q3,2000,-168,1992,176,2000,792,60,96,1432,0,-236,0,0,0,-352,88,44,0,76,0,0,0,0,0,0,0,0
1961:Q4,2124,896,1044,184,2124,52,0,-8,184,0,2200,0,0,0,-520,28,112,0,76,0,0,0,0,0,0,0,0
1962:Q1,2328,732,1508,88,2328,-564,-40,12,56,0,1556,0,0,0,536,44,176,0,216,0,0,0,0,0,0,0,336
1962:Q2,2676,1232,1348,96,2676,392,-216,-120,332,0,1244,0,0,0,572,-24,84,0,72,0,0,0,0,0,0,0,340
1962:Q3,896,-1460,2208,148,896,440,496,-12,364,0,-1064,0,0,0,92,108,-12,0,148,0,0,0,0,0,0,0,336
1962:Q4,2820,1668,992,160,2820,-1696,-132,-20,636,0,4296,0,0,0,-404,-148,-108,0,60,0,0,0,0,0,0,0,336
1963:Q1,-2960,340,-3460,160,-2960,-1368,-1380,40,-1188,0,0,0,0,4,612,-20,36,0,-32,0,0,0,0,0,0,0,336
1963:Q2,3804,16,3620,168,3804,980,1536,196,220,0,260,0,0,4,92,72,8,0,-24,0,0,128,0,0,0,0,332
1963:Q3,1544,-1200,2688,56,1544,1012,340,-72,-700,0,928,0,0,4,-388,12,168,0,-120,0,0,24,0,0,0,0,336
1963:Q4,3520,160,3296,64,3520,-1564,836,-48,3808,0,548,0,0,8,-460,72,-28,0,-16,0,0,28,0,0,0,0,336
1964:Q1,-3144,-964,-2284,104,-3144,-440,-1132,-32,-480,0,-2012,0,0,8,604,-72,64,0,-24,0,0,36,0,0,0,0,336
1964:Q2,4564,1516,2928,120,4564,1004,156,-28,1176,0,1044,0,0,8,684,60,-52,0,136,0,0,40,0,0,0,0,336
1964:Q3,800,276,440,84,800,1024,-848,24,688,0,172,0,0,12,-592,12,-44,0,-24,0,0,40,0,0,0,0,336
1964:Q4,3248,2592,568,88,3248,-608,-608,-32,736,0,3368,0,0,12,-468,-40,460,0,48,0,0,44,0,0,0,0,336
1965:Q1,648,-36,476,208,648,-1276,312,24,264,0,1020,0,0,12,232,28,-296,0,-20,0,0,12,0,0,0,0,336
1965:Q2,4552,-376,4712,216,4552,3380,-76,28,320,0,-280,0,0,4,720,60,4,0,20,0,0,36,0,0,0,0,336
1965:Q3,4284,2052,1964,268,4284,2008,780,88,-156,0,792,0,0,16,-220,112,108,0,416,0,0,4,0,0,0,0,336
1965:Q4,924,152,484,288,924,-564,-64,-8,244,0,1004,0,0,44,-140,-48,92,0,28,0,0,0,0,0,0,0,336
1966:Q1,5572,1396,3856,320,5572,2480,-88,88,-8,0,1368,0,0,80,1044,96,44,0,40,0,0,92,0,0,0,0,336
1966:Q2,17668,7052,10280,336,17668,13388,664,156,-940,0,2104,0,0,116,1040,164,40,0,480,0,0,120,0,0,0,0,336
1966:Q3,1324,-2136,2924,536,1324,3804,-1100,1764,-1024,0,-3040,0,0,124,356,36,-132,0,196,0,0,4,0,0,0,0,336
1966:Q4,2868,-892,3172,588,2868,-800,-320,3232,-984,0,1148,0,0,100,256,-20,16,0,-76,0,0,-20,0,0,0,0,336
1967:Q1,3576,5496,-2584,664,3576,-412,-936,1656,-1148,0,2984,0,0,84,944,4,-56,0,68,0,0,52,0,0,0,0,336
1967:Q2,5564,7424,-2580,720,5564,496,-428,-128,208,4,4632,0,0,72,160,20,-168,0,300,0,0,60,0,0,0,0,336
1967:Q3,-252,-84,-812,644,-252,276,-8,-1568,720,-4,968,0,0,72,-992,-16,-112,0,60,0,0,16,0,0,0,0,336
1967:Q4,8212,3784,3760,668,8212,1300,1284,-312,1780,0,4332,0,0,84,-508,-32,-100,0,104,0,0,-56,0,0,0,0,336
1968:Q1,6240,1068,4448,724,6240,-2740,716,-64,4364,0,3220,0,0,120,152,144,84,0,-108,0,0,16,0,0,0,0,336
1968:Q2,11000,4664,5576,760,11000,4200,596,1628,2544,0,-228,0,0,140,624,-56,84,0,1080,0,0,52,0,0,0,0,336
1968:Q3,5676,4716,620,340,5676,-1332,124,-68,3672,0,2144,0,0,148,80,44,88,0,440,0,0,0,0,0,0,0,336
1968:Q4,4792,2192,2272,328,4792,-708,280,-960,3044,0,1336,0,0,140,116,124,-16,0,1088,0,0,12,0,0,0,0,336
1969:Q1,5444,488,4596,360,5444,-916,1344,-1196,4196,20,792,0,0,132,364,92,144,0,108,0,0,28,0,0,0,0,336
1969:Q2,8608,-1056,9324,340,8608,8988,-676,-2520,1608,-20,1384,0,0,116,-976,112,140,0,112,0,0,4,0,0,0,0,336
1969:Q3,5764,-6016,10788,992,5764,5544,-128,-472,-4,144,-2080,0,0,136,1504,148,328,0,348,0,0,-40,0,0,0,0,336
