date,FA893065005.Q,FA893065105.Q,FA893065405.Q,FA893065505.Q,FA893065603.Q,FA893065005.Q,FA153165005.Q,FA143165005.Q,FA103165005.Q,FA113165005.Q,FA313165403.Q,FA893065005.Q,FA153065005.Q,FA103065005.Q,FA113065005.Q,FA313065005.Q,FA313065015.Q,FA313065075.Q,FA313065035.Q,FA313065095.Q,FA213065005.Q,FA703065005.Q,FA763065005.Q,FA753065005.Q,FA743065003.Q,FA473065005.Q,FA513065505.Q,FA543065005.Q,FA573065005.Q,FA223065043.Q,FA403065005.Q,FA403065015.Q,FA403065025.Q,FA403065045.Q,FA403065035.Q,FA403065653.Q,FA413065005.Q,FA413065015.Q,FA413065025.Q,FA413065045.Q,FA413065653.Q,FA413065035.Q,FA673065005.Q,FA613065000.Q,FA643065075.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6179,4394,348,1300,137,6179,4492,1687,795,892,0,6179,1522,5,0,-346,-230,-110,0,-6,25,4401,4347,0,13,41,5,519,22,3,-76,0,0,-76,0,0,0,0,0,0,0,0,0,99,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7166,5167,517,1315,167,7166,5259,1907,1177,730,0,7166,1359,6,0,-93,-41,-50,0,-2,25,4328,4243,0,17,68,8,1520,20,4,-72,0,0,-72,0,0,0,0,0,0,0,0,0,61,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
