date,FA893190005.Q,FA543077073.Q,FA103190005.Q,FA113193003.Q,FA313190005.Q,FA223073045.Q,FA713193005.Q,FA763190005.Q,FA753193005.Q,FA743193005.Q,FA473193005.Q,FA513190005.Q,FA543190005.Q,FA403193005.Q,FA613190005.Q,FA643193075.Q,FA663190005.Q,FA733190005.Q,FA503190005.Q,FA263190005.Q,FA893090005.Q,FA153090005.Q,FA103090005.Q,FA113090005.Q,FA213093003.Q,FA713090005.Q,FA763090005.Q,FA753093005.Q,FA743093005.Q,FA473093005.Q,FA513090005.Q,FA543090005.Q,FA573090005.Q,FA343073045.Q,FA223090005.Q,FA633093005.Q,FA653093005.Q,FA563093003.Q,FA403093005.Q,FA673090543.Q,FA613090005.Q,FA643093075.Q,FA663090005.Q,FA733090005.Q,FA503093023.Q,FA263090005.Q,FA903090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,8297,65,2623,0,3741,608,-183,374,0,0,10,717,300,-202,159,0,-9,0,94,0,4299,438,-47,234,0,445,-2324,0,44,0,0,72,1088,3677,608,0,0,0,-26,0,94,0,-4,0,0,0,3999
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,10369,81,2658,0,4948,759,337,126,0,0,9,817,387,25,224,0,-21,0,19,0,8408,394,658,261,0,2294,-445,0,53,0,0,66,1217,3123,759,0,0,0,-25,0,59,0,-6,0,0,0,1960
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
