date,FU706000105.Q,FU705013005.Q,FU705000005.Q,FU704090005.Q,FU704010005.Q,FU703025005.Q,FU403197033.Q,FU702050005.Q,FU704022005.Q,FU703069175.Q,FU703061105.Q,FU703061705.Q,FU703062005.Q,FU703063005.Q,FU704023005.Q,FU703068005.Q,FU703069005.Q,FU703065005.Q,FU703066005.Q,FU763092305.Q,FU703064105.Q,FU763092100.Q,FU703094905.Q,FU703064205.Q,FU763040005.Q,FU703090005.Q,FU704194005.Q,FU704190005.Q,FU704110005.Q,FU703127005.Q,FU703130005.Q,FU702150005.Q,FU704122005.Q,FU703169175.Q,FU763163005.Q,FU703169005.Q,FU753192305.Q,FU763178000.Q,FU703190005.Q,FU763194705.Q,FU703193005.Q,FU703181105.Q,FU763164105.Q,FU753192103.Q,FU763194603.Q,FU753194503.Q,FU707005005.Q,FU763066303.Q,FU703139105.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,902,155,1049,-6515,496,177,24,4,-14427,106,-15267,160,399,175,9452,3202,73,4401,1776,-1,14,4,22,0,0,-2280,-7564,-7565,-835,-13840,6535,5,73,73,0,96,1,16,384,0,384,1,0,1,0,0,-302,0,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,924,204,661,6934,1850,170,28,81,-4436,69,-5741,21,894,321,9638,3530,34,4328,1746,1,-34,2,26,0,0,-392,6273,6275,290,2192,3595,2,35,35,0,131,5,-110,135,0,135,-2,0,-2,0,0,59,0,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,913,227,593,2729,2653,-238,35,5,-5952,-58,-7406,982,396,134,6981,1818,-2,3885,1280,2,11,1,21,0,0,-790,2136,2143,46,-645,2543,-6,-2,-2,0,77,9,48,73,0,73,-7,0,-7,0,0,93,0,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1064,258,679,5099,-4005,37,134,-16,5697,-23,4370,46,913,391,3210,-1066,13,2956,1307,1,0,3,26,0,0,12,4420,4424,420,824,2981,-6,13,13,0,-82,5,44,225,0,225,-4,0,-4,0,0,127,0,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,986,294,942,11824,1325,159,-43,-6,-3815,117,-5470,-208,1599,147,13786,5769,122,5627,2268,3,24,3,58,0,0,330,10882,10896,1381,5642,2743,9,123,123,0,383,16,117,482,0,482,-14,0,-14,0,0,-251,0,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1250,297,814,12801,2559,523,37,-59,-239,77,-1371,-62,1148,-31,10142,5076,96,4586,384,3,46,5,106,0,0,-322,11987,11993,-290,6843,4951,-6,97,97,0,101,8,162,127,0,127,-6,0,-6,0,0,139,0,ND
1952:Q1,272,67,54,1039,225,-277,84,153,137,48,-307,-127,394,129,542,-338,-32,788,124,0,24,0,24,0,0,127,985,985,-149,-807,1761,224,-32,-32,0,-322,0,106,204,0,204,0,0,0,0,0,151,0,ND
1952:Q2,291,68,298,2817,-881,-24,62,-147,322,-56,-78,-133,374,215,3377,975,-42,1513,931,0,29,2,13,0,0,64,2519,2516,-278,539,2349,-197,-43,-43,0,64,0,-30,112,0,112,3,0,3,0,0,-75,0,ND
1952:Q3,335,60,154,5142,1148,134,-27,407,1292,67,532,373,381,-61,2061,-99,38,1556,566,0,30,2,8,0,0,87,4988,4986,883,1702,1506,385,39,39,0,62,1,112,296,0,296,2,0,2,0,0,121,0,ND
1952:Q4,406,66,263,5801,-537,223,40,-393,1699,-1,1510,222,55,-87,4602,2292,38,1427,845,0,27,2,15,0,0,123,5538,5529,-426,3756,2576,-378,38,38,0,149,-1,1,-186,0,-186,9,0,9,0,0,77,0,ND
1953:Q1,328,106,6,-364,196,-203,49,462,-2245,-57,-2637,-47,415,81,1326,-682,-37,1158,887,0,24,2,27,0,0,-2,-370,-372,405,-3174,1980,577,-37,-37,0,-253,1,-81,210,0,210,2,0,2,0,0,216,0,ND
1953:Q2,311,107,361,-551,-600,40,36,-455,-2247,-97,-1806,-437,-5,98,2721,180,-27,1805,763,0,21,2,19,0,0,-88,-912,-915,-785,-2532,2847,-579,-28,-28,0,107,1,-86,140,0,140,3,0,3,0,0,-157,0,ND
1953:Q3,334,111,317,6498,-281,60,-24,189,4063,85,3492,207,174,105,2517,486,87,1606,338,1,23,2,8,0,0,-60,6181,6177,731,2965,1635,189,88,88,0,83,0,110,376,0,376,4,0,4,0,0,-94,0,ND
1953:Q4,331,109,136,4871,1009,-138,77,-217,2998,67,938,1816,166,11,809,-886,58,1486,151,0,28,3,11,0,0,291,4735,4729,-597,2866,2767,-196,59,59,0,151,-2,233,-552,0,-552,6,0,6,0,0,86,0,ND
1954:Q1,319,102,253,-2192,-954,118,181,107,-1410,146,-2804,395,632,221,-107,-940,7,1215,-389,0,32,2,40,0,0,-201,-2445,-2448,-652,-4321,2677,37,7,7,0,-322,1,-126,251,0,251,3,0,3,0,0,-36,0,ND
1954:Q2,339,101,415,5796,-103,30,80,-111,2387,-18,2780,-826,579,-128,2942,346,9,2001,586,0,39,3,19,0,0,510,5381,5378,248,1782,3337,-49,9,9,0,45,0,-158,164,0,164,3,0,3,0,0,-177,0,ND
1954:Q3,350,103,220,5455,-595,170,-46,235,2877,126,3703,-1370,446,-28,2632,371,20,2142,99,0,39,3,11,0,0,129,5235,5233,454,1688,2048,303,20,20,0,14,1,191,514,0,514,2,0,2,0,0,27,0,ND
1954:Q4,470,103,496,7949,757,-361,29,-210,3579,-19,1612,1730,286,-30,3724,831,264,2361,268,0,32,4,23,0,0,372,7453,7450,-345,5403,2487,-311,267,267,0,178,0,64,-293,0,-293,3,0,3,0,0,-129,0,ND
1955:Q1,496,125,83,-744,-560,361,57,654,-4172,-89,-4603,118,487,-85,3049,380,-66,2253,482,0,26,3,39,0,0,-201,-827,-829,228,-3540,2091,653,-67,-67,0,-165,1,-210,180,0,180,2,0,2,0,0,288,0,ND
1955:Q2,491,133,294,4158,-201,-149,-4,-541,-2275,-131,-921,-888,-186,-149,6816,2626,-152,2956,1386,0,23,3,26,0,0,460,3864,3861,167,1102,2656,-613,-153,-153,0,315,1,-205,591,0,591,3,0,3,0,0,64,0,ND
1955:Q3,502,142,254,4585,429,279,-186,348,-1886,3,-1230,-542,67,-184,5258,1592,16,2853,797,1,19,3,11,0,0,309,4331,4327,811,743,1410,417,16,16,0,258,0,49,623,0,623,4,0,4,0,0,106,0,ND
1955:Q4,640,149,316,5719,734,-278,29,-300,-126,-53,-582,738,-134,-95,5894,3055,-29,2112,756,0,17,4,17,0,0,-272,5403,5400,-69,3873,2298,-434,-30,-30,0,142,1,-9,-372,0,-372,3,0,3,0,0,176,0,ND
1956:Q1,571,110,273,873,-388,208,73,646,-2741,30,-2765,30,100,-136,2815,623,18,1872,302,0,15,3,60,0,0,182,600,596,-124,-2386,2112,789,19,19,0,-279,0,-42,507,0,507,4,0,4,0,0,188,0,ND
1956:Q2,582,113,525,2109,-64,-617,-32,-573,-2662,-49,-2045,-527,31,-72,5789,2103,24,2469,1193,0,11,4,27,0,0,226,1584,1582,-205,-792,3181,-735,24,24,0,35,1,-63,136,0,136,2,0,2,0,0,-56,0,ND
1956:Q3,650,117,398,5226,323,827,-80,468,317,80,364,-226,119,-20,3266,466,121,2335,344,0,11,4,10,0,0,80,4828,4826,1176,730,1493,693,122,122,0,-31,1,243,399,0,399,2,0,2,0,0,135,0,ND
1956:Q4,808,118,179,5771,560,161,24,-539,1500,-12,1421,382,-78,-213,4023,1797,162,1743,321,0,13,6,17,0,0,6,5592,5586,-372,4346,2642,-747,164,164,0,86,-3,167,-697,0,-697,6,0,6,0,0,511,0,ND
1957:Q1,675,142,236,1349,-631,-351,-14,621,926,-30,357,260,187,152,960,-430,52,1208,130,1,15,3,49,0,0,-230,1113,1110,-688,-2772,3530,892,52,52,0,-267,0,-79,442,0,442,3,0,3,0,0,297,0,ND
1957:Q2,601,143,329,2672,357,40,27,-166,-3170,-50,-3354,-190,242,182,4931,2357,-40,1623,991,0,14,5,19,0,0,615,2343,2343,461,-1567,3549,-278,-40,-40,0,118,1,-108,207,0,207,0,0,0,0,0,129,0,ND
1957:Q3,609,147,456,5650,-100,90,-147,-45,3465,64,3101,-52,195,157,2328,-307,218,1895,522,0,17,5,11,0,0,26,5194,5193,379,1833,1955,37,220,220,0,40,0,138,591,0,591,1,0,1,0,0,7,0,ND
1957:Q4,715,144,462,3876,609,295,104,-342,664,108,-802,744,400,214,2551,563,110,1623,255,0,19,5,18,0,0,-47,3414,3409,-908,1992,3264,-665,111,111,0,146,-4,130,-657,0,-657,5,0,5,0,0,110,0,ND
1958:Q1,577,148,506,2487,-507,-445,321,614,3346,352,1262,801,628,303,-872,-1982,222,1334,-446,0,23,3,54,0,0,-50,1981,1981,-1372,-2859,5684,567,224,224,0,-569,1,61,244,0,244,0,0,0,0,0,-77,0,ND
1958:Q2,494,142,395,10202,355,127,144,-62,4406,47,3065,-490,1306,478,4206,1372,-177,2426,585,0,31,3,17,0,0,975,9807,9806,4,4172,5453,1,-178,-178,0,233,0,-196,317,0,317,1,0,1,0,0,-43,0,ND
1958:Q3,497,140,421,3319,-389,123,-259,63,2795,-16,2171,304,548,-212,1574,-1646,-71,2960,331,0,29,3,12,0,0,-632,2898,2897,1335,-2284,2468,330,-72,-72,0,81,0,75,964,0,964,1,0,1,0,0,-65,0,ND
1958:Q4,710,146,145,9080,561,109,-40,-657,1854,-166,1625,307,152,-64,6642,3372,-87,2902,455,1,13,3,19,0,0,575,8935,8936,-77,6658,3257,-896,-88,-88,0,288,2,35,-243,0,-243,-1,0,-1,0,0,420,0,ND
1959:Q1,585,149,157,-769,-244,-159,-83,833,-3138,-49,-2819,-350,229,-149,1788,-1002,-140,2400,530,0,4,3,69,0,0,158,-926,-927,295,-5068,2149,1088,-141,-141,0,-211,0,-121,1082,0,1082,1,0,1,0,0,279,0,ND
1959:Q2,610,155,391,6637,7,170,40,-80,-2720,-166,-2449,-290,146,39,8479,3554,-71,3402,1594,0,-16,4,23,0,0,730,6246,6244,676,1174,3420,255,-72,-72,0,450,1,-242,582,0,582,2,0,2,0,0,65,0,ND
1959:Q3,655,161,411,4445,-465,-20,-206,-343,-1530,83,-1734,93,92,-64,6651,1909,-29,3380,1391,0,-19,3,11,0,0,363,4034,4032,35,2348,1267,-553,-29,-29,0,258,1,-43,748,0,748,2,0,2,0,0,84,0,ND
1959:Q4,670,160,373,4520,507,-228,19,-479,-1028,-13,-817,-3,-69,-126,7638,3950,197,2684,807,0,-17,4,18,0,0,-1914,4147,4141,211,3009,2219,-689,199,199,0,339,-1,-53,-1093,0,-1093,6,0,6,0,0,137,0,ND
1960:Q1,599,183,260,-2711,-466,348,-55,981,-4917,15,-5054,263,-25,-116,1947,-854,215,1995,591,0,-20,4,95,0,0,-628,-2971,-2974,-273,-6493,1878,1732,217,217,0,-614,0,120,459,0,459,3,0,3,0,0,157,0,ND
1960:Q2,624,182,664,6122,-223,130,202,-12,-494,79,-313,3,-243,-20,6354,2469,16,2473,1396,0,4,3,18,0,0,140,5458,5454,-188,2485,4043,-431,16,16,0,250,1,177,-899,0,-899,4,0,4,0,0,-222,0,ND
1960:Q3,622,176,471,8098,514,50,1,-208,4154,127,3395,173,382,77,3427,-534,286,2862,813,1,16,3,11,0,0,129,7627,7623,1141,2115,3936,-335,289,289,0,-34,1,365,145,0,145,4,0,4,0,0,-24,0,ND
1960:Q4,602,170,830,8872,-708,-194,201,-628,4336,199,3164,512,444,17,5090,1985,359,2411,335,0,20,4,21,0,0,730,8042,8038,3,4013,5432,-991,362,362,0,245,1,337,-1364,0,-1364,4,0,4,0,0,-397,0,ND
1961:Q1,616,169,277,754,-846,284,88,998,748,290,-649,182,899,26,1122,-1901,204,2164,655,0,11,4,104,0,0,-1759,477,473,-1051,-6101,5545,1230,206,206,0,-504,1,-93,1240,0,1240,4,0,4,0,0,170,0,ND
1961:Q2,582,176,877,8449,854,-727,128,-1000,1622,77,2022,-11,-329,-137,4821,1142,40,3202,437,0,14,5,15,0,0,2717,7572,7569,495,1795,6589,-1022,41,41,0,392,0,-412,-309,0,-309,3,0,3,0,0,-471,0,ND
