date,FU596000105.Q,FU595013005.Q,FU594090005.Q,FU593020005.Q,FU593030005.Q,FU593034005.Q,FU592051005.Q,FU594022005.Q,FU593069105.Q,FU593061105.Q,FU593061705.Q,FU593062045.Q,FU593063005.Q,FU594023005.Q,FU343069005.Q,FU593065005.Q,FU593064105.Q,FU593064205.Q,FU593090005.Q,FU593095005.Q,FU573074005.Q,FU593073005.Q,FU593093005.Q,FU594190005.Q,FU153050015.Q,FU594190045.Q,FU594090055.Q,FU893131573.Q,FU543150015.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,1,6304,28,0,0,0,507,0,201,0,86,220,395,370,25,1,0,5373,0,0,5464,-91,6305,ND,6308,-3,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1,0,6558,38,0,0,0,572,0,240,0,102,230,847,823,24,2,0,5099,0,0,4899,200,6557,ND,6384,173,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
