date,FU574090055.Q,FU573020033.Q,FU573030033.Q,FU573034055.Q,FU572051033.Q,FU574022035.Q,FU573069133.Q,FU573061133.Q,FU573061733.Q,FU573063033.Q,FU573065033.Q,FU573064133.Q,FU573064255.Q,FU573090055.Q,FU573095505.Q,FU573074033.Q,FU573093055.Q,FU574090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-3,0,0,0,0,52,0,12,0,40,0,0,0,-55,0,0,-55,-3
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,173,0,0,0,0,53,0,13,0,40,0,0,0,120,0,0,120,173
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,172,0,0,0,0,52,0,12,0,40,0,0,0,120,0,0,120,172
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,147,0,0,0,0,65,0,25,0,40,0,0,0,82,0,0,82,147
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,116,0,0,0,0,57,0,11,0,46,0,0,0,59,0,0,59,116
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,174,0,0,0,0,156,0,25,0,131,0,0,0,18,0,0,18,174
1952:Q1,380,0,172,0,0,51,0,11,0,40,0,60,0,97,0,0,97,380
1952:Q2,133,0,7,0,0,48,0,-1,0,49,0,62,0,16,0,0,16,133
1952:Q3,141,0,7,0,0,55,0,-4,0,59,0,64,0,15,0,0,15,141
1952:Q4,158,0,7,0,0,68,0,3,0,65,0,74,0,9,0,0,9,158
1953:Q1,161,0,8,0,0,70,0,8,0,62,0,77,0,6,0,0,6,161
1953:Q2,162,0,8,0,0,72,0,14,0,58,0,82,0,0,0,0,0,162
1953:Q3,161,0,8,0,0,65,0,13,0,52,0,87,0,1,0,0,1,161
1953:Q4,159,0,8,0,0,55,0,4,4,47,0,96,0,0,0,0,0,159
1954:Q1,173,0,9,0,0,56,0,4,-1,53,0,104,0,4,0,0,4,173
1954:Q2,178,0,9,0,0,58,0,-2,0,60,0,107,0,4,0,0,4,178
1954:Q3,195,0,9,0,0,67,0,1,-1,67,0,113,0,6,0,0,6,195
1954:Q4,224,0,9,0,0,78,0,7,-1,72,0,126,0,11,0,0,11,224
1955:Q1,250,0,10,0,0,79,0,15,1,63,0,142,0,19,0,0,19,250
1955:Q2,290,0,11,0,0,77,0,26,0,51,0,181,0,21,0,0,21,290
1955:Q3,322,0,11,0,0,66,0,24,1,41,0,218,0,27,0,0,27,322
1955:Q4,330,0,11,0,0,45,0,9,1,35,0,243,0,31,0,0,31,330
1956:Q1,364,0,11,0,0,47,0,-6,3,50,0,273,0,33,0,0,33,364
1956:Q2,386,0,13,0,0,58,0,-13,1,70,0,270,0,45,0,0,45,386
1956:Q3,398,0,12,0,0,74,0,-20,1,93,0,268,0,44,0,0,44,398
1956:Q4,423,0,13,0,0,96,0,-16,1,111,0,283,0,31,0,0,31,423
1957:Q1,417,0,14,0,0,94,0,-19,4,109,0,281,0,28,0,0,28,417
1957:Q2,430,0,14,0,0,85,0,-18,2,101,0,318,0,13,0,0,13,430
1957:Q3,415,0,15,0,0,72,0,-17,2,87,0,306,0,22,0,0,22,415
1957:Q4,400,0,15,0,0,63,0,-19,7,75,0,300,0,22,0,0,22,400
1958:Q1,419,0,16,0,0,67,0,-12,6,73,0,322,0,14,0,0,14,419
1958:Q2,454,0,16,0,0,72,0,5,-7,74,0,359,0,7,0,0,7,454
1958:Q3,508,0,17,0,0,78,0,0,1,77,0,407,0,6,0,0,6,508
1958:Q4,574,0,18,0,0,82,0,5,0,77,0,462,0,12,0,0,12,574
1959:Q1,583,0,18,0,0,54,0,6,5,43,0,485,0,26,0,0,26,583
1959:Q2,658,0,19,0,0,82,0,12,8,62,0,531,0,26,0,0,26,658
1959:Q3,670,0,20,0,0,75,0,16,3,56,0,537,0,38,0,0,38,670
1959:Q4,730,0,21,0,0,97,0,8,1,88,0,581,0,31,0,0,31,730
1960:Q1,698,0,21,0,0,63,0,-21,17,67,0,565,0,49,0,0,49,698
1960:Q2,723,0,22,0,0,53,0,-20,8,65,0,605,0,43,0,0,43,723
1960:Q3,730,0,23,0,0,68,0,-12,-1,81,0,584,0,55,0,0,55,730
1960:Q4,817,0,24,0,0,104,0,-1,-5,110,0,662,0,27,0,0,27,817
1961:Q1,832,0,25,0,0,26,0,1,-2,27,0,763,0,18,0,0,18,832
1961:Q2,918,0,26,0,0,80,0,5,-4,79,0,784,0,28,0,0,28,918
1961:Q3,932,0,26,0,0,55,0,1,2,52,0,826,0,25,0,0,25,932
1961:Q4,1045,0,28,0,0,82,0,-2,6,78,0,914,0,21,0,0,21,1045
1962:Q1,1067,0,29,0,0,56,0,-1,10,47,0,915,0,67,0,0,67,1067
1962:Q2,968,0,30,0,0,94,0,10,5,79,0,714,0,130,0,0,130,968
1962:Q3,919,0,31,0,0,42,0,16,-1,27,0,770,0,76,0,0,76,919
1962:Q4,1056,0,32,0,0,104,0,19,-6,91,0,875,0,45,0,0,45,1056
1963:Q1,1085,0,34,0,0,78,0,7,2,69,0,940,0,33,0,0,33,1085
1963:Q2,1132,0,35,0,0,87,0,7,0,80,0,998,0,12,0,0,12,1132
1963:Q3,1199,0,36,0,0,90,0,-4,10,84,0,1051,0,22,0,0,22,1199
1963:Q4,1281,0,38,0,0,67,0,10,-2,59,0,1107,0,69,0,0,69,1281
1964:Q1,1439,0,39,0,0,100,0,48,4,48,0,1188,0,112,0,0,112,1439
1964:Q2,1517,0,40,0,0,63,0,-52,-3,118,0,1245,0,169,0,0,169,1517
1964:Q3,1582,0,42,0,0,57,0,-1,-3,61,0,1306,0,177,0,0,177,1582
1964:Q4,1672,0,44,0,0,142,0,14,26,102,0,1348,0,138,0,0,138,1672
1965:Q1,1662,0,45,0,0,115,0,48,-17,84,0,1398,0,104,0,0,104,1662
1965:Q2,1562,0,47,0,0,43,0,-50,1,92,0,1383,0,89,0,0,89,1562
1965:Q3,1657,0,49,0,0,15,0,-63,6,72,0,1544,0,49,0,0,49,1657
1965:Q4,1850,0,51,0,0,78,0,21,5,52,0,1630,0,91,0,0,91,1850
1966:Q1,2005,0,53,0,0,194,0,-15,2,207,0,1631,0,127,0,0,127,2005
1966:Q2,1870,0,55,0,0,60,0,-26,2,84,0,1595,0,160,0,0,160,1870
1966:Q3,1790,0,56,0,0,79,0,-6,-7,92,0,1468,0,187,0,0,187,1790
1966:Q4,1892,0,69,0,0,111,0,-12,1,122,0,1579,0,133,0,0,133,1892
1967:Q1,2034,0,57,0,0,41,0,-39,-3,83,0,1820,0,116,0,0,116,2034
1967:Q2,2102,0,68,0,0,-14,0,-37,-9,32,0,1873,0,175,0,0,175,2102
1967:Q3,2307,0,69,0,0,69,0,-8,-7,84,0,2021,0,148,0,0,148,2307
1967:Q4,2319,0,87,0,0,26,0,5,-5,26,0,2044,0,162,0,0,162,2319
1968:Q1,2301,0,57,0,0,136,0,55,4,77,0,1931,0,177,0,0,177,2301
1968:Q2,2393,0,78,0,0,1,0,-7,5,3,0,2239,0,75,0,0,75,2393
1968:Q3,2587,0,86,0,0,36,0,-15,5,46,0,2355,0,110,0,0,110,2587
1968:Q4,2723,0,92,0,0,62,0,60,-1,3,0,2458,0,111,0,0,111,2723
1969:Q1,2627,0,56,0,0,0,0,25,8,-33,0,2433,0,138,0,0,138,2627
1969:Q2,2630,0,113,0,0,-44,0,-67,8,15,0,2437,0,124,0,0,124,2630
1969:Q3,2722,0,84,0,0,118,0,-8,18,108,0,2390,0,130,0,0,130,2722
1969:Q4,2721,0,99,0,0,51,0,6,12,33,0,2457,0,114,0,0,114,2721
1970:Q1,568,0,102,0,0,45,0,-26,-6,77,0,284,0,137,0,0,137,568
1970:Q2,596,0,103,0,0,20,0,-24,18,26,0,231,0,242,0,0,242,596
