date,FU666000105.Q,FU665013005.Q,FU664090005.Q,FU663020003.Q,FU662051003.Q,FU664022005.Q,FU663069105.Q,FU663061105.Q,FU663061705.Q,FU663062005.Q,FU663063005.Q,FU663069005.Q,FU663092305.Q,FU663064105.Q,FU663092103.Q,FU663090005.Q,FU663070605.Q,FU663094705.Q,FU663093005.Q,FU664194005.Q,FU664190005.Q,FU662151003.Q,FU663163003.Q,FU664123005.Q,FU663168005.Q,FU663167005.Q,FU663192305.Q,FU663170003.Q,FU663178003.Q,FU663190005.Q,FU663170605.Q,FU663194705.Q,FU663193005.Q,FU663181105.Q,FU663164105.Q,FU663192103.Q,FU662090003.Q,FU663194605.Q,FU663194505.Q,FU667005005.Q,FU664160000.Q,FU664166903.Q,FU664161103.Q,FU664161703.Q,FU664166203.Q,FU664166303.Q,FU664164103.Q,FU664169305.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,31,30,-1600,229,0,-1067,0,-964,0,0,-103,-658,-1,-104,5,-4,0,0,-4,-1598,-1600,0,0,-1610,-1649,39,1,15,3,-9,0,0,-9,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,30,38,-792,-101,0,-743,0,-655,0,-97,9,42,3,10,3,-6,0,0,-6,-794,-791,0,0,-784,-711,-73,6,15,-7,-21,0,0,-21,-3,0,-3,0,0,0,-10,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36,39,485,-71,0,584,0,558,0,24,2,-31,3,3,5,-8,0,0,-8,477,485,0,0,486,492,-6,6,10,-1,-16,0,0,-16,-8,0,-8,0,0,0,-11,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,53,51,535,-68,0,53,0,-117,0,-15,185,364,2,186,6,-8,0,0,-8,521,523,0,0,520,472,48,6,15,3,-21,0,0,-21,-2,0,-2,0,0,0,-12,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,58,62,389,145,0,-139,0,-117,0,118,-140,523,4,-140,6,-10,0,0,-10,355,376,0,0,372,103,269,13,15,4,-28,0,0,-28,-21,0,-21,0,0,0,-38,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51,48,-279,-30,0,-219,0,-273,0,14,40,-71,4,41,8,-12,0,0,-12,-290,-281,0,0,-279,-201,-78,7,10,-2,-17,0,0,-17,-9,0,-9,0,0,0,-8,0,0,0,0,0,0,0,0
1952:Q1,13,11,-426,-8,0,-310,0,-122,0,-84,-104,1,0,-109,0,0,0,0,0,-425,-427,0,0,-425,-280,-145,0,10,4,-16,0,0,-16,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0
1952:Q2,13,11,824,-11,0,825,0,930,0,-100,-5,32,0,-22,3,-3,0,0,-3,823,822,0,0,836,889,-53,1,0,2,-17,0,0,-17,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1952:Q3,13,10,-653,-15,0,-865,0,-941,0,-130,206,11,0,216,4,-4,0,0,-4,-652,-654,0,0,-664,-646,-18,0,40,1,-31,0,0,-31,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0
1952:Q4,14,11,579,-22,0,652,0,529,0,158,-35,37,1,-88,6,-7,0,0,-7,582,579,0,0,628,591,37,0,10,3,-62,0,0,-62,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0
1953:Q1,13,14,-392,-19,0,-572,0,-501,0,-78,7,163,0,36,4,-4,0,0,-4,-391,-394,0,0,-416,-439,23,0,10,-6,18,0,0,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q2,17,14,123,-20,0,-93,0,-63,0,-50,20,189,0,47,4,-4,0,0,-4,124,120,0,0,97,195,-98,1,10,-4,16,0,0,16,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0
1953:Q3,17,15,296,-18,0,319,0,281,0,0,38,-65,0,60,4,-4,0,0,-4,295,292,0,0,270,246,24,1,10,1,10,0,0,10,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0
1953:Q4,17,14,416,-17,0,468,0,214,0,330,-76,77,0,-112,4,-4,0,0,-4,420,413,0,0,438,393,45,-3,0,10,-32,0,0,-32,7,0,7,0,0,0,6,0,0,0,0,0,0,0,0
1954:Q1,20,14,-483,1,0,-389,0,-197,0,-130,-62,22,0,-117,5,-5,0,0,-5,-485,-489,0,0,-427,-505,78,1,10,-8,-65,0,0,-65,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0
1954:Q2,24,14,737,16,0,519,0,426,0,0,93,157,1,45,4,-5,0,0,-5,730,727,0,0,766,719,47,1,0,9,-49,0,0,-49,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0
1954:Q3,27,14,178,29,0,-112,0,-195,0,0,83,245,0,16,5,-5,0,0,-5,168,165,0,0,225,139,86,1,10,7,-78,0,0,-78,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0
1954:Q4,23,14,375,36,0,9,0,-8,0,0,17,382,0,-52,5,-5,0,0,-5,369,366,0,0,441,340,101,1,0,-7,-69,0,0,-69,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0
1955:Q1,17,15,-328,22,0,-485,0,-344,0,0,-141,299,0,-164,6,-6,0,0,-6,-328,-331,0,0,-305,-308,3,1,0,-3,-24,0,0,-24,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0
1955:Q2,18,17,156,2,0,32,0,-94,0,0,126,62,1,60,5,-6,0,0,-6,156,152,0,0,222,332,-110,1,0,-4,-67,0,0,-67,4,0,4,0,0,0,2,0,0,0,0,0,0,0,0
1955:Q3,18,18,-185,-17,0,-115,0,-10,0,0,-105,100,0,-153,6,-6,0,0,-6,-185,-189,0,0,-146,-218,72,1,0,5,-49,0,0,-49,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0
1955:Q4,19,19,513,-34,0,320,0,46,0,0,274,-25,0,252,6,-6,0,0,-6,515,509,0,0,525,611,-86,-1,10,6,-31,0,0,-31,6,0,6,0,0,0,2,0,0,0,0,0,0,0,0
1956:Q1,19,13,-533,-22,0,-296,0,-153,0,0,-143,-9,0,-206,7,-7,0,0,-7,-533,-537,0,0,-465,-538,73,1,10,-9,-74,0,0,-74,4,0,4,0,0,0,6,0,0,0,0,0,0,0,0
1956:Q2,19,13,-41,-6,0,-76,0,11,0,-100,13,3,1,38,6,-7,0,0,-7,-42,-45,0,0,-66,71,-137,0,10,-4,15,0,0,15,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0
1956:Q3,21,14,-263,11,0,-198,0,-8,0,-100,-90,-5,0,-71,7,-7,0,0,-7,-266,-268,0,0,-290,-322,32,1,0,4,17,0,0,17,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0
1956:Q4,20,14,228,25,0,148,0,129,0,0,19,45,0,10,7,-7,0,0,-7,231,224,0,0,233,218,15,-4,0,1,-6,0,0,-6,7,0,7,0,0,0,10,0,0,0,0,0,0,0,0
1957:Q1,19,14,-629,21,0,-395,0,-130,0,-100,-165,-127,0,-128,8,-8,0,0,-8,-628,-632,0,0,-670,-603,-67,1,10,1,26,0,0,26,4,0,4,0,0,0,6,0,0,0,0,0,0,0,0
1957:Q2,19,14,272,9,0,89,0,-26,0,100,15,195,1,-21,7,-8,0,0,-8,272,269,0,0,308,309,-1,1,0,-3,-37,0,0,-37,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0
1957:Q3,16,15,126,-4,0,160,0,136,0,0,24,-104,0,74,8,-8,0,0,-8,127,124,0,0,72,53,19,1,0,3,48,0,0,48,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0
1957:Q4,17,15,462,-17,0,535,0,226,0,100,209,-301,0,245,9,-9,0,0,-9,453,460,0,0,419,358,61,-1,10,6,26,0,0,26,-7,0,-7,0,0,0,-7,0,0,0,0,0,0,0,0
1958:Q1,21,14,-68,-10,0,-134,0,-117,0,125,-142,249,1,-173,6,-7,0,0,-7,-71,-71,0,0,-38,-95,57,0,0,-3,-30,0,0,-30,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1958:Q2,24,13,1239,0,0,720,0,535,0,45,140,432,0,87,8,-8,0,0,-8,1233,1233,0,0,1284,1190,94,0,0,2,-53,0,0,-53,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1958:Q3,26,13,-1508,12,0,-1165,0,-668,0,-155,-342,68,0,-423,8,-8,0,0,-8,-1515,-1515,0,0,-1441,-1512,71,0,10,6,-90,0,0,-90,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1958:Q4,27,14,726,22,0,467,0,405,0,0,62,216,1,21,7,-8,0,0,-8,719,717,0,0,756,716,40,-4,0,3,-38,0,0,-38,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0
1959:Q1,23,15,-651,19,0,-417,0,-196,0,60,-281,34,0,-287,9,-9,0,0,-9,-662,-661,0,0,-659,-775,116,0,10,5,-17,0,0,-17,-1,0,-1,0,0,0,-4,0,0,0,0,0,0,0,0
1959:Q2,25,16,43,12,0,-106,0,-133,0,-25,52,97,0,40,9,-9,0,0,-9,34,33,0,0,48,202,-154,1,0,-3,-13,0,0,-13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,27,16,126,3,0,163,0,126,0,-70,107,-154,1,114,8,-9,0,0,-9,116,114,0,0,95,182,-87,0,10,11,-2,0,0,-2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0
1959:Q4,27,16,558,-5,0,350,0,27,0,122,201,26,0,187,9,-9,0,0,-9,553,546,0,0,555,1944,-1389,-2,0,4,-11,0,0,-11,7,0,7,0,0,0,6,0,0,0,0,0,0,0,0
1960:Q1,23,18,-1172,-1,0,-595,0,-270,0,-26,-299,-313,0,-263,10,-10,0,0,-10,-1178,-1181,0,0,-1204,-841,-363,1,10,-14,26,0,0,26,3,0,3,0,0,0,-1,0,0,0,0,0,0,0,0
1960:Q2,22,18,335,2,0,259,0,46,0,181,32,47,1,27,9,-10,0,0,-10,332,326,0,0,335,511,-176,2,0,-3,-8,0,0,-8,6,0,6,0,0,0,1,0,0,0,0,0,0,0,0
1960:Q3,20,18,759,9,0,509,0,376,0,-7,140,78,0,163,10,-10,0,0,-10,758,751,0,0,722,365,357,1,0,6,22,0,0,22,7,0,7,0,0,0,1,0,0,0,0,0,0,0,0
1960:Q4,22,18,619,14,0,486,0,441,0,-50,95,64,1,55,10,-11,0,0,-11,622,609,0,0,642,54,588,-2,0,9,-40,0,0,-40,13,0,13,0,0,0,8,0,0,0,0,0,0,0,0
1961:Q1,25,19,-881,18,0,-684,0,-478,0,43,-249,373,0,-588,11,-11,0,0,-11,-890,-895,0,0,-850,-195,-655,2,10,19,-76,0,0,-76,5,0,5,0,0,0,-3,0,0,0,0,0,0,0,0
1961:Q2,27,19,795,18,0,176,0,-26,0,61,141,460,0,141,12,-12,0,0,-12,781,779,0,0,787,97,690,0,0,-6,-2,0,0,-2,2,0,2,0,0,0,-6,0,0,0,0,0,0,0,0
