date,FU266905005.Q,FU266903001.Q,FU266904101.Q,FU266400101.Q,FU266900005.Q,FU266903011.Q,FU266904001.Q,FU266400201.Q,FU265440005.Q,FU266000105.Q,FU265090005.Q,FU265420005.Q,FU265000005.Q,FU264090005.Q,FU263011105.Q,FU264016005.Q,FU263020005.Q,FU263030005.Q,FU263034003.Q,FU262051005.Q,FU264022005.Q,FU263069103.Q,FU263061105.Q,FU263061705.Q,FU263062003.Q,FU263063005.Q,FU263069005.Q,FU263092305.Q,FU263064105.Q,FU263092101.Q,FU263064203.Q,FU543141905.Q,FU543151905.Q,FU263070005.Q,FU263090005.Q,FU264194005.Q,FU264190005.Q,FU313011303.Q,FU264116005.Q,FU263130505.Q,FU262151005.Q,FU264122005.Q,FU263169105.Q,FU263163005.Q,FU264123005.Q,FU263168005.Q,FU263169005.Q,FU263192305.Q,FU263140005.Q,FU263150005.Q,FU263170005.Q,FU263190005.Q,FU263181105.Q,FU263164100.Q,FU263192101.Q,FU313092803.Q,FU267005005.Q,FU266903005.Q,FU266904005.Q,FU266400101.Q,FU266400201.Q,FU266000005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,10331,6974,440,2917,15248,14156,1092,0,0,-4917,-4736,-0,-4736,-1960,-623,-145,-397,4,0,0,-732,16,-474,0,0,-274,0,-1,-64,-3,0,0,0,1,0,2776,2146,0,280,-403,0,-92,0,-92,2395,-10,2405,9,0,0,-43,0,630,92,221,317,-181,7182,652,2917,0,4917
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,11048,7933,487,2628,20337,18740,1597,0,0,-9289,-8658,-0,-8658,-2061,-2162,188,-562,-18,0,0,657,6,600,0,0,51,0,2,-151,8,0,0,0,-23,0,6597,5553,0,86,1280,0,-21,0,-21,4102,275,3827,29,0,0,77,0,1044,6,720,318,-631,10807,1110,2628,0,9289
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15161,10060,575,4526,17578,15547,2031,0,0,-2417,-3092,-0,-3092,-907,-1531,187,481,21,0,0,101,49,100,0,0,-48,0,7,-144,27,0,0,0,-56,0,2185,1557,0,71,227,0,80,0,80,1132,38,1094,28,0,0,19,0,628,-65,693,0,675,5487,1456,4526,0,2417
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,15549,9249,664,5636,16428,14484,1944,0,0,-879,-881,-0,-881,361,-164,374,-211,142,0,0,226,31,100,0,0,95,0,12,-21,44,0,0,0,-41,0,1242,617,0,-101,342,0,-9,0,-9,362,-27,389,26,0,0,-3,0,625,-9,634,0,2,5235,1280,5636,0,879
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16379,11612,746,4021,14536,12350,2186,0,0,1843,3177,-0,3177,3939,1743,346,47,227,0,0,1448,58,1400,0,0,-10,0,17,3,63,0,0,0,45,0,762,392,0,164,66,0,251,0,251,-109,-256,147,24,0,0,-4,0,370,-227,597,0,-1334,738,1440,4021,0,-1843
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,18978,14586,864,3528,19855,17099,2756,0,0,-877,-785,-0,-785,105,-52,474,-335,-288,0,0,75,91,-22,0,0,6,0,19,120,71,0,0,0,21,0,890,603,0,-78,17,0,277,0,277,322,100,222,20,0,0,45,0,287,-201,488,0,-92,2513,1892,3528,0,877
1952:Q1,4493,3740,203,550,5373,4670,704,0,0,-881,-986,-0,-986,-423,-556,182,-5,-6,0,0,-97,-12,-92,0,0,7,0,12,4,46,0,0,0,-3,0,563,225,0,-21,27,0,39,0,39,193,51,142,15,0,0,-28,0,338,-25,363,0,106,930,500,550,0,881
1952:Q2,4587,3658,218,711,4868,4145,723,0,0,-282,-302,-0,-302,462,-105,132,123,37,0,0,110,-13,117,0,0,6,0,16,85,62,0,0,0,2,0,764,213,0,-20,-8,0,49,0,49,162,46,116,23,0,0,7,0,551,-22,573,0,21,488,505,711,0,282
1952:Q3,4791,3813,221,758,4528,3812,716,0,0,264,155,-0,155,582,7,-248,484,-41,0,0,398,20,365,0,0,13,0,11,-105,44,0,0,0,32,0,427,23,0,-41,-7,0,-83,0,-83,149,-5,154,12,0,0,-7,0,404,105,299,0,109,-1,496,758,0,-264
1952:Q4,4855,4086,230,540,4547,3832,714,0,0,309,528,-0,528,202,274,78,-352,151,0,0,-169,21,-200,0,0,10,0,-12,271,-47,0,0,0,8,0,-326,115,0,39,-6,0,22,0,22,21,22,-1,-17,0,0,56,0,-441,-25,-416,0,-220,-253,485,540,0,-309
1953:Q1,4825,3949,229,647,4488,3782,706,0,0,337,15,-0,15,543,603,-13,-169,45,0,0,121,-3,141,0,0,-17,0,20,-136,75,0,0,0,-3,0,528,210,0,19,36,0,51,0,51,114,-48,162,15,0,0,-25,0,318,-54,372,0,322,-167,477,647,0,-337
1953:Q2,4998,4112,229,657,4541,3799,742,0,0,457,-261,-0,-261,374,128,25,-47,117,0,0,231,-1,214,0,0,18,0,8,-93,31,0,0,0,-26,0,635,122,0,-65,-92,0,-125,0,-125,351,-48,399,17,0,0,36,0,513,93,420,0,718,-313,513,657,0,-457
