date,FU893111305.Q,FU313111303.Q,FU313011303.Q,FU893011105.Q,FU313011105.Q,FU313011203.Q,FU313011303.Q,FU263011105.Q,FU263011205.Q,FU313111303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,623,623,0,-623,-623,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,2162,2162,0,-2162,-2162,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,1531,1531,0,-1531,-1531,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,164,164,0,-164,-164,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,-1743,-1743,0,1743,1743,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,52,52,0,-52,-52,0
1952:Q1,0,0,0,0,556,556,0,-556,-556,0
1952:Q2,0,0,0,0,105,105,0,-105,-105,0
1952:Q3,0,0,0,0,-7,-7,0,7,7,0
1952:Q4,0,0,0,0,-274,-274,0,274,274,0
1953:Q1,0,0,0,0,-603,-603,0,603,603,0
1953:Q2,0,0,0,0,-128,-128,0,128,128,0
1953:Q3,0,0,0,0,-301,-301,0,301,301,0
1953:Q4,0,0,0,0,-129,-129,0,129,129,0
1954:Q1,0,0,0,0,-56,-56,0,56,56,0
1954:Q2,0,0,0,0,-8,-8,0,8,8,0
1954:Q3,0,0,0,0,-164,-164,0,164,164,0
1954:Q4,0,0,0,0,-70,-70,0,70,70,0
1955:Q1,0,0,0,0,-30,-30,0,30,30,0
1955:Q2,0,0,0,0,-33,-33,0,33,33,0
1955:Q3,0,0,0,0,15,15,0,-15,-15,0
1955:Q4,0,0,0,0,8,8,0,-8,-8,0
1956:Q1,0,0,0,0,12,12,0,-12,-12,0
1956:Q2,0,0,0,0,103,103,0,-103,-103,0
1956:Q3,0,0,0,0,164,164,0,-164,-164,0
1956:Q4,0,0,0,0,26,26,0,-26,-26,0
1957:Q1,0,0,0,0,348,348,0,-348,-348,0
1957:Q2,0,0,0,0,326,326,0,-326,-326,0
1957:Q3,0,0,0,0,27,27,0,-27,-27,0
1957:Q4,0,0,0,0,98,98,0,-98,-98,0
1958:Q1,0,0,0,0,-370,-370,0,370,370,0
1958:Q2,0,0,0,0,-1075,-1075,0,1075,1075,0
1958:Q3,0,0,0,0,-483,-483,0,483,483,0
1958:Q4,0,0,0,0,-347,-347,0,347,347,0
