date,FU894110005.Q,FU713113003.Q,FU764110005.Q,FU714010075.Q,FU713022003.Q,FU713068715.Q,FU764112205.Q,FU754012205.Q,FU743020005.Q,FU474012205.Q,FU764112295.Q,FU764116005.Q,FU763192605.Q,FU274135123.Q,FU754110005.Q,FU754112205.Q,FU754116005.Q,FU753192605.Q,FU284135125.Q,FU713068743.Q,FU264116005.Q,FU703092605.Q,FU264116205.Q,FU264135125.Q,FU713011515.Q,FU713091103.Q,FU894010005.Q,FU714010005.Q,FU713022003.Q,FU713068705.Q,FU713011515.Q,FU713091103.Q,FU764010005.Q,FU763013005.Q,FU754112205.Q,FU764016005.Q,FU763092605.Q,FU764016205.Q,FU764035125.Q,FU754010005.Q,FU753013003.Q,FU754012205.Q,FU754016005.Q,FU753092605.Q,FU754016205.Q,FU754035125.Q,FU743020003.Q,FU743013003.Q,FU743020005.Q,FU474010005.Q,FU473013005.Q,FU474012205.Q,FU264016005.Q,FU703192605.Q,FU264035125.Q,FU904010005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-331,224,-893,-184,2,-186,-493,7,-21,19,-498,-216,-216,0,58,-13,71,71,0,0,280,8,28,244,0,0,167,-184,2,-186,0,0,477,224,-13,266,0,29,237,21,0,7,14,8,-1,7,-21,0,-21,19,0,19,-145,-145,0,-498
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2136,1760,150,-27,-45,18,122,8,-2,-9,125,55,55,0,140,7,133,133,0,0,86,8,87,-9,0,0,2011,-27,-45,18,0,0,1839,1760,7,72,0,86,-14,22,0,8,14,8,1,5,-2,0,-2,-9,0,-9,188,188,0,125
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
