date,FU894122005.Q,FU893169175.Q,FU313161105.Q,FU893161705.Q,FU383162005.Q,FU893163005.Q,FU894122005.Q,FU384122005.Q,FU163162003.Q,FU104122005.Q,FU314122005.Q,FU213162005.Q,FU794122005.Q,FU764122005.Q,FU753169175.Q,FU403161705.Q,FU413065005.Q,FU674122005.Q,FU614122005.Q,FU644122075.Q,FU663163003.Q,FU734122005.Q,FU504122005.Q,FU264122005.Q,FU894022005.Q,FU384022005.Q,FU154022005.Q,FU104022005.Q,FU114022005.Q,FU314022005.Q,FU214022005.Q,FU794022005.Q,FU714022005.Q,FU764022005.Q,FU754022005.Q,FU744022003.Q,FU474022005.Q,FU514022005.Q,FU544022005.Q,FU574022005.Q,FU344022005.Q,FU224022045.Q,FU634022005.Q,FU654022005.Q,FU554022005.Q,FU564022005.Q,FU404022005.Q,FU674022005.Q,FU613063003.Q,FU644022075.Q,FU664022005.Q,FU734022605.Q,FU504022005.Q,FU264022005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-23120,258,-24462,92,69,923,-23120,-23601,0,995,-24665,69,573,58,15,295,0,0,205,0,0,0,0,-92,-23120,-9963,-3570,-5636,0,0,-757,-12425,-912,-14358,-17,-52,0,594,2743,249,0,258,0,32,6,0,5,0,0,0,-1067,0,94,-732
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-4474,192,-9279,79,1611,2923,-4474,-4857,0,2848,-9316,1611,404,28,7,116,0,0,253,0,0,0,0,-21,-4474,-1938,-2259,-354,0,0,675,-3193,-791,-4345,-1,-105,15,732,1420,251,0,321,0,5,60,0,-31,0,0,0,-743,0,19,657
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-710,171,-8157,1126,1334,4816,-710,-1682,0,4294,-7310,1334,892,-1,-1,275,4,0,615,0,0,0,0,80,-710,632,-687,715,0,0,604,-1443,774,-5950,48,-60,10,906,1268,249,0,419,0,31,20,0,128,0,0,0,584,0,130,101
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
