date,FU894123005.Q,FU793068005.Q,FU893169005.Q,FU893065005.Q,FU893065105.Q,FU893065405.Q,FU893065505.Q,FU893065603.Q,FU153166000.Q,FU894123005.Q,FU384123005.Q,FU154123005.Q,FU104123005.Q,FU114123005.Q,FU314123005.Q,FU213169203.Q,FU794123005.Q,FU763169305.Q,FU473169333.Q,FU513169333.Q,FU543169373.Q,FU403169283.Q,FU614123005.Q,FU644123075.Q,FU664123005.Q,FU504123005.Q,FU264123005.Q,FU894123005.Q,FU384023005.Q,FU154023005.Q,FU104023005.Q,FU114023005.Q,FU314023005.Q,FU214023005.Q,FU794023005.Q,FU713068005.Q,FU764023005.Q,FU754023005.Q,FU744023003.Q,FU474023000.Q,FU513065505.Q,FU544023005.Q,FU573065005.Q,FU343069005.Q,FU223065043.Q,FU653069803.Q,FU404023005.Q,FU413065005.Q,FU674023005.Q,FU614023005.Q,FU643065075.Q,FU663069005.Q,FU733069005.Q,FU503069005.Q,FU263069005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,15736,3202,3378,6179,4394,348,1300,137,2977,15736,14361,6625,4306,1865,1586,-21,-1020,96,0,0,0,0,494,0,-1610,0,2395,15736,5387,2777,532,90,1963,25,10349,0,9302,83,13,54,5,451,22,370,3,0,74,0,0,630,0,-658,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,21291,3530,7074,7166,5167,517,1315,167,3521,21291,17578,8846,4066,1739,2908,19,-389,131,0,0,0,0,264,0,-784,0,4102,21291,8278,3371,804,112,3966,25,13013,0,9477,55,17,89,8,1563,20,823,4,0,226,0,0,689,0,42,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
