date,FU893065005.Q,FU893065105.Q,FU893065405.Q,FU893065505.Q,FU893065603.Q,FU893065005.Q,FU153165005.Q,FU143165005.Q,FU103165005.Q,FU113165005.Q,FU313165403.Q,FU893065005.Q,FU153065005.Q,FU103065005.Q,FU113065005.Q,FU313065005.Q,FU313065015.Q,FU313065075.Q,FU313065035.Q,FU313065095.Q,FU213065005.Q,FU703065005.Q,FU763065005.Q,FU753065005.Q,FU743065003.Q,FU473065005.Q,FU513065505.Q,FU543065005.Q,FU573065005.Q,FU223065043.Q,FU403065005.Q,FU403065015.Q,FU403065025.Q,FU403065045.Q,FU403065035.Q,FU403065653.Q,FU413065005.Q,FU413065015.Q,FU413065025.Q,FU413065045.Q,FU413065653.Q,FU413065035.Q,FU673065005.Q,FU613065000.Q,FU643065075.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6179,4394,348,1300,137,6179,4492,1687,795,892,0,6179,1522,5,0,-346,-230,-110,0,-6,25,4401,4347,0,13,41,5,519,22,3,-76,0,0,-76,0,0,0,0,0,0,0,0,0,99,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7166,5167,517,1315,167,7166,5259,1907,1177,730,0,7166,1359,6,0,-93,-41,-50,0,-2,25,4328,4243,0,17,68,8,1520,20,4,-72,0,0,-72,0,0,0,0,0,0,0,0,0,61,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
