date,FU893193005.Q,FU103193005.Q,FU113193003.Q,FU313193005.Q,FU713193005.Q,FU763193005.Q,FU753193005.Q,FU743193005.Q,FU473193005.Q,FU513193005.Q,FU543193005.Q,FU403193005.Q,FU613193005.Q,FU643193075.Q,FU663193005.Q,FU733193005.Q,FU503193005.Q,FU893093005.Q,FU103093005.Q,FU113093005.Q,FU213093003.Q,FU713093005.Q,FU763093005.Q,FU753093005.Q,FU743093005.Q,FU473093005.Q,FU513093005.Q,FU543093005.Q,FU573093005.Q,FU223093005.Q,FU633093005.Q,FU653093005.Q,FU563093003.Q,FU403093005.Q,FU613093005.Q,FU643093075.Q,FU663093005.Q,FU733093005.Q,FU503093023.Q,FU903090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1372,1444,0,-400,-183,374,0,0,10,1,84,-202,159,0,-9,0,94,-2626,-307,0,0,-19,-2324,0,44,0,0,7,-91,0,0,0,0,-26,94,0,-4,0,0,3999
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2224,1641,0,-400,337,126,0,0,9,-7,271,25,224,0,-21,0,19,263,373,0,0,69,-445,0,53,0,0,-15,200,0,0,0,0,-25,59,0,-6,0,0,1960
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
