date,FL104090005.Q,FL103020005.Q,FL103030003.Q,FL103091003.Q,FL103034000.Q,FL102051003.Q,LM104022005.Q,FL103069100.Q,LM103061103.Q,LM103061703.Q,LM103062003.Q,LM123063003.Q,FL104023005.Q,FL103065005.Q,FL103066005.Q,LM103092305.Q,LM103064103.Q,LM103092105.Q,FL103092405.Q,LM103064203.Q,FL103070005.Q,FL103090005.Q,FL103076005.Q,FL103094705.Q,FL103072005.Q,FL103093005.Q,FL104194005.Q,FL104190005.Q,FL104122005.Q,FL103169100.Q,FL103162000.Q,FL103163005.Q,FL104123005.Q,FL103168005.Q,FL103169005.Q,FL103165005.Q,LM103192305.Q,FL103170005.Q,FL103178005.Q,FL103190005.Q,FL573074005.Q,FL573073005.Q,FL103193005.Q,LM103181105.Q,LM103164105.Q,LM103192105.Q,FL104001005.Q,FL104150005.Q,FL104001006.Q,FL104140006.Q
1945:Q4,68769,18959,900,33,0,0,18760,0,18508,0,252,0,2799,5,2794,272,0,6718,4,0,19821,503,429,0,0,74,191945,87067,24000,95,0,23905,20653,8912,3199,8541,309,13697,10105,18303,0,16879,1424,104878,103694,1184,38652,36009,107.34045171315063,27.337203959629157
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,66934,19502,900,68,0,0,13124,32,12779,0,313,0,3331,10,3321,271,0,6700,3,0,22579,456,689,0,0,-233,197852,99374,24995,137,0,24858,24894,12505,3054,9335,305,20041,8147,20992,0,18059,2933,98478,97302,1176,33594,43884,76.5510259154597,31.462457188478048
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,76049,21434,900,51,0,0,12770,129,12291,0,350,0,4135,16,4119,314,0,7774,2,0,27554,1115,971,0,0,143,210858,114495,27843,172,0,27671,28937,15574,2869,10495,324,23392,10333,23666,0,19070,4596,96363,95116,1247,35155,52339,67.16743949430897,32.78335399392715
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,82065,21861,900,10,0,0,13485,180,12853,0,452,0,4935,30,4905,362,0,8959,2,0,29600,1951,1209,0,0,741,221045,125518,32137,166,0,31971,30674,16181,2958,11535,359,24980,11108,26260,0,19929,6331,95527,94141,1386,36256,55393,65.45220704583433,30.735229695885184
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,86382,22903,900,10,0,0,15447,265,14697,0,485,0,5501,24,5477,404,0,9963,2,0,28640,2612,1402,0,0,1210,232400,127079,35036,162,0,34874,29358,14287,2891,12181,389,24718,8806,28772,0,20696,8076,105321,103822,1499,39260,50863,77.18724443748388,26.926976905633893
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,103633,24222,900,57,0,0,18665,143,17870,0,652,0,6614,23,6591,443,0,10976,2,0,38583,3171,1437,0,0,1733,280130,151601,36705,207,0,36498,33734,17974,3126,12634,480,32694,16061,31927,0,21236,10691,128529,126681,1848,43844,70062,62.57859204010185,30.24930829218197
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,112343,25859,900,91,0,0,19587,90,18653,0,844,0,7241,26,7215,489,0,12078,2,0,41964,4132,1568,0,0,2563,336682,187003,40061,269,0,39792,38807,22183,3395,13229,532,32316,20537,54750,0,24923,29827,149679,147629,2050,46437,78700,59.00498454942266,32.77250589610231
1952:Q1,110507,24511,900,84,0,0,18825,138,17862,0,825,0,5616,27,5589,503,0,12442,3,0,43434,4189,1600,0,0,2590,340541,186985,41201,328,0,40873,38567,21916,3265,13385,544,30361,18812,57500,139,24141,33220,153556,151463,2093,44320,74682,59.34463498812542,31.979678664473948
1952:Q2,110469,25850,900,102,0,0,17555,432,16635,0,488,0,6172,28,6144,527,0,13002,3,0,42254,4104,1630,0,0,2475,349988,190233,42647,304,0,42343,38123,21494,3369,13260,558,28227,16610,64068,145,24879,39044,159755,157607,2148,44407,70004,63.43477120001545,31.159113683322666
1952:Q3,115756,26398,900,98,0,0,18007,411,17018,0,578,0,6276,29,6247,538,0,13289,3,0,46001,4246,1659,0,0,2587,354189,195097,43816,346,0,43470,38711,21955,3506,13250,567,30753,17238,64012,151,25658,38203,159092,156907,2185,45403,73798,61.52331482291562,31.270873415641155
