date,FL314090005.Q,FL313011105.Q,FL313020005.Q,FL313030003.Q,FL313030505.Q,FL313011545.Q,FL314022005.Q,FL313061703.Q,FL313063005.Q,FL314023005.Q,FL313069005.Q,FL313065005.Q,FL313066220.Q,LM313064105.Q,FL313081115.Q,FL313070000.Q,FL313078000.Q,FL314190005.Q,LM313111303.Q,FL313125003.Q,FL313131003.Q,FL314122005.Q,FL313161105.Q,FL313161705.Q,FL314123005.Q,FL313165403.Q,FL313169005.Q,FL313169205.Q,FL313140003.Q,FL313170005.Q,FL313190005.Q,FL713011203.Q,FL713014003.Q,FL343073045.Q,FL313172003.Q,FL313190015.Q
1945:Q4,64322,20083,26937,104,402,0,0,0,0,5846,4462,1384,0,0,443,900,9607,311404,0,4183,3014,208547,208239,308,45838,0,45838,45838,3593,2679,43550,20065,0,21889,0,1596
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,42633,20706,4214,120,-36,0,0,0,0,8611,7573,1038,0,0,700,100,8218,292021,0,4406,3379,183882,183777,105,47424,0,47424,47424,4758,666,47506,20529,0,25781,0,1196
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,52315,22868,3662,111,1540,0,0,0,0,12577,11632,945,0,0,991,0,10566,290612,0,4406,3523,174566,174498,68,50332,0,50332,50332,5363,0,52422,22754,0,28872,0,796
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,57485,24399,4847,117,1810,0,0,0,0,13940,12949,991,0,0,994,0,11378,290332,0,4433,3442,167256,166341,915,52756,0,52756,52756,5576,0,56869,24244,0,32034,0,591
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,56963,24563,5186,182,2151,0,0,0,0,14797,13689,1108,0,0,970,0,9114,297085,0,4442,3302,168370,167366,1004,55259,0,55259,55259,5660,0,60052,24427,0,35354,0,271
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,63479,22820,4948,190,1924,0,0,0,0,15752,14077,1675,0,0,930,400,16515,299914,0,4480,3035,166939,166557,382,56295,0,56295,56295,5969,1100,62096,22706,0,39109,0,281
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,70968,22872,5067,278,1901,0,5,5,0,17070,14767,2303,0,0,874,1300,21601,307402,0,4553,2813,166972,166727,245,56534,0,56534,56534,6142,2700,67688,22695,0,44532,0,461
1952:Q1,75974,23428,8275,290,1938,0,14,14,0,17510,14944,2566,0,0,874,1600,22045,308193,0,4575,2777,165568,165360,208,56633,0,56633,56633,6157,2500,69983,23291,0,46274,0,418
1952:Q2,76740,23533,8305,317,1911,0,4,4,0,17821,15218,2603,0,0,874,2000,21975,309482,0,4598,2728,165084,165031,53,56948,0,56948,56948,6177,2400,71547,23346,0,47834,0,367
1952:Q3,64838,23526,8420,325,1909,0,2,2,0,18250,15580,2670,0,0,874,2200,9332,314582,0,4625,2680,168264,167863,401,57389,0,57389,57389,6185,2500,72939,23342,0,49264,0,333
1952:Q4,66935,23252,7438,351,1925,0,2,2,0,18645,15782,2863,0,0,874,2251,12197,320599,0,4656,2656,172245,171619,626,57584,0,57584,57584,6185,2775,74498,23187,0,51036,0,275
1953:Q1,69735,22649,8240,345,1936,0,54,54,0,18995,15944,3051,0,0,874,2577,14065,318964,0,4670,2618,168919,168191,728,57992,0,57992,57992,6193,2883,75689,22563,0,52860,0,266
1953:Q2,70366,22521,6017,340,1870,0,20,20,0,19793,16594,3199,0,0,874,2490,16441,320282,0,4698,2567,168864,168581,283,58062,0,58062,58062,6211,2679,77201,22463,0,54487,0,251
1953:Q3,64432,22220,8770,344,1887,0,1,1,0,20459,17171,3288,0,0,874,2514,7363,328414,0,4716,2509,175443,175018,425,58165,0,58165,58165,6236,2667,78678,22128,0,56287,0,263
1953:Q4,63864,22091,5906,342,1830,0,0,0,0,20602,17344,3258,0,0,874,2214,10005,333821,0,4738,2465,179067,176814,2253,58312,0,58312,58312,6259,2600,80380,22030,0,58124,0,226
1954:Q1,66091,22035,7772,344,1754,0,18,18,0,20519,17329,3190,0,0,866,2527,10256,331881,0,4779,2415,175111,172200,2911,58382,0,58382,58382,6246,2763,82185,21965,0,59988,0,232
1954:Q2,66674,22027,8223,335,1793,0,8,8,0,20141,16962,3179,0,0,845,2416,10886,332283,0,4803,2355,173917,171915,2002,58818,0,58818,58818,6187,2412,83791,21927,0,61648,0,216
1954:Q3,58239,21863,6155,344,1732,0,6,6,0,20204,16888,3316,0,0,845,2608,4482,335623,0,4815,2304,175582,175045,537,58984,0,58984,58984,6087,2308,85543,21810,0,63483,0,250
1954:Q4,60487,21793,5567,370,1753,0,1,1,0,20375,16950,3425,0,0,938,2445,7245,342861,0,4829,2239,180870,178532,2338,59325,0,59325,59325,5960,2366,87272,21713,0,65317,0,242
1955:Q1,63649,21763,5564,374,1810,0,7,7,0,20614,17157,3457,0,0,938,2472,10107,340474,0,4841,2200,176568,173973,2595,59512,0,59512,59512,5861,2220,89272,21719,0,67261,0,292
1955:Q2,68510,21730,6987,370,1915,0,8,8,0,20856,17305,3551,0,0,938,2333,13373,340221,0,4846,2107,174547,172997,1550,59886,0,59886,59886,5809,2145,90881,21678,0,68949,0,254
1955:Q3,60245,21745,6179,352,1944,0,4,4,0,20943,17371,3572,0,0,938,2229,5911,343646,0,4850,1997,176099,175191,908,60153,0,60153,60153,5810,2166,92571,21684,0,70627,0,260
1955:Q4,62626,21753,5297,357,1979,0,20,20,0,20938,17316,3622,0,0,938,2274,9070,349423,0,4852,1984,179800,178189,1611,60277,0,60277,60277,5795,2283,94432,21690,0,72504,0,238
1956:Q1,66391,21765,7778,351,2062,0,15,15,0,20894,17269,3625,0,0,938,2266,10322,347163,0,4859,1893,175341,173724,1617,60458,0,60458,60458,5853,2289,96470,21716,0,74521,0,233
1956:Q2,68636,21868,7178,331,2112,0,14,14,0,21138,17504,3634,0,0,935,2516,12544,343691,0,4876,1858,169653,168502,1151,60697,0,60697,60697,5943,2302,98362,21799,0,76332,0,231
1956:Q3,61719,22032,6961,330,2373,0,6,6,0,21167,17536,3631,0,0,970,2493,5387,346583,0,4890,1792,170393,169476,917,61156,0,61156,61156,6029,2367,99956,21884,0,77811,0,261
1956:Q4,63519,22058,5009,330,3104,0,9,9,0,21590,17946,3644,0,0,970,2350,8099,352431,0,4910,1740,173993,172637,1356,61046,0,61046,61046,6098,2608,102036,21949,0,79824,0,263
1957:Q1,68980,22406,8235,340,3312,0,20,20,0,21610,17915,3695,0,0,1045,2455,9557,355290,0,4929,1693,172865,171487,1378,60526,0,60526,60526,6144,2534,106599,22306,0,83982,0,311
1957:Q2,69652,22732,6467,326,3671,0,18,18,0,21405,17668,3737,0,0,1038,2638,11357,353494,0,4951,1592,166983,166057,926,60364,0,60364,60364,6166,2479,110959,22623,0,87936,0,400
1957:Q3,65032,22759,7967,340,4043,0,19,19,0,21631,17818,3813,0,0,1038,2568,4667,361482,0,4970,1490,171373,170669,704,59970,48,59922,59922,6178,2427,115074,22635,0,92053,0,386
1957:Q4,65114,22857,5145,301,4065,0,13,13,0,22182,18257,3925,0,0,1038,2261,7252,367809,0,4990,1413,173522,171843,1679,59718,96,59622,59622,6185,2769,119212,22781,0,96135,0,296
1958:Q1,66943,22487,6857,270,4263,0,55,55,0,22457,18464,3993,0,0,1038,2123,7393,368771,0,5026,1388,172335,170060,2275,60079,222,59857,59857,6192,2667,121084,22394,0,98396,0,294
1958:Q2,70593,21412,10556,274,4499,0,26,26,0,22601,18551,4050,0,0,1034,1946,8245,372321,0,5047,1288,174576,173354,1222,60396,347,60049,60049,6203,2606,122205,21356,0,100541,0,308
1958:Q3,60672,20929,5516,300,4597,0,7,7,0,23003,18900,4103,0,0,1028,1816,3476,375047,0,5063,1287,175205,173914,1291,60635,439,60196,60196,6219,2674,123964,20874,0,102755,0,335
1958:Q4,64362,20582,5453,327,4393,0,3,3,0,23626,19291,4335,0,0,1028,1723,7227,384643,0,5078,1220,182694,181096,1598,60680,532,60148,60148,6241,2832,125898,20534,0,105047,0,317
1959:Q1,63949,20486,4986,320,4283,0,2,2,0,24339,19580,4759,0,0,1031,1692,6810,386571,0,5090,1186,182432,181118,1314,60626,581,60045,60045,6268,2802,128167,20442,0,107408,0,317
1959:Q2,66124,19746,5914,331,4730,0,6,6,0,25133,19950,5183,0,0,1034,1687,7543,388556,0,5123,1127,183072,182046,1026,60630,632,59998,59998,6299,2679,129626,19705,0,109604,0,317
1959:Q3,65936,19579,7379,320,4671,0,15,15,0,25594,20113,5481,0,0,1027,1702,5649,395026,0,5153,1075,187487,186548,939,60511,739,59772,59772,6327,2669,131804,19491,0,111996,0,317
1959:Q4,65387,19507,6111,285,4471,0,2,2,0,25682,20077,5605,0,0,1029,1722,6578,400785,0,5155,1031,191097,190148,949,60083,847,59236,59236,6350,2903,134166,19456,0,114393,0,317
1960:Q1,63958,19457,5762,280,4497,0,47,47,0,25884,20355,5529,0,0,1029,1822,5180,399780,0,5184,975,187429,186451,978,60099,947,59152,59152,6371,3108,136614,19408,0,116889,0,317
