date,FL714090005.Q,FL714010005.Q,FL713022003.Q,FL713068705.Q,FL713068703.Q,FL763069143.Q,FL713068725.Q,FL713068763.Q,FL713068753.Q,FL713011515.Q,FL713091103.Q,FL713012003.Q,FL713011405.Q,FL712051005.Q,LM714022005.Q,FL713069603.Q,LM713061103.Q,LM713061113.Q,LM713061125.Q,LM713061705.Q,LM713061903.Q,LM713061703.Q,FL713011525.Q,FL713068005.Q,FL713068813.Q,FL713068665.Q,FL713068863.Q,FL713068505.Q,FL713064103.Q,FL713090005.Q,FL713011203.Q,FL713014003.Q,FL713093005.Q,FL714194005.Q,FL714190005.Q,FL713113003.Q,FL713120005.Q,FL713123005.Q,FL713123023.Q,FL713123030.Q,FL713123043.Q,FL713124005.Q,FL713129005.Q,FL713122605.Q,FL713125005.Q,FL703025005.Q,FL712151003.Q,FL712151103.Q,FL712151115.Q,FL713193005.Q,FL713164005.Q,FL313094213.Q,FL713164003.Q,FL714022065.Q,FL713061163.Q,FL713061765.Q
1945:Q4,45207,780,578,202,202,0,0,0,0,0,0,0,-0,0,24262,0,24262,21195,3067,0,0,0,0,0,0,0,0,0,0,20165,20065,0,100,44829,44652,15915,28800,3264,2287,977,0,0,0,1204,22463,1869,0,0,0,-63,177,0,177,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,44556,596,580,16,16,0,0,0,0,0,0,0,-0,0,23350,0,23350,22241,1109,0,0,0,0,0,0,0,0,0,0,20610,20529,0,81,44097,43910,16139,28017,2665,2272,393,0,0,0,806,22500,2046,0,0,0,-246,187,0,187,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,45753,569,535,34,34,0,0,0,0,0,0,0,-279,0,22559,0,22559,18230,4329,0,0,0,0,0,0,0,0,0,0,22904,22754,0,150,45286,45090,17899,27100,2206,1336,870,0,0,0,432,22246,2216,0,0,0,91,196,0,196,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
