date,FL744090005.Q,FL743020003.Q,LM744022003.Q,LM743061103.Q,LM743061703.Q,LM743062003.Q,LM743063005.Q,FL744023003.Q,FL743068005.Q,FL743065103.Q,FL743065505.Q,FL743093005.Q,FL744190005.Q,FL743127003.Q,FL743130003.Q,FL743193005.Q,FL743139105.Q
1945:Q4,914,182,618,599,0,19,0,14,0,9,5,100,912,914,0,-2,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,898,161,566,534,0,17,15,27,0,17,10,144,896,898,0,-2,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,861,159,461,438,0,19,4,44,0,28,16,197,859,861,0,-2,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,792,150,401,365,0,21,15,84,0,54,30,157,791,792,0,-1,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,775,142,369,321,0,21,27,93,0,69,24,171,774,775,0,-1,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,822,137,356,294,0,41,21,114,0,91,23,215,810,822,0,-12,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,846,174,312,252,0,46,14,142,0,116,26,218,833,846,0,-13,ND
1952:Q1,854,176,313,252,0,47,14,145,0,118,27,220,841,854,0,-13,ND
1952:Q2,863,175,320,259,0,47,14,146,0,118,28,222,850,863,0,-13,ND
1952:Q3,872,173,328,267,0,47,14,147,0,118,29,224,860,872,0,-12,ND
1952:Q4,877,170,333,271,0,48,14,147,0,117,30,227,865,877,0,-12,ND
1953:Q1,879,170,335,271,0,49,15,148,0,117,31,226,867,879,0,-12,ND
1953:Q2,878,171,335,269,0,50,16,150,0,118,32,222,865,878,0,-13,ND
1953:Q3,878,172,334,266,0,51,17,151,0,119,32,221,865,878,0,-13,ND
1953:Q4,879,173,333,263,0,52,18,151,0,119,32,222,866,879,0,-13,ND
1954:Q1,886,173,336,265,0,53,18,151,0,119,32,226,873,886,0,-13,ND
1954:Q2,896,172,343,270,0,55,18,151,0,119,32,230,882,896,0,-14,ND
1954:Q3,908,171,350,275,0,57,18,151,0,119,32,236,895,908,0,-13,ND
1954:Q4,918,167,350,277,0,58,15,153,0,120,33,248,905,918,0,-13,ND
1955:Q1,927,168,349,275,0,59,15,160,0,124,36,250,914,927,0,-13,ND
1955:Q2,934,169,344,269,0,59,16,171,0,131,40,250,922,934,0,-12,ND
1955:Q3,943,171,339,263,0,59,17,182,0,138,44,251,932,943,0,-11,ND
1955:Q4,956,174,336,259,0,59,18,191,0,144,47,255,945,956,0,-11,ND
1956:Q1,972,178,339,260,0,60,19,197,0,148,49,258,960,972,0,-12,ND
1956:Q2,991,183,346,265,0,61,20,201,0,151,50,261,980,991,0,-11,ND
1956:Q3,1013,189,354,270,0,63,21,204,0,153,51,266,1001,1013,0,-12,ND
