date,FL474090005.Q,FL474010005.Q,FL472050053.Q,LM474022005.Q,FL473069153.Q,LM473061105.Q,LM473061705.Q,LM473062005.Q,LM473063005.Q,FL474023000.Q,FL473068005.Q,FL473065005.Q,FL473065100.Q,FL473065403.Q,FL473065503.Q,FL473065603.Q,FL473066000.Q,FL473092403.Q,LM473064205.Q,FL473093005.Q,FL474190005.Q,FL713068743.Q,FL473127003.Q,FL473130005.Q,FL472150053.Q,FL473169333.Q,FL473193005.Q,FL473139103.Q
1945:Q4,366,184,0,50,0,50,0,0,0,132,0,116,116,0,0,0,16,0,0,0,343,0,0,366,0,0,-23,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,439,203,0,50,0,50,0,0,0,186,0,157,157,0,0,0,29,0,0,0,416,0,0,429,0,0,-13,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,534,194,0,65,0,65,0,0,0,275,0,225,225,0,0,0,50,0,0,0,506,0,0,510,0,0,-4,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,647,192,0,75,0,75,0,0,0,380,0,302,302,0,0,0,78,0,0,0,613,0,0,603,0,0,10,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,771,185,0,82,0,82,0,0,0,504,0,345,345,0,0,0,159,0,0,0,729,0,0,701,0,0,28,0
