date,FL574090045.Q,FL573020043.Q,FL573030043.Q,FL573034043.Q,FL572051043.Q,LM574022045.Q,FL573069143.Q,LM573061143.Q,LM573061743.Q,LM573063043.Q,FL573065043.Q,LM573064143.Q,LM573064243.Q,FL573090045.Q,FL573095405.Q,FL573074043.Q,FL573073005.Q,FL573093043.Q,FL574190043.Q
1945:Q4,19886,81,0,0,0,2978,0,1538,0,1440,0,0,0,16827,0,0,16879,-52,19902
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,21268,101,0,0,0,3175,0,1575,0,1600,22,0,0,17970,0,0,18059,-89,21285
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,22607,131,0,0,0,3373,0,1613,0,1760,42,0,0,19061,0,0,19070,-9,22629
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,23792,161,0,0,0,3570,0,1650,0,1920,62,0,0,19999,0,0,19929,70,23821
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,24912,204,0,0,0,3805,0,1725,0,2080,82,0,0,20821,0,0,20696,125,24944
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,25787,264,0,0,0,4021,0,1759,0,2262,102,0,0,21400,0,0,21236,164,25830
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,30168,329,0,0,0,4620,0,1834,0,2786,120,0,0,25099,0,0,24923,176,30220
1952:Q1,31223,330,195,0,83,4812,0,1865,0,2947,126,1156,0,24521,0,139,24141,241,31276
1952:Q2,32275,321,202,0,86,5007,0,1862,0,3145,133,1250,0,25276,0,145,24879,252,32332
1952:Q3,33336,312,210,0,90,5229,0,1851,0,3378,141,1282,0,26072,0,151,25658,263,33389
1952:Q4,34384,310,218,0,93,5497,0,1859,0,3638,149,1474,0,26643,0,160,26214,269,34445
1953:Q1,35614,319,226,0,94,5775,0,1885,0,3890,159,1533,0,27508,0,167,27068,273,35677
1953:Q2,36841,337,235,0,96,6045,0,1925,0,4120,170,1634,0,28324,0,175,27876,273,36910
1953:Q3,38066,356,244,0,96,6292,0,1965,0,4327,181,1735,0,29162,0,182,28706,274,38142
1953:Q4,39300,366,253,0,97,6509,0,1977,14,4518,192,1914,0,29969,0,191,29504,274,39374
1954:Q1,40277,368,263,0,99,6730,0,1989,13,4728,203,2084,0,30530,0,199,30054,277,40354
1954:Q2,41255,363,273,0,101,6964,0,1983,13,4968,213,2148,0,31193,0,205,30708,280,41334
1954:Q3,42230,358,284,0,103,7230,0,1985,7,5238,224,2257,0,31774,0,213,31277,284,42313
1954:Q4,43198,357,295,0,106,7538,0,2006,6,5526,238,2523,0,32141,0,224,31625,292,43293
1955:Q1,44144,367,306,0,111,7834,0,2051,7,5776,255,2841,0,32430,0,237,31888,305,44238
1955:Q2,45082,385,318,0,118,8119,0,2129,9,5981,274,3615,0,32253,0,259,31675,319,45184
1955:Q3,46012,404,330,0,125,8355,0,2202,10,6143,296,4357,0,32145,0,280,31528,337,46129
1955:Q4,46943,415,343,0,132,8526,0,2229,15,6282,321,4868,0,32338,0,295,31685,358,47074
1956:Q1,48039,419,356,0,140,8723,0,2212,28,6483,349,5454,0,32598,0,311,31906,381,48175
1956:Q2,49136,417,369,0,150,8965,0,2171,28,6766,381,5391,0,33463,0,317,32735,411,49276
1956:Q3,50231,414,384,0,158,9284,0,2113,34,7137,415,5370,0,34206,0,324,33442,440,50377
1956:Q4,51326,415,399,0,166,9680,0,2063,37,7580,449,5652,0,34565,0,339,33765,461,51478
1957:Q1,52985,424,414,0,172,10077,0,2008,51,8018,482,5611,0,35805,0,348,34977,480,53142
1957:Q2,54647,439,430,0,177,10428,0,1953,56,8419,514,6358,0,36301,0,370,35442,489,54807
1957:Q3,56308,454,446,0,182,10735,0,1901,64,8770,547,6110,0,37834,0,373,36957,504,56472
1957:Q4,57967,466,463,0,186,11004,0,1846,88,9070,583,5991,0,39274,0,378,38377,519,58136
1958:Q1,59169,475,481,0,191,11281,0,1808,111,9362,619,6448,0,39674,0,393,38752,529,59319
1958:Q2,60346,482,500,0,194,11569,0,1824,87,9658,655,7185,0,39761,0,414,38813,534,60502
1958:Q3,61507,488,519,0,198,11876,0,1823,91,9962,695,8147,0,39584,0,440,38606,538,61686
1958:Q4,62669,496,539,0,204,12203,0,1838,91,10274,742,9249,0,39236,0,469,38221,546,62869
1959:Q1,64157,505,560,0,211,12409,0,1857,107,10445,796,9710,0,39966,0,484,38918,564,64337
1959:Q2,65598,516,581,0,218,12720,0,1892,134,10694,856,10622,0,40085,0,510,38993,582,65806
1959:Q3,67034,527,603,0,227,13002,0,1940,147,10915,921,10738,0,41016,0,520,39889,607,67274
1959:Q4,68480,535,626,0,235,13382,0,1964,150,11268,989,11620,0,41093,0,547,39918,628,68742
1960:Q1,69539,538,650,0,245,13651,0,1903,210,11538,1063,11302,0,42090,0,549,40880,661,69833
1960:Q2,70627,536,676,0,255,13877,0,1843,238,11796,1145,12094,0,42044,0,572,40782,690,70924
1960:Q3,71714,536,702,0,266,14162,0,1806,237,12119,1227,11682,0,43139,0,573,41839,727,72014
1960:Q4,72803,546,728,0,275,14579,0,1803,217,12559,1301,13236,0,42138,0,613,40780,745,73105
1961:Q1,73473,568,756,0,284,14683,0,1805,211,12667,1369,15266,0,40547,0,657,39132,758,73739
1961:Q2,74068,601,785,0,291,15001,0,1822,195,12984,1430,15677,0,40283,0,674,38832,777,74374
1961:Q3,74670,635,816,0,298,15218,0,1823,204,13191,1491,16528,0,39684,0,697,38193,794,75008
1961:Q4,75275,660,847,0,307,15551,0,1819,226,13506,1560,18285,0,38065,0,740,36517,808,75642
1962:Q1,75545,677,880,0,321,15769,0,1816,260,13693,1634,18293,32,37939,0,749,36336,854,75914
1962:Q2,75811,687,913,0,338,16127,0,1844,276,14007,1713,14276,86,41671,0,686,40045,940,76186
1962:Q3,76080,695,949,0,355,16285,0,1893,274,14118,1794,15401,140,40461,0,716,38753,992,76459
1962:Q4,76352,707,985,0,369,16684,0,1950,253,14481,1876,17508,172,38051,0,768,36261,1022,76731
1963:Q1,76869,721,1023,0,380,16986,0,1971,260,14755,1957,18807,184,36811,0,803,34964,1044,77280
1963:Q2,77424,735,1062,0,385,17331,0,1991,262,15078,2035,19959,177,35740,0,834,33853,1053,77828
1963:Q3,77954,752,1103,0,393,17688,0,1980,294,15414,2119,21016,169,34714,0,864,32782,1068,78377
1963:Q4,78484,773,1145,0,409,17946,0,2009,289,15648,2220,22136,176,33679,0,895,31670,1114,78926
1964:Q1,79378,802,1189,0,435,18293,0,2154,301,15838,2357,23752,201,32349,0,940,30220,1189,79832
1964:Q2,80256,850,1235,0,471,18601,0,1999,291,16311,2506,24909,241,31443,0,978,29163,1302,80738
1964:Q3,81149,857,1282,0,507,18835,0,1996,283,16556,2640,26110,283,30635,0,1014,28201,1420,81645
1964:Q4,82032,892,1331,0,537,19373,0,2036,372,16965,2778,26964,312,29845,0,1049,27284,1512,82551
1965:Q1,83477,752,1383,0,560,19798,0,2182,315,17301,2919,27962,331,29772,0,1081,27109,1582,84040
1965:Q2,84949,728,1436,0,577,20014,0,2032,315,17667,3175,27656,341,31022,0,1087,28293,1642,85530
1965:Q3,86418,760,1491,0,594,20136,0,1843,336,17957,3298,30886,349,28904,0,1157,26073,1674,87019
1965:Q4,87845,941,1548,0,616,20420,0,1904,354,18162,3385,32603,360,27972,0,1203,25033,1736,88508
1966:Q1,90142,957,1608,0,642,21214,0,1859,363,18992,3508,32612,372,29229,0,1226,26183,1820,90812
1966:Q2,92441,791,1670,0,671,21484,0,1783,371,19330,3591,31894,384,31956,0,1223,28805,1928,93115
1966:Q3,94736,719,1734,0,702,21802,0,1763,345,19694,3710,29369,397,36303,0,1189,33061,2053,95418
