date,FL344090005.Q,FL343020033.Q,LM344022005.Q,LM343061105.Q,LM343061705.Q,LM343062033.Q,LM343063005.Q,FL343069005.Q,LM343064105.Q,FL343073045.Q,FL344090005.Q,FL344090045.Q,FL342000075.Q,FL343073045.Q,FL344090045.Q,FL344090055.Q
1945:Q4,24792,0,0,0,0,0,0,2903,0,21889,24792,24792,2903,21889,24792,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,29054,0,0,0,0,0,0,3273,0,25781,29054,29054,3273,25781,29054,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,32968,0,0,0,0,0,0,4096,0,28872,32968,32968,4096,28872,32968,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36953,0,0,0,0,0,0,4919,0,32034,36953,36953,4919,32034,36953,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,41313,0,0,0,0,0,0,5959,0,35354,41313,41313,5959,35354,41313,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45852,0,0,0,0,0,0,6743,0,39109,45852,45852,6743,39109,45852,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51985,0,0,0,0,0,0,7453,0,44532,51985,51985,7453,44532,51985,0
1952:Q1,53826,0,0,0,0,0,0,7552,0,46274,53826,53826,7552,46274,53826,0
1952:Q2,55772,0,0,0,0,0,0,7938,0,47834,55772,55772,7938,47834,55772,0
1952:Q3,57627,0,0,0,0,0,0,8363,0,49264,57627,57627,8363,49264,57627,0
1952:Q4,59447,0,0,0,0,0,0,8411,0,51036,59447,59447,8411,51036,59447,0
1953:Q1,61331,0,0,0,0,0,0,8471,0,52860,61331,61331,8471,52860,61331,0
1953:Q2,63291,0,0,0,0,0,0,8804,0,54487,63291,63291,8804,54487,63291,0
1953:Q3,65189,0,0,0,0,0,0,8902,0,56287,65189,65189,8902,56287,65189,0
1953:Q4,67065,0,0,0,0,0,0,8941,0,58124,67065,67065,8941,58124,67065,0
1954:Q1,68949,0,0,0,0,0,0,8961,0,59988,68949,68949,8961,59988,68949,0
1954:Q2,70921,0,0,0,0,0,0,9273,0,61648,70921,70921,9273,61648,70921,0
1954:Q3,72764,0,0,0,0,0,0,9281,0,63483,72764,72764,9281,63483,72764,0
1954:Q4,74676,0,0,0,0,0,0,9359,0,65317,74676,74676,9359,65317,74676,0
1955:Q1,76608,0,0,0,0,0,0,9347,0,67261,76608,76608,9347,67261,76608,0
1955:Q2,78651,0,0,0,0,0,0,9702,0,68949,78651,78651,9702,68949,78651,0
1955:Q3,80602,0,0,0,0,0,0,9975,0,70627,80602,80602,9975,70627,80602,0
