date,FL344090045.Q,FL343020033.Q,LM344022045.Q,LM343061165.Q,LM343061733.Q,LM343062033.Q,LM343063033.Q,FL343069245.Q,LM343064135.Q,FL343073045.Q,FL344190045.Q
1945:Q4,24792,0,0,0,0,0,0,2903,0,21889,24792
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,29054,0,0,0,0,0,0,3273,0,25781,29054
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,32968,0,0,0,0,0,0,4096,0,28872,32968
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36953,0,0,0,0,0,0,4919,0,32034,36953
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,41313,0,0,0,0,0,0,5959,0,35354,41313
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45852,0,0,0,0,0,0,6743,0,39109,45852
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51985,0,0,0,0,0,0,7453,0,44532,51985
1952:Q1,53826,0,0,0,0,0,0,7552,0,46274,53826
1952:Q2,55772,0,0,0,0,0,0,7938,0,47834,55772
1952:Q3,57627,0,0,0,0,0,0,8363,0,49264,57627
1952:Q4,59447,0,0,0,0,0,0,8411,0,51036,59447
1953:Q1,61331,0,0,0,0,0,0,8471,0,52860,61331
1953:Q2,63291,0,0,0,0,0,0,8804,0,54487,63291
1953:Q3,65189,0,0,0,0,0,0,8902,0,56287,65189
1953:Q4,67065,0,0,0,0,0,0,8941,0,58124,67065
1954:Q1,68949,0,0,0,0,0,0,8961,0,59988,68949
1954:Q2,70921,0,0,0,0,0,0,9273,0,61648,70921
1954:Q3,72764,0,0,0,0,0,0,9281,0,63483,72764
1954:Q4,74676,0,0,0,0,0,0,9359,0,65317,74676
1955:Q1,76608,0,0,0,0,0,0,9347,0,67261,76608
1955:Q2,78651,0,0,0,0,0,0,9702,0,68949,78651
1955:Q3,80602,0,0,0,0,0,0,9975,0,70627,80602
1955:Q4,82552,0,0,0,0,0,0,10048,0,72504,82552
1956:Q1,84582,0,0,0,0,0,0,10061,0,74521,84582
1956:Q2,86709,0,0,0,0,0,0,10377,0,76332,86709
1956:Q3,88729,0,0,0,0,0,0,10918,0,77811,88729
1956:Q4,90735,0,0,0,0,0,0,10911,0,79824,90735
1957:Q1,94906,0,0,0,0,0,0,10924,0,83982,94906
1957:Q2,99160,0,0,0,0,0,0,11224,0,87936,99160
1957:Q3,103323,0,0,0,0,0,0,11270,0,92053,103323
1957:Q4,107481,0,0,0,0,0,0,11346,0,96135,107481
1958:Q1,109907,0,0,0,0,0,0,11511,0,98396,109907
1958:Q2,112400,0,0,0,0,0,0,11859,0,100541,112400
1958:Q3,114925,0,0,0,0,0,0,12170,0,102755,114925
1958:Q4,117327,0,0,0,0,0,0,12280,0,105047,117327
1959:Q1,119821,0,0,0,0,0,0,12413,0,107408,119821
1959:Q2,122402,0,0,0,0,0,0,12798,0,109604,122402
1959:Q3,125117,0,0,0,0,0,0,13121,0,111996,125117
1959:Q4,127557,0,0,0,0,0,0,13164,0,114393,127557
1960:Q1,130140,0,0,0,0,0,0,13251,0,116889,130140
1960:Q2,133134,0,0,0,0,0,0,13936,0,119198,133134
1960:Q3,135713,0,0,0,0,0,0,14038,0,121675,135713
1960:Q4,138259,0,0,0,0,0,0,14090,0,124169,138259
1961:Q1,140937,0,0,0,0,0,0,14141,0,126796,140937
1961:Q2,144063,0,0,0,0,0,0,14927,0,129136,144063
1961:Q3,146775,0,0,0,0,0,0,14996,0,131779,146775
1961:Q4,149440,0,0,0,0,0,0,15006,0,134434,149440
1962:Q1,152314,0,0,0,0,0,0,15054,0,137260,152314
1962:Q2,155668,0,0,0,0,0,0,15908,0,139760,155668
1962:Q3,158530,0,0,0,0,0,0,15923,0,142607,158530
1962:Q4,161427,0,0,0,0,0,0,15999,0,145428,161427
1963:Q1,164457,0,0,0,0,0,0,16048,0,148409,164457
1963:Q2,168016,0,0,0,0,0,0,17000,0,151016,168016
1963:Q3,171051,0,0,0,0,0,0,17073,0,153978,171051
1963:Q4,174119,0,0,0,0,0,0,17160,0,156959,174119
1964:Q1,177353,0,0,0,0,0,0,17268,0,160085,177353
1964:Q2,181093,0,0,0,0,0,0,18179,0,162914,181093
1964:Q3,184358,0,0,0,0,0,0,18348,0,166010,184358
1964:Q4,187594,0,0,0,0,0,0,18409,0,169185,187594
1965:Q1,191027,0,0,0,0,0,0,18480,0,172547,191027
1965:Q2,195034,0,0,0,0,0,0,19550,0,175484,195034
1965:Q3,198490,0,0,0,0,0,0,19728,0,178762,198490
1965:Q4,201910,0,0,0,0,0,0,19724,0,182186,201910
1966:Q1,205667,0,0,0,0,0,0,19747,0,185920,205667
1966:Q2,210034,0,0,0,0,0,0,20835,0,189199,210034
1966:Q3,213800,0,0,0,0,0,0,20935,0,192865,213800
1966:Q4,217602,0,0,0,0,0,0,20977,0,196625,217602
1967:Q1,221679,0,0,0,0,0,0,20925,0,200754,221679
1967:Q2,226408,0,0,0,0,0,0,22043,0,204365,226408
1967:Q3,230440,0,0,0,0,0,0,22074,0,208366,230440
1967:Q4,234517,0,0,0,0,0,0,22292,0,212225,234517
