date,LM893111305.Q,LM313111303.Q,LM313011303.Q,FL893011105.Q,FL313011105.Q,LM313011203.Q,LM313011303.Q,LM313111303.Q,FL903011105.Q
1945:Q4,0,0,0,20083,20083,20083,0,0,-20083
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,20706,20706,20706,0,0,-20706
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,22868,22868,22868,0,0,-22868
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,24399,24399,24399,0,0,-24399
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,24563,24563,24563,0,0,-24563
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,22820,22820,22820,0,0,-22820
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,22872,22872,22872,0,0,-22872
1952:Q1,0,0,0,23428,23428,23428,0,0,-23428
1952:Q2,0,0,0,23533,23533,23533,0,0,-23533
1952:Q3,0,0,0,23526,23526,23526,0,0,-23526
1952:Q4,0,0,0,23252,23252,23252,0,0,-23252
1953:Q1,0,0,0,22649,22649,22649,0,0,-22649
1953:Q2,0,0,0,22521,22521,22521,0,0,-22521
1953:Q3,0,0,0,22220,22220,22220,0,0,-22220
1953:Q4,0,0,0,22091,22091,22091,0,0,-22091
1954:Q1,0,0,0,22035,22035,22035,0,0,-22035
1954:Q2,0,0,0,22027,22027,22027,0,0,-22027
1954:Q3,0,0,0,21863,21863,21863,0,0,-21863
1954:Q4,0,0,0,21793,21793,21793,0,0,-21793
1955:Q1,0,0,0,21763,21763,21763,0,0,-21763
1955:Q2,0,0,0,21730,21730,21730,0,0,-21730
1955:Q3,0,0,0,21745,21745,21745,0,0,-21745
1955:Q4,0,0,0,21753,21753,21753,0,0,-21753
1956:Q1,0,0,0,21765,21765,21765,0,0,-21765
1956:Q2,0,0,0,21868,21868,21868,0,0,-21868
1956:Q3,0,0,0,22032,22032,22032,0,0,-22032
1956:Q4,0,0,0,22058,22058,22058,0,0,-22058
1957:Q1,0,0,0,22406,22406,22406,0,0,-22406
1957:Q2,0,0,0,22732,22732,22732,0,0,-22732
1957:Q3,0,0,0,22759,22759,22759,0,0,-22759
1957:Q4,0,0,0,22857,22857,22857,0,0,-22857
1958:Q1,0,0,0,22487,22487,22487,0,0,-22487
1958:Q2,0,0,0,21412,21412,21412,0,0,-21412
1958:Q3,0,0,0,20929,20929,20929,0,0,-20929
1958:Q4,0,0,0,20582,20582,20582,0,0,-20582
1959:Q1,0,0,0,20486,20486,20486,0,0,-20486
1959:Q2,0,0,0,19746,19746,19746,0,0,-19746
1959:Q3,0,0,0,19579,19579,19579,0,0,-19579
1959:Q4,0,0,0,19507,19507,19507,0,0,-19507
1960:Q1,0,0,0,19457,19457,19457,0,0,-19457
1960:Q2,0,0,0,19363,19363,19363,0,0,-19363
1960:Q3,0,0,0,18725,18725,18725,0,0,-18725
1960:Q4,0,0,0,17804,17804,17804,0,0,-17804
1961:Q1,0,0,0,17433,17433,17433,0,0,-17433
1961:Q2,0,0,0,17603,17603,17603,0,0,-17603
1961:Q3,0,0,0,17457,17457,17457,0,0,-17457
1961:Q4,0,0,0,16947,16947,16947,0,0,-16947
1962:Q1,0,0,0,16643,16643,16643,0,0,-16643
1962:Q2,0,0,0,16527,16527,16527,0,0,-16527
1962:Q3,0,0,0,16082,16082,16082,0,0,-16082
1962:Q4,0,0,0,16057,16057,16057,0,0,-16057
1963:Q1,0,0,0,15946,15946,15946,0,0,-15946
1963:Q2,0,0,0,15830,15830,15830,0,0,-15830
1963:Q3,0,0,0,15634,15634,15634,0,0,-15634
1963:Q4,0,0,0,15596,15596,15596,0,0,-15596
1964:Q1,0,0,0,15550,15550,15550,0,0,-15550
1964:Q2,0,0,0,15623,15623,15623,0,0,-15623
1964:Q3,0,0,0,15643,15643,15643,0,0,-15643
1964:Q4,0,0,0,15471,15471,15471,0,0,-15471
1965:Q1,0,0,0,14638,14638,14638,0,0,-14638
1965:Q2,0,0,0,14308,14308,14308,0,0,-14308
1965:Q3,0,0,0,14184,14184,14184,0,0,-14184
1965:Q4,0,0,0,14065,14065,14065,0,0,-14065
1966:Q1,0,0,0,13738,13738,13738,0,0,-13738
1966:Q2,0,0,0,13529,13529,13529,0,0,-13529
1966:Q3,0,0,0,13356,13356,13356,0,0,-13356
1966:Q4,0,0,0,13235,13235,13235,0,0,-13235
1967:Q1,0,0,0,13184,13184,13184,0,0,-13184
1967:Q2,0,0,0,13169,13169,13169,0,0,-13169
1967:Q3,0,0,0,13077,13077,13077,0,0,-13077
1967:Q4,0,0,0,12065,12065,12065,0,0,-12065
1968:Q1,0,0,0,10703,10703,10703,0,0,-10703
1968:Q2,0,0,0,10681,10681,10681,0,0,-10681
1968:Q3,0,0,0,10755,10755,10755,0,0,-10755
1968:Q4,0,0,0,10892,10892,10892,0,0,-10892
1969:Q1,0,0,0,10836,10836,10836,0,0,-10836
1969:Q2,0,0,0,11153,11153,11153,0,0,-11153
1969:Q3,0,0,0,11164,11164,11164,0,0,-11164
1969:Q4,0,0,0,11859,11859,11859,0,0,-11859
1970:Q1,1787,867,920,13690,12823,11903,920,867,-11903
1970:Q2,1824,867,957,13713,12846,11889,957,867,-11889
1970:Q3,1858,867,991,13352,12485,11494,991,867,-11494
1970:Q4,1718,867,851,12790,11923,11072,851,867,-11072
1971:Q1,3027,1584,1443,13990,12406,10963,1443,1584,-10963
1971:Q2,2831,1584,1247,13338,11754,10507,1247,1584,-10507
1971:Q3,2681,1584,1097,12888,11304,10207,1097,1584,-10207
1971:Q4,2914,1720,1194,13120,11400,10206,1194,1720,-10206
1972:Q1,4456,2491,1965,14118,11627,9662,1965,2491,-9662
1972:Q2,4449,2491,1958,14939,12448,10490,1958,2491,-10490
1972:Q3,4449,2491,1958,14936,12445,10487,1958,2491,-10487
1972:Q4,4449,2491,1958,14936,12445,10487,1958,2491,-10487
1973:Q1,4942,2767,2175,15429,12662,10487,2175,2767,-10487
1973:Q2,4933,2767,2166,15420,12653,10487,2166,2767,-10487
1973:Q3,4933,2767,2166,15420,12653,10487,2166,2767,-10487
1973:Q4,4933,2767,2166,16585,13818,11652,2166,2767,-11652
1974:Q1,4933,2767,2166,16585,13818,11652,2166,2767,-11652
1974:Q2,4962,2767,2195,16614,13847,11652,2195,2767,-11652
1974:Q3,5005,2723,2282,16657,13934,11652,2282,2723,-11652
1974:Q4,5183,2809,2374,16835,14026,11652,2374,2809,-11652
1975:Q1,5285,2862,2423,16905,14043,11620,2423,2862,-11620
1975:Q2,5254,2836,2418,16874,14038,11620,2418,2836,-11620
1975:Q3,4972,2671,2301,16571,13900,11599,2301,2671,-11599
1975:Q4,5020,2685,2335,16619,13934,11599,2335,2685,-11599
1976:Q1,5004,2653,2351,16603,13950,11599,2351,2653,-11599
1976:Q2,4945,2629,2316,16543,13914,11598,2316,2629,-11598
1976:Q3,5011,2654,2357,16609,13955,11598,2357,2654,-11598
1976:Q4,5060,2665,2395,42004,39339,36944,2395,2665,-36944
1977:Q1,5048,2659,2389,45975,43316,40927,2389,2659,-40927
1977:Q2,5160,2674,2486,44394,41720,39234,2486,2674,-39234
1977:Q3,5158,2669,2489,47478,44809,42320,2489,2669,-42320
1977:Q4,5416,2787,2629,51197,48410,45781,2629,2787,-45781
1978:Q1,5530,2837,2693,55962,53125,50432,2693,2837,-50432
1978:Q2,5647,2843,2804,55587,52744,49940,2804,2843,-49940
1978:Q3,5881,2939,2942,65542,62603,59661,2942,2939,-59661
1978:Q4,4547,2989,1558,67018,64029,62471,1558,2989,-62471
1979:Q1,6744,4077,2667,68786,64709,62042,2667,4077,-62042
1979:Q2,6760,4090,2670,80380,76290,73620,2670,4090,-73620
1979:Q3,6900,4175,2725,111402,107227,104502,2725,4175,-104502
1979:Q4,6897,4173,2724,142373,138200,135476,2724,4173,-135476
1980:Q1,8739,5058,3681,143795,138737,135056,3681,5058,-135056
1980:Q2,9135,5353,3782,184029,178676,174894,3782,5353,-174894
1980:Q3,9312,5305,4007,190787,185482,181475,4007,5305,-181475
1980:Q4,7765,5155,2610,163581,158426,155816,2610,5155,-155816
1981:Q1,9932,6019,3913,149107,143088,139175,3913,6019,-139175
1981:Q2,9327,5637,3690,123845,118208,114518,3690,5637,-114518
1981:Q3,9504,5608,3896,126534,120926,117030,3896,5608,-117030
1981:Q4,9798,5703,4095,115442,109739,105644,4095,5703,-105644
1982:Q1,9760,5454,4306,98448,92994,88688,4306,5454,-88688
1982:Q2,9812,5351,4461,95032,89681,85220,4461,5351,-85220
1982:Q3,10063,5254,4809,118137,112883,108074,4809,5254,-108074
1982:Q4,10655,5405,5250,131290,125885,120635,5250,5405,-120635
1983:Q1,10514,5285,5229,122520,117235,112006,5229,5285,-112006
1983:Q2,10712,5234,5478,122609,117375,111897,5478,5234,-111897
1983:Q3,10806,5178,5628,118990,113812,108184,5628,5178,-108184
1983:Q4,10155,5130,5025,110639,105509,100484,5025,5130,-100484
1984:Q1,10555,5214,5341,115406,110192,104851,5341,5214,-104851
1984:Q2,10511,5052,5459,111348,106296,100837,5459,5052,-100837
1984:Q3,10449,4895,5554,103668,98773,93219,5554,4895,-93219
1984:Q4,10444,4803,5641,91646,86843,81202,5641,4803,-81202
1985:Q1,10830,4857,5973,99495,94638,88665,5973,4857,-88665
1985:Q2,11087,4891,6196,95956,91065,84869,6196,4891,-84869
1985:Q3,12038,5191,6847,98846,93655,86808,6847,5191,-86808
1985:Q4,12675,5382,7293,98509,93127,85834,7293,5382,-85834
1986:Q1,13416,5577,7839,101113,95536,87697,7839,5577,-87697
1986:Q2,13983,5770,8213,105667,99897,91684,8213,5770,-91684
1986:Q3,14240,5945,8295,127768,121823,113528,8295,5945,-113528
1986:Q4,14388,5993,8395,116816,110823,102428,8395,5993,-102428
1987:Q1,15039,6299,8740,127472,121173,112433,8740,6299,-112433
1987:Q2,15118,6262,8856,136124,129862,121006,8856,6262,-121006
1987:Q3,15348,6270,9078,137255,130985,121907,9078,6270,-121907
1987:Q4,17234,6951,10283,144882,137931,127648,10283,6951,-127648
1988:Q1,16696,6797,9899,139265,132468,122569,9899,6797,-122569
1988:Q2,15601,6421,9180,132955,126534,117354,9180,6421,-117354
1988:Q3,15396,6322,9074,121582,115260,106186,9074,6322,-106186
1988:Q4,16230,6593,9637,123664,117071,107434,9637,6593,-107434
1989:Q1,16123,6334,9789,119696,113362,103573,9789,6334,-103573
1989:Q2,15487,6107,9380,116193,110086,100706,9380,6107,-100706
1989:Q3,16103,6270,9833,114788,108518,98685,9833,6270,-98685
1989:Q4,16390,6439,9951,121554,115115,105164,9951,6439,-105164
1990:Q1,16465,6373,10092,115805,109432,99340,10092,6373,-99340
1990:Q2,16976,6486,10490,112958,106472,95982,10490,6486,-95982
1990:Q3,17489,6823,10666,125649,118826,108160,10666,6823,-108160
1990:Q4,17959,6970,10989,120365,113395,102406,10989,6970,-102406
1991:Q1,16964,6596,10368,113095,106499,96131,10368,6596,-96131
1991:Q2,16750,6441,10309,115885,109444,99135,10309,6441,-99135
1991:Q3,17425,6703,10722,112710,106007,95285,10722,6703,-95285
1991:Q4,18248,7008,11240,110809,103801,92561,11240,7008,-92561
1992:Q1,17668,6721,10947,110282,103561,92614,10947,6721,-92614
1992:Q2,18609,7012,11597,111059,104047,92450,11597,7012,-92450
1992:Q3,19327,7216,12111,113060,105844,93733,12111,7216,-93733
1992:Q4,15240,6737,8503,102408,95671,87168,8503,6737,-87168
1993:Q1,15635,6848,8787,106433,99585,90798,8787,6848,-90798
1993:Q2,15864,6877,8987,117803,110926,101939,8987,6877,-101939
1993:Q3,16152,6949,9203,111729,104780,95577,9203,6949,-95577
1993:Q4,15769,6730,9039,118325,111595,102556,9039,6730,-102556
1994:Q1,16304,6921,9383,121787,114866,105483,9383,6921,-105483
1994:Q2,16827,7096,9731,120672,113576,103845,9731,7096,-103845
1994:Q3,17160,7189,9971,123298,116109,106138,9971,7189,-106138
1994:Q4,17192,7153,10039,117302,110149,100110,10039,7153,-100110
1995:Q1,19297,7646,11651,124869,117223,105572,11651,7646,-105572
1995:Q2,19555,7686,11869,123134,115448,103579,11869,7686,-103579
1995:Q3,18415,7380,11035,121694,114314,103279,11035,7380,-103279
1995:Q4,18320,7283,11037,119599,112316,101279,11037,7283,-101279
1996:Q1,18205,7159,11046,124990,117831,106785,11046,7159,-106785
1996:Q2,18052,7072,10980,120550,113478,102498,10980,7072,-102498
1996:Q3,17229,7052,10177,119072,112020,101843,10177,7052,-101843
1996:Q4,17357,7045,10312,114055,107010,96698,10312,7045,-96698
1997:Q1,16674,6795,9879,111503,104708,94829,9879,6795,-94829
1997:Q2,16824,6801,10023,107066,100265,90242,10023,6801,-90242
1997:Q3,16686,6689,9997,106955,100266,90269,9997,6689,-90269
1997:Q4,16638,6611,10027,92567,85956,75929,10027,6611,-75929
