date,FL894110005.Q,FL713113003.Q,FL764110005.Q,FL714010075.Q,FL713022003.Q,FL713068715.Q,FL764112205.Q,FL754012205.Q,FL743020005.Q,FL474012205.Q,FL764112295.Q,FL764116005.Q,FL763192605.Q,FL274135123.Q,FL754110005.Q,FL754112205.Q,FL754116005.Q,FL753192605.Q,FL284135125.Q,FL713068743.Q,FL264116005.Q,FL703092605.Q,FL264116205.Q,FL264135125.Q,FL713011515.Q,FL713091103.Q,FL894010005.Q,FL714010005.Q,FL713022003.Q,FL713068705.Q,FL713011515.Q,FL713091103.Q,FL764010005.Q,FL763013005.Q,FL754112205.Q,FL764016005.Q,FL763092605.Q,FL764016205.Q,FL764035125.Q,FL754010005.Q,FL753013003.Q,FL754012205.Q,FL754016005.Q,FL753092605.Q,FL754016205.Q,FL754035125.Q,FL743020003.Q,FL743013003.Q,FL743020005.Q,FL474010005.Q,FL473013005.Q,FL474012205.Q,FL264016005.Q,FL703192605.Q,FL264035125.Q,FL904010005.Q
1945:Q4,17324,15915,1091,780,578,202,-100,13,182,184,-479,411,411,0,125,19,106,106,0,0,193,50,45,98,0,0,17803,780,578,202,0,0,16065,15915,19,131,0,41,90,75,0,13,62,50,4,8,182,0,182,184,0,184,517,517,0,-479
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,16993,16139,198,596,580,16,-593,20,161,203,-977,195,195,0,183,6,177,177,0,0,473,58,73,342,0,0,17970,596,580,16,0,0,16542,16139,6,397,0,70,327,96,0,20,76,58,3,15,161,0,161,203,0,203,372,372,0,-977
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,19129,17899,348,569,535,34,-471,28,159,194,-852,250,250,0,323,13,310,310,0,0,559,66,160,333,0,0,19981,569,535,34,0,0,18381,17899,13,469,0,156,313,118,0,28,90,66,4,20,159,0,159,194,0,194,560,560,0,-852
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
