date,FL893130505.Q,FL313131003.Q,FL403197033.Q,LM263130505.Q,FL893030505.Q,LM153030505.Q,FL103091003.Q,FL313030505.Q,FL713011405.Q,FL403197033.Q,FL633091003.Q,FL733091003.Q,FL903091005.Q,FL263111403.Q,FL313011405.Q,FL713011405.Q,FL313131003.Q,FL313131003.Q,FL403197033.Q,FL403197033.Q,LM263191005.Q,LM153091003.Q,FL103091003.Q,FL313091005.Q,FL633091003.Q,FL733091003.Q,FL903091005.Q
1945:Q4,3495,3014,46,435,3495,3014,33,402,-0,46,0,0,0,0,0,-0,3014,3014,46,46,435,0,33,402,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3481,3379,70,32,3481,3379,68,-36,-0,70,0,0,0,-248,-248,-0,3379,3379,70,70,280,0,68,212,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,4933,3523,98,1312,4933,3523,51,1540,-279,98,0,0,0,937,1216,-279,3523,3523,98,98,375,0,51,324,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5114,3442,133,1539,5114,3442,10,1810,-281,133,0,0,0,1293,1574,-281,3442,3442,133,133,246,0,10,236,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,5450,3302,267,1881,5450,3302,10,2151,-280,267,0,0,0,1462,1742,-280,3302,3302,267,267,419,0,10,409,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,5206,3035,224,1947,5206,3035,57,1924,-34,224,0,0,0,1446,1480,-34,3035,3035,224,224,501,0,57,444,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,5038,2813,261,1964,5038,2813,91,1901,-28,261,0,0,0,1426,1454,-28,2813,2813,261,261,538,0,91,447,0,0,0
1952:Q1,5113,2777,345,1991,5113,2777,84,1938,-31,345,0,0,0,1466,1497,-31,2777,2777,345,345,525,0,84,441,0,0,0
1952:Q2,5118,2728,407,1983,5118,2728,102,1911,-30,407,0,0,0,1446,1476,-30,2728,2728,407,407,537,0,102,435,0,0,0
1952:Q3,5036,2680,380,1976,5036,2680,98,1909,-31,380,0,0,0,1456,1487,-31,2680,2680,380,380,520,0,98,422,0,0,0
1952:Q4,5046,2656,420,1970,5046,2656,75,1925,-30,420,0,0,0,1462,1492,-30,2656,2656,420,420,508,0,75,433,0,0,0
1953:Q1,5093,2618,469,2006,5093,2618,102,1936,-32,469,0,0,0,1460,1492,-32,2618,2618,469,469,546,0,102,444,0,0,0
1953:Q2,4986,2567,505,1914,4986,2567,74,1870,-30,505,0,0,0,1418,1448,-30,2567,2567,505,505,496,0,74,422,0,0,0
1953:Q3,4932,2509,481,1942,4932,2509,85,1887,-30,481,0,0,0,1439,1469,-30,2509,2509,481,481,503,0,85,418,0,0,0
1953:Q4,4924,2465,558,1901,4924,2465,114,1830,-43,558,0,0,0,1367,1410,-43,2465,2465,558,558,534,0,114,420,0,0,0
1954:Q1,4987,2415,739,1833,4987,2415,115,1754,-36,739,0,0,0,1323,1359,-36,2415,2415,739,739,510,0,115,395,0,0,0
1954:Q2,5059,2355,819,1885,5059,2355,128,1793,-36,819,0,0,0,1303,1339,-36,2355,2355,819,819,582,0,128,454,0,0,0
1954:Q3,4923,2304,773,1846,4923,2304,150,1732,-36,773,0,0,0,1175,1211,-36,2304,2304,773,773,671,0,150,521,0,0,0
1954:Q4,4915,2239,802,1874,4915,2239,158,1753,-37,802,0,0,0,1185,1222,-37,2239,2239,802,802,689,0,158,531,0,0,0
1955:Q1,4980,2200,859,1921,4980,2200,147,1810,-36,859,0,0,0,1141,1177,-36,2200,2200,859,859,780,0,147,633,0,0,0
1955:Q2,4942,2107,855,1980,4942,2107,127,1915,-62,855,0,0,0,1121,1183,-62,2107,2107,855,855,859,0,127,732,0,0,0
1955:Q3,4704,1997,669,2038,4704,1997,123,1944,-29,669,0,0,0,1108,1137,-29,1997,1997,669,669,930,0,123,807,0,0,0
1955:Q4,4729,1984,698,2047,4729,1984,129,1979,-61,698,0,0,0,1044,1105,-61,1984,1984,698,698,1003,0,129,874,0,0,0
1956:Q1,4791,1893,771,2127,4791,1893,95,2062,-30,771,0,0,0,1048,1078,-30,1893,1893,771,771,1079,0,95,984,0,0,0
1956:Q2,4822,1858,739,2225,4822,1858,141,2112,-28,739,0,0,0,979,1007,-28,1858,1858,739,739,1246,0,141,1105,0,0,0
1956:Q3,4912,1792,659,2461,4912,1792,119,2373,-31,659,0,0,0,1052,1083,-31,1792,1792,659,659,1409,0,119,1290,0,0,0
1956:Q4,5606,1740,683,3183,5606,1740,138,3104,-59,683,0,0,0,1608,1667,-59,1740,1740,683,683,1575,0,138,1437,0,0,0
1957:Q1,5842,1693,669,3480,5842,1693,198,3312,-30,669,0,0,0,1588,1618,-30,1693,1693,669,669,1892,0,198,1694,0,0,0
1957:Q2,6102,1592,696,3814,6102,1592,176,3671,-33,696,0,0,0,1649,1682,-33,1592,1592,696,696,2165,0,176,1989,0,0,0
1957:Q3,6212,1490,549,4173,6212,1490,153,4043,-23,549,0,0,0,1898,1921,-23,1490,1490,549,549,2275,0,153,2122,0,0,0
1957:Q4,6233,1413,653,4167,6233,1413,131,4065,-29,653,0,0,0,1975,2004,-29,1413,1413,653,653,2192,0,131,2061,0,0,0
1958:Q1,6746,1388,974,4384,6746,1388,160,4263,-39,974,0,0,0,2042,2081,-39,1388,1388,974,974,2342,0,160,2182,0,0,0
1958:Q2,6990,1288,1118,4584,6990,1288,132,4499,-47,1118,0,0,0,2084,2131,-47,1288,1288,1118,1118,2500,0,132,2368,0,0,0
1958:Q3,6823,1287,859,4677,6823,1287,172,4597,-92,859,0,0,0,2031,2123,-92,1287,1287,859,859,2646,0,172,2474,0,0,0
1958:Q4,6546,1220,819,4507,6546,1220,149,4393,-35,819,0,0,0,1958,1993,-35,1220,1220,819,819,2549,0,149,2400,0,0,0
1959:Q1,6314,1186,736,4392,6314,1186,143,4283,-34,736,0,0,0,1793,1827,-34,1186,1186,736,736,2599,0,143,2456,0,0,0
1959:Q2,6736,1127,776,4833,6736,1127,137,4730,-34,776,0,0,0,2111,2145,-34,1127,1127,776,776,2722,0,137,2585,0,0,0
1959:Q3,6288,1075,570,4643,6288,1075,145,4671,-173,570,0,0,0,2085,2258,-173,1075,1075,570,570,2558,0,145,2413,0,0,0
1959:Q4,6161,1031,589,4541,6161,1031,132,4471,-62,589,0,0,0,1997,2059,-62,1031,1031,589,589,2544,0,132,2412,0,0,0
1960:Q1,6071,975,534,4562,6071,975,121,4497,-56,534,0,0,0,1888,1944,-56,975,975,534,534,2674,0,121,2553,0,0,0
1960:Q2,6303,917,736,4650,6303,917,140,4590,-80,736,0,0,0,1807,1887,-80,917,917,736,736,2843,0,140,2703,0,0,0
1960:Q3,6304,873,737,4694,6304,873,191,4609,-106,737,0,0,0,1705,1811,-106,873,873,737,737,2989,0,191,2798,0,0,0
1960:Q4,6425,844,938,4643,6425,844,148,4596,-101,938,0,0,0,1555,1656,-101,844,844,938,938,3088,0,148,2940,0,0,0
1961:Q1,6578,803,1026,4749,6578,803,189,4619,-59,1026,0,0,0,1530,1589,-59,803,803,1026,1026,3219,0,189,3030,0,0,0
1961:Q2,6873,774,1154,4945,6873,774,213,4842,-110,1154,0,0,0,1519,1629,-110,774,774,1154,1154,3426,0,213,3213,0,0,0
1961:Q3,7170,743,1022,5405,7170,743,238,5236,-69,1022,0,0,0,2002,2071,-69,743,743,1022,1022,3403,0,238,3165,0,0,0
1961:Q4,7085,720,1180,5185,7085,720,236,4996,-47,1180,0,0,0,1690,1737,-47,720,720,1180,1180,3495,0,236,3259,0,0,0
1962:Q1,6756,677,1109,4970,6756,677,234,4785,-49,1109,0,0,0,1456,1505,-49,677,677,1109,1109,3514,0,234,3280,0,0,0
1962:Q2,6784,648,1193,4943,6784,648,296,4696,-49,1193,0,0,0,1409,1458,-49,648,648,1193,1193,3534,0,296,3238,0,0,0
1962:Q3,6820,620,984,5216,6820,620,788,4473,-45,984,0,0,0,1078,1123,-45,620,620,984,984,4138,0,788,3350,0,0,0
1962:Q4,7083,601,1213,5269,7083,601,790,4527,-48,1213,0,0,0,1064,1112,-48,601,601,1213,1213,4205,0,790,3415,0,0,0
1963:Q1,7264,575,1283,5406,7264,575,828,4627,-49,1283,0,0,0,1110,1159,-49,575,575,1283,1283,4296,0,828,3468,0,0,0
1963:Q2,7762,551,1325,5886,7762,551,1065,4914,-93,1325,0,0,0,1109,1202,-93,551,551,1325,1325,4777,0,1065,3712,0,0,0
1963:Q3,7391,523,1014,5854,7391,523,1000,4901,-47,1014,0,0,0,1050,1097,-47,523,523,1014,1014,4804,0,1000,3804,0,0,0
1963:Q4,7271,508,1151,5612,7271,508,731,4933,-52,1151,0,0,0,1035,1087,-52,508,508,1151,1151,4577,0,731,3846,0,0,0
1964:Q1,6976,491,977,5508,6976,491,867,4689,-48,977,0,0,0,904,952,-48,491,491,977,977,4604,0,867,3737,0,0,0
1964:Q2,7109,473,1153,5483,7109,473,978,4552,-47,1153,0,0,0,786,833,-47,473,473,1153,1153,4697,0,978,3719,0,0,0
1964:Q3,7018,455,989,5574,7018,455,1243,4377,-46,989,0,0,0,651,697,-46,455,455,989,989,4923,0,1243,3680,0,0,0
1964:Q4,7334,436,1199,5699,7334,436,1097,4647,-45,1199,0,0,0,769,814,-45,436,436,1199,1199,4930,0,1097,3833,0,0,0
1965:Q1,6834,411,1048,5375,6834,411,1033,4390,-48,1048,0,0,0,701,749,-48,411,411,1048,1048,4674,0,1033,3641,0,0,0
1965:Q2,7233,388,1175,5670,7233,388,822,4895,-47,1175,0,0,0,1167,1214,-47,388,388,1175,1175,4503,0,822,3681,0,0,0
1965:Q3,6637,371,944,5322,6637,371,892,4480,-50,944,0,0,0,837,887,-50,371,371,944,944,4485,0,892,3593,0,0,0
1965:Q4,6731,352,1045,5334,6731,352,781,4602,-49,1045,0,0,0,863,912,-49,352,352,1045,1045,4471,0,781,3690,0,0,0
1966:Q1,6668,332,824,5512,6668,332,884,4687,-59,824,0,0,0,729,788,-59,332,332,824,824,4783,0,884,3899,0,0,0
1966:Q2,6671,216,1025,5430,6671,216,917,4573,-60,1025,0,0,0,707,767,-60,216,216,1025,1025,4723,0,917,3806,0,0,0
1966:Q3,6232,164,735,5333,6232,164,932,4453,-52,735,0,0,0,372,424,-52,164,164,735,735,4961,0,932,4029,0,0,0
1966:Q4,6362,135,1037,5190,6362,135,885,4362,-57,1037,0,0,0,326,383,-57,135,135,1037,1037,4864,0,885,3979,0,0,0
1967:Q1,6619,99,1491,5029,6619,99,951,4138,-60,1491,0,0,0,357,417,-60,99,99,1491,1491,4672,0,951,3721,0,0,0
1967:Q2,6889,83,1926,4880,6889,83,843,4096,-59,1926,0,0,0,367,426,-59,83,83,1926,1926,4513,0,843,3670,0,0,0
1967:Q3,6225,44,1318,4863,6225,44,827,4094,-58,1318,0,0,0,372,430,-58,44,44,1318,1318,4491,0,827,3664,0,0,0
1967:Q4,6484,25,1432,5027,6484,25,1055,4032,-60,1432,0,0,0,420,480,-60,25,25,1432,1432,4607,0,1055,3552,0,0,0
