date,FL892150005.Q,FL712151003.Q,FL762150005.Q,FL762152005.Q,FL762151005.Q,FL752150005.Q,FL752152005.Q,FL752151005.Q,FL472150053.Q,FL512151003.Q,FL542151073.Q,FL402150005.Q,FL642151073.Q,FL662151003.Q,FL732151003.Q,FL262151005.Q,FL892050005.Q,FL102051003.Q,FL313011545.Q,FL212051003.Q,FL712051005.Q,FL762050005.Q,FL762052005.Q,FL762051005.Q,FL752050005.Q,FL752052005.Q,FL752051005.Q,FL472050053.Q,FL472052053.Q,FL472051055.Q,FL512051005.Q,FL542051075.Q,FL572051005.Q,FL222051043.Q,FL632051000.Q,FL652051003.Q,FL402050005.Q,FL402052033.Q,FL662051003.Q,FL732051003.Q,FL502051005.Q,FL262051005.Q,FL902050005.Q,FL072052006.Q,FL712151103.Q,FL632051103.Q,FL792051115.Q
1945:Q4,18,0,13,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,28,0,0,0,0,2,ND,ND,1,ND,ND,0,ND,ND,0,0,0,0,0,25,0,0,0,0,0,0,-10,ND,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,23,0,22,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,42,0,0,0,0,5,ND,ND,2,ND,ND,0,ND,ND,0,0,0,0,0,35,0,0,0,0,0,0,-19,ND,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,25,0,23,ND,ND,2,ND,ND,0,0,0,0,0,0,0,0,124,0,0,0,0,86,ND,ND,2,ND,ND,0,ND,ND,0,0,0,0,0,36,0,0,0,0,0,0,-99,ND,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,19,0,17,ND,ND,2,ND,ND,0,0,0,0,0,0,0,0,128,0,0,0,0,91,ND,ND,2,ND,ND,0,ND,ND,0,0,0,0,0,35,0,0,0,0,0,0,-109,ND,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,13,0,9,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,119,0,0,0,0,74,ND,ND,3,ND,ND,0,ND,ND,0,0,0,0,0,42,0,0,0,0,0,0,-106,ND,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,22,0,17,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,173,0,0,0,53,68,ND,ND,3,ND,ND,0,ND,ND,0,0,0,0,0,49,0,0,0,0,0,0,-151,ND,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,16,0,11,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,281,0,0,0,197,8,ND,ND,4,ND,ND,0,ND,ND,0,0,0,0,0,72,0,0,0,0,0,0,-265,ND,0,0,0
1952:Q1,240,0,235,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,705,0,0,80,300,160,ND,ND,5,ND,ND,0,ND,ND,0,0,83,0,0,77,0,0,0,0,0,0,-465,ND,0,0,0
1952:Q2,43,0,38,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,737,0,0,167,400,12,ND,ND,6,ND,ND,0,ND,ND,0,0,86,0,0,66,0,0,0,0,0,0,-694,ND,0,0,0
1952:Q3,428,0,424,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,1754,0,0,679,500,420,ND,ND,5,ND,ND,0,ND,ND,0,0,90,0,0,60,0,0,0,0,0,0,-1326,ND,0,0,0
1952:Q4,50,0,46,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,1103,0,0,247,664,26,ND,ND,6,ND,ND,0,ND,ND,0,0,93,0,0,67,0,0,0,0,0,0,-1053,ND,0,0,0
1953:Q1,627,0,623,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,1514,0,0,256,600,489,ND,ND,5,ND,ND,0,ND,ND,0,0,94,0,0,70,0,0,0,0,0,0,-887,ND,0,0,0
1953:Q2,48,0,44,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,796,0,0,0,600,34,ND,ND,5,ND,ND,0,ND,ND,0,0,96,0,0,61,0,0,0,0,0,0,-748,ND,0,0,0
1953:Q3,237,0,233,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,1798,0,0,815,600,222,ND,ND,6,ND,ND,0,ND,ND,0,0,96,0,0,59,0,0,0,0,0,0,-1561,ND,0,0,0
1953:Q4,41,0,37,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,959,0,0,175,598,5,ND,ND,6,ND,ND,0,ND,ND,0,0,97,0,0,78,0,0,0,0,0,0,-918,ND,0,0,0
1954:Q1,78,0,74,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,475,0,0,-216,400,112,ND,ND,6,ND,ND,0,ND,ND,0,0,99,0,0,74,0,0,0,0,0,0,-397,ND,0,0,0
1954:Q2,29,0,25,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,477,0,0,0,300,1,ND,ND,6,ND,ND,0,ND,ND,0,0,101,0,0,69,0,0,0,0,0,0,-448,ND,0,0,0
1954:Q3,332,0,327,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,1523,0,0,1006,100,235,ND,ND,7,ND,ND,0,ND,ND,0,0,103,0,0,72,0,0,0,0,0,0,-1191,1.07,0,0,0
1954:Q4,21,0,16,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,432,0,0,172,44,25,ND,ND,7,ND,ND,0,ND,ND,0,0,106,0,0,78,0,0,0,0,0,0,-411,1.28,0,0,0
1955:Q1,674,0,669,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,1394,0,0,402,100,679,ND,ND,7,ND,ND,0,ND,ND,0,0,111,0,0,95,0,0,0,0,0,0,-720,1.35,0,0,0
1955:Q2,61,0,56,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,555,0,0,0,200,137,ND,ND,8,ND,ND,0,ND,ND,0,0,118,0,0,92,0,0,0,0,0,0,-494,1.64,0,0,0
1955:Q3,478,0,473,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,2184,0,0,1136,300,485,ND,ND,8,ND,ND,0,ND,ND,0,0,125,0,0,104,26,0,0,0,0,0,-1706,2.18,0,0,0
1955:Q4,44,0,39,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,1576,0,0,721,398,185,ND,ND,8,ND,ND,0,ND,ND,0,0,132,0,0,92,40,0,0,0,0,0,-1532,2.48,0,0,0
1956:Q1,833,0,828,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,2017,0,0,563,300,831,ND,ND,8,ND,ND,0,ND,ND,0,0,140,0,0,135,40,0,0,0,0,0,-1184,2.5,0,0,0
1956:Q2,98,0,92,ND,ND,6,ND,ND,0,0,0,0,0,0,0,0,852,0,0,0,300,257,ND,ND,9,ND,ND,0,ND,ND,0,0,150,0,0,99,37,0,0,0,0,0,-754,2.71,0,0,0
1956:Q3,791,0,785,ND,ND,6,ND,ND,0,0,0,0,0,0,0,0,3212,0,0,1878,300,725,ND,ND,9,ND,ND,0,ND,ND,0,0,158,0,0,120,22,0,0,0,0,0,-2421,2.95,0,0,0
1956:Q4,44,0,38,ND,ND,6,ND,ND,0,0,0,0,0,0,0,0,2119,0,0,1292,340,185,ND,ND,10,ND,ND,0,ND,ND,0,0,166,0,0,108,18,0,0,0,0,0,-2075,2.94,0,0,0
1957:Q1,936,0,929,ND,ND,7,ND,ND,0,0,0,0,0,0,0,0,2645,0,0,1118,400,806,ND,ND,10,ND,ND,0,ND,ND,0,0,172,0,0,121,18,0,0,0,0,0,-1709,2.96,0,0,0
1957:Q2,658,0,650,ND,ND,8,ND,ND,0,0,0,0,0,0,0,0,1368,0,0,0,400,640,ND,ND,10,ND,ND,0,ND,ND,0,0,177,0,0,126,15,0,0,0,0,0,-710,3,0,0,0
1957:Q3,695,0,686,ND,ND,9,ND,ND,0,0,0,0,0,0,0,0,3564,0,0,2242,400,595,ND,ND,10,ND,ND,0,ND,ND,0,0,182,0,0,119,16,0,0,0,0,0,-2869,3.47,0,0,0
1957:Q4,30,0,20,ND,ND,10,ND,ND,0,0,0,0,0,0,0,0,2952,0,0,1820,542,252,ND,ND,11,ND,ND,0,ND,ND,0,0,186,0,0,123,18,0,0,0,0,0,-2922,2.98,0,0,0
1958:Q1,597,0,587,ND,ND,10,ND,ND,0,0,0,0,0,0,0,0,3401,0,0,1758,410,866,ND,ND,11,ND,ND,0,ND,ND,0,0,191,0,0,153,12,0,0,0,0,0,-2804,1.2,0,0,0
1958:Q2,598,0,587,ND,ND,11,ND,ND,0,0,0,0,0,0,0,0,1512,0,0,0,310,804,ND,ND,11,ND,ND,0,ND,ND,0,0,194,0,0,183,10,0,0,0,0,0,-914,0.93,0,0,0
1958:Q3,928,0,917,ND,ND,11,ND,ND,0,0,0,0,0,0,0,0,3558,0,0,2093,210,867,ND,ND,11,ND,ND,0,ND,ND,0,0,198,0,0,172,7,0,0,0,0,0,-2630,1.76,0,0,0
1958:Q4,32,0,20,ND,ND,12,ND,ND,0,0,0,0,0,0,0,0,2060,0,0,1417,101,210,ND,ND,11,ND,ND,0,ND,ND,0,0,204,0,0,117,0,0,0,0,0,0,-2028,2.42,0,0,0
1959:Q1,1120,0,1109,ND,ND,11,ND,ND,0,0,0,0,0,0,0,0,1688,0,0,204,70,1043,ND,ND,11,ND,ND,0,ND,ND,0,0,211,0,0,149,0,0,0,0,0,0,-568,2.8,0,0,0
1959:Q2,1375,0,1364,ND,ND,11,ND,ND,0,0,0,0,0,0,0,0,1413,0,0,0,70,962,ND,ND,12,ND,ND,0,ND,ND,0,0,218,0,0,151,0,0,0,0,0,0,-38,3.39,0,0,0
1959:Q3,822,0,811,ND,ND,11,ND,ND,0,0,0,0,0,0,0,0,2113,0,0,998,70,619,ND,ND,12,ND,ND,0,ND,ND,0,0,227,0,0,187,0,0,0,0,0,0,-1291,3.76,0,0,0
1959:Q4,133,0,122,ND,ND,11,ND,ND,0,0,0,0,0,0,0,0,1188,0,0,576,73,140,ND,ND,12,ND,ND,0,ND,ND,0,0,235,0,0,152,0,0,0,0,0,0,-1055,3.99,0,0,0
1960:Q1,1865,0,1856,ND,ND,9,ND,ND,0,0,0,0,0,0,0,0,1837,0,0,154,125,1121,ND,ND,12,ND,ND,0,ND,ND,0,0,245,0,0,180,0,0,0,0,0,0,28,3.84,0,0,0
1960:Q2,1434,0,1427,ND,ND,7,ND,ND,0,0,0,0,0,0,0,0,1790,0,0,0,225,1109,ND,ND,12,ND,ND,0,ND,ND,0,0,255,0,0,189,0,0,0,0,0,0,-356,3.32,0,0,0
1960:Q3,1099,0,1093,ND,ND,6,ND,ND,0,0,0,0,0,0,0,0,1868,0,0,155,325,900,ND,ND,13,ND,ND,0,ND,ND,0,0,266,0,0,209,0,0,0,0,0,0,-769,2.6,0,0,0
1960:Q4,108,0,104,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,984,0,0,-176,420,272,ND,ND,13,ND,ND,0,ND,ND,0,0,275,0,0,177,3,0,0,0,0,0,-876,1.98,0,0,0
1961:Q1,1363,0,1331,ND,ND,7,ND,ND,0,0,0,0,0,0,0,25,2221,0,13,79,323,1269,ND,ND,14,ND,ND,0,ND,ND,0,0,284,0,0,240,0,0,0,0,0,0,-858,2.02,0,0,0
1961:Q2,502,0,306,ND,ND,10,ND,ND,0,0,0,0,0,0,0,186,1223,0,93,0,353,267,ND,ND,16,ND,ND,0,ND,ND,0,0,291,0,0,203,0,0,0,0,0,0,-721,1.73,0,0,0
1961:Q3,1684,0,1613,ND,ND,9,ND,ND,0,0,0,0,0,0,0,62,2786,0,31,556,241,1389,ND,ND,15,ND,ND,0,ND,ND,0,0,298,0,0,256,0,0,0,0,0,0,-1102,1.88,0,0,0
1961:Q4,390,0,267,ND,ND,7,ND,ND,0,0,0,0,0,0,0,116,952,0,58,-55,220,233,ND,ND,15,ND,ND,0,ND,ND,0,0,307,0,0,174,0,0,0,0,0,0,-562,2.33,0,0,0
1962:Q1,1923,0,1688,ND,ND,5,ND,ND,0,0,0,0,0,0,0,230,2674,0,115,41,335,1532,ND,ND,14,ND,ND,0,ND,ND,0,0,321,0,0,316,0,0,0,0,0,0,-751,2.85,0,0,0
1962:Q2,1114,0,557,ND,ND,3,ND,ND,0,0,0,0,0,0,0,554,1917,0,277,0,547,488,ND,ND,13,ND,ND,0,ND,ND,0,0,338,0,0,254,0,0,0,0,0,0,-803,2.68,0,0,0
1962:Q3,1838,0,1386,ND,ND,2,ND,ND,0,0,0,0,0,0,0,450,3477,0,225,912,545,1154,ND,ND,13,ND,ND,0,ND,ND,0,0,355,0,0,273,0,0,0,0,0,0,-1639,2.9,0,0,0
1962:Q4,770,0,668,ND,ND,3,ND,ND,0,0,0,0,0,0,0,99,2225,0,50,466,450,589,ND,ND,13,ND,ND,0,ND,ND,0,0,369,0,0,289,0,0,0,0,0,0,-1455,2.93,0,0,0
1963:Q1,2318,0,2180,ND,ND,6,ND,ND,0,0,0,0,0,0,0,132,2990,0,66,-1,386,1828,ND,ND,15,ND,ND,0,ND,ND,0,0,380,0,0,316,0,0,0,0,0,0,-672,2.98,0,0,0
1963:Q2,1222,0,1087,ND,ND,9,ND,ND,0,0,0,0,0,0,0,126,1886,0,63,0,283,850,ND,ND,16,ND,ND,0,ND,ND,0,0,385,0,0,289,0,0,0,0,0,0,-664,2.99,0,0,0
1963:Q3,2008,0,1849,ND,ND,5,ND,ND,0,0,0,0,0,0,0,154,3529,0,77,1004,197,1554,ND,ND,18,ND,ND,0,ND,ND,0,0,393,0,0,286,0,0,0,0,0,0,-1521,3.48,0,0,0
