date,FL313161105.Q,FL313161110.Q,FL313161275.Q,FL893061105.Q,LM153061105.Q,LM103061103.Q,LM113061003.Q,LM213061103.Q,LM713061103.Q,LM713061113.Q,LM713061125.Q,LM763061100.Q,LM753061103.Q,LM743061103.Q,LM473061105.Q,LM513061105.Q,LM513061115.Q,LM513061125.Q,LM543061105.Q,LM543061115.Q,LM543061125.Q,LM573061105.Q,LM573061143.Q,LM573061133.Q,LM343061105.Q,LM343061165.Q,LM343061113.Q,LM223061143.Q,FL633061105.Q,FL633061110.Q,FL633061120.Q,LM653061105.Q,LM653061113.Q,LM653061125.Q,LM553061103.Q,LM563061103.Q,LM403061105.Q,FL673061103.Q,LM663061105.Q,LM733061103.Q,FL503061123.Q,LM263061105.Q,LM263061110.Q,LM263061120.Q,LM903061103.Q,FL313169205.Q
1945:Q4,208239,55192,153047,208239,23582,18508,0,5531,24262,21195,3067,103721,236,599,50,2700,0,2700,20589,0,20589,2051,1538,513,0,0,0,1519,0,0,0,36,0,36,49,0,351,0,1881,0,0,2574,0,2574,0,45838
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,183777,47020,136757,183777,20976,12779,0,5179,23350,22241,1109,88563,192,534,50,3294,0,3294,21635,0,21635,2100,1575,525,0,0,0,1671,0,0,0,31,0,31,50,0,356,0,917,0,0,2100,0,2100,0,47424
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,174498,36356,138142,174498,18829,12291,0,5890,22559,18230,4329,82927,168,438,65,3885,0,3885,20040,0,20040,2151,1613,538,0,0,0,1860,0,0,0,43,0,43,65,0,325,0,262,0,0,2700,0,2700,0,50332
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,166341,38749,127592,166341,17980,12853,0,6277,23333,11565,11768,75561,191,365,75,4413,0,4413,16812,0,16812,2200,1650,550,0,0,0,2073,0,0,0,65,0,65,70,0,453,0,820,0,0,2800,0,2800,0,52756
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,167366,41955,125411,167366,17956,14697,0,6343,18885,11104,7781,79894,265,321,82,4826,0,4826,15298,0,15298,2300,1725,575,0,0,0,2257,0,0,0,104,0,104,85,0,450,0,703,0,0,2900,0,2900,0,55259
