date,FL893150005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL263150005.Q,FL893150005.Q,FL153050005.Q,FL543050005.Q,FL543151905.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1945:Q4,61172,2700,20697,24792,12983,0,61172,61172,0,0,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,69381,3100,22077,29054,15150,0,69381,69381,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,77939,3600,23594,32968,17777,0,77939,77939,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,86476,4200,24957,36953,20366,0,86476,86476,0,0,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,95413,4825,26227,41313,23048,0,95413,95413,0,0,ND,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,104563,5600,27229,45852,25882,0,104563,104563,0,0,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,118836,6575,32068,51985,28208,0,118836,118836,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q1,123170,6845,33458,53826,29041,0,123170,123170,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q2,127384,7129,34609,55772,29874,0,127384,127384,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q3,131502,7417,35751,57627,30707,0,131502,131502,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q4,135627,7700,36940,59447,31540,0,135627,135627,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q1,139907,7980,38270,61331,32326,0,139907,139907,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q2,144271,8259,39609,63291,33112,0,144271,144271,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q3,148566,8539,40941,65189,33897,0,148566,148566,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q4,152853,8825,42280,67065,34683,0,152853,152853,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q1,157092,9113,43372,68949,35658,0,157092,157092,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q2,161396,9401,44440,70921,36634,0,161396,161396,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q3,165597,9695,45528,72764,37610,0,165597,165597,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q4,169935,10000,46674,74676,38585,0,169935,169935,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q1,174406,10322,47806,76608,39670,0,174406,174406,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q2,179126,10663,49056,78651,40756,0,179126,179126,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q3,183738,11004,50290,80602,41842,0,183738,183738,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q4,188255,11325,51451,82552,42927,0,188255,188255,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q1,193193,11624,52789,84582,44198,0,193193,193193,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q2,198064,11895,53991,86709,45469,0,198064,198064,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q3,202861,12175,55217,88729,46740,0,202861,202861,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q4,207775,12500,56529,90735,48011,0,207775,207775,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q1,215364,12868,58319,94906,49271,0,215364,215364,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q2,223253,13279,60284,99160,50530,0,223253,223253,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q3,230809,13700,61996,103323,51790,0,230809,230809,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q4,238362,14100,63731,107481,53050,0,238362,238362,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q1,244119,14475,65125,109907,54612,0,244119,244119,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q2,249988,14826,66588,112400,56174,0,249988,249988,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q3,255963,15189,68114,114925,57735,0,255963,255963,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q4,261909,15600,69685,117327,59297,0,261909,261909,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q1,266993,16068,71366,119821,59738,0,266993,266993,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q2,272376,16602,73192,122402,60180,0,272376,272376,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q3,277689,17129,74821,125117,60622,0,277689,277689,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q4,282854,17575,76659,127557,61063,0,282854,282854,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q1,288834,17946,77804,130140,62944,0,288834,288834,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q2,295418,18248,79212,133134,64824,0,295418,295418,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q3,301295,18532,80346,135713,66704,0,301295,301295,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q4,307674,18850,81980,138259,68585,0,307674,307674,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q1,313878,19191,83191,140937,70559,0,313878,313878,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q2,320203,19544,84063,144063,72533,0,320203,320203,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q3,326199,19900,85017,146775,74507,0,326199,326199,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q4,332393,20250,86222,149440,76481,0,332393,332393,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q1,335970,20591,86649,152314,76416,0,335970,335970,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q2,339111,20920,86171,155668,76352,0,339111,339111,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q3,342950,21258,86875,158530,76287,0,342950,342950,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q4,347129,21625,87855,161427,76222,0,347129,347129,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q1,353307,22016,88875,164457,77959,0,353307,353307,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q2,359984,22427,89845,168016,79696,0,359984,359984,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q3,366147,22856,90807,171051,81433,0,366147,366147,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q4,372399,23300,91810,174119,83170,0,372399,372399,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q1,379682,23764,93371,177353,85194,0,379682,379682,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q2,387400,24250,94839,181093,87218,0,387400,387400,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q3,394671,24748,96324,184358,89241,0,394671,394671,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q4,401876,25250,97767,187594,91265,0,401876,401876,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q1,410278,25837,99770,191027,93644,0,410278,410278,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q2,418760,26341,101363,195034,96022,0,418760,418760,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q3,427481,26818,103773,198490,98400,0,427481,427481,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q4,435926,27325,105912,201910,100779,0,435926,435926,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q1,445817,27846,108592,205667,103712,0,445817,445817,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q2,456039,28367,110992,210034,106646,0,456039,456039,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q3,465257,28892,112985,213800,109580,0,465257,465257,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q4,475695,29425,116155,217602,112513,0,475695,475695,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q1,487191,29976,120167,221679,115369,0,487191,487191,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q2,498505,30617,123254,226408,118226,0,498505,498505,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q3,509672,31276,126874,230440,121082,0,509672,509672,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q4,520252,31939,129858,234517,123938,0,520252,520252,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q1,533152,32612,132783,238861,128896,0,533152,533152,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q2,548654,33300,137597,243903,133854,0,548654,548654,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q3,562373,33797,141529,248236,138811,0,562373,562373,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q4,576542,34696,145432,252645,143769,0,576542,576542,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q1,591689,35300,149942,257285,149162,0,591689,591689,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q2,607671,36003,154601,262513,154554,0,607671,607671,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q3,623045,36718,159143,267237,159947,0,623045,623045,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q4,638886,37561,164186,271799,165340,0,638886,638886,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q1,659903,38343,171486,279893,170181,0,659903,659903,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q2,675845,39123,173012,288688,175022,0,675845,675845,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q3,696323,39971,179783,296707,179862,0,696323,696323,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q4,716279,40960,185881,304735,184703,0,716279,716279,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q1,739207,42102,191854,311605,193646,0,739207,739207,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q2,761039,43385,195912,319154,202588,0,761039,761039,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q3,782805,44749,200656,325869,211531,0,782805,782805,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q4,805219,46131,205877,332737,220474,0,805219,805219,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q1,831637,47585,213058,339969,231025,0,831637,831637,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q2,858047,49169,219239,348063,241576,0,858047,858047,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q3,884124,50718,226005,355275,252126,0,884124,884124,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q4,911037,52063,233770,362527,262677,0,911037,911037,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q1,925340,53212,238087,370015,264026,0,925340,925340,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q2,939629,54172,241693,378389,265375,0,939629,939629,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q3,956898,55084,249305,385785,266724,0,956898,956898,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q4,969401,56089,251894,393345,268073,0,969401,969401,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q1,993426,57019,259029,401040,276338,0,993426,993426,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q2,1015519,57733,263459,409725,284602,0,1015519,1015519,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q3,1033711,58695,264921,417229,292866,0,1033711,1033711,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q4,1060356,60372,273966,424887,301131,0,1060356,1060356,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q1,1093315,62694,287428,432693,310500,0,1093315,1093315,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q2,1126810,65593,299912,441436,319869,0,1126810,1126810,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q3,1152351,68877,305287,448949,329238,0,1152351,1152351,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q4,1182138,72349,314515,456667,338607,0,1182138,1182138,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q1,1206466,76120,325763,464733,339850,0,1206466,1206466,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q2,1226453,80343,331141,473875,341094,0,1226453,1226453,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q3,1247028,84666,338482,481543,342337,0,1247028,1247028,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q4,1268980,88740,346977,489683,343580,0,1268980,1268980,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q1,1296706,92446,354428,497878,351954,0,1296706,1296706,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q2,1326184,95847,362657,507353,360327,0,1326184,1326184,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q3,1354319,99313,370798,515508,368700,0,1354319,1354319,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q4,1382302,103217,378135,523876,377074,0,1382302,1382302,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q1,1415228,107458,387022,533932,386816,0,1415228,1415228,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q2,1451322,111959,397515,545290,396558,0,1451322,1451322,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q3,1488737,116692,410695,555049,406301,0,1488737,1488737,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q4,1521778,121630,418723,565382,416043,0,1521778,1521778,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q1,1563938,126736,434046,575627,427529,0,1563938,1563938,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q2,1602267,131964,444049,587240,439014,0,1602267,1602267,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q3,1641416,137504,455933,597479,450500,0,1641416,1641416,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q4,1684319,143546,467156,608234,465383,0,1684319,1684319,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q1,1724349,150151,484288,618716,471194,0,1724349,1724349,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q2,1779887,157384,515079,630414,477010,0,1779887,1779887,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q3,1833785,164801,545097,640793,483094,0,1833785,1833785,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q4,1884123,171960,571432,651608,489123,0,1884123,1884123,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q1,1933066,178243,586157,662423,506243,0,1933066,1933066,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q2,1981972,183634,600562,674606,523170,0,1981972,1981972,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q3,2026634,189900,611811,685301,539622,0,2026634,2026634,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q4,2084376,199792,631519,696166,556899,0,2084376,2084376,0,0,38000,24700,2500,3320,1595,995,4890
1982:Q1,2139456,209369,649173,707713,573201,0,2139456,2139456,0,0,45500,29175,2825,3946,1918,1373,6263
1982:Q2,2198867,220367,668005,720710,589785,0,2198867,2198867,0,0,53000,33650,3150,4571,2242,1811,7576
1982:Q3,2271462,233354,699000,732210,606898,0,2271462,2271462,0,0,60500,38125,3475,5194,2566,2392,8748
1982:Q4,2331384,242900,720443,743577,624464,0,2331384,2331384,0,0,68000,42600,3800,5800,2890,3084,9826
1983:Q1,2408221,252335,762545,755838,637503,0,2408221,2408221,0,0,77750,48550,4200,6619,3064,4254,11063
1983:Q2,2494575,265284,809623,769038,650630,0,2494575,2494575,0,0,87500,54500,4600,7475,3237,5614,12074
1983:Q3,2552166,272354,835955,780817,663040,0,2552166,2552166,0,0,97250,60450,5000,8250,3411,6479,13660
1983:Q4,2614619,281650,863921,793574,675474,0,2614619,2614619,0,0,107000,66400,5400,8995,3585,7359,15261
1984:Q1,2676848,287889,891386,807810,689763,0,2676848,2676848,0,0,120000,70440,6025,9827,4082,8263,21363
1984:Q2,2728682,295754,906439,822769,703720,0,2728682,2728682,0,0,133000,74480,6650,10679,4580,9269,27342
1984:Q3,2814425,310503,948956,836275,718691,0,2814425,2814425,0,0,146000,78520,7275,11673,5077,10891,32564
1984:Q4,2896256,328343,985048,849675,733190,0,2896256,2896256,0,0,159000,95644,7929,12550,5575,12329,24973
1985:Q1,2997273,340677,1041580,865223,749793,0,2997273,2997273,0,0,179500,109161,7425,14579,5923,15417,26995
1985:Q2,3067437,356665,1064607,879934,766231,0,3067437,3067437,0,0,200000,119732,8994,16569,6271,18962,29472
1985:Q3,3118680,363585,1078635,894633,781827,0,3118680,3118680,0,0,220500,124039,10088,18371,6620,21808,39574
1985:Q4,3184551,260441,1215574,909235,799301,0,3184551,3184551,0,0,241000,127887,12147,16955,6968,25857,51186
1986:Q1,3277172,273503,1256069,927434,820166,0,3277172,3277172,0,0,263000,139840,13413,18575,7466,32809,50897
1986:Q2,3353180,295200,1273595,945014,839371,0,3353180,3353180,0,0,285000,149469,16567,20208,7964,38040,52752
1986:Q3,3402400,305164,1277412,962531,857293,0,3402400,3402400,0,0,307000,150246,17309,21244,8461,41975,67765
1986:Q4,3496575,327834,1312364,979912,876465,0,3496575,3496575,0,0,329000,153813,18051,22650,8959,47724,77803
