date,FL893190005.Q,FL543077073.Q,FL103190005.Q,FL113193003.Q,FL313190005.Q,FL223073045.Q,FL713193005.Q,FL763190005.Q,FL753193005.Q,FL743193005.Q,FL473193005.Q,FL513190005.Q,FL543190005.Q,FL403193005.Q,FL613190005.Q,FL643193075.Q,FL663190005.Q,FL733190005.Q,FL503190005.Q,FL263190005.Q,FL893090005.Q,FL153090005.Q,FL103090005.Q,FL113090005.Q,FL213093003.Q,FL713090005.Q,FL763090005.Q,FL753093005.Q,FL743093005.Q,FL473093005.Q,FL513090005.Q,FL543090005.Q,FL573090005.Q,FL343073045.Q,FL223090005.Q,FL633093005.Q,FL653093005.Q,LM563093003.Q,FL403093005.Q,FL673090543.Q,FL613090005.Q,FL643093075.Q,FL663090005.Q,FL733090005.Q,FL503093023.Q,FL263090005.Q,FL903090005.Q
1945:Q4,82069,638,18303,0,43550,10381,-63,640,0,-2,-23,3832,2805,499,500,0,984,0,25,0,80279,3237,503,1300,0,20165,4916,0,100,0,0,861,16749,21889,10381,0,0,0,166,0,43,0,-31,0,0,0,1790
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,91936,703,20992,0,47506,12278,-246,1014,0,-2,-13,4549,3105,297,659,0,975,0,119,0,86082,3675,456,1534,0,20610,2592,0,144,0,0,933,17837,25781,12278,0,0,0,140,0,137,0,-35,0,0,0,5854
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,103844,784,23666,0,52422,14569,91,1140,0,-2,-4,5375,3500,322,884,0,959,0,138,0,96028,4069,1115,1798,0,22904,2188,0,197,0,0,999,19048,28872,14569,0,0,0,115,0,196,0,-41,0,0,0,7816
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,114530,835,26260,0,56869,16720,-55,1609,0,-1,10,6116,3765,315,869,0,950,0,268,0,105172,4545,1951,2017,0,24425,1849,0,157,0,0,1136,20105,32034,16720,0,0,0,103,0,180,0,-49,0,0,0,9358
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,124172,904,28772,0,60052,18866,249,1816,0,-1,28,6769,4153,250,1035,0,934,0,345,0,113186,5055,2612,2188,0,24562,1847,0,171,0,0,1224,21009,35354,18866,0,0,0,106,0,249,0,-57,0,0,0,10986
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,133833,1007,31927,0,62096,21026,666,2284,0,-12,53,7290,4428,361,1295,0,921,0,491,0,120045,5657,3171,2308,0,22866,2133,0,215,0,0,1467,21647,39109,21026,0,0,0,107,0,407,0,-67,0,0,0,13788
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,165220,1086,54750,0,67688,22591,223,2382,0,-13,83,8175,4819,445,1218,0,911,0,862,0,132473,6463,4132,2512,0,22872,1808,0,218,0,0,1650,25364,44532,22591,0,0,0,104,0,307,0,-79,0,0,0,32747
1952:Q1,171295,1105,57500,0,69983,23166,43,2577,-230,-13,90,8419,4935,414,1351,0,901,0,1054,0,135708,6679,4189,2576,31,23497,1902,32,220,0,0,1694,24883,46274,23166,0,0,0,216,0,427,0,-79,0,0,0,35588
1952:Q2,180648,1123,64068,0,71547,23805,142,2670,-220,-13,99,8681,5116,298,1474,0,900,0,958,0,139206,6905,4104,2649,128,23579,1948,48,222,0,0,1734,25655,47834,23805,0,0,0,218,0,458,0,-82,0,0,0,41442
1952:Q3,183196,1142,64012,0,72939,24282,-29,2954,-219,-12,109,8942,5275,260,1574,0,860,0,1107,0,142741,7131,4246,2725,244,23649,2048,39,224,0,0,1773,26466,49264,24282,0,0,0,222,0,514,0,-86,0,0,0,40455
1952:Q4,175670,1162,53649,0,74498,24895,285,2771,-229,-12,119,9195,5445,266,1671,0,849,0,1106,0,147437,7992,5162,2795,361,23394,2169,28,227,0,0,1807,27046,51036,24895,0,0,0,81,0,537,0,-93,0,0,0,28233
1953:Q1,174733,1184,50241,0,75689,25387,201,2992,-247,-12,126,9419,5607,322,1645,0,839,0,1340,0,150391,8211,5305,2860,245,22787,1981,218,226,0,0,1842,27917,52860,25387,0,0,0,229,0,419,0,-97,0,0,0,24342
1953:Q2,168393,1207,41568,0,77201,25778,58,3098,-223,-13,137,9635,5759,299,1788,0,828,0,1273,0,153324,8429,5408,2925,136,22611,2135,-20,222,0,0,1873,28734,54487,25778,0,0,0,228,0,479,0,-101,0,0,0,15069
1953:Q3,167636,1231,37746,0,78678,26178,229,3464,-224,-13,148,9838,5870,308,1919,0,817,0,1447,0,156847,8637,5631,2988,273,22372,2093,-36,221,0,0,1906,29573,56287,26178,0,0,0,233,0,595,0,-105,0,0,0,10789
1953:Q4,184845,1254,52979,0,80380,26714,342,2909,-229,-13,163,10031,5973,305,1844,0,819,0,1374,0,161275,8828,6364,3052,397,22235,2404,-62,222,0,0,1942,30380,58124,26714,0,0,0,228,0,556,0,-110,0,0,0,23571
1954:Q1,199775,1275,64784,0,82185,27280,224,3145,-232,-13,181,10192,6198,331,1919,0,808,0,1498,0,164325,8993,6502,3117,267,22184,2162,-28,226,0,0,1985,30945,59988,27280,0,0,0,234,0,585,0,-115,0,0,0,35450
1954:Q2,219285,1294,81636,0,83791,27830,230,3293,-234,-14,200,10324,6426,298,2036,0,807,0,1368,0,167737,9132,6475,3183,121,22077,2654,-6,230,0,0,2032,31613,61648,27830,0,0,0,252,0,616,0,-120,0,0,0,51547
1954:Q3,242599,1315,101788,0,85543,28484,149,3794,-240,-13,218,10453,6549,290,2101,0,796,0,1372,0,171402,9269,6556,3248,212,22042,2761,14,236,0,0,2081,32200,63483,28484,0,0,0,233,0,708,0,-125,0,0,0,71197
1954:Q4,248444,1341,105036,0,87272,29127,179,3537,-310,-13,239,10636,6628,324,2506,0,793,0,1149,0,175620,9429,7171,3311,315,21905,3144,-18,248,0,0,2128,32579,65317,29127,0,0,0,321,0,773,0,-130,0,0,0,72824
1955:Q1,259325,1371,111974,0,89272,29909,198,3692,-299,-13,253,10806,6731,323,2860,0,792,0,1456,0,178886,9610,7344,3372,213,21918,2910,-1,250,0,0,2171,32887,67261,29909,0,0,0,306,0,872,0,-136,0,0,0,80439
1955:Q2,287632,1405,135623,0,90881,30678,237,4242,-277,-12,271,10990,6920,346,3989,0,791,0,1548,0,182079,9811,7477,3434,141,21875,3321,-9,250,0,0,2211,32732,68949,30678,0,0,0,319,0,1032,0,-142,0,0,0,105553
1955:Q3,306919,1442,150933,0,92571,31391,248,4856,-288,-11,290,11179,7073,384,4454,0,790,0,1607,0,185462,10012,7567,3494,313,21892,3627,-59,251,0,0,2254,32651,70627,31391,0,0,0,317,0,1273,0,-148,0,0,0,121458
1955:Q4,313075,1482,153650,0,94432,32092,402,4461,-293,-11,311,11391,7265,339,5330,0,779,0,1445,0,189315,10189,8452,3553,469,21911,3332,-69,255,0,0,2310,32876,72504,32092,0,0,0,313,0,1281,0,-154,0,0,0,123761
1956:Q1,333937,1525,171004,0,96470,32872,202,4941,-288,-12,334,11574,7489,330,4761,0,768,0,1967,0,193117,10354,8920,3603,391,21898,3374,36,258,0,0,2378,33169,74521,32872,0,0,0,311,0,1193,0,-161,0,0,0,140821
1956:Q2,328566,1573,162281,0,98362,33894,202,5050,-285,-11,357,11750,7716,387,4752,0,758,0,1780,0,197473,10498,8913,3647,291,22091,3538,125,261,0,0,2460,34079,76332,33894,0,0,0,328,0,1184,0,-168,0,0,0,131093
1956:Q3,325829,1622,156722,0,99956,34920,103,5440,-299,-12,381,11934,7784,344,4456,0,757,0,1721,0,201544,10641,8935,3693,466,22237,3561,202,266,0,0,2543,34867,77811,34920,0,0,0,316,0,1261,0,-175,0,0,0,124285
1956:Q4,349590,1669,177621,0,102036,35935,272,4745,-320,-12,407,12148,7927,500,4374,0,760,0,1528,0,206342,10808,10031,3745,533,22274,3525,234,274,0,0,2616,35257,79824,35935,0,0,0,296,0,1171,0,-181,0,0,0,143248
