date,FL713011203.Q,FL713011203.Q,FL713014003.Q,FL713014003.Q,FL673090543.Q,FL673090543.Q,FL543077073.Q,FL543077073.Q,FL543195005.Q,FL263195105.Q,FL153095105.Q,FL543095105.Q,FL513176005.Q,FL263176005.Q,FL153076005.Q,FL103076005.Q,FL113076005.Q,FL513076005.Q,FL263076005.Q,FL593095005.Q,FL573095005.Q,FL223095505.Q,FL573074005.Q,FL573074005.Q,FL313195105.Q,FL313195105.Q,FL573073005.Q,FL343073045.Q,FL223073045.Q,FL573073005.Q,FL343073045.Q,FL223073045.Q
1945:Q4,20065,20065,0,0,0,0,638,638,1385,0,1385,0,3581,0,1852,429,1300,0,0,0,0,0,0,0,0,0,16879,21889,10381,16879,21889,10381
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,20529,20529,0,0,0,0,703,703,1601,0,1601,0,4297,0,2074,689,1534,0,0,0,0,0,0,0,0,0,18059,25781,12278,18059,25781,12278
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,22754,22754,0,0,0,0,784,784,1717,0,1717,0,5121,0,2352,971,1798,0,0,0,0,0,0,0,0,0,19070,28872,14569,19070,28872,14569
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,24244,24244,0,0,0,0,835,835,1911,0,1911,0,5860,0,2634,1209,2017,0,0,0,0,0,0,0,0,0,19929,32034,16720,19929,32034,16720
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,24427,24427,0,0,0,0,904,904,2134,0,2134,0,6511,0,2921,1402,2188,0,0,0,0,0,0,0,0,0,20696,35354,18866,20696,35354,18866
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,22706,22706,0,0,0,0,1007,1007,2372,0,2372,0,7030,0,3285,1437,2308,0,0,0,0,0,0,0,0,0,21236,39109,21026,21236,39109,21026
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,22695,22695,0,0,0,0,1086,1086,2631,0,2631,0,7912,0,3832,1568,2512,0,0,0,0,0,0,0,0,0,24923,44532,22591,24923,44532,22591
1952:Q1,23291,23291,0,0,0,0,1105,1105,2699,0,2699,0,8156,0,3980,1600,2576,0,0,0,0,0,139,139,0,0,24141,46274,23166,24141,46274,23166
1952:Q2,23346,23346,0,0,0,0,1123,1123,2767,0,2767,0,8417,0,4138,1630,2649,0,0,0,0,0,145,145,0,0,24879,47834,23805,24879,47834,23805
1952:Q3,23342,23342,0,0,0,0,1142,1142,2838,0,2838,0,8677,0,4293,1659,2725,0,0,0,0,0,151,151,0,0,25658,49264,24282,25658,49264,24282
1952:Q4,23187,23187,0,0,0,0,1162,1162,3560,0,3560,0,8916,0,4432,1689,2795,0,0,0,0,0,160,160,0,0,26214,51036,24895,26214,51036,24895
1953:Q1,22563,22563,0,0,0,0,1184,1184,3652,0,3652,0,9140,0,4559,1721,2860,0,0,0,0,0,167,167,0,0,27068,52860,25387,27068,52860,25387
1953:Q2,22463,22463,0,0,0,0,1207,1207,3752,0,3752,0,9355,0,4677,1753,2925,0,0,0,0,0,175,175,0,0,27876,54487,25778,27876,54487,25778
1953:Q3,22128,22128,0,0,0,0,1231,1231,3853,0,3853,0,9557,0,4784,1785,2988,0,0,0,0,0,182,182,0,0,28706,56287,26178,28706,56287,26178
1953:Q4,22030,22030,0,0,0,0,1254,1254,3951,0,3951,0,9741,0,4877,1812,3052,0,0,0,0,0,191,191,0,0,29504,58124,26714,29504,58124,26714
1954:Q1,21965,21965,0,0,0,0,1275,1275,4044,0,4044,0,9901,0,4949,1835,3117,0,0,0,0,0,199,199,0,0,30054,59988,27280,30054,59988,27280
1954:Q2,21927,21927,0,0,0,0,1294,1294,4134,0,4134,0,10032,0,4998,1851,3183,0,0,0,0,0,205,205,0,0,30708,61648,27830,30708,61648,27830
1954:Q3,21810,21810,0,0,0,0,1315,1315,4225,0,4225,0,10160,0,5044,1868,3248,0,0,0,0,0,213,213,0,0,31277,63483,28484,31277,63483,28484
1954:Q4,21713,21713,0,0,0,0,1341,1341,4325,0,4325,0,10310,0,5104,1895,3311,0,0,0,0,0,224,224,0,0,31625,65317,29127,31625,65317,29127
1955:Q1,21719,21719,0,0,0,0,1371,1371,4432,0,4432,0,10479,0,5178,1929,3372,0,0,0,0,0,237,237,0,0,31888,67261,29909,31888,67261,29909
1955:Q2,21678,21678,0,0,0,0,1405,1405,4548,0,4548,0,10661,0,5263,1964,3434,0,0,0,0,0,259,259,0,0,31675,68949,30678,31675,68949,30678
1955:Q3,21684,21684,0,0,0,0,1442,1442,4665,0,4665,0,10849,0,5347,2008,3494,0,0,0,0,0,280,280,0,0,31528,70627,31391,31528,70627,31391
