date,FC152090005.Q,FU152090005.Q,FU152010005.Q,FU155035005.Q,FU165015205.Q,FU165013765.Q,FU155111005.Q,FU155420003.Q,FU154090005.Q,FU154190005.Q,FR152090005.Q,FR152010005.Q,FR155035005.Q,FR165015205.Q,FR165013765.Q,FR155111005.Q,FR154090005.Q,FR154022005.Q,FR153064105.Q,FR152090205.Q,FR153094305.Q,FR153064205.Q,FR153040005.Q,FR153050005.Q,FR153030005.Q,FV152090005.Q,LM152090005.Q,FA156012005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,806616,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,78600,26960,10134,4922,74,3,5135,0,23683,6857,51003,21255,18517,80,32,2626,29748,0,-7240,37119,0,-132,0,0,0,638,885217,165324
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,98980,23247,15855,7954,120,-3,7784,0,16419,9027,74258,44244,40353,58,21,3812,30014,0,-3101,33163,0,-48,0,0,0,1475,984197,174691
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,52821,28110,18506,10778,141,-1,7588,0,18245,8641,23589,14365,12200,35,1,2129,9224,0,-1752,11021,0,-45,0,0,0,1122,1037018,194291
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,42406,25418,18543,9884,118,5,8536,0,14827,7952,15955,7842,7688,-19,0,173,8113,0,6439,394,0,1280,0,0,0,1033,1079424,194338
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,92019,32524,24972,12896,205,8,11863,0,21294,13742,58775,22254,18299,98,22,3835,36521,0,21593,14866,0,62,0,0,0,720,1171443,214823
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,109080,41853,20574,13122,205,6,7241,0,30043,8764,67032,23061,17715,41,15,5290,43971,0,18923,25175,0,-128,0,0,0,195,1280523,237177
1952:Q1,18348,13403,4733,3119,50,1,1563,0,9328,657,5622,1450,-176,-8,-2,1636,4172,0,2511,1721,0,-14,0,-46,0,-677,1298871,243408
1952:Q2,22646,8135,4727,3207,52,2,1466,0,7595,4187,14178,7006,7641,-4,-1,-630,7172,0,6029,1226,0,-44,0,-38,0,333,1321517,246447
1952:Q3,12826,13010,4298,3199,34,3,1062,0,11743,3030,-460,343,-1770,-18,0,2131,-803,0,-611,-152,0,16,0,-56,0,276,1334343,253057
1952:Q4,3899,12078,5333,3371,46,5,1912,0,11194,4449,-9029,5177,7342,-15,2,-2151,-14206,0,-11069,-3099,0,-13,0,-25,0,850,1338242,258904
1953:Q1,10379,12695,5991,3412,52,3,2524,0,9020,2317,-2636,2961,2080,7,2,872,-5597,0,-3417,-1915,0,-202,0,-63,0,321,1348622,262968
1953:Q2,2233,9491,5801,3422,51,4,2324,0,8182,4492,-7513,3225,3429,17,2,-223,-10738,0,-9570,-939,0,-172,0,-57,0,255,1350855,266799
1953:Q3,14588,12961,5462,3287,54,5,2117,0,10029,2530,1445,5598,6808,17,-1,-1226,-4153,0,-4719,730,0,-102,0,-62,0,182,1365443,266957
1953:Q4,20789,12524,5129,3219,49,5,1856,0,10790,3395,8152,-4747,-4632,5,-1,-119,12898,0,13799,-1156,0,307,0,-52,0,113,1386232,267217
1954:Q1,22775,10437,4790,3305,40,6,1439,0,5519,-128,12057,94,-1739,26,-1,1808,11964,0,11067,692,0,266,0,-61,0,281,1409007,269931
1954:Q2,21693,7046,5067,3569,38,6,1454,0,5795,3816,14323,-1973,760,26,-1,-2758,16296,0,15062,995,0,330,0,-91,0,324,1430699,269820
1954:Q3,36238,11101,5322,3871,41,5,1405,0,9230,3451,24775,4144,5700,-29,1,-1529,20631,0,18149,2108,0,460,0,-86,0,363,1466938,271778
1954:Q4,17183,9984,6032,4145,40,5,1842,0,9281,5329,6795,4003,4069,-1,2,-68,2793,0,1383,981,0,487,0,-58,0,404,1484121,276713
1955:Q1,21753,12774,6763,4468,40,5,2251,0,9233,3223,8547,173,400,-25,2,-205,8374,0,6018,2147,0,273,0,-63,0,432,1505874,282103
1955:Q2,35124,5529,7296,4561,49,5,2682,0,5343,7111,29183,5491,5880,2,3,-395,23692,0,21030,2110,0,540,0,12,0,412,1540998,288631
1955:Q3,39329,14021,7500,4470,57,6,2967,0,11882,5361,24923,7083,6791,30,4,258,17841,0,14158,3814,0,-98,0,-33,0,385,1580327,295107
