date,FU896902505.A,FU156902505.A,FU116902505.A,FU106902501.A,FU796902505.A,FU316902505.A,FU216902505.A,FU896006001.A,FU156006005.A,FU106012095.A,FU796012095.A,FU316006085.A,FU216006095.A,FU155440005.A,FU115440005.A,FU105440005.A,FU795440005.A,FU315440005.A,FU215440005.A,FU265440005.A,FU885019005.A,FU155019005.A,FU115019085.A,FU105019085.A,FU795013005.A,FU315019001.A,FU215019001.A,FU886300095.A,FU156300003.A,FU116300001.A,FU106300003.A,FU796330081.A,FU316300001.A,FU216300001.A,FU145020005.A,FU115020005.A,FU105020005.A,FU885000985.A,FU155000905.A,FU115000905.A,FU105000905.A,FU795000995.A,FU315000995.A,FU215000995.A,FU087005995.A,FU265000905.A,FU885000005.A,FU155000005.A,FU115000005.A,FU105000005.A,FU795000005.A,FU315000005.A,FU215000005.A,FU265000005.A,FV158090185.A,FV118090105.A,FV108090105.A,FV798090185.A,FV318090185.A,FV218090185.A,FV268090185.A,FR152090005.A,FR112090095.A,FR102090095.A,FR792090095.A,FR312090095.A,FR212090095.A,FR265000005.A,FC152090005.A,FC112090095.A,FC102090095.A,FC792090095.A,FC312090095.A,FC212090095.A,FC262090095.A,FL152090005.A,FL112090095.A,FL102090095.A,FL792090095.A,FL312090095.A,FL212090095.A,FL262090095.A
1960,543687,45031,117056,282484,20511,45007,33600,59055,37851,14914,3618,157,2517,2242,0,-93,0,857,-3006,0,119248,25730,15050,40427,2038,21897,14107,67901,8174,11330,27560,1144,15167,4526,3233,1182,2051,4436,18717,-4902,740,2685,-7881,-4923,-1304,-3171,209,27120,-4714,-11737,3959,-8538,-5881,-1459,16514,37,-10545,1270,-469,-5112,1712,22850,-37,-4051,-449,712,-364,-1281,74972,0,411,4439,-457,46,-2740,2091058,0,-67065,16317,-137855,112954,-28541
1961,563124,47800,119601,290423,21673,47057,36571,61005,44385,15429,3726,-4732,2196,2509,0,-123,0,904,-3290,0,123507,25083,16057,40441,2030,24646,15252,70604,8496,11541,28564,1181,16034,4789,2974,1335,1639,5089,26050,-5851,2759,2841,-14741,-5969,-914,-4213,-66616,28027,-5649,-70974,4788,-16283,-6525,-2704,7593,38,-72175,1969,-1024,-4738,1509,116191,-38,-64927,-20866,1876,2136,552,165660,0,-121551,-15170,-4784,2884,-2152,2256718,0,-188616,1147,-142639,115838,-30693
1962,603953,51519,123871,316808,22383,50120,39253,69306,46703,20735,4186,-5370,3052,2638,0,-126,0,1013,-3525,0,133473,26747,18280,43576,2274,26500,16097,74097,8846,11887,29824,1236,17170,5135,6101,1801,4300,3791,26976,-8194,3649,3109,-16308,-5442,-28,-3801,151,28476,-7972,-1098,3291,-16099,-6447,-1390,3837,38,-2129,157,-579,3381,2411,14582,-38,13823,2434,5303,4266,-2739,62484,-0,32555,6777,-1659,14224,-4129,2319202,-0,-156061,7924,-144298,130062,-34822
1963,638915,54877,127257,337829,23119,53169,42665,76116,47098,24494,3408,-2161,3278,2885,0,-88,0,1345,-4142,0,142102,28797,20182,46432,2253,26669,17769,78018,9288,12230,31340,1301,18353,5506,5621,1584,4037,6369,25587,-9536,6245,2415,-12347,-5995,-1463,-4947,-3653,30279,-9325,-6700,1365,-13060,-6212,-3044,5286,40,-10269,-1517,-1224,-2651,1874,53970,-40,-32996,-9303,2002,3878,1066,103469,0,-18683,-7412,-2728,8646,-2007,2422671,0,-174744,512,-147026,138708,-36829
1964,684506,58370,133367,364523,25400,56446,46401,83667,55281,27965,3394,-6892,3920,3305,0,-81,0,1497,-4721,0,153722,30670,21870,51848,2942,27118,19274,82389,9882,12750,33252,1391,19204,5910,4822,139,4683,7470,32153,-9259,5686,1799,-16929,-5981,-46,-7468,3588,41881,-9030,-9448,2540,-15815,-6541,-4621,19832,45,-12111,758,139,-3772,6462,109708,-45,-62547,-6063,2131,3538,1344,181516,0,-46612,-1911,-6119,8407,338,2604187,0,-221356,-1399,-153145,147115,-36491
1965,741550,62611,140572,400741,27524,59322,50780,94921,58753,33486,4533,-5515,3665,3608,0,-81,0,1220,-4747,0,168262,32099,23144,61698,3458,26698,21165,88006,10662,13516,35828,1561,20013,6427,9247,2537,6710,5366,34702,-12166,1759,2583,-13892,-7620,739,-6158,5893,45817,-11891,-10483,2628,-13898,-6280,-4614,29904,53,-7525,56,-432,-2649,1597,113909,-53,-52310,-9060,5204,9118,-5925,198958,0,-26268,-4471,-1963,14881,-10486,2803145,0,-247624,-5870,-155108,161996,-46977
1966,808332,67587,148842,440080,29943,65550,56330,101171,61861,36510,5061,-6987,4726,3886,0,-83,0,1341,-5144,0,184119,31164,23833,71949,3606,30089,23479,95310,11533,14511,39392,1735,21049,7091,13636,1643,11993,-1339,39396,-10966,-6996,3126,-18011,-7889,5084,-3807,2010,55354,-10663,-22288,3312,-16186,-7520,-2989,38859,62,-10407,153,-189,-5299,728,2458,-62,92336,-3692,6321,13814,262,99292,0,118521,1522,-2196,18385,-2817,2902437,0,-129103,-4348,-157304,180381,-49794
1967,856596,72940,153573,463192,33429,71308,62156,96934,72995,34577,4880,-19526,4009,3978,0,-85,0,1195,-5088,0,190502,31684,23315,73870,3964,31947,25722,103555,12445,15500,43452,1929,22464,7766,9865,2089,7776,49,50838,-9904,-3441,2770,-29973,-10240,3361,-3484,364,58086,-9596,-21212,12400,-29550,-9764,-2005,27273,73,-14442,9677,7352,-4018,1479,205336,-73,-126626,-6932,11252,12590,8393,301626,0,-106406,7625,-2117,17669,6388,3204063,0,-235509,3277,-159421,198050,-43406
1968,937515,78998,161589,510944,37388,78340,70256,101209,72924,33054,5531,-13768,3468,4088,0,-112,0,2865,-6841,0,207113,35860,26554,80338,5115,31118,28128,113357,13640,16660,48092,2210,24155,8600,9052,2351,6701,-1686,47701,-12246,-6367,2541,-22681,-10634,3133,-1533,-10438,64551,-11904,-24591,-2971,-25621,-9903,-611,45933,85,-13943,-5506,-2220,-10509,922,276873,-85,-83907,-24966,13332,19107,-2814,391642,0,-64685,-24941,-5521,18906,-3425,3595705,0,-300194,-21664,-164942,216956,-46831
1969,1016033,87045,170088,554625,42119,83627,78530,108233,76058,28655,5546,-5150,3124,4625,0,-77,0,2297,-6843,-2,223935,38477,31108,89280,5524,30729,28818,124897,15235,18146,53484,2569,25819,9645,9173,1221,7952,-79,48945,-14184,-14684,2491,-12461,-10187,1582,-1602,-14743,60588,-13756,-32551,-1708,-13048,-14268,7574,39398,100,-8004,-5042,547,-15068,4349,-46212,-100,187434,21047,18492,31503,-6899,64619,0,208162,21550,11592,26402,-4152,3660324,0,-92031,-114,-153350,243358,-50983
