date,FU156902505.A,FU156300003.A,FU156902605.A,FU156025005.A,FU156020001.A,FU156401001.A,FU156240101.A,FU156402101.A,FU156140005.A,FU156402101.A,FU156025105.A,FU156020101.A,FU156401101.A,FU156150105.A,FU156130101.A,FU156120105.A,FU156121101.A,FU156122101.A,FU156130001.A,FU156140005.A,FU156220001.A,FU156404105.A,FU156600001.A,FU156403101.A,FU156403001.A,FU156012095.A,FU156901001.A,FU156006005.A,FU156006315.A,FU156006005.A,FU155440005.A,FU155050905.A,FU155019005.A,FU155012005.A,FU165013005.A,FU156300003.A,FU155420003.A,FU155000905.A,FU155000905.A,FU154090005.A,FU154000005.A,FU153020005.A,FU153030005.A,FU153030505.A,FU154022005.A,FU153061105.A,FU153061705.A,FU153062005.A,FU153063005.A,FU154023005.A,FU154041005.A,FU153065005.A,FU153081005.A,FU153064105.A,FU153064205.A,FU153034005.A,FU152090205.A,FU153094305.A,FU153052005.A,FU153076005.A,FU153040005.A,FU153050005.A,FU153095105.A,FU313195105.A,FU163096005.A,FU154190005.A,FU163162003.A,FU154123005.A,FU154141005.A,FU153166000.A,FU153168005.A,FU153169005.A,FU153165005.A,FU543077073.A,FU163170005.A,FU155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010005.A,FR155035005.A,FR165015205.A,FR165013765.A,FR155111005.A,FR154090005.A,FR154000005.A,FR154022005.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052005.A,FR152090005.A,FC152090005.A,FL152000005.A,LM152010005.A,LM155035005.A,LM155111005.A,LM165015205.A,LM165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,FL153030005.A,LM153030505.A,LM154022005.A,LM153061105.A,LM153061705.A,LM153062005.A,LM153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,LM152090205.A,LM153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL153095105.A,FL313195105.A,FL163096005.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170005.A,FL152090005.A
1960,45031,8174,36857,13894,13337,557,5594,17369,406590,17369,301282,272855,28427,100606,31182,69425,13366,56059,12667,406590,46068,24428,16444,1312,787,369031,331181,37851,35609,37851,2242,16892,25730,21952,3778,8174,-664,18717,18717,44967,13726,1977,11936,-187,4796,990,-1234,2645,2395,2800,26,2774,-3973,-3974,1049,0,-1048,0,27618,148,3228,23672,570,0,0,17847,0,17545,5428,4035,698,695,12117,192,110,27120,16514,5251,664,2195,-8404,9704,9766,-13,-1,-48,13146,-1,0,4015,159,10985,0,-2012,22850,74972,2315603,737552,547589,185419,3760,784,1578051,242843,77538,164461,844,69154,26502,1033,31007,10612,79315,45740,33575,780392,364813,17026,0,398553,0,406346,6427,85184,307674,7061,0,0,2315603,224545,0,219857,73271,61248,2122,9901,146586,2379,2309,2091058
1961,47800,8496,39304,14463,13862,601,6194,18648,421586,18648,310421,280519,29902,106083,33448,72635,13901,58734,13566,421586,47250,28089,17005,1361,921,385860,341475,44385,41876,44385,2509,15826,25083,20990,4093,8496,-761,26050,26050,46390,17974,-286,18384,-124,233,-1053,-441,1499,228,3274,15,3259,-3036,-4768,1671,0,61,0,27945,136,3447,23740,622,0,0,18363,0,18040,4856,2187,870,1799,13184,133,190,28027,7593,3048,760,1808,-1977,13297,13418,-27,-4,-92,102895,-0,0,83577,4178,17164,0,-2024,116191,165660,2499626,769614,576368,188375,3989,882,1730012,260491,76926,182845,720,69387,25449,592,32506,10840,82589,45755,36834,882275,443622,22875,0,415778,0,435270,6563,88631,332393,7683,0,0,2499626,242908,0,237897,78127,63435,2992,11700,159770,2512,2499,2256718
1962,51519,8846,42673,15625,14923,702,6735,20313,450580,20313,332202,299358,32844,112935,37090,75846,15027,60819,14870,450580,51555,28843,19117,1549,1040,409260,362558,46703,44065,46703,2638,17089,26747,22161,4586,8846,-812,26976,26976,50612,25407,-457,25983,-119,-155,1250,-357,-419,-629,2572,400,2172,-5486,-6756,872,0,398,0,28274,18,3767,23809,680,0,0,22136,0,21851,6975,5909,458,608,14876,155,130,28476,3837,6995,811,-5469,-1500,9604,10300,-30,-6,-661,4979,-0,0,-5387,-2838,16672,0,-3468,14582,62484,2584246,803569,603604,194709,4245,1011,1780677,286577,77148,208828,601,69232,26699,235,32087,10211,85161,46155,39006,885236,431479,20909,0,432848,0,454471,6581,92398,347129,8363,0,0,2584246,265044,0,259748,85102,69344,3450,12308,174646,2667,2629,2319202
1963,54877,9288,45589,16657,15845,812,7418,21514,474251,21514,350408,314851,35557,118951,40500,78451,16236,62215,16622,474251,54552,30341,21669,1868,1107,429133,382035,47098,44213,47098,2885,18626,28797,24154,4643,9288,-883,25587,25587,59234,30694,4679,26108,-93,-2577,-2281,-235,7,-68,2695,1173,1522,-3645,-6616,971,0,2000,0,32067,379,4237,27104,347,0,0,28955,0,28459,11064,8526,344,2194,17395,186,310,30279,5286,9267,883,-9556,-4692,7628,6764,-3,-2,868,46342,1,0,42724,2939,3617,0,-2939,53970,103469,2716670,839163,628622,204844,4529,1168,1877507,317421,81977,234936,508,66655,24418,0,32094,10143,87856,47328,40528,920870,457587,24819,0,438464,0,484704,6960,96635,372399,8710,0,0,2716670,293999,0,288207,96166,77870,3794,14502,192041,2853,2939,2422671
1964,58370,9882,48488,17868,16989,879,8095,22526,508071,22526,375975,337788,38188,128080,44981,83099,18194,64905,18509,508071,52069,31317,22387,2187,1207,465913,410632,55281,51976,55281,3305,19823,30670,25565,5105,9882,-965,32153,32153,71245,32372,6339,26105,-72,3220,68,245,2760,147,2004,434,1570,-3425,-6559,944,0,2190,0,37074,547,4416,31601,510,0,0,29364,0,28919,11085,9482,1340,263,17834,186,259,41881,19832,11755,965,-2616,-9728,13738,14960,-15,-7,-1201,95970,0,0,79671,2684,17495,0,-3880,109708,181516,2927550,884104,662499,215398,4873,1334,2043446,346262,84785,261041,436,69875,24486,245,34854,10290,90360,48262,42098,1017295,530699,28447,0,458149,0,519654,7507,101051,401876,9220,0,0,2927550,323363,0,317126,107251,87352,5134,14765,209875,3039,3198,2604187
1965,62611,10662,51949,19316,18338,978,8818,23815,547929,23815,405415,363757,41658,139135,49319,89816,20205,69611,20436,547929,57664,33913,23416,2265,1300,501726,442973,58753,55145,58753,3608,20444,32099,26231,5868,10662,-993,34702,34702,75233,34128,6739,27473,-84,1563,288,887,1677,-1289,1929,1416,513,-4940,-10538,2073,0,3525,0,42553,719,4825,36267,742,0,0,29416,0,28733,10901,10137,-427,1191,17832,264,419,45817,29904,15925,992,1871,-11115,9921,13404,-22,-7,-3455,103988,0,0,81278,3890,23365,0,-4545,113909,198958,3155924,930933,696286,227868,5257,1522,2224991,380386,91520,288514,352,71438,24774,1132,36531,9001,92289,49678,42611,1120888,601439,34410,0,485039,0,559990,8226,105876,435926,9962,0,0,3155924,352779,0,345859,118152,97489,4707,15956,227707,3303,3617,2803145
1966,67587,11533,56054,21261,20056,1205,9510,25283,601469,25283,449249,400321,48928,148930,54336,94594,20670,73924,21993,601469,66378,37504,31336,2113,1591,541780,479919,61861,57975,61861,3886,18579,31164,25009,6155,11533,-1052,39396,39396,78250,20237,1833,18621,-217,14586,3128,4718,4620,2120,3091,1435,1656,-8175,-13609,2206,0,3228,0,48511,709,4692,42279,831,0,0,22896,0,22190,8539,5933,671,1935,13651,356,350,55354,38859,17853,1052,3996,-15958,37601,33670,136,-1,3796,-35143,-0,0,-56114,-2766,30267,0,-6530,2458,99292,3278452,1005985,748935,249517,5795,1738,2272467,400623,93353,307135,135,86024,27902,5850,41151,11121,95730,51113,44617,1084100,531716,33850,0,518534,0,605991,8935,110568,475695,10793,0,0,3278452,376015,0,368389,126691,103422,5378,17891,241698,3659,3967,2902437
1967,72940,12445,60495,23384,21976,1408,10633,26478,641462,26478,481791,429009,52782,156393,59502,96891,21510,75381,23200,641462,72961,45752,34867,2262,1968,579680,506685,72995,69017,72995,3978,18179,31684,25517,6166,12445,-1060,50838,50838,93051,45190,10291,35009,-110,1272,-181,415,-2952,3990,4441,2317,2124,-10709,-12271,929,0,633,0,52857,803,4965,46205,884,0,0,34965,0,34050,17706,5145,8026,4535,16344,288,627,58086,27273,16003,1059,2963,-7248,33291,26796,80,13,6402,172045,1,0,144231,8194,24032,0,-4413,205336,301626,3614917,1074444,794221,271922,6317,1984,2540473,445900,103731,342144,25,87305,27721,6265,38208,15111,100037,53430,46607,1249848,663676,42973,0,543199,0,657384,9738,115533,520252,11861,0,0,3614917,410854,0,402313,144397,108567,13404,22426,257916,3947,4594,3204063
1968,78998,13640,65358,26086,24616,1470,11994,27279,701370,27279,530751,471972,58779,168712,65353,103359,23535,79824,25371,701370,86987,53306,38695,2788,2005,629777,556853,72924,68836,72924,4088,21135,35860,29431,6430,13640,-1085,47701,47701,89599,39096,8928,30168,0,3272,2096,-145,-1614,2935,5700,3366,2334,-18361,-23391,2205,0,2825,0,59892,929,4788,53186,989,0,0,25048,0,24146,8719,10757,-6596,4558,15427,355,547,64551,45933,20868,1085,7130,-16850,85498,76009,160,60,9269,191374,0,0,151209,4351,42272,0,-6458,276873,391642,4031835,1200814,889605,302059,6876,2274,2831021,484971,112659,372312,0,90473,29817,6120,36490,18046,105878,56796,49082,1429319,791494,49529,0,588296,0,720380,10667,120321,576542,12850,0,0,4031835,436130,0,426687,153452,119324,6808,27320,273235,4302,5141,3595705
1969,87045,15235,71810,29477,27721,1756,13407,28926,768241,28926,584459,518333,66126,183342,76164,107178,24239,82939,28487,768241,104506,58973,44127,3331,2215,679697,603639,76058,71433,76058,4625,22489,38477,31072,7405,15235,-753,48945,48945,89640,6970,-1724,8694,0,30761,11248,5185,10754,3574,-187,-2044,1857,-18789,-21205,2666,0,-250,0,70885,1158,5038,63612,1077,0,0,29052,0,28000,9582,9907,220,-545,18418,386,666,60588,39398,19501,752,7501,-11643,66475,58052,181,91,8151,-112687,-0,0,-131305,-6617,35213,0,-9977,-46212,64619,4124086,1308558,968674,329711,7605,2568,2815528,492052,110925,381127,0,121674,41065,11305,47244,22060,103989,54752,49237,1307816,638984,45578,0,623254,0,789997,11825,125359,638886,13927,0,0,4124086,463762,0,453267,163563,129231,7557,26775,289704,4688,5807,3660324
