date,FU106902501.A,FU106300003.A,FU106902605.A,FU106025005.A,FU106020001.A,FU106401001.A,FU106240101.A,FU106402101.A,FU106140005.A,FU106402101.A,FU106150105.A,FU106130101.A,FU106121101.A,FU103092201.A,FU106150005.A,FU106130001.A,FU106121001.A,FU103192201.A,FU106112001.A,FU106140005.A,FU106220001.A,FU106403001.A,FU106012095.A,FU106012095.A,FU106006385.A,FU106012095.A,FU105440005.A,FU105050985.A,FU105019085.A,FU106300003.A,FU105420095.A,FU105020005.A,FU105000905.A,FU105000905.A,FU104090005.A,FU104000005.A,FU103020005.A,FU103030003.A,FU103091003.A,FU104022005.A,FU103069100.A,FU103061103.A,FU103061703.A,FU103062003.A,FU123063003.A,FU104035005.A,FU104041005.A,FU104042005.A,FU103081005.A,FU103034000.A,FU103064103.A,FU103064203.A,FU103092105.A,FU103092405.A,FU103076005.A,FU103096005.A,FU103070005.A,FU103072005.A,FU103094705.A,FU103093005.A,FU104194005.A,FU104122005.A,FU103169100.A,FU103162000.A,FU103163005.A,FU104135005.A,FU104141005.A,FU103168005.A,FU103169005.A,FU104142005.A,FU103165005.A,FU103192305.A,FU103181005.A,FU103164105.A,FU103192105.A,FU103152025.A,FU573074005.A,FU573073005.A,FU103196005.A,FU103170005.A,FU103178005.A,FU103193005.A,FU105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR104090005.A,FR104022005.A,FR103092305.A,FR103064103.A,FR103064203.A,FR103092105.A,FR103093005.A,FR104194005.A,FR103192305.A,FR103164105.A,FR103192105.A,FR103152025.A,FR103193005.A,FR102090095.A,FC102090095.A,FL102000005.A,LM102010005.A,LM105035005.A,LM105015205.A,LM105013765.A,LM105020015.A,FL104090005.A,FL104000005.A,FL103020005.A,FL103030003.A,FL103091003.A,LM104022005.A,FL103069100.A,LM103061103.A,LM103061703.A,LM103062003.A,LM123063003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL104042005.A,FL103065005.A,FL103092305.A,FL103081005.A,FL103034000.A,LM103064103.A,LM103064203.A,LM103092105.A,FL103092405.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103072005.A,FL103094705.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163005.A,FL104135005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL104142005.A,FL103165005.A,LM103192305.A,FL103181005.A,LM103164105.A,FL103192105.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178005.A,FL103193005.A,FL102090095.A
1960,282484,27560,254924,180409,165053,15356,26600,47915,35322,47915,8139,3263,3569,1307,20732,6148,14024,132,428,35322,19142,1266,14914,14914,15007,14914,-93,14266,40427,27560,-652,2051,740,740,2840,563,-940,1500,3,-5319,46,-5869,-84,588,0,-383,-495,112,2732,0,0,0,2711,21,597,4650,4925,0,0,-275,14577,3876,454,0,3422,5119,4254,2212,2042,865,817,48,1557,1365,192,1026,66,960,2999,2835,-1590,1754,-11737,-10545,654,1106,12477,-173,-1596,-2724,421,269,441,-901,0,-35,0,0,-867,1,1554,2,1644,4,-97,-0,-4051,411,798487,609837,352721,142048,25168,89900,188650,31391,28243,3000,148,20038,788,15752,1116,2382,0,10839,9623,0,9623,1216,24,1192,29557,0,0,0,29478,79,4728,92097,82311,0,0,9786,798487,865552,76985,769,0,76216,69678,46782,37651,9131,22896,21829,1067,369268,365166,4102,41393,613,40780,308228,61935,12560,233733,-67065
1961,290423,28564,261859,184516,168575,15941,27620,49723,36268,49723,8558,3325,4116,1117,22013,6609,14692,179,534,36268,19419,1421,15429,15429,15552,15429,-123,12792,40441,28564,-723,1639,2759,2759,13352,4271,3083,1100,88,-1210,301,-1656,132,13,0,102,-6,108,2428,0,0,0,2420,8,468,7293,7892,0,0,-599,84326,4720,325,0,4395,2696,1257,934,323,1439,1417,22,2361,2121,240,-831,127,-958,75380,5239,621,69520,-70974,-72175,728,1101,73733,271,1812,2031,-828,252,362,198,0,8,0,0,190,-0,66937,3,70387,-148,-3305,-1,-64927,-121551,828199,626707,362550,145294,27234,91629,201492,36009,31673,4100,236,18828,1089,14096,1248,2395,0,10949,9617,0,9617,1332,33,1299,32176,0,0,0,32088,88,5195,98334,88253,0,0,10081,828199,1016815,81705,1094,0,80611,72378,48039,38585,9454,24339,23247,1092,441868,437674,4194,37257,740,36517,383607,65676,13274,304657,-188616
1962,316808,29824,286984,199256,181160,18096,29869,57859,42905,57859,9254,3606,4383,1265,24207,7456,15973,158,620,42905,20591,1579,20735,20735,20861,20735,-126,17212,43576,29824,-840,4300,3649,3649,11969,4345,3570,900,-125,-1245,215,-1789,27,302,0,899,773,126,2777,0,0,174,2593,10,554,4639,4519,0,0,120,13067,4136,104,0,4032,6430,4023,3641,382,2407,2320,87,585,369,216,-2758,28,-2786,4674,2935,1081,658,-1098,-2129,843,1801,4747,26,3008,1445,570,106,890,-297,0,-12,0,-6,-280,0,-11112,-8,-13729,92,2532,1,13823,32555,862707,649543,371962,151692,29096,96793,213164,40354,34564,5000,790,17583,1304,12307,1275,2697,0,11836,10390,0,10390,1446,54,1392,34668,0,0,168,34401,99,5749,102974,92772,0,0,10202,862707,1018768,85841,1198,0,84643,78800,52062,42226,9836,26738,25567,1171,428816,424314,4502,37029,768,36261,388282,68611,14355,305316,-156061
1963,337829,31340,306490,210106,190566,19540,31667,64716,48843,64716,10168,4078,4511,1579,26041,8305,16955,180,601,48843,22754,1595,24494,24494,24582,24494,-88,18337,46432,31340,-793,4037,6245,6245,12015,-509,-987,687,-209,3909,-335,2821,333,1090,0,1089,955,134,2559,0,-640,16,3183,0,355,4612,6308,0,0,-1696,18715,3541,-230,0,3771,7233,4531,3424,1107,2702,2673,29,-143,-341,198,-1494,127,-1621,9578,7365,1389,824,-6700,-10269,795,1935,12944,54,2488,1039,276,449,726,3302,0,-1,3306,19,-22,-0,38786,8,41806,-56,-2971,-0,-32996,-18683,901524,673043,381280,158637,31624,101502,228481,39845,33427,5687,731,21492,969,15128,1608,3787,0,12924,11345,0,11345,1579,60,1519,50531,0,12666,203,37562,100,6105,97584,99080,0,0,-1496,901524,1076268,89382,968,0,88414,86014,56566,45623,10942,29448,28240,1208,470423,465779,4644,32565,895,31670,397884,75976,15744,306164,-174744
1964,364523,33252,331271,225657,204546,21111,33878,71736,53723,71736,10841,4437,4875,1529,28854,9086,18871,247,651,53723,23888,1871,27965,27965,28046,27965,-81,22360,51848,33252,-919,4683,5686,5686,12873,661,-426,984,103,-637,725,-647,-608,-107,0,1408,1245,163,3012,0,-453,37,3426,2,329,8100,8542,0,0,-442,22321,4151,157,0,3994,9796,6550,4818,1732,3246,3206,40,1396,1145,251,-1086,154,-1240,8063,6959,467,637,-9448,-12111,920,1609,15134,-494,11599,8696,1218,502,1184,1630,0,0,1631,13,-14,-0,75777,-3,79031,-107,-3146,0,-62547,-46612,953008,710024,399403,168605,34152,107863,242984,40506,32738,6671,1097,20855,1694,14481,1000,3680,0,14332,12590,309,12281,1742,84,1658,55174,0,13844,253,40974,103,6434,105683,107622,0,0,-1939,953008,1174364,93533,1125,0,92408,95641,62949,50264,12685,32692,31447,1245,550743,545955,4788,28333,1049,27284,406114,82924,16211,306979,-221356
1965,400741,35828,364913,245400,222158,23242,36022,83491,62725,83491,11299,4642,4991,1666,32065,9938,21186,271,670,62725,27137,2102,33486,33486,33567,33486,-81,31808,61698,35828,-772,6710,1759,1759,26111,2321,311,2322,-312,-1099,-324,-1933,238,920,0,1429,1229,200,4702,0,46,51,4597,8,425,18333,13270,0,0,5063,36594,4524,-328,0,4852,15782,13035,10877,2158,2747,2657,90,343,-28,371,1215,154,1061,14731,11721,2083,927,-10483,-7525,775,2697,12242,-1245,15001,11577,957,698,1772,7203,0,220,1258,26,5699,-0,74515,-6,77885,-55,-3309,-0,-52310,-26268,1037845,761547,423994,182462,37500,117591,276298,42827,33053,8993,781,19756,1370,12548,1238,4600,0,15981,13819,593,13226,2162,88,2074,66859,0,15148,330,51270,111,6859,124016,120892,0,0,3124,1037845,1285469,98057,797,0,97260,111469,76035,61141,14894,35434,34105,1329,628916,623812,5104,26236,1203,25033,420791,94592,18294,307905,-247624
1966,440080,39392,400688,272851,245240,27611,36973,90864,68619,90864,12026,5316,4756,1954,34271,11728,21507,263,773,68619,29492,2617,36510,36510,36593,36510,-83,43589,71949,39392,-960,11993,-6996,-6996,16496,-968,-682,-390,104,-1184,1482,-1494,-211,-961,0,700,473,227,8932,0,3793,141,4972,26,576,8440,12376,0,0,-3936,38784,11039,825,0,10214,13880,10192,8574,1618,3688,3580,108,1516,1259,257,3352,46,3306,8997,9118,-880,759,-22288,-10407,963,1814,15291,-2107,23073,15701,5352,753,1271,-3926,0,-68,-2094,-46,-1718,0,-73189,-3,-77180,152,3840,0,92336,118521,1121960,833092,454030,204456,41644,132962,288868,41859,32371,8603,885,18572,2852,11054,1027,3639,0,16613,14292,895,13397,2321,114,2207,71932,0,16847,425,54524,136,7435,132457,133268,0,0,-811,1121960,1251063,109096,1622,0,107474,125266,86137,69715,16422,39129,37695,1434,553404,547891,5513,33427,1249,32178,429870,103800,17414,308656,-129103
1967,463192,43452,419740,291064,261618,29446,39311,89364,65108,89364,13108,5994,5153,1961,37365,13650,22426,351,938,65108,27828,2703,34577,34577,34662,34577,-85,38103,73870,43452,-91,7776,-3441,-3441,14314,3695,2532,1079,84,-1701,1100,-2440,-22,-339,0,235,59,176,3227,0,-1280,124,4366,17,681,8177,8330,0,0,-153,35525,16070,1412,0,14658,6365,6708,6555,153,-343,-465,122,2946,2397,549,4958,221,4737,5186,5923,-4189,3452,-21212,-14442,92,1683,17770,-1554,24270,15066,6675,1569,961,5191,0,67,3344,86,1695,-1,156088,11,161933,-34,-5820,-0,-126626,-106406,1207166,898793,483207,225542,46791,143253,308373,45554,34817,9682,1055,16871,3952,8614,1005,3300,0,16915,14351,670,13681,2564,112,2452,80284,0,18911,635,60585,153,8116,140633,141598,0,0,-965,1207166,1442675,125166,3034,0,122132,131655,92844,76269,16575,38810,37243,1567,718249,712221,6028,32564,1470,31094,435041,109723,13225,312093,-235509
1968,510944,48092,462853,320868,288122,32746,45535,96449,69525,96449,15463,7308,5502,2653,42388,16402,24540,391,1054,69525,33534,2937,33054,33054,33166,33054,-112,39532,80338,48092,585,6701,-6367,-6367,32126,2620,2714,-626,532,2403,1147,345,429,482,0,1233,566,667,8570,0,3579,178,4781,32,806,16494,18525,0,0,-2031,56717,14108,1215,0,12893,18361,12823,10363,2460,5538,5395,143,455,-159,614,6805,201,6604,16988,16490,1105,-607,-24591,-13943,-586,1216,18224,-3651,38035,27667,8845,1974,-452,4417,0,103,1619,32,2662,0,126359,-8,131088,-94,-4627,-0,-83907,-64685,1325557,980641,524866,250075,52548,153153,344916,48174,37531,9056,1587,19274,5099,8959,1434,3782,0,18251,14917,1121,13796,3334,582,2752,93167,0,24109,845,68028,185,8923,157127,160123,0,0,-2996,1325557,1625751,139274,4249,0,135025,149233,104927,86632,18296,44306,42604,1702,849698,843150,6548,34742,1671,33071,452804,126213,14330,312261,-300194
1969,554625,53484,501141,356064,318844,37220,50181,94896,65046,94896,18897,9855,5971,3071,48748,22306,24997,352,1093,65046,33344,3047,28655,28655,28732,28655,-77,43416,89280,53484,-332,7952,-14684,-14684,38477,-227,5591,-5404,-414,-1524,2529,-3313,242,-982,0,3298,2421,877,13001,0,7525,55,5352,69,1170,22759,22823,0,0,-64,71028,13157,1107,0,12050,20757,19197,9918,9279,1560,1276,284,4302,3406,896,11712,39,11673,21100,19517,-1702,3285,-32551,-8004,332,3661,17867,-5870,50338,37452,9025,2939,922,225,0,130,-3065,-155,3315,0,-136872,-7,-141481,167,4449,0,187434,208162,1467875,1084257,580412,276657,59291,167897,383618,47947,43122,3652,1173,17750,7628,5646,1676,2800,0,21679,17338,3311,14027,4341,1237,3104,106262,0,28569,745,76695,253,10093,179887,182946,0,0,-3059,1467875,1559906,152431,5356,0,147075,169825,124119,96543,27576,45706,43727,1979,712686,705075,7611,50902,1710,49192,474062,145730,12628,315704,-92031
