date,FU716902505.A,FU716330085.A,FU716902605.A,FU716025005.A,FU716020001.A,FU716401001.A,FU716240101.A,FU716402101.A,FU716140005.A,FU716402101.A,FU716150105.A,FU716130101.A,FU716121101.A,FU713092281.A,FU716150005.A,FU716130001.A,FU716120005.A,FU716121001.A,FU716122001.A,FU713192281.A,FU716112001.A,FU716140005.A,FU716220001.A,FU716403001.A,FU716012005.A,FU716012005.A,FU716006385.A,FU716012005.A,FU715440083.A,FU715015085.A,FU715013085.A,FU716330085.A,FU715000995.A,FU715000995.A,FU714090005.A,FU714000005.A,FU714022005.A,FU713069603.A,FU713061103.A,FU713061705.A,FU713011525.A,FU714041005.A,FU713064103.A,FU713090005.A,FU714194005.A,FU714100005.A,FU712151003.A,FU713164005.A,FU713193005.A,FU715000005.A,FV718090185.A,FV712010095.A,FV718090085.A,FU717005045.A,FR712010095.A,FR715013665.A,FR715013265.A,FR715013765.A,FR714090005.A,FR714000005.A,FR714022005.A,FR714041005.A,FR712000095.A,FC712090095.A,FL712000095.A,LM712010095.A,LM715013665.A,LM715013265.A,LM715013765.A,FL714090005.A,FL714000005.A,LM714022005.A,FL713069603.A,LM713061103.A,LM713061705.A,LM713011525.A,FL714041005.A,FL713064103.A,FL713090005.A,FL712100005.A,FL714194005.A,FL714100005.A,FL712151003.A,FL713164005.A,FL713193005.A,FL712090095.A
2001,2995,1075,1920,1351,1182,169,0,569,2456,569,30867,30867,0,0,28980,1463,27517,27517,0,0,0,2456,0,634,1822,1822,1822,1822,0,-15,1061,1075,1837,1837,47199,-896,39852,0,39972,-120,0,7216,0,1028,45302,47426,0,376,-2500,1897,61,0,0,-61,-19,152,-159,-12,-1452,18,0,-1469,-1471,412,660131,9143,5115,3435,593,650988,1013,551685,0,551675,10,0,64741,0,33550,660131,645698,635599,0,7373,2726,14433
2002,2517,967,1550,1451,1258,193,0,99,-272,99,25799,25799,0,0,26170,1191,24979,24979,0,0,0,-272,0,635,-907,-907,-907,-907,0,-387,580,967,-520,-520,66985,412,77731,0,77731,0,0,-10463,0,-695,68007,45993,21091,1007,-84,-1022,-502,0,0,502,65,150,-73,-12,2067,19,0,2048,2132,723,728861,8821,5258,2986,577,720040,11694,634394,0,629406,10,4978,41098,0,32855,728861,713705,681592,21091,8380,2642,15156
2003,1949,878,1071,1452,1282,170,0,-381,-1230,-381,22858,22858,0,0,23707,1168,22539,22539,0,0,0,-1230,0,805,-2035,-2035,-2035,-2035,0,-261,617,878,-1774,-1774,39383,-870,37345,0,37259,-10,96,4294,0,-1386,41656,37002,4561,467,-374,-2273,-499,0,0,499,115,137,-16,-6,2670,1763,515,392,2785,251,770768,8675,5419,2688,568,762093,12587,672253,0,666665,0,5588,45784,0,31470,770768,755361,718594,25652,8847,2268,15407
2004,2142,844,1298,1476,1305,171,0,-178,2540,-178,22616,22616,0,0,19898,1238,18660,18660,0,0,0,2540,0,776,1764,1764,1764,1764,0,-44,800,844,1808,1808,42288,1348,51304,0,51154,0,150,-10709,0,346,40796,31337,5131,3067,1261,1492,-316,0,0,316,568,518,54,-4,1189,-928,2049,68,1757,3205,814769,9199,5998,2586,615,805570,13007,725605,0,717819,0,7786,35142,0,31816,814769,796157,749931,30783,11914,3529,18612
2005,2111,817,1294,1535,1335,200,0,-241,4963,-241,29249,29249,0,0,24045,1797,22248,22248,0,0,0,4963,0,743,4220,4220,4220,4220,0,-276,541,817,4496,4496,39984,76,26551,0,26396,0,155,13791,0,-434,35980,33554,-278,1622,1082,4004,-492,0,0,492,638,626,6,6,-2749,-3418,925,-256,-2111,1617,852366,9561,6612,2356,593,842805,9665,753081,0,744215,0,8866,48677,0,31382,852366,832137,783485,30505,13536,4611,20229
2006,1993,798,1195,1635,1437,198,0,-440,4073,-440,36833,36833,0,0,32320,2397,29923,29923,0,0,0,4073,0,793,3280,3280,3280,3280,0,-9,790,798,3289,3289,26822,-972,34854,0,34700,0,154,-5942,0,-1119,25728,23248,-890,1789,1581,1094,-2195,0,0,2195,585,557,24,3,1187,662,299,227,1772,2857,880951,10137,7206,2291,640,870814,9355,788234,0,778915,0,9319,42963,0,30263,880951,857865,806733,29615,15325,6192,23086
2007,1995,805,1190,1746,1536,210,0,-556,1998,-556,40944,40944,0,0,38390,2799,35591,35591,0,0,0,1998,0,872,1126,1126,1126,1126,0,130,935,805,996,996,40649,73520,-38160,0,-38304,0,144,5842,0,-553,39654,23789,14370,3125,-1630,995,-1,0,0,1,306,304,-2,4,1966,943,781,242,2272,3397,924002,10573,7713,2199,661,913429,83817,750855,0,740611,0,10244,49047,0,29711,924002,897519,830522,43985,18450,4562,26483
2008,3388,799,2589,1948,1716,232,0,641,3501,641,38916,38916,0,0,36056,3178,32878,32878,0,0,0,3501,0,853,2648,2648,2648,2648,0,-175,624,799,2823,2823,1318026,1040113,-244761,0,-264690,19708,221,524031,0,-1357,1317730,1272260,44367,2626,-1523,296,-2527,0,0,2527,558,504,49,5,2298,-194,1083,1409,2856,2977,2244709,10956,8188,2123,645,2233753,1123736,507177,0,475921,19708,11548,574486,0,28355,2244709,2215249,2102782,88352,21076,3039,29460
2009,2495,801,1694,2034,1802,232,0,-340,-172,-340,53314,53314,0,0,53146,4288,48858,48858,0,0,0,-172,0,888,-1060,-1060,-1060,-1060,0,-86,715,801,-974,-974,-7251,-1006702,1349449,0,300667,1048542,240,-427554,25106,52450,-12701,-3097,-10620,4564,-3548,5450,6424,0,0,-6424,-388,-345,-28,-15,-936,620,-47,-1510,-1324,4040,2236048,10482,7765,2020,697,2225566,117654,1856579,0,776588,1068250,11741,145423,25106,80805,2236048,2202548,2099685,77732,25640,-509,33500
2010,2483,796,1687,2089,1844,245,0,-402,-7613,-402,78486,78486,0,0,85697,4846,80851,80851,0,0,0,-7613,0,1087,-8700,-8700,-8700,-8700,0,-210,586,796,-8490,-8490,184139,-105764,316476,0,244905,71351,220,-44767,1279,16915,183844,174913,-18029,884,26076,295,8785,0,0,-8785,14,10,7,-4,598,171,559,-132,612,697,2420589,10286,7632,1944,710,2410303,12061,2173614,0,1021493,1139601,12520,100524,26385,97720,2420589,2386392,2274598,59703,26524,25567,34197
