date,FU706902505.A,FU706330081.A,FU706902605.A,FU706025005.A,FU706020001.A,FU706401001.A,FU706240101.A,FU706402101.A,FU706140005.A,FU706402101.A,FU706150105.A,FU706130101.A,FU706121101.A,FU703092281.A,FU706150005.A,FU706130001.A,FU706120005.A,FU706121001.A,FU706122001.A,FU703192281.A,FU706112001.A,FU706140005.A,FU706220001.A,FU706403001.A,FU706012005.A,FU706012005.A,FU706006385.A,FU706012005.A,FU705440083.A,FU705015085.A,FU705013081.A,FU706330081.A,FU705000995.A,FU705000995.A,FU704090005.A,FU704000005.A,FU704022005.A,FU703069175.A,FU703061105.A,FU703061705.A,FU703062005.A,FU703063005.A,FU704035005.A,FU704041005.A,FU704042005.A,FU703081005.A,FU703064105.A,FU703064205.A,FU703092405.A,FU763092100.A,FU713164003.A,FU763040005.A,FU703096105.A,FU704194005.A,FU704100005.A,FU704122005.A,FU763163005.A,FU703169175.A,FU704135005.A,FU704141005.A,FU753192305.A,FU703181105.A,FU763164105.A,FU753192103.A,FU703194605.A,FU703196005.A,FU705000005.A,FV708090185.A,FV702010095.A,FV708090085.A,FU707005045.A,FR702010095.A,FR705013665.A,FR705013265.A,FR705013765.A,FR704090005.A,FR704022005.A,FR763092305.A,FR703064105.A,FR703064205.A,FR763092100.A,FR703096105.A,FR704194005.A,FR753192305.A,FR763164105.A,FR753192103.A,FR703194605.A,FR702090095.A,FC702090095.A,FL702000095.A,LM702010095.A,LM705013665.A,LM705013265.A,LM705013765.A,FL704090005.A,FL704000005.A,LM704022005.A,FL703069175.A,LM703061105.A,LM703061705.A,LM703062005.A,LM703063005.A,FL704035005.A,FL704041005.A,FL704042005.A,FL703065005.A,FL763092305.A,FL703081005.A,LM703064105.A,LM703064205.A,FL703092405.A,LM763092100.A,FL713164003.A,FL763040005.A,FL703096105.A,FL702100005.A,FL704194005.A,FL704100005.A,FL704122005.A,FL763163005.A,FL703169175.A,FL704135005.A,FL704141005.A,FL753192305.A,FL703181105.A,LM763164105.A,LM753192103.A,FL703194605.A,FL703196005.A,FL702090095.A
2001,195300,25811,169489,95600,80607,14993,5100,68789,61189,68789,357600,352600,2300,2700,365200,306500,60100,60100,0,-1400,0,61189,32200,3000,25989,25989,25989,25989,0,4809,30620,25811,21180,21180,486987,106056,163656,1071,-20314,90200,7700,84999,160310,-20632,180942,21423,3396,13395,2841,1415,376,0,35542,539596,492080,2490,5655,-3165,37515,35373,2142,51605,8168,4286,39151,-44094,-52609,-49190,-296,24895,73789,-3265,3217,-4931,-1551,11670,0,-113,-1422,-939,-11205,25349,-15771,0,3694,-19465,0,24176,975,9087056,265885,153466,100453,11966,8821171,1013811,1782954,1346,180415,1000647,124996,475550,5397249,2709156,2688093,2683526,4567,155080,20542,30967,33013,63185,7373,0,472075,9087056,9037069,6250048,103068,98303,4765,1185006,1168155,16851,874026,117130,92597,664299,624920,49987
2002,216200,26375,189825,106500,89258,17242,5500,77825,69225,77825,312900,307900,1900,3100,321500,246200,75100,75000,100,200,0,69225,36500,3200,29525,29525,29525,29525,0,2325,28700,26375,27200,27200,659966,28955,212514,979,41169,166598,2473,1295,281608,-26430,308038,7414,1348,591,1679,2789,1007,0,129475,733314,334333,-917,-756,-161,93237,92860,377,76747,5544,1729,69474,229914,-73348,-14582,0,85967,100548,-1181,3608,-3471,-1318,23709,-0,-1,-2736,-813,-17311,44570,-29067,-357,-11408,-17302,0,51596,66539,9776069,271221,160677,97301,13243,9504848,1042766,1995468,2325,221584,1167245,127469,476845,5678858,2682728,2996130,2991304,4826,141634,19154,30745,34692,48663,8380,0,646121,9776069,9659543,6584381,102151,97547,4604,1277887,1261016,16871,928656,117859,77024,733773,766468,116526
2003,235000,27147,207853,116000,99007,16993,5700,86153,57653,86153,284100,278300,1900,3900,312600,221100,90500,90400,100,1000,0,57653,38200,3400,16053,16053,16053,16053,0,2725,29872,27147,13328,13328,733900,106873,179949,-1481,4766,123858,11847,40959,365897,57880,308017,1691,1358,-8572,1863,6575,467,0,79491,668912,496756,6230,6467,-237,18661,19135,-474,59239,9074,4642,45523,88026,64988,51168,0,-493,-51660,-787,3417,-2707,-1496,365,0,129,4692,1712,13730,-19898,40550,-47,12528,28069,0,-40972,26249,10507330,279012,167535,97251,14226,10228318,1149639,2171417,844,150750,1284703,139316,595804,6075384,2774458,3300926,3296036,4890,163459,25204,23885,36555,68968,8847,0,668419,10507330,10364555,7074737,108381,104014,4367,1296501,1280151,16350,1028492,139461,109735,779296,856444,142775
2004,236200,28404,207796,119100,101572,17528,6200,82496,82096,82496,291400,283600,1800,6000,291800,224100,64400,64300,100,3300,0,82096,42000,3600,36496,36496,36496,36496,0,4622,33026,28404,31874,31874,1162618,165917,62587,-76,-27294,8861,8895,72201,685713,131036,554677,6910,-1422,-2537,1833,5969,3067,0,241491,1159491,716977,12593,12867,-274,115288,110114,5174,210051,5615,12727,191709,104582,3127,-5007,-363,24103,28747,6338,12731,-3124,-3269,-27211,0,-232,2564,468,37921,-67932,42613,-174,4539,38248,0,-63486,-31997,11666732,303006,187700,99734,15572,11363726,1315556,2254003,768,123456,1313564,148211,668004,6760866,2905495,3855371,3848528,6843,211322,26346,21816,38388,112858,11914,0,821979,11666732,11555954,7817145,120974,116881,4093,1411615,1390265,21350,1270625,138910,160710,971005,935595,110778
2005,262100,29439,232661,128500,108410,20090,6600,97561,78761,97561,365600,363000,2300,300,384400,308400,72900,72800,100,3100,0,78761,54100,4000,20661,20661,20661,20661,0,1777,31216,29439,18884,18884,1096498,142324,201950,91,-7203,45377,18456,145229,704210,219378,484832,313,-863,-3329,2075,808,1622,0,47701,940996,710459,13515,13506,9,127961,128686,-725,96443,8418,10080,77945,-7382,155502,147835,-707,11924,-136618,8109,16041,-5021,-2912,-2285,0,413,1525,-48,14236,-18411,-10649,1052,-1974,-9727,0,16473,184969,12783648,325709,210815,98185,16709,12457939,1457880,2455953,859,116253,1358941,166667,813233,7465489,3124873,4340616,4333619,6997,227348,27008,18439,40463,127902,13536,0,851269,12783648,12487901,8527604,134489,130387,4102,1542228,1520551,21677,1355367,145354,161063,1048950,928213,295747
2006,291500,30352,261148,133800,113621,20179,6900,120448,78248,120448,450500,440100,2800,7600,492700,395100,93200,93100,100,4400,0,78248,53300,4200,20748,20748,20748,20748,0,6545,36897,30352,14203,14203,1127097,194906,158041,119,562,19993,25053,112314,776516,384092,392424,4802,-385,3156,-67,309,1789,8212,-15380,1067731,806010,29360,29556,-196,105481,103601,1880,156936,10165,11915,134856,-30056,59366,31985,0,-13178,-45163,10247,14829,-2784,-1799,9206,0,355,3912,840,13174,-9075,-20485,300,-30282,9497,0,39938,92671,13914829,351862,234783,99468,17611,13562967,1652786,2606856,978,112495,1377068,191433,924882,8208768,3474180,4734588,4729212,5376,239848,30535,22435,40396,131157,15325,93392,761317,13914829,13526411,9333614,160823,159943,880,1648009,1624152,23857,1482782,125237,173775,1183770,901183,388418
2007,302500,31040,271460,139800,118733,21067,7300,124360,64360,124360,489600,477700,3100,8800,549600,439600,107100,107000,100,2900,0,64360,40100,4400,19860,19860,19860,19860,0,4257,35297,31040,15603,15603,1376614,290461,145797,-552,10329,-116540,12571,239989,844809,548018,296791,48044,1434,4294,7620,31571,3125,10899,36604,1327381,836989,24741,24820,-79,235785,243556,-7771,171221,7527,6966,156728,58645,49233,77127,0,43497,-33630,-3769,5769,-6363,-3174,68348,0,854,1656,-670,26687,39821,-83959,1263,-62177,-23045,0,148539,245525,15364504,365707,250533,97290,17884,14998797,1943247,2752653,426,122824,1260528,204004,1164871,9032299,4009198,5023101,5015672,7429,331677,33625,26059,48016,205527,18450,104291,834630,15364504,14730561,10170603,185564,184763,801,1885057,1867708,17349,1529509,70587,118424,1340498,959828,633943
2008,295700,31648,264052,132900,111709,21191,7800,123352,132452,123352,409000,395000,2800,11200,399900,347200,50800,50600,200,1900,0,132452,15200,4600,112652,112652,155452,112652,-42800,4611,36259,31648,150841,150841,1029282,685674,111548,15259,-20546,143258,20412,-46835,182248,133111,49137,15414,851,1214,-6237,16960,2626,6449,27949,897122,1129142,83,53,30,-165413,-160835,-4578,73939,12104,29330,32505,-140629,132160,-7518,-254,11417,18681,5833,11455,-2766,-2856,161622,0,906,-12283,-2272,-111176,286447,-70516,631,-20344,-50803,0,237971,385905,16534903,388225,272262,97542,18421,16146678,2628921,2867030,15685,102278,1403786,224416,1120865,9172430,4141998,5030432,5021496,8936,260184,22193,25001,41779,150135,21076,110740,1107373,16534903,15515055,11299745,185315,184816,499,1720275,1706873,13402,1490521,62347,55171,1373003,819199,1019848
2009,282500,32139,250361,147300,125331,21969,8700,94361,179261,94361,397000,380600,1900,14500,312100,263700,47300,47100,200,1100,0,179261,2000,4700,172561,172561,190561,172561,-18000,410,32549,32139,190151,190151,-560978,266464,105182,-15685,94858,172903,3385,-150279,-949497,-780954,-168543,-94,6280,-5522,323,-5739,4564,756,16211,-293938,39009,-28345,-28472,127,-405456,-412484,7028,115543,11639,9559,94345,-14689,-267040,-562043,0,-104852,457191,-23115,-14312,-5554,-3249,-145524,0,104,5653,2833,47160,-201274,-17380,-170,-32396,15186,0,-151259,-522741,15751374,373899,261156,93486,19257,15377475,2895385,2969806,0,197136,1583601,227801,961268,8162973,3366844,4796129,4782120,14009,379360,34126,22312,42102,255180,25640,111496,858455,15751374,15254267,11338738,176970,176344,626,1314649,1294389,20260,1638051,41590,105764,1490697,785859,497107
2010,266900,31824,235076,151000,128286,22714,8800,75276,177676,75276,385400,362400,2100,20900,283000,226100,54100,53900,200,2800,0,177676,18200,4800,154676,154676,154676,154676,0,-3922,27902,31824,158598,158598,-216478,22160,119755,0,102404,133953,29339,-145941,-281257,-111713,-169544,-5090,-1723,-6035,-3220,5004,884,4489,-76535,-40847,129615,113870,-55495,169365,-142039,-142608,569,13715,11911,11798,-9994,-156008,-175631,-337874,0,-3645,334229,-6234,-813,-2899,-2522,-13131,0,367,2707,-651,12197,-27751,18546,435,8847,9264,0,-37911,-221109,15868197,370837,259463,91731,19643,15497360,2917545,3069819,0,299540,1717256,257140,795883,8260482,3662232,4598250,4586204,12046,411075,35110,15626,38882,294933,26524,115985,722454,15868197,15592199,11464227,673269,370734,302535,1173045,1151781,21264,1668933,62348,125882,1480703,612725,275998
