date,FU526902505.A,FU526330081.A,FU526902605.A,FU526025005.A,FU526020001.A,FU526401001.A,FU526240101.A,FU526402101.A,FU526140005.A,FU526402101.A,FU526150105.A,FU526130101.A,FU526121101.A,FU523092281.A,FU526150005.A,FU526130001.A,FU526120005.A,FU526121001.A,FU526122001.A,FU523192281.A,FU526112001.A,FU526140005.A,FU526220001.A,FU526403001.A,FU526012005.A,FU526012005.A,FU526006385.A,FU526012005.A,FU525440083.A,FU525015085.A,FU525013081.A,FU526330081.A,FU525000995.A,FU525000995.A,FU524090005.A,FU523020005.A,FU524022005.A,FU523069105.A,FU523061105.A,FU523061705.A,FU523062005.A,FU523063005.A,FU524035005.A,FU524041005.A,FU524042005.A,FU523081005.A,FU523064105.A,FU523064205.A,FU523034005.A,FU523092405.A,FU523092105.A,FU523052005.A,FU523096005.A,FU524194005.A,FU524135005.A,FU524141005.A,FU523192305.A,FU523181105.A,FU523164105.A,FU523192105.A,FU523194605.A,FU523152005.A,FU523196005.A,FU525000005.A,FV528090185.A,FV522010095.A,FV528090085.A,FU527005045.A,FR522010095.A,FR525013665.A,FR525013265.A,FR525013765.A,FR524090005.A,FR524022005.A,FR523092305.A,FR523064105.A,FR523064205.A,FR523092105.A,FR523052005.A,FR523096005.A,FR524194005.A,FR523192305.A,FR523164105.A,FR523192105.A,FR523194605.A,FR523152005.A,FR523196005.A,FR522090095.A,FC522090095.A,FL522000095.A,LM522010095.A,LM525013665.A,LM525013265.A,LM525013765.A,FL524090005.A,FL523020005.A,LM524022005.A,FL523069105.A,LM523061105.A,LM523061705.A,LM523062005.A,LM523063005.A,FL524035005.A,FL524041005.A,FL524042005.A,FL523065005.A,FL523092305.A,FL523081005.A,LM523064105.A,LM523064205.A,FL523034005.A,FL523092405.A,FL523092105.A,FL523052005.A,FL523096005.A,FL522100005.A,FL524194005.A,FL524135005.A,FL524141005.A,FL523192305.A,FL523181105.A,LM523164105.A,FL523192105.A,FL523194605.A,FL523152005.A,FL523196005.A,FL522090095.A
2001,215547,18591,196956,92354,76850,15504,13505,91097,20147,91097,198312,189099,9147,66,269262,251427,18912,13704,5208,-1077,0,20147,11009,21047,-11909,-11909,-19646,-11909,7737,5057,23648,18591,-24703,-24703,340035,42035,126355,-34169,1542,27683,-5295,136595,12619,5790,6829,27784,2187,18995,6601,-89,90,65863,65379,313603,6226,3619,2607,2067,-390,3824,-1367,250473,54837,26432,135123,-125,84113,-51135,1859,3592,-1257,-476,-164543,12110,-146,-69815,-83107,-23551,-32,-2,-172237,-1,-24812,-33052,0,-112094,-2278,9553,125030,4872066,183338,108385,46127,28826,4688728,51006,2319787,67095,122005,359387,204380,1566920,375176,118438,256738,251516,5222,1186287,481600,573716,58441,276,72254,356761,399711,4872066,4844118,32538,6163,26375,733960,573398,144929,15633,3676620,401000,27948
2002,180234,19774,160460,94129,78244,15885,14743,51588,11766,51588,213445,194986,9042,9417,253267,230086,22818,16689,6129,363,0,11766,12998,-5419,4187,4187,4187,4187,0,1066,20840,19774,3121,3121,395120,11037,265785,6571,47797,100548,7921,102948,17491,6714,10777,49710,21713,6377,10694,219,10707,35959,15138,358877,14497,14307,190,14870,-295,11211,3954,253584,75926,36243,34998,0,1876,-33122,1496,3129,-914,-719,-108512,58307,-1,-83008,-87799,4064,-71,-4,-253700,-570,-86707,-37451,0,-125238,-3734,146684,185869,5163112,187776,111033,46201,30542,4975336,62043,2643879,73666,173000,465391,221644,1710178,392666,125152,267514,258884,8630,1069254,420305,492294,69135,495,87025,392649,414845,5163112,4949295,46465,20470,25995,624672,486396,118689,19587,3804966,473192,213817
2003,198152,20986,177166,98604,83101,15503,16308,62254,14179,62254,202574,189889,8039,4646,250649,229709,20632,14720,5912,308,0,14179,25907,-27131,15403,15403,15403,15403,0,2842,23828,20986,12561,12561,332781,21490,225318,-20204,5311,20622,39338,180251,9444,-1963,11407,40487,-2070,49262,-12229,652,4872,30023,6019,337242,1107,4990,-3883,5685,183,1681,3821,253282,77168,-4461,-17781,0,-759,17022,944,2753,-1016,-793,292714,40670,229,92566,132175,26950,119,5,304713,-67,97809,27586,0,170146,9239,-11055,-13433,5791634,194355,113699,47670,32986,5597279,83533,2909867,53462,174978,484336,268000,1929091,402340,123190,279150,270723,8427,1361432,510801,673731,56906,1147,118847,423464,416643,5791634,5591250,47505,25460,22045,755752,584388,147956,23408,4228394,559599,200384
2004,252551,22515,230036,104572,87983,16589,18413,107051,63565,107051,216610,197541,11889,7180,260096,235340,19107,12962,6145,5649,0,63565,30985,-12454,45034,45034,28852,45034,16182,1794,24309,22515,27058,27058,342966,-4636,204941,-11985,20435,1705,39644,155142,16556,3936,12620,65010,5762,45321,2240,557,11130,36779,24316,336453,1378,905,473,7181,-10779,15489,2471,259405,68489,6513,-18895,-108,1759,20545,10410,10241,685,-517,195126,65727,-408,52851,78245,-1359,67,3,200929,-234,91218,4303,0,100841,4801,4607,14564,6343580,208209,123071,49956,35182,6135371,78897,3180535,41477,197404,494860,321327,2125467,418488,127126,291362,283564,7798,1556179,569414,797297,59146,1704,128618,460310,440962,6343580,6128632,48649,26365,22284,858454,664827,167748,25879,4588640,632889,214948
2005,258915,23581,235334,109022,90704,18318,19274,107038,53548,107038,235391,219696,12479,3216,288881,264142,23714,17121,6593,1025,0,53548,32204,-30494,51838,51838,24114,51838,27724,-351,23230,23581,24465,24465,298259,-8629,173061,576,15463,17437,44674,94911,16112,4395,11717,51424,13630,30182,-4610,-124,12346,44200,22091,261177,5646,8014,-2368,3496,-7115,2579,8032,235813,16222,37082,12698,-172,253,-12617,10994,11639,-685,40,3460,-69221,513,3060,60813,8260,25,10,132167,1055,77449,-14507,0,65750,2420,-117713,-80901,6656683,219473,134200,49230,36043,6437210,70268,3278137,42053,211373,503269,367002,2154440,435113,131521,303592,295429,8163,1679736,586104,888292,54536,1580,149224,503456,470500,6656683,6522636,53750,32779,20971,924892,735161,155820,33911,4889326,654668,134047
2006,286228,24062,262166,114973,96256,18717,19984,127209,44767,127209,260782,240467,15295,5020,343224,309337,23599,17233,6366,10288,0,44767,44659,-38739,38847,38847,38847,38847,0,-912,23150,24062,39759,39759,244811,17960,92389,5128,-3955,1275,21776,68165,28674,9628,19046,62614,-2033,41297,17908,25,5417,20030,23144,232341,12071,3057,9014,10632,-20568,28486,2714,150662,58976,12470,-34502,0,-7213,27289,10622,10315,203,104,192548,-27628,389,75091,123332,21109,224,31,273557,188,88151,27651,0,150564,7003,-70387,-66042,7104359,229790,144295,49201,36294,6874569,88228,3307942,47181,204121,515756,390401,2150483,464176,141149,323027,315994,7033,1992646,694118,1052921,72444,1605,171558,523710,497867,7104359,7036354,66009,35836,30173,1059146,802744,219777,36625,5190552,720647,68005
2007,310298,24541,285757,119321,100202,19119,20528,145908,78182,145908,298251,266364,17412,14475,365977,338601,24138,18115,6023,3238,0,78182,41682,-4453,40953,40953,40953,40953,0,703,25244,24541,40250,40250,267993,15997,74267,10918,-58829,4094,69811,48273,38911,15334,23577,95106,4914,51148,14192,632,24220,6075,37637,190221,8017,12990,-4973,-22562,-39022,11047,5413,168832,35934,77772,68899,0,31377,-37522,5150,6012,-860,-2,64717,-33129,1006,18616,63908,14104,199,13,55234,1571,-7445,-17593,0,74310,4391,14633,124485,7443803,236524,150761,48270,37493,7207279,104225,3349080,58099,150219,530477,433920,2176365,504093,156483,347610,340359,7251,2175072,717648,1167977,86636,2237,200574,529984,544825,7443803,7251313,75597,48826,26771,981050,756277,182735,42038,5433694,760972,192490
2008,259082,25711,233371,120738,100432,20306,21153,91480,25965,91480,299501,270175,19201,10125,365016,338675,20777,15461,5316,5564,0,25965,20139,34144,-28318,-28318,-25500,-28318,-2818,497,26208,25711,-25997,-25997,421874,11568,28915,1901,15060,-15887,44289,-16448,41554,27041,14513,120298,56486,-1007,50012,966,13841,47666,171873,219556,13022,19905,-6883,13294,-8880,34248,-12074,206953,-13713,202318,281249,-63,52997,-228315,9997,9232,628,137,-1121778,-348362,791,-257225,-422433,-92717,-1817,-15,-980960,951,-352467,-78509,0,-518113,-32822,-130822,124927,6754642,247267,159397,48645,39225,6507375,115793,3029633,60000,191132,499791,445014,1833696,546438,183524,362914,357256,5658,1496355,516909,744537,136648,3203,95058,575833,743323,6754642,6437225,89570,68731,20839,510684,394930,85790,29964,5122534,714437,317417
2009,284168,26603,257565,117081,98412,18669,21042,119442,60337,119442,276878,249241,12227,15410,335983,323740,10716,5380,5336,1527,0,60337,24232,-4197,40302,40302,45753,40302,-5451,25,26628,26603,45728,45728,-39534,-34358,97051,3532,52292,22214,-8129,27142,-24274,-10233,-14041,33332,384,42850,-25052,-323,15473,-12797,-98488,25769,-1843,-6491,4648,16261,-4744,8864,12141,108704,-97353,-65303,-129421,0,-18390,111031,-9799,-7525,-1029,-1245,670527,334664,68,108356,196721,29745,922,51,309205,-274,30549,18793,0,246972,13165,351524,267856,7375644,237276,151315,46202,39759,7138368,81435,3523900,63532,229818,517639,473198,2239713,509680,160739,348941,340767,8174,1823109,575649,984108,111596,2880,148876,563958,636286,7375644,6790371,87453,62240,25213,594459,420735,131619,42105,5478210,630249,585273
2010,269538,26149,243389,119880,100650,19230,21380,102129,33626,102129,256473,246466,27884,-17877,324976,305425,17256,13453,3803,2295,0,33626,28293,-8876,14209,14209,14209,14209,0,-3423,22726,26149,17632,17632,187740,6298,140612,-11330,24721,1431,12436,113354,-10582,220,-10802,24668,40995,26817,-24840,-84,-18220,-21723,48467,179294,-3192,-4907,1715,16107,-13784,7420,22471,152306,14073,8446,-20039,0,-10853,9186,-370,199,-99,-470,295725,136602,236,37056,115986,5343,459,43,306880,541,137880,12814,0,147041,8604,-11525,-17354,7855228,233395,149117,45237,39041,7621833,87733,3801114,52202,262053,523236,485958,2477665,499334,160959,338375,332122,6253,2023234,653700,1126911,86756,2796,153071,542694,667724,7855228,7287309,84802,57333,27469,772024,544831,162617,64576,5777557,652926,567919
