date,FU856902505.A,FU856330085.A,FU856902605.A,FU856025005.A,FU856020005.A,FU856401005.A,FU856240105.A,FU856402105.A,FU856140005.A,FU856402105.A,FU856150105.A,FU856130105.A,FU856121105.A,FU853092285.A,FU856150005.A,FU856130005.A,FU856120005.A,FU856121005.A,FU856122005.A,FU853192285.A,FU856112005.A,FU856140005.A,FU856220005.A,FU856403005.A,FU856012005.A,FU856012005.A,FU856006385.A,FU856012005.A,FU855440085.A,FU855015085.A,FU855013085.A,FU856330085.A,FU855000995.A,FU855000995.A,FU854090005.A,FU854000005.A,FU854022005.A,FU853069175.A,FU853061105.A,FU853061705.A,FU853062005.A,FU853063005.A,FU854035005.A,FU854041005.A,FU814042005.A,FU813081005.A,FU813064105.A,FU813034005.A,FU813092405.A,FU803092105.A,FU793094605.A,FU733040005.A,FU853096005.A,FU854194005.A,FU403197033.A,FU814122005.A,FU423161705.A,FU813163005.A,FU813169105.A,FU814135005.A,FU814141005.A,FU803192305.A,FU853181005.A,FU634090005.A,FU813164105.A,FU653164205.A,FU403192405.A,FU803192105.A,FU662090003.A,FU803194605.A,FU503194205.A,FU813196005.A,FU855000005.A,FV858090185.A,FV812010095.A,FV858090085.A,FU857005045.A,FR812010095.A,FR815013665.A,FR815013265.A,FR815013765.A,FR854090005.A,FR854022005.A,FR803092305.A,FR813064105.A,FR803092105.A,FR853096005.A,FR854194005.A,FR803192305.A,FR813164105.A,FR653164205.A,FR803192105.A,FR662090003.A,FR803194605.A,FR813196005.A,FR852090095.A,FC852090095.A,FL852000095.A,LM812010095.A,LM815013665.A,LM815013265.A,LM815013765.A,FL854090005.A,FL854000005.A,FL854022005.A,FL853069175.A,FL853061105.A,FL853061705.A,FL853062005.A,FL853063005.A,FL854035005.A,FL854041005.A,FL814042005.A,FL813065005.A,FL803092305.A,FL813081005.A,LM813064105.A,FL813034005.A,FL813092405.A,FL803092105.A,FL793094605.A,FL733040005.A,FL853096005.A,FL852100005.A,FL854194005.A,FL403197033.A,FL814122005.A,FL423161705.A,FL813163005.A,FL813169105.A,FL814135005.A,FL814141005.A,FL803192305.A,FL853181005.A,FL634090005.A,LM813164105.A,LM653164205.A,FL403192405.A,FL803192105.A,LM662090003.A,FL803194605.A,FL503194205.A,FL813196005.A,FL852090095.A
2001,410079,67279,342799,255960,216086,39874,16088,70752,79254,70752,922843,858050,56500,8293,914341,780612,136415,83268,53147,-2686,0,79254,20728,5941,52584,52584,52584,52584,0,28793,96073,67279,23791,23791,2289772,150726,747306,-49348,31002,555667,67814,142171,782292,291459,490833,307121,167713,50036,0,15452,73920,0,302328,2218105,8561,857048,642687,215754,-1393,245552,242592,2960,707452,440062,21975,191495,3276,9885,4623,36136,0,399492,71667,21082,-3348,-23446,-47876,3966,10521,-6010,-545,-640940,56769,-211,-644806,-23510,-29182,-801726,1,-168533,-621278,-20035,0,0,8119,164752,238418,21080363,596621,323137,232669,40815,20483742,579074,5391084,1021440,287467,2220806,691917,1169454,7637323,3528104,4109219,4100653,8566,4947904,3552260,164110,0,118530,1113004,0,1928357,21080363,22223466,25661,8298694,4962349,2191318,1145027,2037655,2020534,17121,9708859,2285310,2142063,4689603,37088,102491,19232,433072,0,2152597,-1143103
2002,423499,68198,355301,241218,201924,39294,17126,96957,113273,96957,675208,615276,58659,1273,658893,533350,125567,77657,47910,-25,0,113273,20100,12167,81006,81006,81006,81006,0,26069,94267,68198,54937,54937,1143564,-13782,279019,-147796,32207,251702,57476,85430,777884,186767,591117,174200,83317,-16416,0,4074,103225,0,-73757,1079188,1949,858095,546652,392218,-80775,92542,97922,-5380,248266,-20235,52865,182995,1992,1489,-637,29797,0,-121664,64376,9943,0,504,-9439,3730,9421,-4776,-916,-770696,75008,-2,-805920,-14918,-24864,-1030580,-354,-239613,-754516,-44373,0,0,8276,263614,354562,21444293,620330,331529,246459,42342,20823963,565292,5766111,892652,324231,2496886,761184,1291158,8415205,3714871,4700334,4689655,10679,4247619,2826010,97694,0,107686,1216229,0,1829736,21444293,22232834,27610,9156789,5509001,2583536,1064252,2129843,2118456,11387,8908383,2265075,1945075,4118082,39080,59607,18595,462869,0,2010209,-788541
2003,419962,71232,348730,243706,206770,36936,17555,87469,131781,87469,636306,557332,67392,11582,591995,468261,121765,77745,44020,1969,0,131781,23164,12723,95893,95893,95893,95893,0,17708,88940,71232,78185,78185,2157114,-58621,629394,-61837,19590,296832,36231,338578,761950,95654,666296,282145,195084,-6579,0,11293,82347,0,542247,2053030,-7105,1032790,586245,491131,-44586,269157,267440,1717,173545,-225054,58989,282752,3203,20171,481,33003,0,584643,104084,17226,0,-8673,-25899,3757,8332,-3836,-740,990240,-6914,284,947137,64524,-14791,1543349,-40,590932,961263,15237,0,0,-24043,-549352,-436233,24430916,633122,336885,253808,42429,23797794,506671,6217291,820354,339628,2612537,809723,1635049,9175216,3796526,5378690,5365679,13011,5541425,3968231,91115,0,183503,1298576,0,2357192,24430916,25655690,20505,10064856,5944522,3008668,1111666,2398960,2385896,13064,10649360,2040021,2594996,5362097,42283,95015,19076,495872,0,2522009,-1224774
2004,395743,75536,320207,272541,231602,40939,19298,28368,74648,28368,844087,740625,88343,15119,797808,599531,197610,156574,41036,667,0,74648,26293,1134,47222,47222,47221,47222,0,30821,106357,75536,16400,16400,2362453,79049,81386,72035,-47876,-204244,12462,249009,1203728,529517,674211,540254,280066,-24855,0,22229,262814,0,458037,2230373,-2121,791942,115766,578542,97634,467702,469012,-1310,361631,-138321,123295,288143,2505,17641,-266,68634,0,611219,132080,88372,-1193,-26115,-115680,35770,31153,4909,-292,570000,-23576,-623,563601,40437,-9839,711669,-135,190761,543861,-10778,0,0,-12040,-105899,29694,27440205,683110,363040,276212,43858,26757095,585720,6287100,904225,288862,2398807,822679,1872527,10393168,4326042,6067126,6052200,14926,6685717,4811898,66260,0,246169,1561390,0,2805390,27440205,28635285,18384,10871646,6060288,3602058,1209300,2866527,2854908,11619,11745540,1901700,2919757,6194101,44788,101878,18810,564506,0,3133188,-1195080
2005,466622,81322,385300,295533,248435,47098,21197,68571,91803,68571,1144807,1023355,123520,-2069,1121574,907981,209443,168527,40916,4150,0,91803,30903,3014,57887,57887,57887,57887,0,32956,114278,81322,24931,24931,2191603,-8815,102687,168210,22356,-243872,45805,110188,1347039,420150,926889,450445,258187,42264,0,52,149942,0,300247,2126280,780,1041431,80424,707310,253697,396286,393471,2815,543032,125121,64358,286040,1909,1484,155,63965,0,144751,65323,24565,-798,-15029,-40392,36488,36047,181,260,401955,-47250,926,430494,20659,-2874,514225,592,117604,384412,14263,0,0,-2646,-75782,6669,29989179,737226,394671,297131,45424,29251953,576905,6343837,1074160,309541,2137154,866273,1956709,11741133,4746192,6994941,6980341,14600,7587315,5500579,108524,0,266880,1711332,0,3002763,29989179,31177590,19164,11858576,6140712,4254867,1462997,3263405,3248379,15026,12804851,2026821,3101719,6864553,46697,117625,18965,628471,0,3231594,-1188411
2006,515423,86831,428593,328773,278918,49855,22893,76927,120486,76927,1597420,1435637,137928,23855,1553861,1331282,224440,180916,43524,-1861,0,120486,36107,12769,71610,71610,71610,71610,0,28265,115096,86831,43345,43345,3162567,65066,713037,195382,9916,141906,71284,294549,1299394,312111,987283,464898,240722,1240,0,22697,200239,-357,620529,3073216,-192,1325112,328218,720783,276111,483083,478358,4725,787387,311630,72743,346153,181,-4001,-1988,62669,0,477826,89351,52252,0,6246,-46006,33557,31484,1832,241,906346,-63417,616,879705,64202,25240,1397342,168,543670,848998,15654,0,0,-11148,-457439,-333577,34001694,788954,421433,319965,47556,33212740,641971,6976432,1250952,316097,2234214,941899,2233270,13012038,5035698,7976340,7960301,16039,8955916,6621006,56764,0,391267,1886879,15160,3611223,34001694,35523682,18972,13154415,6468930,4946377,1739108,3746656,3726737,19919,14976234,2338451,3694958,8059704,46878,152782,16977,666484,0,3627405,-1521988
2007,410047,93182,316865,356562,305892,50670,23593,-63290,9908,-63290,1959196,1759914,180674,18608,1885998,1612537,269546,235023,34523,3915,0,9908,32380,9218,-31690,-31690,-31690,-31690,0,43426,136608,93182,-75116,-75116,3494031,171048,715614,-127397,156623,372422,124584,189382,1717222,931974,785248,621397,311925,61314,0,51270,196888,5290,263460,3517457,1921,1487022,905680,760333,-178991,541114,537564,3550,1342409,747309,170068,376098,9093,-159,5253,34747,0,144991,-23426,77508,0,25818,-51690,15696,17619,-2202,279,543776,1541,2386,506854,44183,-11188,-104726,1385,-552443,478606,3988,0,0,-36262,664198,710016,38175713,833566,437851,341683,54032,37342147,813019,7698587,1127122,476823,2642365,1047373,2404904,14711430,5970220,8741210,8723258,17952,10138278,7439785,118078,0,496648,2083767,20450,3960383,38175713,38987685,20893,14752082,7374610,5817355,1560117,4289155,4264301,24854,16256366,3085760,3312449,8914408,55971,164317,22230,701231,0,3669189,-811972
2008,242784,98347,144437,356553,303352,53201,22087,-234204,-134931,-234204,1627442,1415967,187061,24414,1528170,1231073,296597,279806,16791,500,0,-134931,13374,9213,-157518,-157518,-142653,-157518,-14865,19557,117904,98347,-162210,-162210,-575158,254147,599668,-110764,510010,582948,18428,-400954,-287138,-466455,179317,164634,64646,28890,0,39377,31721,-1161,-1305308,-147689,-5397,361648,768741,-223521,-183572,-556050,-558562,2512,1355462,746477,594792,-57924,-4204,65476,-445,11290,0,-1303352,-427469,-244345,-282,21196,265259,29652,27810,1348,495,-3539083,-161094,2113,-3186974,-251007,57879,-4868918,928,-1784027,-3068083,-75710,0,0,57974,1359487,972489,34046717,869542,464363,344996,60183,33177175,1102166,8120119,1017795,1004471,3308023,988330,1801500,14332595,5503764,8828831,8810719,18112,6884219,4317457,146968,0,304306,2115488,19289,2718787,34046717,33886200,15496,15033258,8143351,5513362,1376545,3734033,3705739,28294,12644934,3832237,2122884,5788401,51767,115339,21785,712521,0,2458479,160517
2009,403000,98415,304585,281569,239763,41806,28633,-5617,46692,-5617,988714,826272,143544,18898,936405,660797,273794,205122,68672,1814,0,46692,16265,36276,-5849,-5849,92621,-5849,-98470,-10646,87769,98415,103268,103268,-1082600,133241,-774351,-341109,-50359,-531854,7519,141452,-538797,-688065,149268,295482,164771,-3420,0,19347,114784,2063,-200238,-1091510,401,-947261,-60053,-433539,-453669,-775944,-777690,1746,456144,-516344,413872,533453,0,13223,1250,10690,0,175150,8910,174581,0,268938,94358,-21467,-20896,770,-1340,1751749,151231,94,1389446,94275,116703,1397458,-371,-112471,1474875,21669,0,-604,14360,332824,600026,34679311,829088,440363,322301,66424,33850223,1274473,7506554,676577,926154,2788570,1051919,2063334,13577858,4770150,8807708,8785331,22377,8189589,5871674,143548,0,407588,1766779,21352,3280397,34679311,33918768,15897,13931208,8083298,4925034,922876,2957718,2928049,29669,14284885,3315893,2710737,7796729,51767,150959,23035,235765,0,2729060,760543
2010,471211,97674,373537,300371,254679,45692,28533,44633,152789,44633,920628,694760,163323,62545,812471,546194,260630,177483,83147,5647,0,152789,21991,31559,99240,99240,140721,99240,-41481,4583,102257,97674,136138,136138,-326305,-92405,64715,-37674,118750,-173966,-24872,182477,-105575,25574,-131149,132161,123063,239,57,19243,-10441,3753,-328954,-293422,-1496,-578992,-39534,-248069,-291389,181594,173334,8260,115773,-526881,240364,395761,-2746,18121,6162,-15008,0,-10301,-32883,-204790,-2097,-33672,169022,2999,825,2661,-487,953356,66991,577,798988,19287,67513,1037593,639,201617,837359,20304,0,-2020,-20306,-81238,-145307,34441975,827335,434998,323310,69027,33614640,1347391,7054193,563206,1084317,2209454,1049023,2148193,12951057,4530316,8420741,8401589,19152,9251781,6793554,238598,57,468906,1750666,25105,2985113,34441975,33826739,14401,12599207,7581337,4518927,498943,3151867,3113299,38568,15718699,3034465,3152614,9029849,49021,210488,29197,213065,0,2342565,615236
