date,FU796902505.A,FU796330081.A,FU796902605.A,FU796025005.A,FU796020001.A,FU796401001.A,FU796240101.A,FU796402101.A,FU796140005.A,FU796402101.A,FU796150105.A,FU796130101.A,FU796121101.A,FU793092281.A,FU796150005.A,FU796130001.A,FU796120005.A,FU796121001.A,FU796122001.A,FU793192281.A,FU796112001.A,FU796140005.A,FU796220001.A,FU796403005.A,FU796012095.A,FU796012095.A,FU796006385.A,FU796012095.A,FU795440005.A,FU795015085.A,FU795013005.A,FU796330081.A,FU795000995.A,FU795000995.A,FU794090005.A,FU794000005.A,FU794022005.A,FU793069175.A,FU793061105.A,FU793061705.A,FU793062005.A,FU793063005.A,FU794035005.A,FU794041005.A,FU794042005.A,FU793081005.A,FU793064105.A,FU793064205.A,FU793034005.A,FU793092405.A,FU793092105.A,FU713164003.A,FU793094605.A,FU793052005.A,FU793096005.A,FU794194005.A,FU794100005.A,FU794122005.A,FU423161705.A,FU793163005.A,FU793169175.A,FU794135005.A,FU794141005.A,FU793192305.A,FU793181005.A,FU634090005.A,FU793164105.A,FU653164205.A,FU403192405.A,FU793192105.A,FU662090003.A,FU793194605.A,FU713164005.A,FU503194205.A,FU583152005.A,FU793196005.A,FU795000005.A,FV798090185.A,FV795013865.A,FV798090085.A,FU797005045.A,FR795013865.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090005.A,FR794000005.A,FR794022005.A,FR794035005.A,FR793064105.A,FR793064205.A,FR793092105.A,FR793052005.A,FR793096005.A,FR794194005.A,FR793192305.A,FR793164105.A,FR653164205.A,FR793192105.A,FR662090003.A,FR793194605.A,FR583152005.A,FR793196005.A,FR792090095.A,FC792090095.A,FL792000095.A,LM795013865.A,LM795013665.A,LM795013265.A,LM795013765.A,FL794090005.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL794042005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,LM793092105.A,FL713164003.A,FL793094605.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL793192305.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,LM793192105.A,LM662090003.A,FL793194605.A,FL713164005.A,FL503194205.A,FL583152005.A,FL793196005.A,FL792090095.A
1960,20511,1144,19367,11396,10448,948,1536,6435,6606,6435,31736,29881,1805,50,31565,26225,5299,3657,1642,41,0,6606,2743,243,3618,3618,3618,3618,0,933,2038,1144,2685,2685,56836,-41,11553,1599,1893,1256,2044,4761,26673,12551,14122,6356,6096,0,0,123,115,22,0,13201,-906,52877,17381,5699,738,3236,1725,-325,-339,14,2177,0,874,1049,176,56,0,0,22,0,28315,-370,3959,1270,0,-4,-1274,-323,-227,-93,-3,-1904,0,0,0,-1838,0,0,-112,46,-1778,0,60,159,-2,0,0,-2012,17,-449,4439,914467,16371,12383,3943,45,898096,34005,247019,4465,121706,5513,34835,80500,317278,149803,167475,53489,50943,0,0,989,1148,409,0,216791,29514,914467,898150,353843,23616,8061,9780,5775,14532,14201,331,76309,0,55908,17026,1690,1276,0,0,409,0,409214,20636,16317
1961,21673,1181,20492,12295,11285,1010,1632,6564,6750,6564,33849,31935,1870,44,33664,28252,5355,3487,1868,57,0,6750,2784,240,3726,3726,3726,3726,0,886,2030,1181,2841,2841,66751,3201,18426,482,7918,851,3850,5325,27069,10489,16580,5819,5534,0,0,118,131,36,0,12083,153,61963,28644,1952,703,722,527,1486,1445,41,492,0,-1357,1671,145,-3,0,0,36,0,28540,849,4788,1969,0,22,-1947,17,122,-103,-3,5585,-58,0,0,9187,0,0,-3453,-91,26467,0,23967,4178,162,0,0,-2024,184,-20866,-15170,990687,17273,13209,3994,70,973414,37127,265445,4947,129624,6364,38685,85825,344347,160292,184055,68495,65664,0,0,1107,1279,445,0,228420,29580,990687,989540,382487,25568,8764,10502,6302,16018,15646,372,105108,0,78518,22875,1835,1435,0,0,445,0,438733,21626,1147
1962,22383,1236,21147,12986,11819,1167,1668,6493,7174,6493,37981,35672,2257,52,37300,31611,5637,3822,1815,52,0,7174,2705,283,4186,4186,4186,4186,0,1078,2274,1236,3109,3109,77042,2503,18206,1038,3588,1861,5758,5961,36165,15205,20960,7515,7124,204,0,19,146,22,0,11384,1270,73751,34112,3144,1637,331,1176,2642,2658,-16,1509,0,133,1250,49,55,0,0,22,0,28835,3509,3291,157,0,-26,-183,76,172,-96,0,-7980,90,0,0,-10780,-10,0,2628,93,-10338,-2,-3856,-2854,-126,0,0,-3468,-32,2434,6777,1055298,18427,14125,4200,102,1036871,39720,283651,5985,133212,8225,44443,91786,380512,175497,205015,65220,62008,194,0,1126,1425,467,0,236823,30946,1055298,1047374,416599,28712,10401,10833,7478,18658,18304,354,99781,0,74795,21271,1884,1364,0,0,467,0,458495,25129,7924
1963,23119,1301,21818,13831,12522,1309,1841,6146,6847,6146,41716,39510,2139,67,41015,34834,6127,4137,1990,54,0,6847,2737,702,3408,3408,3408,3408,0,993,2253,1301,2415,2415,83111,-433,12612,1318,106,480,4382,6326,47219,21720,25499,8011,7791,-20,0,45,165,30,0,13509,2194,81746,33953,4462,1648,1551,1263,3687,3669,18,1984,0,989,967,18,-20,0,0,30,0,32631,5029,1365,-1517,0,-467,1050,39,145,-107,1,2635,16,0,0,5938,19,0,-3261,-77,11977,2,11767,2977,93,0,0,-2939,77,-9303,-7412,1142696,19459,15024,4292,143,1123237,39302,296263,7303,133318,8705,48825,98112,427733,197219,230514,79188,75737,193,0,1171,1590,497,0,248173,32578,1142696,1142184,450552,33174,12049,12384,8741,22347,21973,374,116602,0,87551,25215,1902,1437,0,0,497,0,489292,30217,512
1964,25400,1391,24009,14899,13478,1421,2079,7031,6968,7031,46298,43509,2723,66,46360,38778,7507,5300,2207,75,0,6968,2685,890,3394,3394,3394,3394,0,1595,2942,1391,1799,1799,93398,2644,16778,1244,3828,881,3578,7247,47760,21747,26013,9102,8624,209,0,56,186,27,0,14628,2486,90858,40705,5648,512,3141,1995,1687,1662,25,1207,0,-36,1190,28,-2,0,0,27,0,37699,3912,2540,758,0,17,-741,350,492,-144,2,1139,32,0,0,4507,14,0,-3374,-40,7552,0,8506,2711,100,0,0,-3880,115,-6063,-1911,1240934,21404,16418,4757,229,1219530,41978,313041,8547,137146,9586,52403,105359,475506,218979,256527,92811,88868,416,0,1227,1776,524,0,261180,35014,1240934,1242333,491257,38822,12561,15525,10736,24534,24135,399,129126,0,96021,29116,1930,1535,0,0,524,0,524867,33727,-1399
1965,27524,1561,25963,15978,14395,1583,2190,7795,8215,7795,50936,47509,3357,70,50517,42609,7825,5333,2492,83,0,8215,2631,1051,4533,4533,4533,4533,0,1951,3458,1561,2583,2583,102195,948,14202,827,-23,940,4696,7762,57568,30780,26788,10841,10519,26,0,50,219,27,0,18373,264,99567,40742,4552,2154,1205,1193,5093,5099,-6,1581,0,-644,2150,99,-51,0,0,27,0,43246,4353,2628,56,0,10,-46,122,423,-291,-10,1033,160,0,10,4350,38,-10,-3457,-58,10215,0,10686,3954,31,0,0,-4545,89,-9060,-4471,1348757,23477,17765,5388,324,1325280,43280,327243,9374,137123,10526,57099,113121,533084,249759,283325,108030,103737,480,0,1277,1985,551,0,278419,35225,1348757,1354627,532387,43374,14715,16730,11929,29627,29234,393,145378,0,106063,35220,2029,1515,0,0,551,0,565896,37965,-5870
1966,29943,1735,28208,17382,15562,1820,2324,8503,8075,8503,55924,52906,2941,77,56352,47993,8285,5667,2618,74,0,8075,2740,275,5061,5061,5061,5061,0,1935,3606,1735,3126,3126,98930,3156,16934,2846,810,1444,2619,9215,44873,24080,20793,12233,11752,135,0,92,235,19,0,21636,98,95618,30799,10836,5503,1600,3733,1291,1312,-21,3230,0,387,2482,264,78,0,0,19,0,49480,-18,3312,153,0,-33,-186,476,688,-199,-13,-12178,-24,0,-2,-16271,-61,2,4028,150,-8010,0,1759,-2873,-161,0,0,-6530,-205,-3692,1522,1441699,25888,19312,6159,417,1415811,46412,344177,12220,137933,11970,59718,122336,577955,273839,304116,103933,99218,554,0,1369,2222,570,0,308100,35235,1441699,1446047,563186,54210,20218,18330,15662,30918,30546,372,147333,0,108209,34829,2293,1432,0,0,570,0,612866,37534,-4348
1967,33429,1929,31500,19274,17208,2066,2541,9684,8499,9684,61358,58325,2952,81,62543,53654,8802,5916,2886,87,0,8499,3164,454,4880,4880,4880,4880,0,2110,3964,1929,2770,2770,133432,3815,38796,3026,9550,3244,10442,12534,47625,27150,20475,14961,14612,42,0,26,253,28,0,25410,2825,121032,59107,3837,120,968,2749,2357,2339,18,461,0,-730,1095,78,-10,0,0,28,0,54050,1220,12400,9677,0,47,-9630,483,607,-116,-8,7128,217,0,2,13179,104,-2,-6252,-121,14542,2,10169,8384,84,0,0,-4413,316,-6932,7625,1587510,28481,20782,7157,542,1559029,50444,382973,15246,147483,15214,70160,134870,625605,300989,324616,132175,127009,700,0,1395,2473,598,0,330020,37813,1587510,1584233,622293,58047,20338,19298,18411,33277,32885,392,166431,0,117648,44308,2371,1506,0,0,598,0,665452,38733,3277
1968,37388,2210,35178,21665,19423,2242,2812,10702,9957,10702,71578,66438,5030,110,72323,60389,11841,8623,3218,93,0,9957,3630,797,5531,5531,5531,5531,0,2990,5115,2210,2541,2541,141074,5306,30710,2474,6617,2767,9529,9323,54663,29626,25037,19506,19029,129,0,8,308,32,0,29403,1487,144045,55175,7349,3767,597,2985,8250,8230,20,3392,0,988,2512,-153,13,0,0,32,0,61443,8436,-2971,-5506,0,5,5511,1252,1391,-137,-2,-224,-135,0,9,4927,29,-5,-5210,161,25993,-2,27847,4412,55,0,0,-6458,139,-24966,-24941,1741990,32723,23504,8523,696,1709267,55615,413683,17720,154100,17981,79689,144193,679992,330618,349374,156632,150965,858,0,1403,2776,630,0,363772,39573,1741990,1763654,677468,65396,24105,19895,21396,41525,41115,410,202137,0,146483,51232,2218,1574,0,0,630,0,729999,47129,-21664
1969,42119,2569,39551,23822,21422,2400,3194,12535,10420,12535,84545,78779,5639,127,86660,73497,13086,10035,3051,77,0,10420,3614,1262,5546,5546,5546,5546,0,3054,5524,2569,2491,2491,144977,1304,11174,8938,-9832,1623,1549,8896,68072,41670,26402,25877,21177,610,0,75,376,39,3600,37107,1443,146685,20683,22055,9744,957,11354,8978,9008,-30,12404,0,5135,3331,208,91,0,3600,39,0,73006,9559,-1708,-5042,0,-843,4199,1482,1497,-24,9,-20930,280,0,42,-25847,-203,-5,4738,66,-40495,-1,-23037,-6975,-206,0,0,-9977,-299,21047,21550,1879391,37259,26242,10121,896,1842132,57886,424417,26658,144268,19604,81238,152649,748235,372854,375381,156454,146295,1265,0,1478,3147,669,3600,414322,40819,1879391,1879505,694132,87451,33849,20852,32750,50502,50123,379,184323,0,128581,47588,2426,1459,0,3600,669,0,801737,61360,-114
