date,FU316902505.A,FU316300001.A,FU316902605.A,FU316025001.A,FU316020001.A,FU316401005.A,FU316402101.A,FU316140005.A,FU316402101.A,FU316240001.A,FU316402015.A,FU316150195.A,FU316130101.A,FU316121185.A,FU316112101.A,FU316130095.A,FU316140005.A,FU316220001.A,FU316601001.A,FU316404001.A,FU316403105.A,FU316403001.A,FU316012005.A,FU316901001.A,FU316006085.A,FU316006385.A,FU316006085.A,FU315440005.A,FU315050905.A,FU315019001.A,FU316300001.A,FU315420003.A,FU315000995.A,FU315000995.A,FU314090005.A,FU313011105.A,FU313011203.A,FU313011303.A,FU314000005.A,FU313020005.A,FU313030003.A,FU313030505.A,FU314022005.A,FU313061703.A,FU313063005.A,FU314035005.A,FU314041005.A,FU313011545.A,FU313066220.A,FU313069005.A,FU313065005.A,FU313081105.A,FU313064105.A,FU313092803.A,FU313092403.A,FU313094303.A,FU313094205.A,FU313096005.A,FU313070000.A,FU313078000.A,FU314190005.A,FU313111303.A,FU314100005.A,FU314122005.A,FU313161105.A,FU313161705.A,FU314123005.A,FU313152005.A,FU313140003.A,FU313195105.A,FU343073045.A,FU313196005.A,FU713011203.A,FU713014003.A,FU313170005.A,FU313172003.A,FU313193005.A,FU315000005.A,FV318090185.A,FV312010095.A,FV318090085.A,FU317005045.A,FR312010095.A,FR315015605.A,FR315013265.A,FR315013765.A,FR314090005.A,FR313011105.A,FR314000005.A,FR313011545.A,FR313063005.A,FR313069005.A,FR313064105.A,FR313094303.A,FR314190005.A,FR313111303.A,FR313190015.A,FR312090095.A,FC312090095.A,FL312000095.A,LM312010095.A,LM315015605.A,LM315013265.A,LM315013765.A,FL314090005.A,FL313011105.A,LM313011203.A,LM313011303.A,FL314000005.A,FL313020005.A,FL313030003.A,FL313030505.A,FL314022005.A,FL313061703.A,FL313063005.A,FL314035005.A,FL314041005.A,LM313011545.A,FL313066220.A,FL313069005.A,FL313065005.A,FL313081105.A,LM313064105.A,FL313092803.A,FL313092403.A,LM313094303.A,FL313094205.A,FL313096005.A,FL313070000.A,FL313078000.A,FL312000095.A,FL314190005.A,FL313111303.A,FL314100005.A,FL314122005.A,FL313161105.A,FL313161705.A,FL314123005.A,FL313152005.A,FL313140003.A,FL313195105.A,FL343073045.A,FL313196005.A,FL713011203.A,FL713014003.A,FL313170005.A,FL313172003.A,FL313193013.A,FL312090095.A
1960,45007,15167,29840,30536,24045,6491,-696,-271,-696,13072,-1146,2377,1328,897,152,13878,-271,62483,16017,20113,302,7283,51135,50978,157,-700,157,857,7181,21897,15167,451,-7881,-7881,-765,-1703,-1703,0,1145,1043,-23,125,35,35,0,996,801,0,0,801,195,165,0,154,11,0,0,-1403,68,-1471,7773,0,-100,-2059,-1798,-261,951,9985,76,0,9909,-1004,-1689,0,456,0,229,-8538,-469,0,188,657,483,-385,605,264,0,0,0,0,0,0,0,0,-229,0,-229,712,-457,270341,205213,99524,78386,27303,65128,17804,17804,0,12012,7154,262,4596,37,37,0,26678,20878,0,0,20878,5800,1194,0,824,370,0,0,7403,1790,5613,270341,408196,0,6086,189038,188350,688,61034,130595,6426,0,124169,21443,17767,0,3359,0,317,-137855
1961,47057,16034,31023,31916,25070,6846,-892,-1368,-892,13161,-2014,2278,1413,687,178,13901,-1368,63610,16565,23383,357,7779,48002,52734,-4732,-5636,-4732,904,9105,24646,16034,493,-14741,-14741,1778,-857,-857,0,323,-41,22,342,-2,-2,0,1720,1271,58,0,1213,449,165,0,171,-6,0,0,429,-14,443,18061,0,63,6163,5856,307,1941,10549,93,0,10456,-655,-878,0,259,0,-36,-16283,-1024,0,518,1542,1913,1239,468,206,0,0,0,0,0,0,0,0,37,0,36,1876,-4784,283463,215738,103011,82023,30704,67725,16947,16947,0,12335,7055,284,4996,35,35,0,28398,22149,58,0,22091,6249,1359,0,995,364,0,0,8651,1776,6875,283463,426102,0,6149,195201,194206,995,62975,140953,6519,0,134434,20824,16889,0,3618,0,317,-142639
1962,50120,17170,32950,33851,26630,7221,-901,-1558,-901,14131,-2273,2592,1598,799,195,15107,-1558,68345,18626,23802,394,8357,53648,59018,-5370,-6383,-5370,1013,9924,26500,17170,594,-16308,-16308,2451,-890,-890,0,559,954,-15,-380,-35,-35,0,1975,1903,-9,0,1911,72,116,0,122,-6,0,0,727,229,498,18550,0,-137,6091,5548,543,1777,11283,125,0,11158,-464,-911,0,433,0,14,-16099,-579,0,-787,-209,5186,2082,3102,2,0,0,0,0,0,0,0,0,-117,0,-117,5303,-1659,300073,230254,107166,88720,34368,69819,16057,16057,0,12894,8098,269,4527,0,0,0,30373,24052,50,0,24002,6321,1475,0,1117,358,0,0,9021,2005,7016,300073,444371,0,6012,201292,199754,1538,64752,152072,6644,0,145428,20243,15978,0,4051,0,214,-144298
1963,53169,18353,34816,35532,27931,7601,-716,-1732,-716,14686,-2222,2774,1685,880,209,16254,-1732,73024,21106,24968,463,8848,59045,61206,-2161,-3506,-2161,1345,8841,26669,18353,525,-12347,-12347,3335,-461,-461,0,-30,-443,-9,422,29,29,0,1582,1981,57,0,1924,-399,7,0,62,-55,0,0,2208,485,1723,16395,0,-82,2286,2457,-171,2678,11844,131,0,11713,-331,-465,0,330,0,-196,-13060,-1224,0,-511,713,2163,1864,-23,322,0,0,0,0,0,0,0,0,161,0,161,2002,-2728,313719,240733,110868,90317,39548,72986,15596,15596,0,12864,7671,260,4933,29,29,0,31954,26032,106,0,25926,5922,1482,0,1179,303,0,0,11061,2490,8571,313719,460745,0,5930,203578,202211,1367,67430,163734,6775,0,156959,20073,15513,0,4381,0,179,-147026
1964,56446,19204,37242,38004,29901,8103,-762,-2018,-762,15424,-2719,3530,1723,1582,225,17491,-2018,70727,21782,25509,617,9353,56247,63139,-6892,-8389,-6892,1497,8540,27118,19204,626,-16929,-16929,3473,-125,-125,0,220,462,12,-254,-17,-17,0,2895,2944,110,0,2834,-49,47,0,112,-65,0,0,453,244,209,19288,0,-245,5411,4556,855,1890,12530,104,0,12426,-298,-125,0,95,0,-268,-15815,139,0,-975,-1114,2340,1520,567,253,0,0,0,0,0,0,0,0,209,0,209,2131,-6119,326897,250987,114031,91829,45127,75910,15471,15471,0,13084,8165,272,4647,12,12,0,34849,28976,216,0,28760,5873,1529,0,1291,238,0,0,10965,2734,8231,326897,480042,0,5685,208989,206767,2222,69320,176064,6879,0,169185,19984,15388,0,4476,0,120,-153145
1965,59322,20013,39309,40185,31500,8685,-875,-3709,-875,15427,-2989,3320,1800,1297,223,18592,-3709,78876,22742,27715,937,10149,60982,66497,-5515,-6735,-5515,1220,7156,26698,20013,471,-13892,-13892,1575,-1666,-1666,0,-1483,-1575,-22,114,33,33,0,3082,3101,175,0,2926,-19,-10,0,0,-10,0,0,1619,388,1231,15473,0,86,706,258,448,2237,13503,134,0,13369,-1059,-1655,0,572,0,24,-13898,-432,0,-425,7,5307,3577,1547,183,0,0,0,0,0,0,0,0,103,0,103,5204,-1963,340142,262979,119241,92859,50879,77163,14065,14065,0,11602,6750,250,4602,45,45,0,37931,32077,391,0,31686,5854,1519,0,1291,228,0,0,12002,3122,8880,340142,495250,0,5771,209695,207025,2670,71557,189199,7013,0,182186,19028,13733,0,5048,0,247,-155108
1966,65550,21049,44502,45696,35840,9856,-1194,-7050,-1194,14449,-3925,3885,1991,1649,245,20264,-7050,88609,30620,30347,1019,13352,69500,76487,-6987,-8328,-6987,1341,9682,30089,21049,642,-18011,-18011,4079,-571,-571,0,-650,-356,-30,-264,1310,1310,0,4178,3141,270,0,2871,1037,-6,0,-100,94,0,0,-182,1249,-1431,20265,0,525,2468,1113,1355,2381,14826,107,0,14719,65,-574,0,783,0,-144,-16186,-189,0,-2013,-1825,6874,4658,1941,275,0,0,0,0,0,0,0,0,553,0,553,6321,-2196,358484,278893,125613,95719,57561,79591,13235,13235,0,10952,6370,220,4362,1355,1355,0,42109,35218,661,0,34557,6891,1513,0,1191,322,0,0,10428,4371,6057,358484,515788,0,6296,212163,208138,4025,73938,203745,7120,0,196625,19646,13159,0,5831,0,656,-157304
1967,71308,22464,48844,50118,39112,11006,-1273,-7282,-1273,15164,-3785,4543,2334,1907,302,21931,-7282,92753,34102,37075,968,14933,68533,88059,-19526,-20721,-19526,1195,9252,31947,22464,-231,-29973,-29973,739,-1170,-1170,0,415,481,47,-113,-88,-88,0,5080,4154,512,0,3642,926,171,0,193,-22,0,0,-3669,1468,-5137,30289,0,357,12916,8761,4155,1345,16022,80,0,15942,-351,-1177,0,652,0,174,-29550,7352,0,6929,-423,11441,7891,2661,889,0,0,0,0,0,0,0,0,189,0,189,11252,-2117,386503,299817,134421,100595,64801,86686,12065,12065,0,11824,7525,267,4032,1267,1267,0,47189,39372,1173,0,38199,7817,1684,0,1384,300,0,0,12658,5839,6819,386503,545924,0,6653,225079,216899,8180,75283,219425,7200,0,212225,19484,11982,0,6483,0,1019,-159421
1968,78340,24155,54185,55210,43146,12064,-1025,-7316,-1025,16872,-4147,5536,2735,2464,337,24552,-7316,110345,37897,42417,953,16384,83078,96845,-13768,-16633,-13768,2865,6049,31118,24155,-914,-22681,-22681,4542,-1173,-1173,0,-1362,-2268,101,805,134,134,0,5706,4262,588,0,3674,1444,-172,0,128,-300,0,0,1409,575,834,30163,0,167,11940,8780,3160,1917,17047,-14,0,17061,-908,-1615,0,-16,0,723,-25621,-2220,0,720,2940,12804,7962,2796,2046,0,0,-4,4,0,0,0,0,-528,0,-527,13332,-5521,410324,319583,143061,103491,73031,90741,10892,10892,0,10458,5119,368,4971,1401,1401,0,52598,43337,1764,0,41573,9261,1512,0,1512,0,0,0,13880,6414,7466,410324,575266,0,6795,237019,225679,11340,77200,236203,7186,0,229017,18049,10367,0,6467,0,1215,-164942
1969,83627,25819,57808,59071,46040,13031,-1263,-9589,-1263,17812,-4509,5835,2490,3019,326,27464,-9589,125139,43314,46341,998,18206,95315,100465,-5150,-7447,-5150,2297,5014,30729,25819,104,-12461,-12461,3941,967,967,0,2344,1553,-157,948,-1297,-1297,0,4026,3056,-410,0,3466,970,184,0,184,0,0,0,-2283,919,-3202,16989,0,53,-3257,-953,-2304,1621,19009,66,0,18943,-437,0,0,-78,0,-359,-13048,547,0,1134,587,18554,11108,3720,3726,0,0,-37,37,0,0,0,0,62,0,61,18492,11592,437658,343047,154673,105910,82464,94611,11859,11859,0,12766,6915,211,5640,104,104,0,56661,46430,1391,0,45039,10231,1696,0,1696,0,0,0,11526,7333,4193,437658,591008,0,6848,233762,224726,9036,78821,253904,7252,0,246652,17673,10367,0,6389,0,917,-153350
