date,FU266905095.A,FU266903001.A,FU266904195.A,FU266400101.A,FU266900095.A,FU266903011.A,FU266904095.A,FU266400201.A,FU266000095.A,FU266000095.A,FU265440005.A,FU265420095.A,FU265000905.A,FU265000905.A,FU264090005.A,FU263011105.A,FU263011205.A,FU313111303.A,FU264000005.A,FU263025003.A,FU263027003.A,FU264016005.A,FU263030005.A,FU264022005.A,FU263069103.A,FU263061105.A,FU263061705.A,FU263062003.A,FU263063005.A,FU264035005.A,FU264041005.A,FU262051005.A,FU263069005.A,FU263092305.A,FU263081005.A,FU263034003.A,FU263064105.A,FU263064203.A,FU263092101.A,FU263052005.A,FU263076005.A,FU543141905.A,FU543151905.A,FU263096005.A,FU264194005.A,FU313011303.A,FU264100005.A,FU264116005.A,FU263130505.A,FU264122005.A,FU263169105.A,FU263163005.A,FU264135005.A,FU264141005.A,FU262151005.A,FU263169005.A,FU263168005.A,FU263192305.A,FU263181105.A,FU263164100.A,FU313092803.A,FU263192101.A,FU263152005.A,FU263196005.A,FU263170005.A,FU263194735.A,FU265000005.A,FV268090185.A,FV268090085.A,FU267005085.A,FR264090005.A,FR263011105.A,FR264000005.A,FR264022005.A,FR263069103.A,FR263061105.A,FR263061705.A,FR263062003.A,FR263063005.A,FR263092305.A,FR263081005.A,FR263064105.A,FR263064203.A,FR263092101.A,FR263096005.A,FR264194005.A,FR313011303.A,FR264100005.A,FR264116005.A,FR263130505.A,FR263163005.A,FR264135005.A,FR264141005.A,FR263192305.A,FR263181105.A,FR263164100.A,FR263192101.A,FR263152005.A,FR263196005.A,FR265000005.A,FC262090095.A,FL264090005.A,FL313111303.A,FL264000005.A,FL263025003.A,FL263027003.A,FL264016005.A,FL263030005.A,FL264022005.A,LM263069103.A,LM263061105.A,LM263061705.A,LM263062003.A,LM263063005.A,FL264035005.A,FL264041005.A,FL262051005.A,FL263069005.A,FL263092305.A,FL263081005.A,FL263034003.A,LM263064105.A,LM263064203.A,LM263092101.A,FL263052005.A,FL263076005.A,FL543141905.A,FL543151905.A,LM263096005.A,FL262100005.A,FL264194005.A,FL313011303.A,FL264100005.A,FL264116005.A,LM263130505.A,FL264122005.A,FL263169105.A,LM263163005.A,FL264135005.A,FL264141005.A,FL262151005.A,FL263169005.A,FL263168005.A,FL263192305.A,FL263181105.A,LM263164100.A,FL313092803.A,LM263192101.A,FL263152005.A,LM263196005.A,LM263170005.A,FL263194735.A,FL262090095.A
1960,28761,22841,1775,4145,31933,27045,4888,0,-3171,-3171,0,-0,-3171,-3171,4454,1703,1703,0,1201,0,-18,935,284,904,534,291,0,0,79,64,0,0,0,64,454,0,203,0,251,0,0,0,0,128,5913,0,236,147,89,577,0,577,1273,1159,0,1053,106,114,3066,86,154,2826,0,761,761,0,-1459,1712,0,-1712,-1961,-1703,0,0,0,0,0,0,0,2,-260,-264,0,4,0,-680,0,13,0,13,0,-35,0,-35,-658,209,-867,0,0,-1281,-2740,38341,0,8605,0,2122,3624,2859,12610,1291,10651,0,0,668,1429,0,0,0,1429,14798,0,9302,0,5496,0,0,0,0,899,38341,66882,0,6064,1421,4643,5784,0,5784,17875,16636,0,14391,2245,1239,35434,3984,824,30626,0,1725,1725,0,-28541
1961,28695,22688,1788,4219,32909,27602,5307,0,-4214,-4214,0,-1,-4213,-4213,3534,857,857,0,1303,0,976,275,52,454,69,384,0,0,1,65,0,0,0,65,569,0,323,0,246,0,0,0,0,286,6238,0,873,389,484,437,0,437,1775,1672,116,1074,482,103,3047,325,171,2551,0,106,106,0,-2704,1509,0,-1509,1343,-857,0,0,0,0,0,0,0,3,2197,2183,0,14,0,791,0,0,-58,58,0,8,0,8,783,593,190,0,0,552,-2152,43218,0,9908,0,3098,3899,2911,13064,1360,11035,0,0,669,1497,0,0,0,1497,17564,0,11808,0,5756,0,0,0,0,1185,43218,73911,0,6937,1752,5185,6221,0,6221,19658,18308,116,15465,2727,1350,39264,4902,995,33367,0,1831,1831,0,-30693
1962,31207,24965,1847,4395,35006,29066,5940,0,-3800,-3800,0,1,-3801,-3801,3611,890,890,0,528,0,135,-105,498,1733,27,1344,337,0,25,72,0,0,0,72,383,0,109,0,274,0,0,0,0,5,5001,0,-258,248,-506,994,0,994,956,844,-17,681,180,112,2836,-25,122,2739,0,473,473,0,-1390,2411,0,-2411,-2515,-890,0,0,0,0,0,0,0,-10,-1615,-1581,0,-34,0,224,0,679,90,590,0,-12,0,-12,-443,-163,-280,0,0,-2739,-4129,44314,0,10436,0,3233,3794,3409,14797,1387,12379,337,0,694,1559,0,0,0,1559,16332,0,10336,0,5996,0,0,0,0,1190,44314,79136,0,7358,2090,5269,7215,0,7215,20602,19152,99,16146,2907,1450,41657,4714,1117,35826,0,2304,2304,0,-34822
1963,32658,26136,2053,4469,37605,31075,6530,0,-4947,-4947,0,-0,-4947,-4947,3901,461,461,0,1499,0,266,382,851,1096,50,654,335,0,57,48,0,0,0,48,408,0,225,0,183,0,0,0,0,389,6945,0,474,265,209,993,0,993,2311,2176,113,1626,437,135,3522,112,62,3348,0,-355,-355,0,-3044,1874,-29,-1903,1512,-461,0,0,0,0,0,0,0,10,1963,1924,0,39,0,446,0,150,16,135,0,-1,0,-1,297,319,-22,0,0,1066,-2007,49727,0,11935,0,3499,4176,4260,15893,1437,13033,672,0,751,1617,0,0,0,1617,18703,0,12485,0,6218,0,0,0,0,1579,49727,86556,0,7982,2370,5612,8208,0,8208,22941,21357,212,17772,3373,1584,45476,5145,1179,39152,0,1949,1949,0,-36829
1964,34791,28105,2319,4367,42258,35019,7239,0,-7468,-7468,0,-0,-7468,-7468,4343,125,125,0,2795,0,959,581,1255,1015,183,288,336,0,208,67,0,0,0,67,-37,0,-292,0,255,0,0,0,0,378,8964,0,511,655,-144,467,0,467,3303,3157,220,1957,980,146,3935,211,112,3612,0,748,748,0,-4621,6462,3615,-2847,1507,-125,0,0,0,0,0,0,0,-3,1635,1642,0,-7,0,163,0,263,32,231,0,0,0,0,-100,-86,-14,0,0,1344,338,59372,0,18525,3795,4458,4757,5515,16908,1620,13321,1008,0,959,1681,0,0,0,1681,20301,0,13835,0,6466,0,0,0,0,1957,59372,95863,0,8756,3057,5699,8675,0,8675,26424,24694,432,19718,4544,1730,49311,5270,1291,42750,0,2697,2697,0,-36491
1965,38870,31529,2602,4739,45027,37146,7881,0,-6158,-6158,0,-0,-6158,-6158,3325,1666,1666,0,885,131,125,63,566,477,362,-265,336,0,44,86,0,0,0,86,-72,0,-400,0,328,0,0,0,0,283,7939,0,-113,89,-202,460,0,460,2505,2310,349,1522,439,195,5115,299,0,4816,0,-28,-28,0,-4614,1597,53,-1544,-531,-1666,0,0,0,0,0,0,0,-6,1141,1164,0,-23,0,5394,0,-4,160,-164,0,230,0,230,5168,-521,5689,0,0,-5925,-10486,62166,0,19410,3926,4583,4820,6081,17385,1982,13056,1344,0,1003,1761,0,0,0,1761,21370,0,14599,0,6771,0,0,0,0,2240,62166,109143,0,8639,3306,5334,9135,0,9135,29106,26951,781,21187,4983,2155,59594,5048,1291,53255,0,2669,2669,0,-46977
1966,45183,37058,3001,5124,48991,40920,8071,0,-3808,-3808,0,-1,-3807,-3807,5175,571,571,0,4004,336,380,2956,332,-124,230,-1904,336,0,1214,88,0,0,0,88,33,0,-305,0,338,0,0,0,0,603,8164,0,97,265,-168,735,0,735,1898,1687,540,1328,-181,211,5092,-15,-100,5207,0,342,342,0,-2989,728,-90,-818,-2233,-571,0,0,0,0,0,0,0,-3,-1659,-1651,0,-8,0,-2495,0,0,-24,24,0,-70,0,-70,-2425,-709,-1716,0,0,262,-2817,65108,0,23414,4262,4963,7776,6413,17261,2212,11152,1680,0,2217,1846,0,0,0,1846,19744,0,12643,0,7101,0,0,0,0,2843,65108,114902,0,8736,3547,5190,9870,0,9870,31024,28728,1321,22605,4802,2296,62261,4324,1191,56746,0,3011,3011,0,-49794
1967,48666,39912,3289,5465,52149,43467,8682,0,-3483,-3483,0,1,-3484,-3484,8696,1170,1170,0,2554,235,327,726,1266,2776,35,2087,336,0,318,144,0,0,0,144,1252,0,698,0,554,0,0,0,0,800,10701,0,-274,-242,-32,1216,0,1216,4170,3983,1024,2913,46,187,4904,92,193,4619,0,685,685,0,-2005,1479,0,-1479,11063,-1170,0,0,0,0,0,0,0,13,12220,12170,0,50,0,2670,0,86,217,-131,0,69,0,69,2515,822,1693,0,0,8393,6388,84867,0,25968,4497,5290,8502,7679,20037,2247,13239,2016,0,2535,2003,0,0,0,2003,33216,0,25511,0,7705,0,0,0,0,3643,84867,128273,0,8548,3522,5027,11086,0,11086,35263,32711,2345,25518,4848,2552,69680,5238,1384,63058,0,3696,3696,0,-43406
1968,56475,46556,4017,5902,58008,47906,10102,0,-1533,-1533,0,-0,-1533,-1533,11352,1173,1173,0,2923,289,561,2343,-270,2569,579,-662,336,0,2316,167,0,0,0,167,2738,0,2097,0,641,0,0,0,0,1782,11963,0,1597,258,1339,1084,0,1084,2971,2766,1175,2050,-459,205,5702,485,128,5089,0,609,609,0,-611,922,0,-922,688,-1173,0,0,0,0,0,0,0,-10,1871,1909,0,-38,0,3502,0,0,-135,135,0,116,8,108,3386,729,2657,0,0,-2814,-3425,96907,0,28891,4786,5851,10845,7409,22606,2826,12577,2352,0,4851,2160,0,0,0,2160,37825,0,29517,0,8308,0,0,0,0,5425,96907,143738,0,10145,3645,6500,12170,0,12170,38350,35485,3528,27568,4389,2865,78768,6452,1512,70804,0,4305,4305,0,-46831
1969,62098,50492,5664,5942,63701,51922,11779,0,-1604,-1604,-2,0,-1602,-1602,18015,-967,-967,0,14757,493,324,12560,1380,558,994,-2337,336,0,1565,259,0,0,0,259,2569,0,1565,0,1004,0,0,0,0,839,10441,0,1012,481,531,1028,0,1028,1377,1146,-820,2421,-455,231,6433,521,184,5728,0,591,591,0,7574,4349,-4827,-9176,-3401,967,0,0,0,0,0,0,0,-8,-4360,-4321,0,-39,0,3498,0,0,280,-280,0,208,73,135,3290,-20,3310,0,0,-6899,-4152,107371,0,39498,5279,6175,19255,8789,23164,3820,10240,2688,0,6416,2411,0,0,0,2411,36034,0,26761,0,9273,0,0,0,0,6264,107371,158354,0,11834,5083,6752,13198,0,13198,39935,36704,2781,29989,3934,3231,88491,6953,1696,79842,0,4896,4896,0,-50983
