row,industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,        All industries,15393.6,16217,17273.4,18625.7,18884.5,19173.8,20140.7,21689.1,23517.9,24925.5,26250.3,27024.9,24959.3,26479.5,28050.3,29232.2,30388.8,31795.7,32233.9,32898.1,34468.1,36504.5,37658,36710.1,41809.3,46633.5,48386.8
2,Private industries,13727.9,14486.7,15438.7,16674.6,16804.1,16957.8,17797.7,19209.6,20893.9,22147.5,23316.2,23902.1,21730.8,23141.5,24684.4,25840.9,26957.2,28298.6,28662.7,29246.2,30720.5,32562.6,33529.5,32444.1,37230.9,41732,43289.4
3,"    Agriculture, forestry, fishing, and hunting",257.9,249.8,245.3,243.6,251.4,241.9,269.3,308.6,300.2,304,349.3,372.6,339,366.6,429.5,451.1,487.4,498.6,457.9,430.9,448.9,448.1,439,443.3,534.4,639.7,621.7
4,        Farms,219.4,207.8,199.9,204.3,212.3,202.4,227.9,263.2,253.6,256.2,304.8,327.9,297.7,320.9,380.3,404.2,437.6,442.2,403.2,379.8,395.5,395.1,388.1,389.5,472.9,574.2,555.3
5,            Crop production,117.3,106.8,97,98.4,98.1,100.6,113.4,127.9,117.4,125.6,153.9,176.9,167.9,171.3,202.9,217,238.3,210.5,188.6,192.8,191.3,189.8,181.8,194.2,245.6,272.9,266.3
6,            Animal production and aquaculture,102.1,101,102.9,105.9,114.2,101.7,114.5,135.3,136.2,130.6,150.9,150.9,129.8,149.7,177.4,187.2,199.3,231.7,214.6,187,204.2,205.3,206.3,195.3,227.3,301.4,289.1
7,"        Forestry, fishing, and related activities",38.5,41.9,45.4,39.3,39,39.5,41.4,45.4,46.6,47.8,44.6,44.8,41.3,45.7,49.2,46.9,49.8,56.4,54.7,51.1,53.4,53.1,51,53.8,61.5,65.5,66.3
8,    Mining,177.2,151.9,156.1,218.5,226.6,196,252.9,300.1,394.5,445.2,476.3,614.6,404.9,500.1,601.8,613.4,655.3,727.6,481.5,367.7,462.8,585.6,557.7,385.8,608,875.7,719.5
9,        Oil and gas extraction,98.8,72.9,85.5,143,142.3,116.7,166,191,249.2,257.4,276.9,388.4,227.6,304.7,372.9,362.6,412.8,445.7,241.5,199.8,254,346.6,316,210.5,421.9,652.9,478.7
10,"        Mining, except oil and gas",56.4,55.5,53.1,54.7,55.1,54.4,57.4,67.3,84.3,100.8,104.5,116.2,104.9,112.7,130.9,124.6,114.4,116.1,104.4,94.8,101.9,106.9,106.1,96.3,115.9,135.2,136.9
