Net operating surplus
Net operating surplus
"Last Revised on: September 26, 2024"
Line,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,All industries,2074.3,2193.9,2222.4,2267.1,2409.1,2618.5,2844.3,3108.9,3254.6,3349.9,3345.0,3371.1,3718.3,3847.6,4025.0,4229.3,4349.2,4446.3,4572.3,4724.1,4982.5,5143.3,5303.8,6151.4,6517.2,7133.1
2,"    Private industries",2057.4,2177.1,2210.9,2261.4,2401.5,2613.4,2844.0,3112.3,3260.5,3362.7,3361.8,3385.7,3736.9,3865.5,4038.6,4243.0,4357.7,4449.1,4574.5,4728.3,4987.0,5155.5,5306.2,6162.4,6525.0,7165.8
3,"        Agriculture, forestry, fishing, and hunting",53.9,51.7,57.9,58.3,44.0,64.7,85.9,79.3,63.0,72.9,70.1,51.8,68.3,98.4,88.1,119.8,96.2,77.6,62.2,66.6,69.3,62.6,81.6,124.0,156.9,128.7
4,"                Farms",46.2,44.1,49.5,50.4,36.6,56.6,78.9,72.4,55.1,66.3,64.6,47.2,62.7,94.3,83.9,115.8,91.8,72.4,57.2,62.0,64.6,57.8,75.0,118.2,151.2,122.0
5,"                Forestry, fishing, and related activities",7.7,7.7,8.3,7.9,7.4,8.1,7.0,6.9,7.9,6.6,5.5,4.6,5.6,4.1,4.2,4.0,4.4,5.1,5.0,4.6,4.7,4.8,6.6,5.8,5.7,6.7
6,"        Mining",-9.6,-4.8,16.4,20.8,7.0,26.6,40.0,70.2,83.7,105.3,152.2,62.5,84.5,111.1,84.8,102.0,100.2,-44.9,-64.1,-10.3,35.3,9.8,-50.0,88.6,177.1,116.1
7,"                Oil and gas extraction",-12.2,-6.4,13.3,13.9,2.9,19.9,28.8,48.8,45.9,60.2,102.6,24.4,36.0,52.6,39.4,60.0,52.3,-63.4,-66.7,-31.8,4.4,-16.8,-72.1,57.7,132.2,66.6
8,"                Mining, except oil and gas",4.2,5.0,4.6,4.3,5.1,6.8,10.0,17.3,23.9,28.6,29.6,31.7,38.2,42.0,30.2,23.6,18.9,11.0,9.8,15.7,13.4,13.6,20.4,26.8,30.9,33.2
9,"                Support activities for mining",-1.6,-3.4,-1.5,2.5,-1.0,0.0,1.3,4.1,13.9,16.5,19.9,6.4,10.2,16.5,15.2,18.3,29.0,7.5,-7.1,5.8,17.5,13.1,1.7,4.2,13.9,16.3
10,"        Utilities",46.8,57.7,51.8,55.0,41.1,46.3,54.2,46.7,63.2,58.7,57.4,68.9,85.0,85.8,74.9,76.0,82.2,78.0,72.8,76.4,74.0,72.8,74.8,104.6,133.3,124.1
11,"        Construction",103.7,113.3,124.9,131.3,135.5,157.4,192.4,226.5,235.3,232.6,170.7,153.7,140.8,136.9,146.1,162.1,180.8,208.0,239.9,266.9,275.7,296.1,365.2,348.1,347.1,398.1
12,"        Manufacturing",318.6,326.2,320.0,267.9,292.3,344.4,393.7,442.2,499.6,512.1,455.2,432.4,508.7,533.1,542.3,559.7,541.6,554.5,504.4,514.9,594.7,552.8,484.6,628.9,732.1,790.4
13,"            Durable goods",139.0,125.3,123.3,56.8,83.8,117.6,133.1,160.1,174.7,177.4,142.9,94.5,167.0,180.8,191.1,205.8,192.6,199.3,190.0,188.0,191.4,195.7,180.3,186.1,198.3,241.8
14,"                Wood products",3.7,4.2,2.5,2.2,2.2,3.5,5.7,6.1,2.8,1.2,0.0,0.7,3.5,3.5,5.3,8.5,6.8,6.6,8.0,8.6,8.3,6.9,14.0,26.2,26.1,23.1
15,"                Nonmetallic mineral products",10.9,11.8,9.3,7.7,8.4,8.5,10.7,12.4,12.5,11.2,7.1,6.2,6.3,6.4,9.4,12.7,12.7,15.3,16.1,17.5,16.6,18.8,21.4,22.0,21.6,23.4
16,"                Primary metals",4.6,1.3,1.3,-2.3,1.6,0.1,14.3,14.6,19.5,20.4,23.4,2.6,11.2,19.5,20.7,17.7,18.3,14.4,12.5,13.1,18.2,16.9,9.9,21.8,27.3,23.4
17,"                Fabricated metal products",25.8,27.7,28.4,21.1,19.2,22.2,24.3,27.6,27.2,31.0,26.7,23.9,26.1,26.8,30.3,31.1,27.7,27.9,26.8,25.2,25.5,29.8,34.2,22.5,32.8,37.9
18,"                Machinery",21.0,16.0,12.7,10.1,9.5,9.6,13.3,19.6,22.8,26.3,26.1,22.6,29.9,38.2,39.9,43.0,39.3,27.5,21.8,25.3,25.7,29.3,30.0,27.0,30.6,46.7
19,"                Computer and electronic products",20.9,-0.1,10.3,-35.5,-22.3,3.2,7.1,10.8,13.8,10.9,8.9,5.0,9.9,-0.5,-5.3,-4.8,-8.2,-4.9,-11.5,-15.4,-15.9,-15.0,-17.9,-20.4,-27.4,-35.8
20,"                Electrical equipment, appliances, and components",5.8,8.3,7.3,6.9,8.3,10.5,6.2,6.5,13.5,11.3,16.5,14.1,14.3,10.5,12.6,16.2,11.2,17.9,12.1,12.0,12.5,11.7,11.4,11.2,15.8,18.4
21,"                Motor vehicles, bodies and trailers, and parts",24.5,28.0,26.2,19.8,29.4,34.8,29.1,25.6,22.9,16.1,-9.9,-35.0,6.4,17.8,23.3,26.2,27.6,33.8,39.0,36.8,31.0,28.5,17.8,9.4,10.7,17.1
22,"                Other transportation equipment",1.2,6.5,3.8,8.9,5.6,4.7,2.5,14.2,14.6,26.8,22.8,26.1,29.5,33.1,30.5,34.3,37.3,44.0,42.9,44.1,46.9,48.6,31.8,42.0,38.4,57.7
23,"                Furniture and related products",6.7,7.1,7.5,6.2,6.6,5.7,5.4,7.6,8.0,6.1,2.9,2.4,2.6,2.6,2.6,3.4,4.1,5.5,5.6,4.1,4.4,4.8,6.4,4.2,3.4,3.6
24,"                Miscellaneous manufacturing",13.9,14.5,13.8,11.6,15.2,14.8,14.3,14.9,17.0,16.2,18.4,26.0,27.3,22.9,21.8,17.4,15.8,11.3,16.7,16.6,18.2,15.5,21.0,19.9,19.0,26.2
25,"            Nondurable goods",179.6,200.9,196.7,211.2,208.6,226.8,260.7,282.2,324.9,334.7,312.2,337.9,341.7,352.3,351.2,354.0,349.0,355.3,314.4,327.0,403.4,357.1,304.4,442.9,533.9,548.6
